country,year,brutto_lop
aus,2000,539145.52208
aus,2001,569807.99605
aus,2002,600908.41513
aus,2003,639129.36138
aus,2004,678093.51966
aus,2005,719977.5514
aus,2006,776413.10289
aus,2007,826927.98392
aus,2008,852859.35442
aus,2009,904209.15778
aus,2010,943488.21615
aus,2011,993249.91605
aus,2012,998266.25239
aus,2013,1105431.1804
aus,2014,1118585.0363
aus,2015,1125701.1484
aus,2016,1213233.5455
aus,2017,1248366.7253
aus,2018,1326195.6383
aus,2019,1360009.5494
aus,2020,1459583.296
aus,2021,1646960.7885
aus,2022,1866627.9618
aus,2023,1944102.1705
aus,2024,
aut,2000,235377.69935
aut,2001,238949.14149
aut,2002,251984.78431
aut,2003,261071.50672
aut,2004,276006.32178
aut,2005,288086.72213
aut,2006,311412.98608
aut,2007,327170.59483
aut,2008,343812.97638
aut,2009,341382.98168
aut,2010,351280.99774
aut,2011,373031.47704
aut,2012,391635.17621
aut,2013,406370.24453
aut,2014,417059.51867
aut,2015,430975.92368
aut,2016,460282.64734
aut,2017,476590.58781
aut,2018,503361.41701
aut,2019,537897.79826
aut,2020,522624.59441
aut,2021,567987.28391
aut,2022,641751.81692
aut,2023,673525.73941
aut,2024,
bel,2000,284862.7325
bel,2001,296218.13253
bel,2002,312900.47533
bel,2003,320981.26762
bel,2004,334143.28357
bel,2005,347658.43899
bel,2006,371910.19233
bel,2007,391020.99224
bel,2008,405729.42995
bel,2009,407550.48413
bel,2010,434005.97692
bel,2011,451932.62533
bel,2012,469720.33553
bel,2013,487343.79647
bel,2014,503619.62268
bel,2015,520877.80673
bel,2016,550677.56552
bel,2017,573788.52802
bel,2018,600269.92593
bel,2019,650523.59023
bel,2020,643057.25053
bel,2021,719771.49747
bel,2022,797839.88535
bel,2023,832971.46778
bel,2024,
can,2000,901003.29001
can,2001,937793.04445
can,2002,971009.08823
can,2003,1023686.5488
can,2004,1083615.2298
can,2005,1171340.1625
can,2006,1241618.9112
can,2007,1301593.8524
can,2008,1342396.6135
can,2009,1307000.6583
can,2010,1363578.9746
can,2011,1430807.1253
can,2012,1468094.965
can,2013,1554122.7451
can,2014,1621396.7088
can,2015,1594850.8417
can,2016,1678093.396
can,2017,1765763.1539
can,2018,1852987.7546
can,2019,1899694.9914
can,2020,1847838.7648
can,2021,2133084.7219
can,2022,2415839.657
can,2023,2472066.3211
can,2024,
chl,2000,145355.72647
chl,2001,153318.30109
chl,2002,160694.76265
chl,2003,171606.24343
chl,2004,187973.65307
chl,2005,205184.27236
chl,2006,256070.32775
chl,2007,278373.99051
chl,2008,275754.67558
chl,2009,271327.84054
chl,2010,307855.67042
chl,2011,349147.74824
chl,2012,374316.59976
chl,2013,392670.38831
chl,2014,402902.19704
chl,2015,405499.67973
chl,2016,424831.6906
chl,2017,450891.85035
chl,2018,478093.9047
chl,2019,491687.97015
chl,2020,491062.04485
chl,2021,566278.56959
chl,2022,619206.19367
chl,2023,653360.98544
chl,2024,
col,2000,262505.61321
col,2001,272923.48647
col,2002,284117.11454
col,2003,301077.68224
col,2004,325646.98312
col,2005,351665.9532
col,2006,386866.63477
col,2007,424094.28205
col,2008,446420.18443
col,2009,454401.71546
col,2010,480532.03543
col,2011,524596.54605
col,2012,548251.36123
col,2013,585888.31633
col,2014,618792.73194
col,2015,624119.46519
col,2016,665398.3905
col,2017,693117.07496
col,2018,747103.67453
col,2019,807590.59587
col,2020,785737.56432
col,2021,906033.71709
col,2022,1092241.9694
col,2023,1122331.9274
col,2024,
cri,2000,31917.390054
cri,2001,33775.850945
cri,2002,35474.309778
cri,2003,37736.190989
cri,2004,40463.660294
cri,2005,43392.076255
cri,2006,48008.271646
cri,2007,53356.257141
cri,2008,56956.204673
cri,2009,56820.585951
cri,2010,60585.84562
cri,2011,64567.752242
cri,2012,69073.802991
cri,2013,73210.057138
cri,2014,79269.129648
cri,2015,85240.084084
cri,2016,93454.856222
cri,2017,100716.9065
cri,2018,106583.3451
cri,2019,116687.61293
cri,2020,111257.80636
cri,2021,122150.30707
cri,2022,135640.01969
cri,2023,145693.14417
cri,2024,
cze,2000,166517.01919
cze,2001,180080.57417
cze,2002,186119.94599
cze,2003,199182.06714
cze,2004,213452.58616
cze,2005,225620.78077
cze,2006,244950.99953
cze,2007,270739.15102
cze,2008,290503.94654
cze,2009,289930.92194
cze,2010,291996.63952
cze,2011,304400.91377
cze,2012,307490.19915
cze,2013,324029.97827
cze,2014,342099.83658
cze,2015,357503.88061
cze,2016,381420.33514
cze,2017,411327.85995
cze,2018,437355.91564
cze,2019,478737.94955
cze,2020,469877.01024
cze,2021,508669.66819
cze,2022,551769.28502
cze,2023,585187.18956
cze,2024,
dnk,2000,153042.81338
dnk,2001,157794.79286
dnk,2002,164720.39104
dnk,2003,166148.76356
dnk,2004,178022.99257
dnk,2005,185074.46573
dnk,2006,202995.97693
dnk,2007,213078.33896
dnk,2008,226767.49412
dnk,2009,222747.65847
dnk,2010,238526.04826
dnk,2011,247352.23733
dnk,2012,250524.59865
dnk,2013,262368.12033
dnk,2014,270330.60715
dnk,2015,278748.3648
dnk,2016,297719.06009
dnk,2017,319130.16537
dnk,2018,333035.35518
dnk,2019,353443.95897
dnk,2020,364633.33412
dnk,2021,409262.27704
dnk,2022,460163.45556
dnk,2023,456059.2698
dnk,2024,
est,2000,13163.079493
est,2001,14321.615922
est,2002,16087.747446
est,2003,18002.067823
est,2004,19807.059137
est,2005,22536.556224
est,2006,26054.300014
est,2007,29763.430374
est,2008,30488.761503
est,2009,27327.222637
est,2010,28780.802537
est,2011,32598.245152
est,2012,34384.891367
est,2013,36198.154059
est,2014,38050.085525
est,2015,38378.235056
est,2016,41201.029152
est,2017,44556.48234
est,2018,48133.365747
est,2019,52868.41036
est,2020,53241.176906
est,2021,59428.780213
est,2022,64665.602398
est,2023,66932.478866
est,2024,
fin,2000,138660.87517
fin,2001,144246.87696
fin,2002,148763.80227
fin,2003,151454.23537
fin,2004,163132.75306
fin,2005,168146.75329
fin,2006,181448.72504
fin,2007,200161.83329
fin,2008,212980.7419
fin,2009,202723.11734
fin,2010,208901.13197
fin,2011,220471.17078
fin,2012,221285.6359
fin,2013,225679.98326
fin,2014,228058.6361
fin,2015,232867.60166
fin,2016,246928.49326
fin,2017,262026.56317
fin,2018,273455.99349
fin,2019,290269.75537
fin,2020,296764.00075
fin,2021,320209.11895
fin,2022,347806.82788
fin,2023,359723.56234
fin,2024,
fra,2000,1589447.4257
fra,2001,1687216.7388
fra,2002,1762925.9348
fra,2003,1753702.1438
fra,2004,1822285.1144
fra,2005,1926880.3853
fra,2006,2065681.3045
fra,2007,2184814.783
fra,2008,2259255.8436
fra,2009,2243848.7848
fra,2010,2334273.2681
fra,2011,2446474.5436
fra,2012,2474005.2873
fra,2013,2608523.5042
fra,2014,2662032.8726
fra,2015,2718495.1265
fra,2016,2864105.631
fra,2017,2983010.6728
fra,2018,3125379.8604
fra,2019,3452964.2284
fra,2020,3344385.6264
fra,2021,3648077.7798
fra,2022,3914744.7621
fra,2023,4169072.3188
fra,2024,
deu,2000,2236357.4173
deu,2001,2336836.9463
deu,2002,2406900.9077
deu,2003,2468580.9982
deu,2004,2585625.0331
deu,2005,2622039.8016
deu,2006,2813989.1956
deu,2007,2985917.5775
deu,2008,3103958.2473
deu,2009,3015212.783
deu,2010,3184879.7548
deu,2011,3415019.9662
deu,2012,3487234.4483
