country,year,for_eg_fou_gruv
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,2937178111
aus,2009,2573955787
aus,2010,2552966315
aus,2011,2716055268
aus,2012,2312910183
aus,2013,1955811495
aus,2014,1569092847
aus,2015,1273061724
aus,2016,1002810462
aus,2017,710499048
aus,2018,626587927
aus,2019,609832570
aus,2020,609556745
aus,2021,625122298
aus,2022,
aus,2023,
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,7238295
aut,2009,5302479
aut,2010,6678757
aut,2011,7190507
aut,2012,4925097
aut,2013,3665874
aut,2014,8656661
aut,2015,13704081
aut,2016,13912187
aut,2017,12197282
aut,2018,15315826
aut,2019,20807711
aut,2020,22832309
aut,2021,26410391
aut,2022,
aut,2023,
aut,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1958613
bel,2009,1947927
bel,2010,6024738
bel,2011,7746019
bel,2012,1522860
bel,2013,2250157
bel,2014,5968406
bel,2015,7846266
bel,2016,1649144
bel,2017,1985472
bel,2018,4600691
bel,2019,22382821
bel,2020,25309804
bel,2021,9542907
bel,2022,
bel,2023,
bel,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,793914382
can,2009,772721529
can,2010,802900621
can,2011,1118635292
can,2012,1291974284
can,2013,1343953711
can,2014,1177706244
can,2015,730925542
can,2016,741952894
can,2017,667324596
can,2018,864466538
can,2019,822754505
can,2020,740624411
can,2021,803363330
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,22778931
chl,2009,55767890
chl,2010,64366133
chl,2011,41516067
chl,2012,66594153
chl,2013,93711650
chl,2014,52689949
chl,2015,105672512
chl,2016,92146067
chl,2017,72822911
chl,2018,37769830
chl,2019,28669031
chl,2020,24111334
chl,2021,29708232
chl,2022,
chl,2023,
chl,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,5913681
cze,2009,4787799
cze,2010,3757906
cze,2011,1420275
cze,2012,1540875
cze,2013,1132071
cze,2014,2381288
cze,2015,2649600
cze,2016,4063105
cze,2017,4124190
cze,2018,3351809
cze,2019,4456898
cze,2020,3601156
cze,2021,1715434
cze,2022,3838142
cze,2023,
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,
dnk,2009,3621613
dnk,2010,5742774
dnk,2011,5571559
dnk,2012,1864059
dnk,2013,6431134
dnk,2014,11052476
dnk,2015,11224640
dnk,2016,10423940
dnk,2017,10914363
dnk,2018,6437094
dnk,2019,1682371
dnk,2020,3770587
dnk,2021,
dnk,2022,
dnk,2023,
dnk,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,
est,2009,
est,2010,
est,2011,
est,2012,
est,2013,
est,2014,
est,2015,
est,2016,
est,2017,
est,2018,
est,2019,
est,2020,
est,2021,0
est,2022,37710
est,2023,
est,2024,
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,11143542
fin,2009,16493178
fin,2010,9095171
fin,2011,9269566
fin,2012,10866317
fin,2013,9388559
fin,2014,6944370
fin,2015,7491069
fin,2016,10557448
fin,2017,19336387
fin,2018,20966420
fin,2019,12343768
fin,2020,16705894
fin,2021,24197336
fin,2022,19054295
fin,2023,
fin,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,16096332
fra,2009,44053703
fra,2010,45216752
fra,2011,36608414
fra,2012,45204908
fra,2013,47309060
fra,2014,46841922
fra,2015,45796282
fra,2016,46753756
fra,2017,57462531
fra,2018,55210782
fra,2019,24139447
fra,2020,22047982
fra,2021,47137007
fra,2022,
fra,2023,
fra,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,34251549
deu,2009,16643445
deu,2010,15276096
deu,2011,12678463
deu,2012,13591692
deu,2013,19876506
deu,2014,16126165
deu,2015,26988057
deu,2016,27238617
deu,2017,33298303
deu,2018,32361243
deu,2019,27307745
deu,2020,26880350
deu,2021,29957698
deu,2022,
deu,2023,
deu,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,
grc,2009,
grc,2010,
grc,2011,526247
grc,2012,3318659
grc,2013,1077166
grc,2014,0
grc,2015,2052308
grc,2016,46361849
grc,2017,85454747
grc,2018,63988479
grc,2019,27653926
grc,2020,18915587
grc,2021,16089416
grc,2022,10023266
grc,2023,
grc,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,0
hun,2009,0
hun,2010,0
hun,2011,0
hun,2012,1823004
hun,2013,840401
hun,2014,1140709
hun,2015,2890908
hun,2016,170411
hun,2017,874030
hun,2018,2490430
hun,2019,5912226
hun,2020,881989
hun,2021,434626
hun,2022,164708
hun,2023,
hun,2024,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,
isl,2009,
isl,2010,
isl,2011,
isl,2012,
isl,2013,37220
isl,2014,36089
isl,2015,115513
isl,2016,101407
isl,2017,0
isl,2018,0
isl,2019,92307
isl,2020,90748
isl,2021,241826
isl,2022,285884
isl,2023,
isl,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,
irl,2009,461593
irl,2010,483068
irl,2011,992137
irl,2012,1373652
irl,2013,1363435
irl,2014,2062203
irl,2015,2470092
irl,2016,2435760
irl,2017,2795804
irl,2018,1441615
irl,2019,322360
irl,2020,156901
irl,2021,0
irl,2022,
irl,2023,
irl,2024,
isr,2000,
isr,2001,
isr,2002,
isr,2003,
isr,2004,
isr,2005,
isr,2006,
isr,2007,
isr,2008,
isr,2009,
isr,2010,3483080
isr,2011,3295508
isr,2012,5789614
isr,2013,6617696
isr,2014,6183934
isr,2015,4645689
isr,2016,5329270
isr,2017,4056900
isr,2018,3704424
isr,2019,3091543
isr,2020,3362959
isr,2021,2742035
isr,2022,
isr,2023,
isr,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,224194581
ita,2009,213912024
ita,2010,96862350
ita,2011,82642776
