country,year,foradl_fast_annan_serv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,213044.4
eu_three,2009,209267.6
eu_three,2010,208904.8
eu_three,2011,210815.4
eu_three,2012,209436.1
eu_three,2013,204654.3
eu_three,2014,204911.7
eu_three,2015,206104.7
eu_three,2016,204514.4
eu_three,2017,207670.5
eu_three,2018,207881.3
eu_three,2019,209514.4
eu_three,2020,182516.9
eu_three,2021,191052.7
eu_three,2022,210302.8
eu_three,2023,214673.9
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5401
bel,2009,5021.5
bel,2010,5217.8
bel,2011,5335.3
bel,2012,5139.1
bel,2013,5157.5
bel,2014,5225
bel,2015,5095
bel,2016,5096.3
bel,2017,5094.4
bel,2018,5267.9
bel,2019,5357
bel,2020,4754
bel,2021,5281.2
bel,2022,5712.7
bel,2023,5961.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,484.6
bgr,2009,601.5
bgr,2010,500.7
bgr,2011,587.3
bgr,2012,543.5
bgr,2013,542.9
bgr,2014,581.6
bgr,2015,585
bgr,2016,538.8
bgr,2017,557.8
bgr,2018,580.4
bgr,2019,562.7
bgr,2020,528.1
bgr,2021,565.5
bgr,2022,473.4
bgr,2023,406.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2057.8
cze,2009,2063.9
cze,2010,2331.5
cze,2011,2584.4
cze,2012,2198.1
cze,2013,2139.6
cze,2014,2128
cze,2015,2167
cze,2016,2144.4
cze,2017,2139.4
cze,2018,2136.9
cze,2019,2163.7
cze,2020,1843.4
cze,2021,1812.3
cze,2022,1853.4
cze,2023,1765.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4175
dnk,2009,4188.9
dnk,2010,4144.4
dnk,2011,4166.8
dnk,2012,4136.1
dnk,2013,3992.4
dnk,2014,3940.1
dnk,2015,3918.2
dnk,2016,3957.7
dnk,2017,4001
dnk,2018,3918.4
dnk,2019,4035.6
dnk,2020,4070.4
dnk,2021,4055.1
dnk,2022,4324.4
dnk,2023,4333.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,84541.6
deu,2009,81484.6
deu,2010,80369.6
deu,2011,79407.8
deu,2012,78299
deu,2013,75321.6
deu,2014,75088.8
deu,2015,74819.3
deu,2016,73024.3
deu,2017,72062.5
deu,2018,71756.2
deu,2019,72675.1
deu,2020,61262
deu,2021,63069.2
deu,2022,71578.5
deu,2023,72148.3
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,182.9
est,2009,159.6
est,2010,159.9
est,2011,171.2
est,2012,176.5
est,2013,196.2
est,2014,200.7
est,2015,206.8
est,2016,206.3
est,2017,211.2
est,2018,228
est,2019,226.9
est,2020,213.2
est,2021,239.3
est,2022,270.1
est,2023,263.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1632.1
irl,2009,1606.9
irl,2010,1487.3
irl,2011,1524.3
irl,2012,1495.2
irl,2013,1466.4
irl,2014,1475.3
irl,2015,1647.9
irl,2016,1590
irl,2017,1816.2
irl,2018,1843.2
irl,2019,1913.4
irl,2020,1501.5
irl,2021,1603.1
irl,2022,2025
irl,2023,2197.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2972.3
grc,2009,2852.6
grc,2010,2337.9
grc,2011,1982.6
grc,2012,2022.5
grc,2013,2143.8
grc,2014,2199.4
grc,2015,2129.4
grc,2016,2144.6
grc,2017,2181.8
grc,2018,2344.5
grc,2019,2486.6
grc,2020,2249.7
grc,2021,2651
grc,2022,2750.1
grc,2023,2908.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,15473
esp,2009,15699
esp,2010,15801
esp,2011,16416
esp,2012,17105
esp,2013,17336
esp,2014,17594
esp,2015,18721
esp,2016,19599
esp,2017,20352
esp,2018,20395
esp,2019,21329
esp,2020,18212
esp,2021,17673
esp,2022,20076
esp,2023,21158
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,31582.3
fra,2009,31423.4
fra,2010,32542
fra,2011,32404.8
fra,2012,32610.6
fra,2013,31782.3
fra,2014,31832.5
fra,2015,31095.6
fra,2016,31331
fra,2017,31948.5
fra,2018,31629.5
fra,2019,31985.9
fra,2020,28118.2
fra,2021,31363.4
fra,2022,33498
fra,2023,33951.2
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,635
hrv,2009,615.5
hrv,2010,593.7
hrv,2011,619.6
hrv,2012,635
hrv,2013,640.8
hrv,2014,668.1
hrv,2015,668.6
hrv,2016,701.9
hrv,2017,737.3
hrv,2018,756.5
hrv,2019,834.1
hrv,2020,738.9
hrv,2021,843.8
hrv,2022,912.3
hrv,2023,937.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,27894.1
ita,2009,28470.3
ita,2010,28774.6
ita,2011,30421.8
ita,2012,28960.9
ita,2013,28308.5
ita,2014,28053.7
ita,2015,27997
ita,2016,27500.4
ita,2017,28293.1
ita,2018,28000
ita,2019,26917.1
ita,2020,22743.3
ita,2021,24593.1
ita,2022,27129.3
ita,2023,28115.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,355.7
cyp,2009,324.9
cyp,2010,323.9
cyp,2011,287.6
cyp,2012,279.7
cyp,2013,247.6
cyp,2014,248.6
cyp,2015,263.5
cyp,2016,279.6
cyp,2017,293.2
cyp,2018,299
cyp,2019,308.2
cyp,2020,245.7
cyp,2021,287.4
cyp,2022,334.6
cyp,2023,348.2
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,219.3
lva,2009,188.3
lva,2010,186.3
lva,2011,206.2
lva,2012,241.1
lva,2013,241.1
lva,2014,253.2
lva,2015,256.2
lva,2016,272.8
lva,2017,283.6
lva,2018,295.3
lva,2019,271.4
lva,2020,235.6
lva,2021,217.5
lva,2022,247.7
lva,2023,365.6
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,439.9
ltu,2009,362.2
ltu,2010,343.4
ltu,2011,361.9
ltu,2012,387
ltu,2013,426.2
ltu,2014,435.7
ltu,2015,440.3
ltu,2016,441.9
ltu,2017,443.7
ltu,2018,447.7
ltu,2019,455.9
ltu,2020,419.5
ltu,2021,425
ltu,2022,419.4
ltu,2023,416.7
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,402.8
lux,2009,423.6
lux,2010,440.3
lux,2011,444.9
lux,2012,447.7
lux,2013,445.6
lux,2014,447.5
lux,2015,453.4
lux,2016,469.7
lux,2017,469.6
lux,2018,464
lux,2019,473
lux,2020,433.8
lux,2021,557.2
lux,2022,566.3
lux,2023,577.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1606.5
hun,2009,1611.9
hun,2010,1515.2
hun,2011,1541
hun,2012,1451.1
hun,2013,1420.3
hun,2014,1419.6
hun,2015,1382.1
hun,2016,1397.6
hun,2017,1460.1
hun,2018,1555.8
hun,2019,1652.5
hun,2020,1443.4
hun,2021,1585.2
hun,2022,2099.7
hun,2023,1900.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,94.2
mlt,2009,88.9
mlt,2010,94.2
mlt,2011,91.7
mlt,2012,94.6
mlt,2013,97.7
mlt,2014,102.6
mlt,2015,106.3
mlt,2016,107.4
mlt,2017,114.2
mlt,2018,117.4
mlt,2019,136.7
mlt,2020,107.9
mlt,2021,126.3
mlt,2022,129.5
mlt,2023,135.3
mlt,2024,144.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8595.5
nld,2009,8320.8
nld,2010,8269.4
nld,2011,8310.9
nld,2012,8197.7
nld,2013,8095.1
nld,2014,8020.4
nld,2015,8129.4
nld,2016,8207.3
nld,2017,8366.7
nld,2018,8669.5
nld,2019,8981.3
nld,2020,8245
nld,2021,8998
nld,2022,9831.4
nld,2023,10005.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
