country,year,foradl_fast_arb_form
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,116672
eu_three,2009,91664.7
eu_three,2010,105343.5
eu_three,2011,116258
eu_three,2012,111703.3
eu_three,2013,114938.5
eu_three,2014,122460.3
eu_three,2015,130409.1
eu_three,2016,134132.1
eu_three,2017,146534.2
eu_three,2018,150234
eu_three,2019,150713.7
eu_three,2020,127925.1
eu_three,2021,146389.4
eu_three,2022,156297.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5582.8
bel,2009,4995.7
bel,2010,5331.5
bel,2011,5846.5
bel,2012,5792.6
bel,2013,5756.5
bel,2014,6243.6
bel,2015,6829.7
bel,2016,7029.6
bel,2017,7404.1
bel,2018,7839.2
bel,2019,7782.1
bel,2020,6757
bel,2021,7884.7
bel,2022,7867.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,168.7
bgr,2009,138.4
bgr,2010,131.6
bgr,2011,133.2
bgr,2012,137.7
bgr,2013,158.4
bgr,2014,134.4
bgr,2015,110
bgr,2016,114.7
bgr,2017,117.9
bgr,2018,133.4
bgr,2019,132.5
bgr,2020,129.6
bgr,2021,154.5
bgr,2022,171.4
bgr,2023,186.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,392.1
cze,2009,367.6
cze,2010,284
cze,2011,305.4
cze,2012,290.3
cze,2013,314
cze,2014,273.3
cze,2015,358.8
cze,2016,364
cze,2017,434.2
cze,2018,301.5
cze,2019,246.9
cze,2020,159.3
cze,2021,167.6
cze,2022,146
cze,2023,55.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2056.6
dnk,2009,1551
dnk,2010,1560.1
dnk,2011,1790.1
dnk,2012,1844.6
dnk,2013,2064.6
dnk,2014,2290
dnk,2015,2418.4
dnk,2016,2542.5
dnk,2017,2588.3
dnk,2018,2707
dnk,2019,2826.7
dnk,2020,2636.9
dnk,2021,2941.9
dnk,2022,2906.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,25257.3
deu,2009,21054.2
deu,2010,28471.7
deu,2011,32509.1
deu,2012,31652.5
deu,2013,33886
deu,2014,35120.5
deu,2015,34998.9
deu,2016,31378.1
deu,2017,32607.5
deu,2018,30922.6
deu,2019,31264.3
deu,2020,25881
deu,2021,28295.7
deu,2022,30754.4
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,118.1
est,2009,78.2
est,2010,89.7
est,2011,133.8
est,2012,139.2
est,2013,142.1
est,2014,148.5
est,2015,144
est,2016,162.8
est,2017,194.2
est,2018,193.5
est,2019,209.9
est,2020,168.1
est,2021,216.1
est,2022,265.6
est,2023,204.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2410
irl,2009,1654.6
irl,2010,1522.5
irl,2011,1625.9
irl,2012,1651.9
irl,2013,1434.3
irl,2014,1658.3
irl,2015,1650
irl,2016,1624
irl,2017,1927.8
irl,2018,1967.4
irl,2019,2078.5
irl,2020,1980.6
irl,2021,1896
irl,2022,1977.3
irl,2023,2080.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,84.5
grc,2009,63.8
grc,2010,111.3
grc,2011,94.3
grc,2012,63.5
grc,2013,58.2
grc,2014,140.3
grc,2015,184.9
grc,2016,220.6
grc,2017,233.2
grc,2018,270.9
grc,2019,317.8
grc,2020,334.4
grc,2021,302.5
grc,2022,308.6
grc,2023,287.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4659
esp,2009,3153
esp,2010,3217
esp,2011,3309
esp,2012,3128
esp,2013,3207
esp,2014,3972
esp,2015,4581
esp,2016,5265
esp,2017,6043
esp,2018,6514
esp,2019,6590
esp,2020,5656
esp,2021,6961
esp,2022,7383
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,35243.5
fra,2009,25753.2
fra,2010,29941.7
fra,2011,31611.3
fra,2012,29434
fra,2013,29251.2
fra,2014,30213
fra,2015,31686.1
fra,2016,34011
fra,2017,37459.7
fra,2018,38905.7
fra,2019,39221.6
fra,2020,32094.8
fra,2021,37415
fra,2022,40259.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,60
hrv,2009,51.1
hrv,2010,58.6
hrv,2011,69
hrv,2012,75.3
hrv,2013,87.1
hrv,2014,91.6
hrv,2015,113.3
hrv,2016,141.4
hrv,2017,148.9
hrv,2018,158.2
hrv,2019,160.9
hrv,2020,151.3
hrv,2021,157.7
hrv,2022,78
hrv,2023,114
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7342.4
ita,2009,4285.2
ita,2010,5568.5
ita,2011,6624.4
ita,2012,5907
ita,2013,6670.4
ita,2014,7301.8
ita,2015,8470.4
ita,2016,9052.9
ita,2017,11183.3
ita,2018,12069.9
ita,2019,11990.2
ita,2020,11009.2
ita,2021,14070.7
ita,2022,15314.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,25.7
cyp,2009,37
cyp,2010,37.9
cyp,2011,35.5
cyp,2012,37.1
cyp,2013,38.2
cyp,2014,54.5
cyp,2015,51.8
cyp,2016,51
cyp,2017,50.8
cyp,2018,56.4
cyp,2019,59.3
cyp,2020,71.1
cyp,2021,75.1
cyp,2022,87.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,77.8
lva,2009,62.4
lva,2010,60.1
lva,2011,63.1
lva,2012,60.5
lva,2013,69.6
lva,2014,79.4
lva,2015,82.6
lva,2016,88.6
lva,2017,99.8
lva,2018,99.5
lva,2019,114.3
lva,2020,106.9
lva,2021,106.4
lva,2022,134.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,78.3
ltu,2009,78.7
ltu,2010,87.3
ltu,2011,99.9
ltu,2012,127.6
ltu,2013,145.3
ltu,2014,157.5
ltu,2015,191.1
ltu,2016,206.9
ltu,2017,232
ltu,2018,238.6
ltu,2019,299.8
ltu,2020,268.4
ltu,2021,302.4
ltu,2022,374
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,465.2
hun,2009,436.3
hun,2010,472.3
hun,2011,560.8
hun,2012,558.7
hun,2013,622
hun,2014,726
hun,2015,834.2
hun,2016,877.9
hun,2017,918.8
hun,2018,1031.8
hun,2019,1169.6
hun,2020,956.4
hun,2021,1138.7
hun,2022,1289.5
hun,2023,1423.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,48.1
mlt,2009,
mlt,2010,53.8
mlt,2011,57.2
mlt,2012,58.3
mlt,2013,63.8
mlt,2014,92.3
mlt,2015,130.8
mlt,2016,
mlt,2017,164.7
mlt,2018,
mlt,2019,
mlt,2020,227.8
mlt,2021,201.5
mlt,2022,236.8
mlt,2023,294.3
mlt,2024,300.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,21905.2
nld,2009,19137.5
nld,2010,18000.5
nld,2011,19270.9
nld,2012,18844.2
nld,2013,18487.4
nld,2014,19866.8
nld,2015,22381.7
nld,2016,24382.5
nld,2017,26452.1
nld,2018,27372.3
nld,2019,26563.1
nld,2020,22132
nld,2021,24512
nld,2022,25509.9
nld,2023,23569.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3319.5
aut,2009,2675.2
aut,2010,3025.7
aut,2011,3566.4
aut,2012,3534
aut,2013,3513.8
aut,2014,3646.6
aut,2015,3618.3
aut,2016,3836.3
aut,2017,4301.2
aut,2018,4555.3
aut,2019,4521.5
