country,year,foradl_fast_arki
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,173518.9
eu_three,2009,163043.6
eu_three,2010,160609.2
eu_three,2011,161707.5
eu_three,2012,158902
eu_three,2013,163543.2
eu_three,2014,160177.1
eu_three,2015,168287.9
eu_three,2016,169076.1
eu_three,2017,179324.9
eu_three,2018,184729.9
eu_three,2019,186724.6
eu_three,2020,182243.7
eu_three,2021,200125.1
eu_three,2022,206288.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4389
bel,2009,3969.3
bel,2010,3975.9
bel,2011,4134.6
bel,2012,4067.1
bel,2013,4140.8
bel,2014,4138.5
bel,2015,4213.2
bel,2016,4254.8
bel,2017,4606.6
bel,2018,4833.7
bel,2019,5101.4
bel,2020,5147.3
bel,2021,5688.1
bel,2022,6202.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,248.3
bgr,2009,273.5
bgr,2010,332.2
bgr,2011,323.8
bgr,2012,326.9
bgr,2013,336.1
bgr,2014,357.7
bgr,2015,403.3
bgr,2016,375.9
bgr,2017,350.1
bgr,2018,359.7
bgr,2019,410.4
bgr,2020,455.3
bgr,2021,522.1
bgr,2022,563
bgr,2023,551.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2294.8
cze,2009,2238.4
cze,2010,2303.4
cze,2011,2133.3
cze,2012,2315.8
cze,2013,2258.5
cze,2014,2225.7
cze,2015,2267.3
cze,2016,2355.6
cze,2017,2511.8
cze,2018,2705
cze,2019,2820.3
cze,2020,2758.3
cze,2021,3010.8
cze,2022,3329.4
cze,2023,3274.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4568.2
dnk,2009,4256.2
dnk,2010,3958.9
dnk,2011,3815.3
dnk,2012,3623.8
dnk,2013,3889.9
dnk,2014,4127.1
dnk,2015,4424.2
dnk,2016,4590.1
dnk,2017,4775.5
dnk,2018,4988.6
dnk,2019,4996.9
dnk,2020,4844.6
dnk,2021,5454.9
dnk,2022,5631.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,57330.8
deu,2009,53800
deu,2010,54632.5
deu,2011,55529.9
deu,2012,54366.8
deu,2013,56037.7
deu,2014,51078.1
deu,2015,55653.9
deu,2016,56197.1
deu,2017,60105.8
deu,2018,62343.5
deu,2019,61328
deu,2020,59043
deu,2021,63825.5
deu,2022,58310.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,218.2
est,2009,196.3
est,2010,168.8
est,2011,177.4
est,2012,160.3
est,2013,173.6
est,2014,182.6
est,2015,171.8
est,2016,186.5
est,2017,204.5
est,2018,229.3
est,2019,249.7
est,2020,248.1
est,2021,279.9
est,2022,307
est,2023,288.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2506.6
irl,2009,1954.7
irl,2010,2015.4
irl,2011,1572.8
irl,2012,1276.6
irl,2013,1616.5
irl,2014,1871.4
irl,2015,2022.3
irl,2016,2075.4
irl,2017,2323.6
irl,2018,2802.8
irl,2019,2961.7
irl,2020,3190
irl,2021,3916
irl,2022,4161
irl,2023,4089.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,3439.1
grc,2009,2973.4
grc,2010,1606.1
grc,2011,1470.4
grc,2012,1301.7
grc,2013,1211.8
grc,2014,1057.2
grc,2015,1207.3
grc,2016,1112.3
grc,2017,1067.7
grc,2018,1122.7
grc,2019,1315.2
grc,2020,1395
grc,2021,1584.4
grc,2022,1687
grc,2023,1722.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,12946
esp,2009,12982
esp,2010,11461
esp,2011,11336
esp,2012,10254
esp,2013,10682
esp,2014,11235
esp,2015,11235
esp,2016,10776
esp,2017,11593
esp,2018,12054
esp,2019,11639
esp,2020,10376
esp,2021,13252
esp,2022,15488
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,30363.4
fra,2009,27320.7
fra,2010,27993.2
fra,2011,29175.2
fra,2012,30521.6
fra,2013,31891.9
fra,2014,32028.6
fra,2015,32488.5
fra,2016,32848.9
fra,2017,35362.4
fra,2018,35909.8
fra,2019,37629.1
fra,2020,34589
fra,2021,37857.9
fra,2022,39511.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,763
hrv,2009,665.3
hrv,2010,606
hrv,2011,640.3
hrv,2012,574.4
hrv,2013,578.4
hrv,2014,570.5
hrv,2015,566.4
hrv,2016,611.1
hrv,2017,599.7
hrv,2018,636.2
hrv,2019,641.9
hrv,2020,684.8
hrv,2021,685.8
hrv,2022,956.8
hrv,2023,1106.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,20455.8
ita,2009,19699.5
ita,2010,19664.3
ita,2011,19413.1
ita,2012,18059.8
ita,2013,17742.5
ita,2014,17525
ita,2015,18191.8
ita,2016,18118.2
ita,2017,18223.2
ita,2018,17043.7
ita,2019,16452.7
ita,2020,17101.1
ita,2021,20256.7
ita,2022,23603.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,123.9
cyp,2009,118.2
cyp,2010,169.7
cyp,2011,139.1
cyp,2012,110.9
cyp,2013,71.3
cyp,2014,70.1
cyp,2015,81
cyp,2016,92.6
cyp,2017,105.8
cyp,2018,119.7
cyp,2019,121.6
cyp,2020,123
cyp,2021,132.8
cyp,2022,140
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,403.7
lva,2009,267
lva,2010,235.8
lva,2011,214.3
lva,2012,237.1
lva,2013,232.8
lva,2014,254.8
lva,2015,254.6
lva,2016,250.3
lva,2017,271
lva,2018,274.8
lva,2019,267.7
lva,2020,255.4
lva,2021,280.2
lva,2022,281.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,358.8
ltu,2009,276.6
ltu,2010,266.8
ltu,2011,261.8
ltu,2012,261.6
ltu,2013,271.3
ltu,2014,290.9
ltu,2015,302.5
ltu,2016,295.1
ltu,2017,318.6
ltu,2018,340.1
ltu,2019,345.2
ltu,2020,374.3
ltu,2021,389
ltu,2022,419.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,555.1
lux,2009,579.5
lux,2010,585.7
lux,2011,564.1
lux,2012,543.1
lux,2013,548
lux,2014,582.4
lux,2015,596
lux,2016,628.4
lux,2017,642.6
lux,2018,703.3
lux,2019,756
lux,2020,740.8
lux,2021,740.6
lux,2022,775.6
lux,2023,804.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1021.2
hun,2009,1008.6
hun,2010,950.7
hun,2011,898.7
hun,2012,903.9
hun,2013,951.4
hun,2014,1005.3
hun,2015,1063.3
hun,2016,1075.6
hun,2017,1191.2
hun,2018,1396.4
hun,2019,1541.4
hun,2020,1637.1
hun,2021,1803.8
hun,2022,2017.8
hun,2023,1950.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,64.5
mlt,2009,57.9
mlt,2010,
mlt,2011,57.4
mlt,2012,57.7
mlt,2013,59.7
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,115.4
mlt,2018,136.8
mlt,2019,167.2
mlt,2020,164.9
mlt,2021,183.2
mlt,2022,196.4
mlt,2023,216.9
mlt,2024,235.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10310.3
nld,2009,10059.6
nld,2010,9844.6
nld,2011,9691.4
nld,2012,9137.7
nld,2013,9063.4
nld,2014,9154.1
nld,2015,9605.8
nld,2016,9754
nld,2017,10310.3
nld,2018,10695.7
nld,2019,10771.5
nld,2020,11319
nld,2021,11989
nld,2022,12066.3
nld,2023,12404.5
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4798.8
aut,2009,4286.9
aut,2010,4324.9
