country,year,foradl_fast_basmet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,55230.8
eu_three,2009,45169.3
eu_three,2010,50687.5
eu_three,2011,52226.8
eu_three,2012,54578.2
eu_three,2013,57269.1
eu_three,2014,59530
eu_three,2015,61431.2
eu_three,2016,64442.2
eu_three,2017,64249.3
eu_three,2018,62240.3
eu_three,2019,60800.2
eu_three,2020,54959.2
eu_three,2021,47149.9
eu_three,2022,43409.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2633.7
bel,2009,1965.3
bel,2010,2195.6
bel,2011,2246.6
bel,2012,2224.4
bel,2013,2481.3
bel,2014,2599.6
bel,2015,2936.8
bel,2016,2709.5
bel,2017,2660.4
bel,2018,2657.9
bel,2019,2680.6
bel,2020,2210.2
bel,2021,2117.2
bel,2022,2329.7
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,520
bgr,2009,485.4
bgr,2010,415.1
bgr,2011,396.2
bgr,2012,448
bgr,2013,388
bgr,2014,391.6
bgr,2015,488.9
bgr,2016,433.9
bgr,2017,479.6
bgr,2018,542.3
bgr,2019,475.4
bgr,2020,454
bgr,2021,489.2
bgr,2022,614.6
bgr,2023,508.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1257
cze,2009,1173.4
cze,2010,1213.1
cze,2011,1362
cze,2012,1338.5
cze,2013,1545.5
cze,2014,1532.1
cze,2015,1444.3
cze,2016,1529.8
cze,2017,1344.7
cze,2018,1069.4
cze,2019,1187.6
cze,2020,1092.8
cze,2021,526.7
cze,2022,260.9
cze,2023,453.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,492.5
dnk,2009,329.5
dnk,2010,300.6
dnk,2011,368.2
dnk,2012,344.1
dnk,2013,360.6
dnk,2014,401.3
dnk,2015,496.9
dnk,2016,469.7
dnk,2017,494.8
dnk,2018,444.8
dnk,2019,451.4
dnk,2020,386.1
dnk,2021,477
dnk,2022,548.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21206.1
deu,2009,17828.9
deu,2010,17306.8
deu,2011,19494.9
deu,2012,20171
deu,2013,20379.5
deu,2014,21081.1
deu,2015,20780.1
deu,2016,20720.3
deu,2017,20865.3
deu,2018,21782.6
deu,2019,20702.2
deu,2020,18128
deu,2021,15617.3
deu,2022,14018.4
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,18.6
est,2009,7.5
est,2010,9.5
est,2011,8.7
est,2012,7
est,2013,8.8
est,2014,11.3
est,2015,10.2
est,2016,12.3
est,2017,20.4
est,2018,21.6
est,2019,25.3
est,2020,22.6
est,2021,36.6
est,2022,28.3
est,2023,29.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,189.8
irl,2009,115
irl,2010,136.6
irl,2011,168.4
irl,2012,163
irl,2013,201.2
irl,2014,224.8
irl,2015,223.8
irl,2016,259.8
irl,2017,311.5
irl,2018,332.6
irl,2019,359.9
irl,2020,290.5
irl,2021,153
irl,2022,103.2
irl,2023,152.5
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1865
grc,2009,1295.8
grc,2010,1483.2
grc,2011,1442.7
grc,2012,1114.3
grc,2013,1023.6
grc,2014,978.5
grc,2015,921.4
grc,2016,885.1
grc,2017,1052.7
grc,2018,1335.5
grc,2019,1247.6
grc,2020,1175.6
grc,2021,1188.1
grc,2022,1377.9
grc,2023,1151
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2420
esp,2009,1990
esp,2010,2248
esp,2011,2111
esp,2012,2747
esp,2013,3396
esp,2014,4363
esp,2015,5046
esp,2016,5333
esp,2017,4115
esp,2018,3884
esp,2019,3803
esp,2020,3796
esp,2021,2166
esp,2022,1546
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3635.4
fra,2009,4666.9
fra,2010,4285.7
fra,2011,4327.1
fra,2012,4122.3
fra,2013,4789.3
fra,2014,4317.6
fra,2015,4674.6
fra,2016,5171
fra,2017,5309.8
fra,2018,4285.4
fra,2019,4409.7
fra,2020,4155.3
fra,2021,2744.2
fra,2022,2501.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,46.2
hrv,2009,50.7
hrv,2010,66.5
hrv,2011,65
hrv,2012,53.3
hrv,2013,57.1
hrv,2014,61.1
hrv,2015,53.2
hrv,2016,53.6
hrv,2017,52.6
hrv,2018,61.2
hrv,2019,108.1
hrv,2020,43.9
hrv,2021,69.5
hrv,2022,123.2
hrv,2023,123.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7180.9
ita,2009,5075.4
ita,2010,6713.5
ita,2011,6809.3
ita,2012,7787.6
ita,2013,8186.7
ita,2014,8899.9
ita,2015,9059.7
ita,2016,10019.4
ita,2017,10086.9
ita,2018,8240.7
ita,2019,8185.1
ita,2020,7474.9
ita,2021,6259.8
ita,2022,6225.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,22
cyp,2009,18.4
cyp,2010,23.1
cyp,2011,23
cyp,2012,25.2
cyp,2013,20.6
cyp,2014,16.4
cyp,2015,12.8
cyp,2016,16.4
cyp,2017,17.7
cyp,2018,23.5
cyp,2019,23.9
cyp,2020,26.5
cyp,2021,35.1
cyp,2022,24.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,52
lva,2009,51.5
lva,2010,76.6
lva,2011,71
lva,2012,42.3
lva,2013,-53.2
lva,2014,-5.1
lva,2015,22.6
lva,2016,16.9
lva,2017,2.4
lva,2018,14.3
lva,2019,32.8
lva,2020,32.8
lva,2021,17.9
lva,2022,18.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,24.6
ltu,2009,22.3
ltu,2010,23.6
ltu,2011,30.7
ltu,2012,33.7
ltu,2013,35.8
ltu,2014,19.7
ltu,2015,19.2
ltu,2016,19.3
ltu,2017,22.1
ltu,2018,19
ltu,2019,12.6
ltu,2020,12.6
ltu,2021,16.9
ltu,2022,15.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1907.8
hun,2009,416.2
hun,2010,650.4
hun,2011,582.6
hun,2012,544.8
hun,2013,584.5
hun,2014,632.6
hun,2015,700.5
hun,2016,758.5
hun,2017,790.3
hun,2018,841
hun,2019,757.3
hun,2020,580
hun,2021,594.3
hun,2022,397.6
hun,2023,443.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,2.3
mlt,2011,1.6
mlt,2012,0.8
mlt,2013,0.8
mlt,2014,0.7
mlt,2015,0.5
mlt,2016,0.9
mlt,2017,1
mlt,2018,2.3
mlt,2019,3.3
mlt,2020,6.1
mlt,2021,5.2
mlt,2022,5.5
mlt,2023,5.7
mlt,2024,6.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1590.6
nld,2009,1271.5
nld,2010,1473.8
nld,2011,1397.1
nld,2012,1503.8
nld,2013,1539.7
nld,2014,1652.5
nld,2015,1532.3
nld,2016,1704.1
nld,2017,1791.5
nld,2018,1860.4
nld,2019,1754.4
nld,2020,1666
nld,2021,1890
nld,2022,1759.7
nld,2023,1403.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,6556.7
aut,2009,3120.3
aut,2010,3848
aut,2011,3965.2
aut,2012,4291.4
aut,2013,4174.9
aut,2014,4324.2
aut,2015,4575.3
aut,2016,4357.9
aut,2017,4383.1
aut,2018,4338.3
