country,year,foradl_fast_bygg
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,800303.2
eu_three,2009,752798.7
eu_three,2010,708271.9
eu_three,2011,693458.1
eu_three,2012,656996.8
eu_three,2013,637862.9
eu_three,2014,633930.7
eu_three,2015,643968.3
eu_three,2016,649710.8
eu_three,2017,664151.8
eu_three,2018,681614.4
eu_three,2019,691025.1
eu_three,2020,659344.4
eu_three,2021,684257.2
eu_three,2022,686750.3
eu_three,2023,697104.7
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,21269
bel,2009,20882.5
bel,2010,20830.2
bel,2011,21855
bel,2012,21714.4
bel,2013,21385.6
bel,2014,21548.3
bel,2015,21785.2
bel,2016,21800.3
bel,2017,21646.4
bel,2018,22485
bel,2019,23070.1
bel,2020,21673.2
bel,2021,23705.3
bel,2022,23684.8
bel,2023,23601
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3492.8
bgr,2009,3729
bgr,2010,3032.4
bgr,2011,2912
bgr,2012,2781.2
bgr,2013,2606.1
bgr,2014,2553.8
bgr,2015,2642.9
bgr,2016,2433.9
bgr,2017,2531.9
bgr,2018,2554.1
bgr,2019,2573
bgr,2020,2571.1
bgr,2021,2293
bgr,2022,2414.7
bgr,2023,2506.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,12140.2
cze,2009,12603.5
cze,2010,13029.1
cze,2011,12380.6
cze,2012,11729.3
cze,2013,11896.3
cze,2014,12555.5
cze,2015,12711.2
cze,2016,12101.4
cze,2017,12169.6
cze,2018,12230.2
cze,2019,11971.2
cze,2020,11049.4
cze,2021,10757.5
cze,2022,10171.8
cze,2023,9925.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,14077.2
dnk,2009,12791.7
dnk,2010,11237.9
dnk,2011,11601.7
dnk,2012,11866.1
dnk,2013,12081.8
dnk,2014,12457.5
dnk,2015,13731.2
dnk,2016,14871.7
dnk,2017,15503.6
dnk,2018,15022.9
dnk,2019,14525.5
dnk,2020,14659.9
dnk,2021,15670.3
dnk,2022,15958
dnk,2023,16759.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,147474
deu,2009,144405.8
deu,2010,149903.6
deu,2011,155074.3
deu,2012,153828.4
deu,2013,152535.7
deu,2014,154716.1
deu,2015,150900.4
deu,2016,153423.4
deu,2017,155354.6
deu,2018,158734.3
deu,2019,153283.2
deu,2020,155744
deu,2021,150199.5
deu,2022,133379.2
deu,2023,132366.8
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1399.9
est,2009,916.1
est,2010,873.2
est,2011,1126.6
est,2012,1222.5
est,2013,1172.4
est,2014,1101.3
est,2015,1105.4
est,2016,1237.7
est,2017,1356.9
est,2018,1488.4
est,2019,1561
est,2020,1675.1
est,2021,1764.9
est,2022,1724.4
est,2023,1611.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,13022.8
irl,2009,9476.2
irl,2010,7001.5
irl,2011,7437.8
irl,2012,5896.9
irl,2013,6946.5
irl,2014,7234.3
irl,2015,7533.5
irl,2016,7995.9
irl,2017,8728.8
irl,2018,9497.1
irl,2019,9947.3
irl,2020,8725.5
irl,2021,9442.1
irl,2022,9803.8
irl,2023,9522
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,7733
grc,2009,7307.4
grc,2010,5793.8
grc,2011,4137.2
grc,2012,3056.2
grc,2013,3243.9
grc,2014,2395
grc,2015,2807.4
grc,2016,2887.6
grc,2017,2028.8
grc,2018,2451.1
grc,2019,2647.2
grc,2020,2374.4
grc,2021,3095
grc,2022,3183
grc,2023,3538.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,114043
esp,2009,104294
esp,2010,88359
esp,2011,76662
esp,2012,69224
esp,2013,62252
esp,2014,62040
esp,2015,65739
esp,2016,68062
esp,2017,69238
esp,2018,71346
esp,2019,74683
esp,2020,63700
esp,2021,63050
esp,2022,68835
esp,2023,70308
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,144785.8
fra,2009,136201.4
fra,2010,132237.7
fra,2011,130677.9
fra,2012,124058.7
fra,2013,125152
fra,2014,122216.8
fra,2015,121684.6
fra,2016,119754.8
fra,2017,122391.7
fra,2018,122583.6
fra,2019,126099.3
fra,2020,116007
fra,2021,122587.4
fra,2022,118786.3
fra,2023,121083.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3469.7
hrv,2009,3102.8
hrv,2010,2366.9
hrv,2011,2174.6
hrv,2012,1847.9
hrv,2013,1824.7
hrv,2014,1758.5
hrv,2015,1826.3
hrv,2016,1944.9
hrv,2017,1995.8
hrv,2018,2201
hrv,2019,2496.6
hrv,2020,2560.7
hrv,2021,2946.5
hrv,2022,3169.1
hrv,2023,3336.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,105236.1
ita,2009,96168.6
ita,2010,90595.4
ita,2011,87154.4
ita,2012,79706.7
ita,2013,74015.4
ita,2014,67921.6
ita,2015,66504.5
ita,2016,66849.6
ita,2017,67458.3
ita,2018,68209.4
ita,2019,70241.4
ita,2020,65962.9
ita,2021,80379.6
ita,2022,93584.7
ita,2023,99822.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1649.5
cyp,2009,1355.7
cyp,2010,1251.3
cyp,2011,1162.7
cyp,2012,985.5
cyp,2013,793.5
cyp,2014,687.6
cyp,2015,660.5
cyp,2016,796.5
cyp,2017,965.6
cyp,2018,1137.4
cyp,2019,1300.4
cyp,2020,1229.1
cyp,2021,1243.2
cyp,2022,1141.7
cyp,2023,1173.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,2608.1
lva,2009,1627.6
lva,2010,1024.2
lva,2011,1256.7
lva,2012,1400.5
lva,2013,1455.1
lva,2014,1511.4
lva,2015,1511.8
lva,2016,1357.9
lva,2017,1567.4
lva,2018,1761.6
lva,2019,1784.1
lva,2020,1681
lva,2021,1451.3
lva,2022,1389
lva,2023,1679.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,3862.8
ltu,2009,2099.7
ltu,2010,1991
ltu,2011,2394.8
ltu,2012,2299.2
ltu,2013,2492.2
ltu,2014,2822.4
ltu,2015,2818.4
ltu,2016,2618.2
ltu,2017,2756.4
ltu,2018,3043.6
ltu,2019,3280.6
ltu,2020,3277
ltu,2021,3384.5
ltu,2022,3393.6
ltu,2023,3732.4
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2834.3
lux,2009,2676.5
lux,2010,2815.2
lux,2011,2777.8
lux,2012,2842.3
lux,2013,2852.6
lux,2014,2995.9
lux,2015,3054.6
lux,2016,3246.8
lux,2017,3195
lux,2018,3247.9
lux,2019,3548.8
lux,2020,3327.1
lux,2021,3161
lux,2022,2341.6
lux,2023,2398.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5264.4
hun,2009,5060.8
hun,2010,4528.9
hun,2011,4629.2
hun,2012,4402.4
hun,2013,4696.3
hun,2014,5097.1
hun,2015,5423.4
hun,2016,4614.3
hun,2017,5596.2
hun,2018,6428.5
hun,2019,7358.5
hun,2020,6698
hun,2021,7364.7
hun,2022,7604.4
hun,2023,6972.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,324.7
mlt,2009,308.3
mlt,2010,356.3
mlt,2011,349.1
mlt,2012,339.8
mlt,2013,353.1
mlt,2014,344
mlt,2015,385.8
mlt,2016,395.7
mlt,2017,457.8
mlt,2018,508
mlt,2019,629.3
mlt,2020,602.6
mlt,2021,672.7
mlt,2022,645.6
mlt,2023,636.3
mlt,2024,675.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,37404.3
nld,2009,35683.4
nld,2010,31506.4
nld,2011,31777.5
nld,2012,29088.5
nld,2013,27269.4
nld,2014,27971.4
nld,2015,29661.9
nld,2016,32556.8
nld,2017,34979.6
