country,year,foradl_fast_dataprog
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,195687.6
eu_three,2009,194030.9
eu_three,2010,199002.5
eu_three,2011,215638.4
eu_three,2012,226825
eu_three,2013,240454.2
eu_three,2014,250800.2
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5989.9
bel,2009,6165.8
bel,2010,6262.5
bel,2011,6973.5
bel,2012,7323
bel,2013,7117.3
bel,2014,7296.3
bel,2015,7660.4
bel,2016,8171.8
bel,2017,8910.3
bel,2018,9573.3
bel,2019,10517.5
bel,2020,10765.4
bel,2021,12042.2
bel,2022,12703.6
bel,2023,13515.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,850.9
bgr,2009,932.4
bgr,2010,1248.8
bgr,2011,1372.2
bgr,2012,1369.1
bgr,2013,1367.1
bgr,2014,1365
bgr,2015,1390.1
bgr,2016,1817.1
bgr,2017,1992.2
bgr,2018,2248.8
bgr,2019,2794.1
bgr,2020,3078.5
bgr,2021,3449.3
bgr,2022,3155.1
bgr,2023,3321.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3426.6
cze,2009,3409.3
cze,2010,3538.5
cze,2011,3883.8
cze,2012,3909.9
cze,2013,3940.2
cze,2014,4038.1
cze,2015,4455.1
cze,2016,4771.4
cze,2017,5297.7
cze,2018,6127.3
cze,2019,7349.5
cze,2020,7586
cze,2021,8673.7
cze,2022,9361.5
cze,2023,9718.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3970.8
dnk,2009,4370.7
dnk,2010,4654.7
dnk,2011,4199.7
dnk,2012,4221.3
dnk,2013,4605.2
dnk,2014,4659.6
dnk,2015,4937
dnk,2016,5335.9
dnk,2017,5548
dnk,2018,5655.7
dnk,2019,6418.7
dnk,2020,6916.6
dnk,2021,7657.3
dnk,2022,8109.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,46311.8
deu,2009,45230.1
deu,2010,45919.3
deu,2011,54343.1
deu,2012,58602.9
deu,2013,64738.8
deu,2014,68625.3
deu,2015,69582.5
deu,2016,74713.4
deu,2017,78934.8
deu,2018,90287.8
deu,2019,95217.7
deu,2020,95725
deu,2021,112476.9
deu,2022,118210.8
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,388.1
est,2009,357.1
est,2010,378.6
est,2011,437.4
est,2012,514.1
est,2013,546.7
est,2014,570.9
est,2015,637
est,2016,717.1
est,2017,840.5
est,2018,982.8
est,2019,1083.2
est,2020,1242.8
est,2021,1192.5
est,2022,1398.7
est,2023,1285.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5306.6
irl,2009,4839.1
irl,2010,4898.8
irl,2011,4661.6
irl,2012,5445.4
irl,2013,6179.8
irl,2014,7237.1
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,737.6
grc,2009,752.9
grc,2010,919.3
grc,2011,847.3
grc,2012,903.1
grc,2013,1044.2
grc,2014,1100.1
grc,2015,1130.2
grc,2016,1093.8
grc,2017,1265.5
grc,2018,1280.1
grc,2019,1457
grc,2020,1621.9
grc,2021,1947.8
grc,2022,2149
grc,2023,2410.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,14096
esp,2009,14244
esp,2010,13503
esp,2011,13885
esp,2012,13983
esp,2013,14581
esp,2014,14955
esp,2015,15296
esp,2016,15655
esp,2017,17163
esp,2018,18700
esp,2019,20638
esp,2020,20369
esp,2021,23232
esp,2022,27248
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,44459.2
fra,2009,43025.6
fra,2010,44361.9
fra,2011,45456.2
fra,2012,47456.1
fra,2013,47576
fra,2014,48758.6
fra,2015,50752.1
fra,2016,53670
fra,2017,57857.8
fra,2018,62260.1
fra,2019,66855.5
fra,2020,66962.1
fra,2021,73850.1
fra,2022,79534.9
fra,2023,84200.6
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,511
hrv,2009,524.5
hrv,2010,569.7
hrv,2011,624.6
hrv,2012,618.1
hrv,2013,677.7
hrv,2014,702.7
hrv,2015,722.6
hrv,2016,752.5
hrv,2017,818.7
hrv,2018,918.8
hrv,2019,910
hrv,2020,1165.8
hrv,2021,1307.4
hrv,2022,1658.3
hrv,2023,1666.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,27975
ita,2009,28451.6
ita,2010,27993.1
ita,2011,28870.7
ita,2012,28325.1
ita,2013,29338.3
ita,2014,29500.1
ita,2015,29806.7
ita,2016,30884.2
ita,2017,31922.1
ita,2018,32642
ita,2019,31929.6
ita,2020,30341.2
ita,2021,35543.8
ita,2022,37427.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,127.2
cyp,2009,105
cyp,2010,142.9
cyp,2011,156.6
cyp,2012,147.2
cyp,2013,174.3
cyp,2014,170.1
cyp,2015,209.3
cyp,2016,328.8
cyp,2017,452.7
cyp,2018,513.5
cyp,2019,624.9
cyp,2020,692
cyp,2021,810.6
cyp,2022,1266.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,578.4
lva,2009,476.7
lva,2010,452.8
lva,2011,493.4
lva,2012,623.1
lva,2013,707.5
lva,2014,695.9
lva,2015,742.7
lva,2016,813.5
lva,2017,918.5
lva,2018,994.6
lva,2019,1100.8
lva,2020,1130.7
lva,2021,1292.6
lva,2022,1384.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,300.3
ltu,2009,314.1
ltu,2010,367.3
ltu,2011,414.6
ltu,2012,451.5
ltu,2013,511.5
ltu,2014,542.2
ltu,2015,646.6
ltu,2016,701.7
ltu,2017,779.3
ltu,2018,903.3
ltu,2019,1069.2
ltu,2020,1189.6
ltu,2021,1305.5
ltu,2022,1636.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1266.6
hun,2009,1381.5
hun,2010,1430.6
hun,2011,1580.4
hun,2012,1693.4
hun,2013,1795.7
hun,2014,1995
hun,2015,2102
hun,2016,2292.3
hun,2017,2481.4
hun,2018,2857
hun,2019,3212.1
hun,2020,3489.7
hun,2021,4245.9
hun,2022,4662.7
hun,2023,4937.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,958.3
mlt,2021,1197.2
mlt,2022,1433
mlt,2023,1400.8
mlt,2024,1412.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,13523.9
nld,2009,13221.5
nld,2010,13390.3
nld,2011,14469.7
nld,2012,15313.9
nld,2013,16321.8
nld,2014,16982.7
nld,2015,18245
nld,2016,19802.1
nld,2017,20364.5
nld,2018,21090.1
nld,2019,21839.1
nld,2020,24023
nld,2021,25400
nld,2022,29422.5
nld,2023,29981.8
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4461.1
aut,2009,4331.8
aut,2010,4410.4
aut,2011,5216.9
aut,2012,5283.5
aut,2013,5566.4
aut,2014,5855.2
aut,2015,5946.9
aut,2016,6430.3
aut,2017,6660
aut,2018,7403.3
