country,year,foradl_fast_dator
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,85471.7
eu_three,2009,71496.4
eu_three,2010,80469.4
eu_three,2011,85937
eu_three,2012,83844.8
eu_three,2013,86219.5
eu_three,2014,88792.1
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1819.3
bel,2009,1166
bel,2010,1237.6
bel,2011,1351.3
bel,2012,1393.2
bel,2013,1329.2
bel,2014,1357.2
bel,2015,1291.7
bel,2016,1467.1
bel,2017,1549.9
bel,2018,1455
bel,2019,1555.4
bel,2020,1335.3
bel,2021,1359.9
bel,2022,1570.5
bel,2023,1691
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,333.3
bgr,2009,236.3
bgr,2010,102.3
bgr,2011,129.7
bgr,2012,150.6
bgr,2013,116.9
bgr,2014,181.6
bgr,2015,199.5
bgr,2016,215.3
bgr,2017,274.2
bgr,2018,315.4
bgr,2019,261.3
bgr,2020,289.3
bgr,2021,441.7
bgr,2022,485.7
bgr,2023,414.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1380.2
cze,2009,1185.4
cze,2010,1697
cze,2011,1901.8
cze,2012,2019.2
cze,2013,1877.6
cze,2014,1989.7
cze,2015,2206.5
cze,2016,2362.1
cze,2017,2690.4
cze,2018,2926.1
cze,2019,2735.6
cze,2020,2887
cze,2021,2203.1
cze,2022,2945.4
cze,2023,3110.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1913.4
dnk,2009,1769.1
dnk,2010,1994
dnk,2011,2057.5
dnk,2012,2079.4
dnk,2013,2152.4
dnk,2014,2114.1
dnk,2015,2127.8
dnk,2016,2182.7
dnk,2017,2558.9
dnk,2018,2536
dnk,2019,2602.4
dnk,2020,2299.4
dnk,2021,2871.2
dnk,2022,2839.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,26986.8
deu,2009,21909.4
deu,2010,26394.7
deu,2011,31542.8
deu,2012,32554.8
deu,2013,33522.5
deu,2014,35276.9
deu,2015,38520.4
deu,2016,40928.8
deu,2017,41154.2
deu,2018,44738
deu,2019,45122.4
deu,2020,44190
deu,2021,49037.6
deu,2022,51613.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,88.6
est,2009,69.7
est,2010,99
est,2011,162.4
est,2012,141.8
est,2013,146.3
est,2014,161.2
est,2015,164.5
est,2016,160.2
est,2017,125
est,2018,139.7
est,2019,227.6
est,2020,248.1
est,2021,178.3
est,2022,198.6
est,2023,181.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,13518.5
irl,2009,8872.3
irl,2010,6348.6
irl,2011,5044.9
irl,2012,5490.6
irl,2013,4527.8
irl,2014,4486.1
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,212.3
grc,2009,155.1
grc,2010,223.3
grc,2011,160.2
grc,2012,192.4
grc,2013,165.5
grc,2014,177.4
grc,2015,179.1
grc,2016,201.7
grc,2017,214.3
grc,2018,241.5
grc,2019,226.1
grc,2020,272.9
grc,2021,454.7
grc,2022,515.4
grc,2023,539.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2275
esp,2009,2040
esp,2010,1847
esp,2011,1917
esp,2012,1847
esp,2013,1809
esp,2014,1637
esp,2015,1582
esp,2016,1556
esp,2017,1693
esp,2018,1819
esp,2019,1940
esp,2020,1715
esp,2021,2020
esp,2022,2225
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,6722.1
fra,2009,6278.8
fra,2010,7598.8
fra,2011,7905.4
fra,2012,8287.5
fra,2013,9112.7
fra,2014,9316.9
fra,2015,9182.5
fra,2016,9298.7
fra,2017,9554.4
fra,2018,9909
fra,2019,10782.4
fra,2020,10123.2
fra,2021,11177.8
fra,2022,11997.8
fra,2023,12852.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,195.1
hrv,2009,161.9
hrv,2010,157.5
hrv,2011,149.2
hrv,2012,123.4
hrv,2013,114.5
hrv,2014,111.9
hrv,2015,121.6
hrv,2016,149.5
hrv,2017,146.6
hrv,2018,160.5
hrv,2019,135.8
hrv,2020,208
hrv,2021,162.9
hrv,2022,185.8
hrv,2023,163.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,11293.3
ita,2009,9794.4
ita,2010,10679.9
ita,2011,10249.5
ita,2012,9923.8
ita,2013,9212
ita,2014,9037
ita,2015,9264.1
ita,2016,8630
ita,2017,8783.2
ita,2018,8916
ita,2019,9056.1
ita,2020,8915.4
ita,2021,10253.1
ita,2022,10890.4
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,3.9
cyp,2009,2.8
cyp,2010,1.4
cyp,2011,1.4
cyp,2012,2
cyp,2013,12.7
cyp,2014,19.9
cyp,2015,26.9
cyp,2016,9.1
cyp,2017,15.5
cyp,2018,35.5
cyp,2019,37.8
cyp,2020,33.9
cyp,2021,48.5
cyp,2022,18.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,55
lva,2009,37.6
lva,2010,39
lva,2011,61.2
lva,2012,49.2
lva,2013,77.9
lva,2014,61.8
lva,2015,155.8
lva,2016,154.4
lva,2017,176.2
lva,2018,131.8
lva,2019,105.3
lva,2020,152.8
lva,2021,221.9
lva,2022,224.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,113.3
ltu,2009,130
ltu,2010,142
ltu,2011,131.7
ltu,2012,125.6
ltu,2013,117.5
ltu,2014,130.6
ltu,2015,152
ltu,2016,166.4
ltu,2017,213.8
ltu,2018,207.8
ltu,2019,253.3
ltu,2020,269.7
ltu,2021,411.1
ltu,2022,408.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1502.1
hun,2009,1227
hun,2010,1258.7
hun,2011,1953.5
hun,2012,1582.2
hun,2013,1707.1
hun,2014,1869.1
hun,2015,2015
hun,2016,2233.1
hun,2017,2429.9
hun,2018,2116.3
hun,2019,2218.8
hun,2020,2079.3
hun,2021,2167.7
hun,2022,2303.1
hun,2023,2475.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4657.9
nld,2009,4138.8
nld,2010,4003.6
nld,2011,4374.3
nld,2012,4648.2
nld,2013,5131.7
nld,2014,5579.6
nld,2015,5229
nld,2016,5085
nld,2017,5263.7
nld,2018,5539
nld,2019,5483.6
nld,2020,5219
nld,2021,5824
nld,2022,6865.2
nld,2023,6433.2
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2588.4
aut,2009,2402
aut,2010,2501.7
aut,2011,2993.7
aut,2012,3058.7
aut,2013,3249.9
aut,2014,3214.2
aut,2015,3105.1
aut,2016,3445.2
aut,2017,3667.8
aut,2018,4086.7
aut,2019,4267.7
aut,2020,3952
aut,2021,4615.3
aut,2022,5128
aut,2023,4974.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
