country,year,foradl_fast_fastighet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1242779.5
eu_three,2009,1254787.9
eu_three,2010,1259238.6
eu_three,2011,1287834.1
eu_three,2012,1291879.6
eu_three,2013,1313271.7
eu_three,2014,1327490.3
eu_three,2015,1343528.4
eu_three,2016,1355516.7
eu_three,2017,1370203
eu_three,2018,1385231.6
eu_three,2019,1407876.4
eu_three,2020,1399142.1
eu_three,2021,1430625.9
eu_three,2022,1471980.5
eu_three,2023,1506259.9
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,31065.2
bel,2009,31456
bel,2010,33306.9
bel,2011,35446.4
bel,2012,36262.2
bel,2013,36906.2
bel,2014,37309.3
bel,2015,37667.8
bel,2016,38385.6
bel,2017,39526.5
bel,2018,40328.2
bel,2019,41422.3
bel,2020,41434.3
bel,2021,43134.7
bel,2022,46326.3
bel,2023,47165.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3817.7
bgr,2009,3864.6
bgr,2010,4004.2
bgr,2011,4002.3
bgr,2012,4117.1
bgr,2013,4023.9
bgr,2014,4108.8
bgr,2015,4203.4
bgr,2016,4442.3
bgr,2017,4763
bgr,2018,5276.8
bgr,2019,5573.2
bgr,2020,5217.1
bgr,2021,5582.4
bgr,2022,5793
bgr,2023,6257.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,22103
cze,2009,21862.9
cze,2010,22736.4
cze,2011,23695.7
cze,2012,24131.4
cze,2013,24631.3
cze,2014,25613.3
cze,2015,25527.7
cze,2016,26109
cze,2017,24890.7
cze,2018,25007.7
cze,2019,25218
cze,2020,24752.3
cze,2021,24821.3
cze,2022,25476.1
cze,2023,25821.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,25160.1
dnk,2009,26270.2
dnk,2010,27196.1
dnk,2011,28095.1
dnk,2012,27822.4
dnk,2013,27503.5
dnk,2014,28157.2
dnk,2015,28917.2
dnk,2016,28899.6
dnk,2017,29600.6
dnk,2018,30107.5
dnk,2019,30824.3
dnk,2020,31010.1
dnk,2021,31793.7
dnk,2022,31962.9
dnk,2023,32330.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,306954.7
deu,2009,313519.7
deu,2010,309587.4
deu,2011,323550.5
deu,2012,315985.8
deu,2013,325683.3
deu,2014,328282.6
deu,2015,333381.3
deu,2016,335780.7
deu,2017,335780.7
deu,2018,334114.4
deu,2019,333481.3
deu,2020,333248
deu,2021,341079.3
deu,2022,347677.6
deu,2023,350843.5
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1984.6
est,2009,1877.5
est,2010,1867.5
est,2011,1984.6
est,2012,2161.6
est,2013,2313.8
est,2014,2430.4
est,2015,2569.4
est,2016,2656
est,2017,2800.2
est,2018,2757.5
est,2019,2819.2
est,2020,2892.2
est,2021,3007.3
est,2022,2922.9
est,2023,3055.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,20877.2
irl,2009,19184.9
irl,2010,18203.2
irl,2011,18439.1
irl,2012,18606.7
irl,2013,18753.6
irl,2014,19278.9
irl,2015,19433.8
irl,2016,19171.9
irl,2017,19757.9
irl,2018,20044.8
irl,2019,20510.9
irl,2020,20371.4
irl,2021,22881
irl,2022,23893.4
irl,2023,26487.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,24765.9
grc,2009,24695.1
grc,2010,24485.6
grc,2011,23787.4
grc,2012,22422
grc,2013,22971.5
grc,2014,24256.2
grc,2015,26029.6
grc,2016,25910
grc,2017,26499.1
grc,2018,26842.5
grc,2019,29193.7
grc,2020,27003.8
grc,2021,28535.7
grc,2022,29165.4
grc,2023,30642.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,107877
esp,2009,112670
esp,2010,115494
esp,2011,118989
esp,2012,122087
esp,2013,125423
esp,2014,126104
esp,2015,125394
esp,2016,126351
esp,2017,128693
esp,2018,132361
esp,2019,134345
esp,2020,134806
esp,2021,138473
esp,2022,145866
esp,2023,150611
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,269427.4
fra,2009,270003.8
fra,2010,275298.7
fra,2011,275090
fra,2012,280025.9
fra,2013,285741.1
fra,2014,289569.7
fra,2015,290853.9
fra,2016,292991.5
fra,2017,295142.3
fra,2018,298390.7
fra,2019,302730.6
fra,2020,303856.6
fra,2021,309241.5
fra,2022,314326.1
fra,2023,316224.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,4063
hrv,2009,4076.9
hrv,2010,4105.1
hrv,2011,4123.3
hrv,2012,4142.8
hrv,2013,4082.1
hrv,2014,4083
hrv,2015,4124.5
hrv,2016,4154.2
hrv,2017,4164.8
hrv,2018,4183.1
hrv,2019,4283
hrv,2020,4146.8
hrv,2021,4242.1
hrv,2022,4486.7
hrv,2023,4671.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,213223.3
ita,2009,213012.6
ita,2010,209601.1
ita,2011,213152.4
ita,2012,212083.9
ita,2013,209844.5
ita,2014,210996.2
ita,2015,214945.3
ita,2016,215139.1
ita,2017,216092.8
ita,2018,218059.7
ita,2019,220192.3
ita,2020,213196.5
ita,2021,214775.1
ita,2022,221535.4
ita,2023,232530.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1482.2
cyp,2009,1534.9
cyp,2010,1582.1
cyp,2011,1708.9
cyp,2012,1744
cyp,2013,1696.9
cyp,2014,1582.7
cyp,2015,1616.5
cyp,2016,1722.4
cyp,2017,1740.1
cyp,2018,1932.9
cyp,2019,2114.4
cyp,2020,2147.8
cyp,2021,2290.9
cyp,2022,2514.5
cyp,2023,2540.2
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1324.6
lva,2009,1705.9
lva,2010,1785.9
lva,2011,1986.5
lva,2012,2103.7
lva,2013,2191.7
lva,2014,2337.1
lva,2015,2179.9
lva,2016,2244.8
lva,2017,2179.7
lva,2018,2271.9
lva,2019,2234.2
lva,2020,2224
lva,2021,2424.7
lva,2022,2532.8
lva,2023,2625.1
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2536.3
ltu,2009,2442
ltu,2010,2353.7
ltu,2011,2377
ltu,2012,2453.3
ltu,2013,2507.3
ltu,2014,2575.5
ltu,2015,2646.4
ltu,2016,2703.3
ltu,2017,2722.4
ltu,2018,2905.4
ltu,2019,2925.7
ltu,2020,3023.5
ltu,2021,3113.8
ltu,2022,3249
ltu,2023,3258.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3401.8
lux,2009,3391.4
lux,2010,3475.2
lux,2011,3477.1
lux,2012,3651
lux,2013,4095.9
lux,2014,4205.5
lux,2015,4319.6
lux,2016,4418.1
lux,2017,4560.9
lux,2018,4684.2
lux,2019,4802.8
lux,2020,4750.8
lux,2021,4905.7
lux,2022,4864.2
lux,2023,5041.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,9192.4
hun,2009,9423.3
hun,2010,10339.7
hun,2011,10750
hun,2012,10688.2
hun,2013,10825
hun,2014,10811.9
hun,2015,10710
hun,2016,10990.5
hun,2017,11207.7
hun,2018,11754.9
hun,2019,12129
hun,2020,12241.5
hun,2021,12429.3
hun,2022,13668.7
hun,2023,14366.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,485.9
mlt,2009,514.1
mlt,2010,547.8
mlt,2011,570.6
mlt,2012,607.8
mlt,2013,662.1
mlt,2014,674.1
mlt,2015,769.8
mlt,2016,837
mlt,2017,935.4
mlt,2018,966.5
mlt,2019,1053.3
mlt,2020,919.8
mlt,2021,1064.3
mlt,2022,1042.9
mlt,2023,1284.7
mlt,2024,1377.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,42713.5
nld,2009,42708
nld,2010,44066.4
nld,2011,43924.8
nld,2012,44247.5
nld,2013,44824
nld,2014,45515.8
nld,2015,45966.9
