country,year,foradl_fast_finans_ej_forsakring
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,328364.1
eu_three,2009,321776.9
eu_three,2010,331270.4
eu_three,2011,334644.8
eu_three,2012,332897.1
eu_three,2013,332687.2
eu_three,2014,337968.8
eu_three,2015,341414.6
eu_three,2016,339902.8
eu_three,2017,338376.9
eu_three,2018,341150.1
eu_three,2019,350606
eu_three,2020,360271.1
eu_three,2021,378400.3
eu_three,2022,385119.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,12278.1
bel,2009,13438.4
bel,2010,13740
bel,2011,13344.8
bel,2012,14551.9
bel,2013,14097.3
bel,2014,14816.1
bel,2015,15519.3
bel,2016,16049
bel,2017,16336.4
bel,2018,16578.2
bel,2019,17465.4
bel,2020,17163.7
bel,2021,17676.7
bel,2022,16393.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1910.9
bgr,2009,2230.1
bgr,2010,2698.2
bgr,2011,2631.5
bgr,2012,2483.2
bgr,2013,2203.6
bgr,2014,2234.5
bgr,2015,2025.4
bgr,2016,2052
bgr,2017,2093.4
bgr,2018,2092.5
bgr,2019,2066.2
bgr,2020,2021.7
bgr,2021,3022.3
bgr,2022,2895.3
bgr,2023,2932.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2870.8
cze,2009,3341.2
cze,2010,3472.5
cze,2011,3459.6
cze,2012,3625.6
cze,2013,3845.4
cze,2014,3714.4
cze,2015,3995
cze,2016,4267.8
cze,2017,4922.2
cze,2018,5223.9
cze,2019,5489.3
cze,2020,5889.4
cze,2021,6194.2
cze,2022,6391.7
cze,2023,5593.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,12811.2
dnk,2009,12061.8
dnk,2010,11230.5
dnk,2011,10292.1
dnk,2012,10320.2
dnk,2013,10290.5
dnk,2014,9928.8
dnk,2015,9217
dnk,2016,9269.6
dnk,2017,9434.7
dnk,2018,9609.5
dnk,2019,9409.8
dnk,2020,10201.1
dnk,2021,10475.1
dnk,2022,8765.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,63920.3
deu,2009,57580.3
deu,2010,61197.7
deu,2011,64249.2
deu,2012,66880
deu,2013,68218.4
deu,2014,69036.7
deu,2015,71124.5
deu,2016,69878
deu,2017,68386.6
deu,2018,66780.6
deu,2019,71461
deu,2020,76478
deu,2021,79590.7
deu,2022,81800.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1237.1
est,2009,1119.2
est,2010,953.8
est,2011,905
est,2012,775.1
est,2013,651
est,2014,683.5
est,2015,728.8
est,2016,746.1
est,2017,788.5
est,2018,812.4
est,2019,882.9
est,2020,903.3
est,2021,978.8
est,2022,873.2
est,2023,823.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,16601
irl,2009,15464.4
irl,2010,17072.2
irl,2011,16972
irl,2012,13442.6
irl,2013,11490.4
irl,2014,11824.4
irl,2015,11295
irl,2016,8840.5
irl,2017,7988.2
irl,2018,8458.4
irl,2019,8057.3
irl,2020,8934.8
irl,2021,10933.7
irl,2022,9867.2
irl,2023,8467.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,8534.8
grc,2009,9407
grc,2010,8405.3
grc,2011,7362
grc,2012,4656.8
grc,2013,5435.2
grc,2014,6585.1
grc,2015,6688.4
grc,2016,7674.6
grc,2017,7588.4
grc,2018,7003
grc,2019,6662.7
grc,2020,6523.1
grc,2021,6594.8
grc,2022,6677.5
grc,2023,7030.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,43475
esp,2009,42291
esp,2010,40973
esp,2011,38700
esp,2012,35254
esp,2013,32364
esp,2014,30913
esp,2015,29680
esp,2016,29268
esp,2017,29980
esp,2018,30669
esp,2019,31605
esp,2020,32772
esp,2021,33421
esp,2022,32156
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,35820.7
fra,2009,36176.4
fra,2010,37242.2
fra,2011,39036.6
fra,2012,40130
fra,2013,40525.1
fra,2014,41267.7
fra,2015,41186.4
fra,2016,41538.8
fra,2017,41510.5
fra,2018,44106.6
fra,2019,44945.2
fra,2020,48194.1
fra,2021,52211.7
fra,2022,54807
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1911.4
hrv,2009,1938.9
hrv,2010,2121.9
hrv,2011,2175.1
hrv,2012,2051.9
hrv,2013,2027.9
hrv,2014,2052.6
hrv,2015,2092.8
hrv,2016,2108.2
hrv,2017,2135.1
hrv,2018,1967.4
hrv,2019,1940.9
hrv,2020,1703.9
hrv,2021,1932.1
hrv,2022,1944.5
hrv,2023,2089
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,45848.1
ita,2009,45306.5
ita,2010,47415.6
ita,2011,48544.3
ita,2012,50522.8
ita,2013,51329.4
ita,2014,52050.1
ita,2015,50922.1
ita,2016,50299.4
ita,2017,49278.2
ita,2018,47805.8
ita,2019,47750.5
ita,2020,47142.2
ita,2021,49684.2
ita,2022,48576.4
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1558.1
cyp,2009,1669.2
cyp,2010,1712.8
cyp,2011,1775
cyp,2012,1773.8
cyp,2013,1592
cyp,2014,1511.3
cyp,2015,1637
cyp,2016,1421.1
cyp,2017,1316
cyp,2018,1077.7
cyp,2019,1101.8
cyp,2020,1302.5
cyp,2021,1302.8
cyp,2022,1438
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,818.5
lva,2009,783.9
lva,2010,671.3
lva,2011,687
lva,2012,716.6
lva,2013,753.4
lva,2014,743.8
lva,2015,836
lva,2016,839
lva,2017,684.5
lva,2018,676.6
lva,2019,622.2
lva,2020,526.6
lva,2021,595.8
lva,2022,592.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,612.6
ltu,2009,575
ltu,2010,633.9
ltu,2011,694
ltu,2012,649.5
ltu,2013,665.6
ltu,2014,634.7
ltu,2015,632.1
ltu,2016,657.4
ltu,2017,668
ltu,2018,684.7
ltu,2019,710.7
ltu,2020,737
ltu,2021,810.7
ltu,2022,932.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,9477.9
lux,2009,8547.6
lux,2010,7734.5
lux,2011,7151.3
lux,2012,7196.7
lux,2013,7288.1
lux,2014,7489.2
lux,2015,7604.7
lux,2016,7884.9
lux,2017,7727.5
lux,2018,7677.4
lux,2019,7611.8
lux,2020,8075.9
lux,2021,9254.8
lux,2022,9165.7
lux,2023,8293.4
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3016.3
hun,2009,2972.5
hun,2010,2867.4
hun,2011,2786
hun,2012,2725.2
hun,2013,2641.8
hun,2014,2691.8
hun,2015,2729.2
hun,2016,2701.3
hun,2017,2692.2
hun,2018,2936.1
hun,2019,3334.9
hun,2020,3460.7
hun,2021,3828.9
hun,2022,3682.9
hun,2023,3307.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,353.9
mlt,2009,499.5
mlt,2010,515.7
mlt,2011,425.3
mlt,2012,458.1
mlt,2013,485.3
mlt,2014,587.1
mlt,2015,574.8
mlt,2016,617.7
mlt,2017,603.8
mlt,2018,663.5
mlt,2019,756.9
mlt,2020,775.9
mlt,2021,828.2
mlt,2022,832.7
mlt,2023,822.3
mlt,2024,859.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,37198.2
nld,2009,37710.6
nld,2010,39091.5
nld,2011,38504
nld,2012,36596.4
nld,2013,35619.6
nld,2014,36412.5
nld,2015,36681.2
nld,2016,36405.7
nld,2017,35688.8
nld,2018,34965.7
nld,2019,34796.6
nld,2020,33658
nld,2021,34503
nld,2022,33128.6
nld,2023,31554
nld,2024,
aut,2000,
aut,2001,
aut,2002,
