country,year,foradl_fast_forlag
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,71155.4
eu_three,2009,67418.4
eu_three,2010,68427.3
eu_three,2011,69122.8
eu_three,2012,65477.1
eu_three,2013,64823.4
eu_three,2014,66081.8
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1588.8
bel,2009,1660.5
bel,2010,1546.7
bel,2011,1473.7
bel,2012,1286
bel,2013,1219.9
bel,2014,1362.6
bel,2015,1326.4
bel,2016,1372.2
bel,2017,1293
bel,2018,1250.7
bel,2019,1233.3
bel,2020,1138.1
bel,2021,1181.4
bel,2022,1206.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,104.8
bgr,2009,84.5
bgr,2010,79.5
bgr,2011,88.2
bgr,2012,92.3
bgr,2013,94.5
bgr,2014,105.8
bgr,2015,127.6
bgr,2016,113.7
bgr,2017,115.3
bgr,2018,104.2
bgr,2019,103.5
bgr,2020,106
bgr,2021,111.4
bgr,2022,96.8
bgr,2023,101.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,806.5
cze,2009,778.7
cze,2010,774
cze,2011,709.2
cze,2012,695.7
cze,2013,687.3
cze,2014,842.7
cze,2015,999.6
cze,2016,940.5
cze,2017,1165.8
cze,2018,1200.8
cze,2019,1331.5
cze,2020,1496.1
cze,2021,1666.6
cze,2022,1839.5
cze,2023,1806.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2134.9
dnk,2009,1894.5
dnk,2010,1939.3
dnk,2011,1925.6
dnk,2012,1702.3
dnk,2013,1793.4
dnk,2014,1986
dnk,2015,2240.7
dnk,2016,2215.4
dnk,2017,2110.3
dnk,2018,2117.6
dnk,2019,2213.1
dnk,2020,2177.5
dnk,2021,2454.4
dnk,2022,2593.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21740.5
deu,2009,19373.2
deu,2010,18862.2
deu,2011,20872
deu,2012,20417.1
deu,2013,19888.3
deu,2014,19286.9
deu,2015,18374.4
deu,2016,17551.1
deu,2017,16968.8
deu,2018,16255.1
deu,2019,15322.1
deu,2020,13700
deu,2021,11924.5
deu,2022,11931.3
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,149.3
est,2009,107.8
est,2010,102.8
est,2011,100.1
est,2012,94.7
est,2013,83.2
est,2014,81.7
est,2015,77.9
est,2016,73.7
est,2017,79.8
est,2018,84.2
est,2019,91
est,2020,92.2
est,2021,97.7
est,2022,127.8
est,2023,121.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5300.6
irl,2009,6910.6
irl,2010,8057.6
irl,2011,8828.2
irl,2012,8216.5
irl,2013,9245.7
irl,2014,10501.2
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,529.1
grc,2009,710.6
grc,2010,810.4
grc,2011,624.7
grc,2012,498.6
grc,2013,408.4
grc,2014,315.9
grc,2015,356.5
grc,2016,370.5
grc,2017,322.8
grc,2018,367.9
grc,2019,403.2
grc,2020,378
grc,2021,393.5
grc,2022,405
grc,2023,412.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4564
esp,2009,4369
esp,2010,4224
esp,2011,3816
esp,2012,3291
esp,2013,2778
esp,2014,2672
esp,2015,2873
esp,2016,2656
esp,2017,2721
esp,2018,2742
esp,2019,2720
esp,2020,2483
esp,2021,2763
esp,2022,3114
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12797.9
fra,2009,11644.4
fra,2010,11970.6
fra,2011,12120.3
fra,2012,11813.7
fra,2013,11617.3
fra,2014,11970.8
fra,2015,11988.5
fra,2016,12263.3
fra,2017,13453
fra,2018,13690.5
fra,2019,14384.8
fra,2020,14451.7
fra,2021,15768.9
fra,2022,16032.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,287.9
hrv,2009,223.4
hrv,2010,224.1
hrv,2011,208.8
hrv,2012,197.9
hrv,2013,180.1
hrv,2014,176.6
hrv,2015,159.9
hrv,2016,152.4
hrv,2017,151.5
hrv,2018,155.4
hrv,2019,163.4
hrv,2020,159.9
hrv,2021,130.7
hrv,2022,138
hrv,2023,153.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8363.4
ita,2009,6759.6
ita,2010,7470.9
ita,2011,6439.4
ita,2012,4883.6
ita,2013,4447.7
ita,2014,4143.9
ita,2015,3757
ita,2016,3832.5
ita,2017,3730.8
ita,2018,3538.9
ita,2019,3374.3
ita,2020,2892.7
ita,2021,2984.1
ita,2022,3000
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,34.3
cyp,2009,43.8
cyp,2010,51.2
cyp,2011,45.7
cyp,2012,65.4
cyp,2013,105.6
cyp,2014,162.5
cyp,2015,134
cyp,2016,210.3
cyp,2017,265.3
cyp,2018,283.4
cyp,2019,403
cyp,2020,631.3
cyp,2021,714.5
cyp,2022,967.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,124.3
lva,2009,74.2
lva,2010,94.7
lva,2011,83.1
lva,2012,72.8
lva,2013,67.6
lva,2014,70.5
lva,2015,61.2
lva,2016,55.9
lva,2017,55.1
lva,2018,57.7
lva,2019,51.8
lva,2020,46.6
lva,2021,47.3
lva,2022,50.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,148.7
ltu,2009,114.4
ltu,2010,107.1
ltu,2011,90.8
ltu,2012,82.5
ltu,2013,79.9
ltu,2014,69.7
ltu,2015,72.2
ltu,2016,74.9
ltu,2017,76.6
ltu,2018,79.5
ltu,2019,81.1
ltu,2020,88.3
ltu,2021,94.1
ltu,2022,115.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,200.8
lux,2009,178.9
lux,2010,169.7
lux,2011,170.9
lux,2012,205.5
lux,2013,183.1
lux,2014,214.2
lux,2015,207.9
lux,2016,208.6
lux,2017,196.5
lux,2018,185.3
lux,2019,176.3
lux,2020,196.2
lux,2021,185.5
lux,2022,205
lux,2023,252.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,469.3
hun,2009,407
hun,2010,385.3
hun,2011,381.6
hun,2012,366.2
hun,2013,395.6
hun,2014,354.5
hun,2015,372
hun,2016,417.3
hun,2017,475.8
hun,2018,469.4
hun,2019,458.5
hun,2020,450.4
hun,2021,497.4
hun,2022,495
hun,2023,564.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,30
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,43.2
mlt,2017,57.8
mlt,2018,64.7
mlt,2019,85.2
mlt,2020,67.8
mlt,2021,78.3
mlt,2022,100.7
mlt,2023,108.8
mlt,2024,108.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4737.5
nld,2009,4514.3
nld,2010,4309.2
nld,2011,3997.2
nld,2012,3732.1
nld,2013,3446.6
nld,2014,3340.1
nld,2015,3154.5
nld,2016,2995.3
nld,2017,2997.6
nld,2018,2938.5
nld,2019,2882.5
nld,2020,2664
nld,2021,2635
nld,2022,2569.7
nld,2023,2590.5
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2546.5
aut,2009,2013.7
aut,2010,1784.5
aut,2011,1827.9
aut,2012,1731.1
aut,2013,1824.7
aut,2014,1702.8
aut,2015,1630.8
aut,2016,1555.7
aut,2017,1532.8
aut,2018,1392
aut,2019,1455.9
