country,year,foradl_fast_forsakring
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,113708.6
eu_three,2009,112136.4
eu_three,2010,112164.5
eu_three,2011,123939.4
eu_three,2012,118759.1
eu_three,2013,122799.1
eu_three,2014,111943.9
eu_three,2015,107697.1
eu_three,2016,103709.6
eu_three,2017,111102.8
eu_three,2018,112089
eu_three,2019,106791.4
eu_three,2020,102068.5
eu_three,2021,113055
eu_three,2022,102893.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4154.1
bel,2009,5647.1
bel,2010,6247.2
bel,2011,5891.3
bel,2012,6776.9
bel,2013,5650.7
bel,2014,5492.3
bel,2015,5789.7
bel,2016,5183.9
bel,2017,5597.3
bel,2018,5519.4
bel,2019,5371.4
bel,2020,5100.4
bel,2021,5140.5
bel,2022,5159.7
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,170.7
bgr,2009,176
bgr,2010,295.7
bgr,2011,275.3
bgr,2012,258.5
bgr,2013,274.8
bgr,2014,254.9
bgr,2015,322.8
bgr,2016,472.8
bgr,2017,457.4
bgr,2018,519.1
bgr,2019,653.5
bgr,2020,946
bgr,2021,660.5
bgr,2022,983.5
bgr,2023,1211.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1387.5
cze,2009,1266
cze,2010,1167.9
cze,2011,1086
cze,2012,965.2
cze,2013,1191.5
cze,2014,1092.5
cze,2015,1170.9
cze,2016,1243.4
cze,2017,1112.6
cze,2018,1251.3
cze,2019,1387.1
cze,2020,1165.8
cze,2021,1596.3
cze,2022,1257.8
cze,2023,2035.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1848.9
dnk,2009,1865
dnk,2010,1889.6
dnk,2011,1908.4
dnk,2012,1845.5
dnk,2013,1786.3
dnk,2014,1772.7
dnk,2015,1899.3
dnk,2016,1992.8
dnk,2017,2186.9
dnk,2018,2380.3
dnk,2019,2392.3
dnk,2020,2521.1
dnk,2021,2351.7
dnk,2022,2430.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,32135.9
deu,2009,30869.5
deu,2010,34063.1
deu,2011,38326.1
deu,2012,31536
deu,2013,40088
deu,2014,30400
deu,2015,28501.8
deu,2016,25099.6
deu,2017,31924.4
deu,2018,27557.1
deu,2019,29342.3
deu,2020,28980
deu,2021,38259.4
deu,2022,23302.8
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,203.7
est,2009,135.7
est,2010,106.3
est,2011,62
est,2012,70.6
est,2013,73.7
est,2014,75.4
est,2015,78.3
est,2016,73.4
est,2017,74
est,2018,93.3
est,2019,104.5
est,2020,167.8
est,2021,166.8
est,2022,145.3
est,2023,150
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,4329.5
irl,2009,3991.2
irl,2010,4134.7
irl,2011,4107.9
irl,2012,4499.1
irl,2013,4673.7
irl,2014,4512.2
irl,2015,5173.4
irl,2016,4182.4
irl,2017,5603.4
irl,2018,5421.7
irl,2019,5229.9
irl,2020,3027.3
irl,2021,5268.6
irl,2022,3550
irl,2023,6101.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,669.9
grc,2009,430
grc,2010,581.5
grc,2011,400.7
grc,2012,651.6
grc,2013,789.5
grc,2014,725.3
grc,2015,590.4
grc,2016,532.2
grc,2017,659.1
grc,2018,574.2
grc,2019,761.1
grc,2020,618.2
grc,2021,688
grc,2022,878.3
grc,2023,790.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,17269
esp,2009,13501
esp,2010,13302
esp,2011,13606
esp,2012,13670
esp,2013,10484
esp,2014,9536
esp,2015,7468
esp,2016,9920
esp,2017,8429
esp,2018,9995
esp,2019,7280
esp,2020,8321
esp,2021,6829
esp,2022,10148
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,19281.3
fra,2009,24558.9
fra,2010,19308.9
fra,2011,25538.9
fra,2012,24928.7
fra,2013,25613.8
fra,2014,24913.2
fra,2015,21501.8
fra,2016,20315
fra,2017,18915.3
fra,2018,20680.4
fra,2019,17508.8
fra,2020,9693.3
fra,2021,10138.8
fra,2022,8525.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,297.2
hrv,2009,307.5
hrv,2010,301.7
hrv,2011,321.8
hrv,2012,325.3
hrv,2013,265.3
hrv,2014,254.9
hrv,2015,263.7
hrv,2016,277.3
hrv,2017,278.5
hrv,2018,344.9
hrv,2019,298.9
hrv,2020,188.5
hrv,2021,344.7
hrv,2022,297.5
hrv,2023,314.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18233.4
ita,2009,15552.4
ita,2010,15912.6
ita,2011,17073.6
ita,2012,19888.2
ita,2013,15413.6
ita,2014,15471.5
ita,2015,16282.4
ita,2016,14687.8
ita,2017,14894.7
ita,2018,15912.2
ita,2019,14695.7
ita,2020,14948.1
ita,2021,14608.2
ita,2022,15905.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,110.2
cyp,2009,128.1
cyp,2010,155.6
cyp,2011,141.3
cyp,2012,151.3
cyp,2013,161
cyp,2014,102.6
cyp,2015,108.6
cyp,2016,92.1
cyp,2017,120.2
cyp,2018,145.4
cyp,2019,109.1
cyp,2020,173.3
cyp,2021,175.2
cyp,2022,164.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,426.8
lva,2009,403.2
lva,2010,344.1
lva,2011,83
lva,2012,233.5
lva,2013,276.7
lva,2014,449.8
lva,2015,424.5
lva,2016,393.8
lva,2017,257.2
lva,2018,283.9
lva,2019,230.1
lva,2020,144.7
lva,2021,236.3
lva,2022,255.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,208.5
ltu,2009,175.5
ltu,2010,193.5
ltu,2011,212
ltu,2012,189.9
ltu,2013,225.2
ltu,2014,229.5
ltu,2015,253.6
ltu,2016,243.7
ltu,2017,195
ltu,2018,224.2
ltu,2019,218.4
ltu,2020,238.1
ltu,2021,240.5
ltu,2022,257.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,478.2
lux,2009,512.2
lux,2010,625.7
lux,2011,624.5
lux,2012,630.8
lux,2013,681.6
lux,2014,740.6
lux,2015,850.1
lux,2016,882.9
lux,2017,867.3
lux,2018,823.7
lux,2019,882.8
lux,2020,1000.5
lux,2021,1118
lux,2022,1133.1
lux,2023,1130.4
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,468.6
hun,2009,475.6
hun,2010,413.2
hun,2011,412
hun,2012,477.3
hun,2013,532.7
hun,2014,497.9
hun,2015,470.9
hun,2016,510.5
hun,2017,566.6
hun,2018,564.8
hun,2019,618.2
hun,2020,635.9
hun,2021,686.9
hun,2022,653.1
hun,2023,771.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,29.2
mlt,2009,59.5
mlt,2010,71.8
mlt,2011,45.5
mlt,2012,65.2
mlt,2013,65
mlt,2014,69.5
mlt,2015,71
mlt,2016,80.7
mlt,2017,89.9
mlt,2018,78.9
mlt,2019,116.9
mlt,2020,97.4
mlt,2021,121.6
mlt,2022,120.5
mlt,2023,101.3
mlt,2024,124.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,13389.2
nld,2009,13171.7
nld,2010,12460.8
nld,2011,12660
nld,2012,12398.7
nld,2013,12469.1
nld,2014,11813.1
nld,2015,11558
nld,2016,11419
nld,2017,10033.1
nld,2018,9410.6
nld,2019,8769
nld,2020,8355
nld,2021,8193
nld,2022,8998.2
nld,2023,9814.5
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2304.5
aut,2009,2595.4
aut,2010,2522.4
aut,2011,2633.4
