country,year,foradl_fast_gruv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,53671.2
eu_three,2009,48681.8
eu_three,2010,50157.9
eu_three,2011,47709.6
eu_three,2012,46915.3
eu_three,2013,45846.7
eu_three,2014,42647.9
eu_three,2015,40256.4
eu_three,2016,40504.5
eu_three,2017,39953.7
eu_three,2018,38332
eu_three,2019,36944.7
eu_three,2020,34057.8
eu_three,2021,35531.6
eu_three,2022,32939.2
eu_three,2023,27471.6
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,432.2
bel,2009,379.8
bel,2010,380.1
bel,2011,389.6
bel,2012,349.9
bel,2013,321.1
bel,2014,311.3
bel,2015,233.5
bel,2016,253.6
bel,2017,265.1
bel,2018,258.7
bel,2019,291.7
bel,2020,265.1
bel,2021,293.9
bel,2022,247.1
bel,2023,219.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,788.1
bgr,2009,741.1
bgr,2010,777.4
bgr,2011,776.6
bgr,2012,853.6
bgr,2013,915
bgr,2014,999.1
bgr,2015,1100.8
bgr,2016,1104.1
bgr,2017,1114
bgr,2018,1023.5
bgr,2019,807
bgr,2020,922
bgr,2021,762.4
bgr,2022,668.8
bgr,2023,1207.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2102.7
cze,2009,1924.4
cze,2010,1838.4
cze,2011,1689.6
cze,2012,1716.9
cze,2013,1469.4
cze,2014,1809.6
cze,2015,1795.3
cze,2016,1648.5
cze,2017,1417.7
cze,2018,1342.2
cze,2019,1123.4
cze,2020,1005.9
cze,2021,1029.3
cze,2022,917.8
cze,2023,545.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4524.8
dnk,2009,3965.2
dnk,2010,3648.4
dnk,2011,3251.6
dnk,2012,2953.1
dnk,2013,2445.6
dnk,2014,2268.6
dnk,2015,1917.9
dnk,2016,2045.1
dnk,2017,1713.3
dnk,2018,1487.9
dnk,2019,1321.2
dnk,2020,948.4
dnk,2021,932
dnk,2022,890.4
dnk,2023,859.2
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,5665
deu,2009,5360.1
deu,2010,5306.8
deu,2011,4891.6
deu,2012,4759.7
deu,2013,4205.1
deu,2014,4253.2
deu,2015,4507.3
deu,2016,4375.8
deu,2017,4509.1
deu,2018,4227.6
deu,2019,4386.4
deu,2020,4412
deu,2021,4303.9
deu,2022,4132.3
deu,2023,3758.1
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,239.2
est,2009,207.4
est,2010,254.6
est,2011,283.1
est,2012,284.1
est,2013,283.8
est,2014,293.9
est,2015,274.8
est,2016,263.8
est,2017,336.5
est,2018,336.8
est,2019,283
est,2020,166.7
est,2021,157.9
est,2022,130.4
est,2023,156.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,441.3
irl,2009,385.5
irl,2010,358.7
irl,2011,305.8
irl,2012,273.8
irl,2013,394.7
irl,2014,360.1
irl,2015,297.6
irl,2016,260.1
irl,2017,244
irl,2018,178.9
irl,2019,215.9
irl,2020,320.9
irl,2021,438.7
irl,2022,471.6
irl,2023,475.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1391
grc,2009,1281.3
grc,2010,1310.7
grc,2011,1193.8
grc,2012,1072
grc,2013,1212.9
grc,2014,1159.7
grc,2015,1114.7
grc,2016,936.6
grc,2017,842.3
grc,2018,934.6
grc,2019,846.3
grc,2020,621.1
grc,2021,581
grc,2022,572.9
grc,2023,632.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2856
esp,2009,2247
esp,2010,2388
esp,2011,2422
esp,2012,2174
esp,2013,1718
esp,2014,1530
esp,2015,1394
esp,2016,1387
esp,2017,2004
esp,2018,2294
esp,2019,2548
esp,2020,2492
esp,2021,3282
esp,2022,4497
esp,2023,3142
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3023.6
fra,2009,2718.9
fra,2010,2639.6
fra,2011,2630.3
fra,2012,2462.4
fra,2013,2242.5
fra,2014,2364.5
fra,2015,2132.2
fra,2016,2061
fra,2017,2142.7
fra,2018,2178.4
fra,2019,2137.9
fra,2020,2003.5
fra,2021,2225.8
fra,2022,2100
fra,2023,1798.2
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,532.5
hrv,2009,531.4
hrv,2010,488
hrv,2011,395.5
hrv,2012,349.7
hrv,2013,369.5
hrv,2014,299.3
hrv,2015,209.2
hrv,2016,169.3
hrv,2017,173.8
hrv,2018,166.9
hrv,2019,164.9
hrv,2020,94.1
hrv,2021,94.6
hrv,2022,87.4
hrv,2023,85.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1891.5
ita,2009,1735.8
ita,2010,1625.6
ita,2011,1877.1
ita,2012,1911.4
ita,2013,1940.8
ita,2014,2082.2
ita,2015,1928
ita,2016,2838.7
ita,2017,2955.2
ita,2018,2866.3
ita,2019,2609.6
ita,2020,2778.3
ita,2021,4393.5
ita,2022,997.4
ita,2023,889.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,54.2
cyp,2009,40.6
cyp,2010,44.3
cyp,2011,34.9
cyp,2012,19
cyp,2013,20.5
cyp,2014,20.2
cyp,2015,25.1
cyp,2016,18.3
cyp,2017,17.7
cyp,2018,24.1
cyp,2019,26.9
cyp,2020,25.4
cyp,2021,29.7
cyp,2022,37.5
cyp,2023,41.4
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,99.3
lva,2009,110
lva,2010,116.1
lva,2011,110.5
lva,2012,116.6
lva,2013,124.3
lva,2014,107.2
lva,2015,123.1
lva,2016,119.7
lva,2017,130.6
lva,2018,142.5
lva,2019,130.3
lva,2020,138.3
lva,2021,131.4
lva,2022,137.9
lva,2023,110.5
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,151.6
ltu,2009,109.4
ltu,2010,119.9
ltu,2011,132.4
ltu,2012,124.4
ltu,2013,130.8
ltu,2014,134.1
ltu,2015,112.2
ltu,2016,118.3
ltu,2017,129.8
ltu,2018,132.5
ltu,2019,128.8
ltu,2020,134.3
ltu,2021,136.2
ltu,2022,129.8
ltu,2023,128.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,63.8
lux,2009,56.8
lux,2010,57.1
lux,2011,52.3
lux,2012,50.1
lux,2013,49.6
lux,2014,47.3
lux,2015,39.6
lux,2016,37.6
lux,2017,42.2
lux,2018,40.2
lux,2019,41.8
lux,2020,39.5
lux,2021,38.4
lux,2022,33.5
lux,2023,29.1
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,149.1
hun,2009,230.5
hun,2010,162.2
hun,2011,178.2
hun,2012,142.1
hun,2013,156.4
hun,2014,156.4
hun,2015,131.2
hun,2016,129
hun,2017,169.2
hun,2018,272.3
hun,2019,407.2
hun,2020,299
hun,2021,326.7
hun,2022,338.3
hun,2023,230.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10071.8
nld,2009,9215.2
nld,2010,10622.1
nld,2011,9776.6
nld,2012,9616.4
nld,2013,10358.1
nld,2014,8864.7
nld,2015,7472.2
nld,2016,6857.2
nld,2017,5810.2
nld,2018,4936.8
nld,2019,4282.9
nld,2020,3165
nld,2021,2322
nld,2022,1964.9
nld,2023,1371.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1224.3
aut,2009,1053.2
aut,2010,1055.1
aut,2011,1244
aut,2012,1195.1
aut,2013,1187.8
aut,2014,1147.3
