country,year,foradl_fast_gummi
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,167807.3
eu_three,2009,140536.2
eu_three,2010,149186.1
eu_three,2011,157757.7
eu_three,2012,152072.6
eu_three,2013,149756.7
eu_three,2014,154583.4
eu_three,2015,157645.9
eu_three,2016,161640.1
eu_three,2017,168532
eu_three,2018,175189
eu_three,2019,176161.1
eu_three,2020,162278.7
eu_three,2021,182958.1
eu_three,2022,182851.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5487.4
bel,2009,5090.5
bel,2010,4860.4
bel,2011,5187.2
bel,2012,4915.3
bel,2013,4793.2
bel,2014,4830.2
bel,2015,4902.9
bel,2016,5206.8
bel,2017,5261
bel,2018,5163.1
bel,2019,5198.4
bel,2020,5025.2
bel,2021,4980.7
bel,2022,4690.7
bel,2023,4219.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1103.2
bgr,2009,887.8
bgr,2010,771.8
bgr,2011,871.3
bgr,2012,884.3
bgr,2013,858.5
bgr,2014,1022.5
bgr,2015,1086.3
bgr,2016,1125.9
bgr,2017,1118.1
bgr,2018,1241.6
bgr,2019,1199
bgr,2020,1069.6
bgr,2021,1043.7
bgr,2022,1074.3
bgr,2023,1382.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,5106.4
cze,2009,4652.9
cze,2010,4893.2
cze,2011,5223.5
cze,2012,4847.9
cze,2013,4882.5
cze,2014,5044.8
cze,2015,5425.3
cze,2016,5421
cze,2017,5713.6
cze,2018,6006.3
cze,2019,6199.8
cze,2020,5461.2
cze,2021,6130.7
cze,2022,6176.5
cze,2023,5827.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3215.3
dnk,2009,2424
dnk,2010,2357.8
dnk,2011,2250.7
dnk,2012,2305
dnk,2013,2232.4
dnk,2014,2637.5
dnk,2015,2571.6
dnk,2016,2531.7
dnk,2017,2756.6
dnk,2018,2724
dnk,2019,2698.8
dnk,2020,2671.9
dnk,2021,2837.5
dnk,2022,2859.1
dnk,2023,2336.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,46518
deu,2009,37804.9
deu,2010,42820
deu,2011,47656.2
deu,2012,46642.2
deu,2013,47069.7
deu,2014,48834.2
deu,2015,49062.8
deu,2016,51006.2
deu,2017,52686.2
deu,2018,54560.1
deu,2019,53183.3
deu,2020,49704
deu,2021,54758.9
deu,2022,53287.7
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,318.2
est,2009,205.4
est,2010,229.1
est,2011,261.7
est,2012,266.4
est,2013,261.9
est,2014,278.3
est,2015,268.9
est,2016,296.9
est,2017,334.8
est,2018,345.4
est,2019,339.5
est,2020,300
est,2021,357.3
est,2022,302.3
est,2023,269.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2045.9
irl,2009,1391.9
irl,2010,1299.5
irl,2011,1289.6
irl,2012,1171.2
irl,2013,1190.7
irl,2014,1195
irl,2015,1319.7
irl,2016,1390.1
irl,2017,1496.7
irl,2018,1620.3
irl,2019,1680.2
irl,2020,1761
irl,2021,1827.5
irl,2022,1805.5
irl,2023,1864.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2536.6
grc,2009,2127
grc,2010,2042.8
grc,2011,1561.9
grc,2012,1334.1
grc,2013,1312.8
grc,2014,1386.7
grc,2015,1390.1
grc,2016,1390.7
grc,2017,1374.2
grc,2018,1417.8
grc,2019,1483.5
grc,2020,1487.8
grc,2021,1590.7
grc,2022,1686.4
grc,2023,1680.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,17031
esp,2009,13561
esp,2010,13157
esp,2011,12585
esp,2012,11520
esp,2013,11347
esp,2014,11625
esp,2015,11878
esp,2016,11537
esp,2017,12544
esp,2018,13186
esp,2019,14031
esp,2020,12657
esp,2021,14783
esp,2022,15448
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,21154.2
fra,2009,18670.6
fra,2010,18245.2
fra,2011,20375.5
fra,2012,19611.4
fra,2013,18712.3
fra,2014,18633.4
fra,2015,18989.9
fra,2016,18790.7
fra,2017,18962.7
fra,2018,19769.2
fra,2019,19882.7
fra,2020,16467.3
fra,2021,19077
fra,2022,18691.8
fra,2023,18803.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,726.5
hrv,2009,642.4
hrv,2010,514.9
hrv,2011,525.2
hrv,2012,521.8
hrv,2013,500.4
hrv,2014,527.6
hrv,2015,562.4
hrv,2016,585.3
hrv,2017,615.9
hrv,2018,637.6
hrv,2019,592
hrv,2020,721.8
hrv,2021,987.3
hrv,2022,831.8
hrv,2023,771.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,26945.4
ita,2009,22544.2
ita,2010,24736.1
ita,2011,24541.2
ita,2012,23219.6
ita,2013,22340.4
ita,2014,22303.1
ita,2015,22149.7
ita,2016,22552.4
ita,2017,23650.2
ita,2018,24589
ita,2019,24665.3
ita,2020,22154.5
ita,2021,27847.2
ita,2022,27717.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,234.8
cyp,2009,197.7
cyp,2010,184.1
cyp,2011,166.7
cyp,2012,133.7
cyp,2013,91.1
cyp,2014,94.5
cyp,2015,109
cyp,2016,132.4
cyp,2017,138.7
cyp,2018,156.3
cyp,2019,174.3
cyp,2020,187.8
cyp,2021,175.9
cyp,2022,149.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,233
lva,2009,175.8
lva,2010,211.1
lva,2011,241.9
lva,2012,252.1
lva,2013,278.1
lva,2014,269.3
lva,2015,256.5
lva,2016,280.6
lva,2017,304.5
lva,2018,317.5
lva,2019,319.6
lva,2020,312.4
lva,2021,353.5
lva,2022,281.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,563.3
ltu,2009,379.2
ltu,2010,444.8
ltu,2011,503.1
ltu,2012,532.5
ltu,2013,575.1
ltu,2014,605.7
ltu,2015,590.6
ltu,2016,633.6
ltu,2017,665
ltu,2018,704.6
ltu,2019,723.3
ltu,2020,718.5
ltu,2021,793.8
ltu,2022,766.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2374.5
hun,2009,1756.1
hun,2010,1956.9
hun,2011,2005.9
hun,2012,2018.9
hun,2013,1949.8
hun,2014,2019.9
hun,2015,2170.9
hun,2016,2294.9
hun,2017,2468.5
hun,2018,2783.1
hun,2019,2914.4
hun,2020,2667
hun,2021,2928.2
hun,2022,2753.9
hun,2023,2369.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,91
mlt,2009,72.9
mlt,2010,77.6
mlt,2011,79.7
mlt,2012,82.4
mlt,2013,89.6
mlt,2014,79
mlt,2015,86.2
mlt,2016,96.7
mlt,2017,109.7
mlt,2018,125.2
mlt,2019,131.8
mlt,2020,140.6
mlt,2021,161.5
mlt,2022,136.7
mlt,2023,137
mlt,2024,126
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,6067.7
nld,2009,5247
nld,2010,5065
nld,2011,5341.9
nld,2012,4956.8
nld,2013,4949.7
nld,2014,5106.3
nld,2015,4980.9
nld,2016,5387
nld,2017,5641.3
nld,2018,5773.8
nld,2019,5675.5
nld,2020,5453
nld,2021,6255
nld,2022,6273.9
nld,2023,5475
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5505.6
aut,2009,4355.6
aut,2010,4817.1
aut,2011,5034.3
