country,year,foradl_fast_halso_soc
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,850468.4
eu_three,2009,872147
eu_three,2010,892401.5
eu_three,2011,907983
eu_three,2012,910621.6
eu_three,2013,911433
eu_three,2014,925964.2
eu_three,2015,935484.5
eu_three,2016,948503.1
eu_three,2017,969662.8
eu_three,2018,978546.8
eu_three,2019,992064
eu_three,2020,959367.6
eu_three,2021,1017945.9
eu_three,2022,1047198.7
eu_three,2023,1066499.6
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,26813.9
bel,2009,27326.7
bel,2010,27745.5
bel,2011,28606.8
bel,2012,29558.2
bel,2013,29563.6
bel,2014,29885.7
bel,2015,29354.7
bel,2016,29843.4
bel,2017,30110.7
bel,2018,31031.3
bel,2019,31314.5
bel,2020,29435.6
bel,2021,33359.4
bel,2022,35960.9
bel,2023,36824.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,2129.2
bgr,2009,2072.8
bgr,2010,2596.6
bgr,2011,2435.2
bgr,2012,2494.4
bgr,2013,2421.2
bgr,2014,2234
bgr,2015,2268.5
bgr,2016,2140.8
bgr,2017,2127.2
bgr,2018,2274.2
bgr,2019,2316
bgr,2020,2665.9
bgr,2021,2754
bgr,2022,3116.8
bgr,2023,3270
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,9483
cze,2009,9629.6
cze,2010,9659.2
cze,2011,8987.9
cze,2012,9319.1
cze,2013,9361.1
cze,2014,9632.2
cze,2015,9462.9
cze,2016,9748.3
cze,2017,9984.7
cze,2018,10158.5
cze,2019,10611.2
cze,2020,10983.2
cze,2021,11631.5
cze,2022,11389.5
cze,2023,11365.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,26520.7
dnk,2009,27045.6
dnk,2010,28264.3
dnk,2011,29006.6
dnk,2012,29067.1
dnk,2013,29604
dnk,2014,29728.6
dnk,2015,29798.8
dnk,2016,29426
dnk,2017,29828.3
dnk,2018,29902.6
dnk,2019,30715
dnk,2020,28103
dnk,2021,29817.2
dnk,2022,29413
dnk,2023,29537
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,219218.2
deu,2009,225789.4
deu,2010,232277.2
deu,2011,239321.8
deu,2012,245364
deu,2013,240184.9
deu,2014,245670.3
deu,2015,251851.7
deu,2016,256752.3
deu,2017,265133.4
deu,2018,267667.3
deu,2019,273291.8
deu,2020,278443
deu,2021,282508.3
deu,2022,295372.3
deu,2023,299660.4
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,941.4
est,2009,923.3
est,2010,916.8
est,2011,932.2
est,2012,948.1
est,2013,966.2
est,2014,993
est,2015,1032.5
est,2016,1060.1
est,2017,1110.4
est,2018,1136.3
est,2019,1130.7
est,2020,1182.3
est,2021,1273.7
est,2022,1283.3
est,2023,1269.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,13670
irl,2009,14156
irl,2010,14392
irl,2011,14872.8
irl,2012,14897
irl,2013,15214.6
irl,2014,15083.6
irl,2015,15729.2
irl,2016,15995.5
irl,2017,16601.1
irl,2018,16994.1
irl,2019,17531
irl,2020,16530.5
irl,2021,17113.3
irl,2022,18606.7
irl,2023,19985.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,9015.7
grc,2009,8558.7
grc,2010,9017.3
grc,2011,7497
grc,2012,6741.7
grc,2013,6445.4
grc,2014,6048
grc,2015,6436.2
grc,2016,6388.7
grc,2017,6381.5
grc,2018,6580.1
grc,2019,6927.1
grc,2020,6917.3
grc,2021,7688.3
grc,2022,7579.1
grc,2023,7830.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,69541
esp,2009,70759
esp,2010,71677
esp,2011,72476
esp,2012,71439
esp,2013,71720
esp,2014,69922
esp,2015,70802
esp,2016,72322
esp,2017,75100
esp,2018,75411
esp,2019,78274
esp,2020,75312
esp,2021,77928
esp,2022,79222
esp,2023,85694
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,167743.7
fra,2009,172047.5
fra,2010,175679.5
fra,2011,181428.8
fra,2012,184968.5
fra,2013,188544.1
fra,2014,192077.2
fra,2015,193928.2
fra,2016,196536.4
fra,2017,198908.5
fra,2018,198868.2
fra,2019,200614
fra,2020,188592.4
fra,2021,203495.9
fra,2022,205307.8
fra,2023,204833
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1914.2
hrv,2009,1929.4
hrv,2010,1987.7
hrv,2011,2028.1
hrv,2012,2048.4
hrv,2013,2067.8
hrv,2014,2061.3
hrv,2015,2120.1
hrv,2016,2190.5
hrv,2017,2223.6
hrv,2018,2277.4
hrv,2019,2378.6
hrv,2020,2449.9
hrv,2021,2630.2
hrv,2022,2793.3
hrv,2023,2862.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,103180.6
ita,2009,105804.8
ita,2010,105962.1
ita,2011,105229.4
ita,2012,100936
ita,2013,100219.1
ita,2014,102396.9
ita,2015,101834.6
ita,2016,101301.5
ita,2017,102381.9
ita,2018,101973.6
ita,2019,99819.1
ita,2020,93609.2
ita,2021,103765.5
ita,2022,107457.6
ita,2023,107130.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,630.2
cyp,2009,639.4
cyp,2010,660.6
cyp,2011,653.5
cyp,2012,661.9
cyp,2013,655.8
cyp,2014,661.5
cyp,2015,652.8
cyp,2016,689.3
cyp,2017,724.7
cyp,2018,785.3
cyp,2019,862.7
cyp,2020,945.4
cyp,2021,1063.7
cyp,2022,1112.8
cyp,2023,1139.3
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,935
lva,2009,869.1
lva,2010,833.4
lva,2011,851.7
lva,2012,897.8
lva,2013,928.1
lva,2014,1000.6
lva,2015,1050.9
lva,2016,1060.8
lva,2017,1105.2
lva,2018,1207.5
lva,2019,1265.9
lva,2020,1222.9
lva,2021,1300.7
lva,2022,1406.4
lva,2023,1582.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1989.9
ltu,2009,1962.1
ltu,2010,1930.7
ltu,2011,1965.9
ltu,2012,2040.4
ltu,2013,2075.6
ltu,2014,2103.7
ltu,2015,2143.9
ltu,2016,2186.2
ltu,2017,2228.5
ltu,2018,2247.6
ltu,2019,2310.3
ltu,2020,2226.4
ltu,2021,2409.3
ltu,2022,2437.6
ltu,2023,2476.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2537.5
lux,2009,2831.8
lux,2010,2952.4
lux,2011,3004.9
lux,2012,3153.3
lux,2013,3301.5
lux,2014,3299.9
lux,2015,3304.2
lux,2016,3349.7
lux,2017,3480.6
lux,2018,3898.7
lux,2019,4018.2
lux,2020,3941.5
lux,2021,4657.8
lux,2022,4983.8
lux,2023,5021.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,6068.3
hun,2009,6068.7
hun,2010,5849.7
hun,2011,6102.7
hun,2012,6246
hun,2013,6499.5
hun,2014,6663.5
hun,2015,6566.1
hun,2016,6801.3
hun,2017,6876.7
hun,2018,6917.2
hun,2019,7117
hun,2020,5647.4
hun,2021,5952.8
hun,2022,7287.1
hun,2023,7618.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,451.6
mlt,2009,469.4
mlt,2010,489.4
mlt,2011,508.2
mlt,2012,517.6
mlt,2013,551.2
mlt,2014,586
mlt,2015,620.5
mlt,2016,645.5
mlt,2017,680.2
mlt,2018,700.4
mlt,2019,776.6
mlt,2020,793.4
mlt,2021,889.3
mlt,2022,889
mlt,2023,901
mlt,2024,967.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,54931.6
nld,2009,58482
nld,2010,60459.6
nld,2011,62887.1
nld,2012,62331.1
nld,2013,62323.1
nld,2014,63432.8
nld,2015,63557.4
nld,2016,64550
nld,2017,65255.1
nld,2018,66205.6
nld,2019,67717.6
nld,2020,63390
