country,year,foradl_fast_hotell
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,335088.8
eu_three,2009,319889.6
eu_three,2010,315303.6
eu_three,2011,323266.7
eu_three,2012,323697.8
eu_three,2013,319982.8
eu_three,2014,324475.5
eu_three,2015,332839.6
eu_three,2016,341321.8
eu_three,2017,356699.5
eu_three,2018,365251.8
eu_three,2019,373564.7
eu_three,2020,200670.1
eu_three,2021,242113.4
eu_three,2022,347310.9
eu_three,2023,375774.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,8345.7
bel,2009,7524.9
bel,2010,7989.8
bel,2011,8197.7
bel,2012,8108
bel,2013,8161.2
bel,2014,8300.5
bel,2015,8240.4
bel,2016,8011.4
bel,2017,8196
bel,2018,8394.9
bel,2019,8647.6
bel,2020,4900.8
bel,2021,6365.8
bel,2022,8286.2
bel,2023,9219.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,759.7
bgr,2009,726
bgr,2010,832.4
bgr,2011,876.5
bgr,2012,1000.8
bgr,2013,1111.5
bgr,2014,1185.1
bgr,2015,1308.8
bgr,2016,1302.3
bgr,2017,1353.5
bgr,2018,1405.7
bgr,2019,1443.3
bgr,2020,903.6
bgr,2021,1409.1
bgr,2022,1745
bgr,2023,1662.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,6286.1
cze,2009,4754.9
cze,2010,4398.4
cze,2011,4724.2
cze,2012,4133.5
cze,2013,4100.4
cze,2014,3960.2
cze,2015,3954.6
cze,2016,4107.5
cze,2017,4334.9
cze,2018,4246.9
cze,2019,4385.6
cze,2020,2427.3
cze,2021,2571.3
cze,2022,2887.5
cze,2023,2553.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3679
dnk,2009,3410.2
dnk,2010,3342.9
dnk,2011,3698.7
dnk,2012,3653.4
dnk,2013,3724.9
dnk,2014,3689.5
dnk,2015,3683.4
dnk,2016,4021.2
dnk,2017,4139.1
dnk,2018,4101.3
dnk,2019,4437
dnk,2020,2907.4
dnk,2021,3397.4
dnk,2022,4798.4
dnk,2023,4791.3
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,51960.7
deu,2009,47983.3
deu,2010,46624.4
deu,2011,50009.2
deu,2012,51436.4
deu,2013,49308
deu,2014,51569.8
deu,2015,52764.2
deu,2016,54318.6
deu,2017,56819.2
deu,2018,59229.8
deu,2019,60877.3
deu,2020,31025
deu,2021,32343.6
deu,2022,50518
deu,2023,51613.2
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,408.8
est,2009,308.6
est,2010,337.2
est,2011,403.9
est,2012,414.5
est,2013,430.8
est,2014,425.6
est,2015,432.6
est,2016,444.7
est,2017,449.7
est,2018,462.7
est,2019,476.1
est,2020,298.8
est,2021,350.3
est,2022,522.4
est,2023,509.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,4311.9
irl,2009,3929
irl,2010,3776.6
irl,2011,3818.4
irl,2012,3760.3
irl,2013,4085.6
irl,2014,4323.7
irl,2015,4571.8
irl,2016,4852.4
irl,2017,5121.3
irl,2018,5609.3
irl,2019,5716.9
irl,2020,2841.2
irl,2021,2283.4
irl,2022,3796.8
irl,2023,4200.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,12490.5
grc,2009,10810.2
grc,2010,10177
grc,2011,9543.7
grc,2012,9847.9
grc,2013,12494.1
grc,2014,11727
grc,2015,11888.9
grc,2016,11462.5
grc,2017,12172.4
grc,2018,12274.7
grc,2019,12293.8
grc,2020,6370.2
grc,2021,8676.5
grc,2022,10994
grc,2023,11991.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,73193
esp,2009,70456
esp,2010,69113
esp,2011,69114
esp,2012,68054
esp,2013,64945
esp,2014,65320
esp,2015,68476
esp,2016,70698
esp,2017,75092
esp,2018,76252
esp,2019,77330
esp,2020,34574
esp,2021,50698
esp,2022,74951
esp,2023,87892
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,45279.3
fra,2009,44193.7
fra,2010,45397.1
fra,2011,48118.4
fra,2012,47967.7
fra,2013,48339.2
fra,2014,47679
fra,2015,47408.9
fra,2016,47996.6
fra,2017,48537.2
fra,2018,49186.3
fra,2019,52088.5
fra,2020,28812.9
fra,2021,32523
fra,2022,46886
fra,2023,52880.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2093.3
hrv,2009,2080.4
hrv,2010,2095.7
hrv,2011,2206
hrv,2012,2236.9
hrv,2013,2415.3
hrv,2014,2419.8
hrv,2015,2501.8
hrv,2016,2669
hrv,2017,2820.2
hrv,2018,2822.4
hrv,2019,2756
hrv,2020,1278.9
hrv,2021,2331.8
hrv,2022,3137.8
hrv,2023,3249.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,63829.5
ita,2009,63273.6
ita,2010,61731.8
ita,2011,62816.9
ita,2012,62126.4
ita,2013,60136.6
ita,2014,61140.5
ita,2015,61832.5
ita,2016,63351
ita,2017,65576.7
ita,2018,66886.9
ita,2019,66919.6
ita,2020,38700.9
ita,2021,49861.7
ita,2022,66337
ita,2023,70461.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1072.8
cyp,2009,1007.4
cyp,2010,1022.2
cyp,2011,1102.7
cyp,2012,1087.9
cyp,2013,1018.2
cyp,2014,1034.5
cyp,2015,1048.7
cyp,2016,1181.1
cyp,2017,1241.1
cyp,2018,1344.6
cyp,2019,1380.2
cyp,2020,444.2
cyp,2021,978.9
cyp,2022,1365
cyp,2023,1546
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,449.1
lva,2009,327.6
lva,2010,353.5
lva,2011,373.3
lva,2012,372.7
lva,2013,409
lva,2014,401
lva,2015,436.8
lva,2016,455.2
lva,2017,498.5
lva,2018,536.2
lva,2019,510.5
lva,2020,350.4
lva,2021,335.9
lva,2022,456.2
lva,2023,490.7
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,646.4
ltu,2009,523
ltu,2010,501.5
ltu,2011,549.7
ltu,2012,583.7
ltu,2013,604.7
ltu,2014,621.8
ltu,2015,678.9
ltu,2016,711.3
ltu,2017,743.4
ltu,2018,791
ltu,2019,834.5
ltu,2020,576.9
ltu,2021,688.3
ltu,2022,865.2
ltu,2023,877.5
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,953.8
lux,2009,923.5
lux,2010,951.8
lux,2011,988.6
lux,2012,1019.5
lux,2013,1015.4
lux,2014,1053.1
lux,2015,1040.7
lux,2016,1063
lux,2017,1067.2
lux,2018,1056.2
lux,2019,1090.4
lux,2020,634.5
lux,2021,752.3
lux,2022,1152.2
lux,2023,1285.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2015.2
hun,2009,1905.9
hun,2010,1745.4
hun,2011,1783.3
hun,2012,1799.6
hun,2013,1731.1
hun,2014,2000.6
hun,2015,2079.4
hun,2016,2109.8
hun,2017,2347.9
hun,2018,2521.8
hun,2019,2663.6
hun,2020,1482.2
hun,2021,2157.4
hun,2022,2957.3
hun,2023,2887.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,364.7
mlt,2009,333.8
mlt,2010,333
mlt,2011,356.2
mlt,2012,350.7
mlt,2013,417.3
mlt,2014,433.6
mlt,2015,483.8
mlt,2016,467.9
mlt,2017,564.3
mlt,2018,663.4
mlt,2019,618
mlt,2020,246
mlt,2021,334.7
mlt,2022,565.8
mlt,2023,699.6
mlt,2024,829.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,15103.7
nld,2009,13762.7
nld,2010,12947.3
nld,2011,13387.4
nld,2012,13249.8
nld,2013,13314.2
nld,2014,13746
nld,2015,14384.3
nld,2016,14913.2
nld,2017,15349.6
nld,2018,15979.8
nld,2019,16257.2
nld,2020,8766
nld,2021,9911
nld,2022,15569.5
nld,2023,16471
nld,2024,
