country,year,foradl_fast_hush
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,47620.7
eu_three,2009,47614.1
eu_three,2010,47548
eu_three,2011,46522.7
eu_three,2012,45352.5
eu_three,2013,44353.4
eu_three,2014,44588.4
eu_three,2015,44366.7
eu_three,2016,44254.9
eu_three,2017,44293.7
eu_three,2018,44357.8
eu_three,2019,43737.5
eu_three,2020,41109.5
eu_three,2021,42791.6
eu_three,2022,42181.7
eu_three,2023,42997
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,706.2
bel,2009,678.7
bel,2010,629.3
bel,2011,547.2
bel,2012,462.1
bel,2013,406.8
bel,2014,369.9
bel,2015,339.2
bel,2016,335.1
bel,2017,338.2
bel,2018,341.2
bel,2019,313.7
bel,2020,211.1
bel,2021,254.7
bel,2022,265.7
bel,2023,255.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,
bgr,2009,
bgr,2010,
bgr,2011,
bgr,2012,
bgr,2013,
bgr,2014,
bgr,2015,
bgr,2016,
bgr,2017,
bgr,2018,
bgr,2019,
bgr,2020,
bgr,2021,
bgr,2022,
bgr,2023,
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,99.9
cze,2009,127.8
cze,2010,119.1
cze,2011,114.6
cze,2012,123.8
cze,2013,134
cze,2014,141.3
cze,2015,146.4
cze,2016,176
cze,2017,331.2
cze,2018,370.1
cze,2019,236.3
cze,2020,188.1
cze,2021,220.9
cze,2022,246.3
cze,2023,242.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,615.9
dnk,2009,655.6
dnk,2010,678
dnk,2011,714.9
dnk,2012,698
dnk,2013,733.8
dnk,2014,742.9
dnk,2015,739.3
dnk,2016,741.3
dnk,2017,742.2
dnk,2018,705.3
dnk,2019,643.2
dnk,2020,650.7
dnk,2021,626.9
dnk,2022,600.8
dnk,2023,605
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,8653
deu,2009,8523.7
deu,2010,8377.2
deu,2011,8348.2
deu,2012,8168
deu,2013,7904.7
deu,2014,7854.6
deu,2015,7730.8
deu,2016,7867.1
deu,2017,7847.5
deu,2018,7791.1
deu,2019,8001.1
deu,2020,7835
deu,2021,7856.2
deu,2022,8271.4
deu,2023,8859.8
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,0
est,2009,0
est,2010,0
est,2011,0
est,2012,0
est,2013,0
est,2014,0
est,2015,0
est,2016,0
est,2017,0
est,2018,0
est,2019,0
est,2020,0
est,2021,0
est,2022,0
est,2023,0
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,277.1
irl,2009,228.1
irl,2010,41.7
irl,2011,66.1
irl,2012,76.6
irl,2013,67.2
irl,2014,74
irl,2015,72.1
irl,2016,81.8
irl,2017,180.7
irl,2018,199.8
irl,2019,198.5
irl,2020,179.4
irl,2021,201.3
irl,2022,274.7
irl,2023,270.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1244
grc,2009,1314.4
grc,2010,1149
grc,2011,888.7
grc,2012,888
grc,2013,759.2
grc,2014,625.6
grc,2015,586
grc,2016,558.2
grc,2017,548
grc,2018,611.9
grc,2019,716.8
grc,2020,615
grc,2021,699.8
grc,2022,691.9
grc,2023,666.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11609
esp,2009,11647
esp,2010,11980
esp,2011,11612
esp,2012,10613
esp,2013,10120
esp,2014,10124
esp,2015,10275
esp,2016,10257
esp,2017,10341
esp,2018,10531
esp,2019,10070
esp,2020,9292
esp,2021,9840
esp,2022,9817
esp,2023,10405
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,3966.7
fra,2009,3934.4
fra,2010,3952
fra,2011,3872.7
fra,2012,3739.8
fra,2013,3589.3
fra,2014,3476.7
fra,2015,3236.8
fra,2016,3285.8
fra,2017,3140
fra,2018,3030.3
fra,2019,2994.3
fra,2020,2618.3
fra,2021,2927
fra,2022,2793.6
fra,2023,2728.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,67.5
hrv,2009,59.7
hrv,2010,55.3
hrv,2011,43.2
hrv,2012,37.5
hrv,2013,33.1
hrv,2014,25.2
hrv,2015,20.3
hrv,2016,17.8
hrv,2017,19.8
hrv,2018,18.7
hrv,2019,17.7
hrv,2020,15.4
hrv,2021,15.4
hrv,2022,14.9
hrv,2023,15.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,17382.9
ita,2009,17314.4
ita,2010,17369.2
ita,2011,17225.8
ita,2012,17399.3
ita,2013,17476.3
ita,2014,17943.5
ita,2015,18053.2
ita,2016,17691.4
ita,2017,17530.9
ita,2018,17398.7
ita,2019,17111.1
ita,2020,16081.1
ita,2021,16771.1
ita,2022,15719.1
ita,2023,15344.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,185.5
cyp,2009,212.4
cyp,2010,234.4
cyp,2011,233.8
cyp,2012,216.2
cyp,2013,179.9
cyp,2014,169.6
cyp,2015,160.8
cyp,2016,165.2
cyp,2017,167.5
cyp,2018,173.7
cyp,2019,189.8
cyp,2020,183.6
cyp,2021,198.6
cyp,2022,207.3
cyp,2023,210.6
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,45.1
lva,2009,48.6
lva,2010,50
lva,2011,53.5
lva,2012,50.3
lva,2013,45.4
lva,2014,43.8
lva,2015,43.8
lva,2016,45.5
lva,2017,47.4
lva,2018,48.5
lva,2019,48.5
lva,2020,50.1
lva,2021,43
lva,2022,40.6
lva,2023,41.5
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,51.8
ltu,2009,42.2
ltu,2010,41.9
ltu,2011,42.8
ltu,2012,43.2
ltu,2013,43.3
ltu,2014,42.3
ltu,2015,41.6
ltu,2016,42.7
ltu,2017,43.8
ltu,2018,45.8
ltu,2019,48.2
ltu,2020,46.7
ltu,2021,44.2
ltu,2022,45
ltu,2023,46.2
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,135.3
lux,2009,139.8
lux,2010,143.5
lux,2011,147.2
lux,2012,151.7
lux,2013,157.7
lux,2014,163.2
lux,2015,163.3
lux,2016,167.1
lux,2017,172.3
lux,2018,168.4
lux,2019,169.8
lux,2020,154
lux,2021,154.5
lux,2022,149.6
lux,2023,146.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,17
hun,2009,11.4
hun,2010,16.7
hun,2011,16.5
hun,2012,16.3
hun,2013,16.2
hun,2014,15.6
hun,2015,22.1
hun,2016,24.1
hun,2017,22.9
hun,2018,39.7
hun,2019,27.6
hun,2020,26
hun,2021,23.5
hun,2022,20.6
hun,2023,18.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,4.2
mlt,2009,5
mlt,2010,6.1
mlt,2011,6.7
mlt,2012,8.3
mlt,2013,9.8
mlt,2014,8.5
mlt,2015,10.1
mlt,2016,10.1
mlt,2017,10.9
mlt,2018,13.1
mlt,2019,12.7
mlt,2020,14.1
mlt,2021,13
mlt,2022,19.2
mlt,2023,26.3
mlt,2024,33.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,415.2
nld,2009,468.9
nld,2010,523.5
nld,2011,541
nld,2012,580.1
nld,2013,572.2
nld,2014,572.2
nld,2015,616.2
nld,2016,678
nld,2017,752.4
nld,2018,806.5
nld,2019,868.9
nld,2020,952
nld,2021,1012
nld,2022,1007.9
nld,2023,1048.4
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,196.9
aut,2009,200
aut,2010,192.5
aut,2011,183.9
aut,2012,174
aut,2013,165.5
aut,2014,160.3
aut,2015,149
aut,2016,156.8
aut,2017,154.2
aut,2018,146.6
aut,2019,138.7
aut,2020,136.1
aut,2021,130
aut,2022,127.6
aut,2023,117.9
aut,2024,
pol,2000,
pol,2001,
