country,year,foradl_fast_hyror
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,660940.1
eu_three,2009,669878.8
eu_three,2010,681790.4
eu_three,2011,698585.2
eu_three,2012,709990.7
eu_three,2013,721046.2
eu_three,2014,731791.8
eu_three,2015,742892.7
eu_three,2016,750422.9
eu_three,2017,760370.3
eu_three,2018,769625.7
eu_three,2019,779275.7
eu_three,2020,788512.5
eu_three,2021,797283.5
eu_three,2022,810315.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,16672.5
bel,2009,17366.7
bel,2010,18465.4
bel,2011,19891.7
bel,2012,20967.6
bel,2013,21445.2
bel,2014,21742.8
bel,2015,21857.2
bel,2016,22208.1
bel,2017,22549.3
bel,2018,22871
bel,2019,23522.7
bel,2020,23821.8
bel,2021,24261.8
bel,2022,24695.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3157.9
bgr,2009,3173.8
bgr,2010,3164.2
bgr,2011,3163.9
bgr,2012,3243
bgr,2013,3172.6
bgr,2014,3230.5
bgr,2015,3390.6
bgr,2016,3740.5
bgr,2017,3947.6
bgr,2018,4226.6
bgr,2019,4219.2
bgr,2020,3964.2
bgr,2021,4132.1
bgr,2022,4359
bgr,2023,4426.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,14972.8
cze,2009,14362.2
cze,2010,15635.1
cze,2011,16693
cze,2012,16583.1
cze,2013,16889.8
cze,2014,17043.7
cze,2015,16683.9
cze,2016,16534.9
cze,2017,16385.6
cze,2018,16746.1
cze,2019,17207.8
cze,2020,17130.9
cze,2021,17344.5
cze,2022,18389.1
cze,2023,18448.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,11416.3
dnk,2009,11738.5
dnk,2010,12610.3
dnk,2011,13582.7
dnk,2012,13089.6
dnk,2013,12836.9
dnk,2014,13058.7
dnk,2015,13238.7
dnk,2016,13362.6
dnk,2017,13486.1
dnk,2018,13583
dnk,2019,13816.6
dnk,2020,13844.1
dnk,2021,13881.3
dnk,2022,14649.2
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,106483.1
deu,2009,107337.3
deu,2010,108480.6
deu,2011,111595.1
deu,2012,115340.3
deu,2013,119584.9
deu,2014,122922.8
deu,2015,127666.8
deu,2016,128599.8
deu,2017,130426.4
deu,2018,130544.7
deu,2019,130413.3
deu,2020,131412
deu,2021,132187.3
deu,2022,132187.3
deu,2023,133908.8
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,996.1
est,2009,968.9
est,2010,944
est,2011,948.1
est,2012,1073.7
est,2013,1180.1
est,2014,1292.5
est,2015,1347.6
est,2016,1406.7
est,2017,1455
est,2018,1473.3
est,2019,1521.4
est,2020,1592.4
est,2021,1650.1
est,2022,1679.8
est,2023,1768
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,14688.6
irl,2009,13420.9
irl,2010,12701.5
irl,2011,12862.5
irl,2012,13067.4
irl,2013,13244.7
irl,2014,13704.8
irl,2015,13942.3
irl,2016,13809.4
irl,2017,14125
irl,2018,14233.7
irl,2019,14502
irl,2020,14411.2
irl,2021,14674.1
irl,2022,15342.3
irl,2023,15576.5
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,11188.4
grc,2009,12474.1
grc,2010,13158.7
grc,2011,14072.2
grc,2012,13272.1
grc,2013,12840.9
grc,2014,12992.1
grc,2015,13683.7
grc,2016,14019.6
grc,2017,14664.9
grc,2018,15160
grc,2019,16096.9
grc,2020,17391.2
grc,2021,16744
grc,2022,17781.9
grc,2023,17765.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,76613
esp,2009,78535
esp,2010,80261
esp,2011,82674
esp,2012,84383
esp,2013,86269
esp,2014,86723
esp,2015,86766
esp,2016,87839
esp,2017,87738
esp,2018,88657
esp,2019,88244
esp,2020,89817
esp,2021,91471
esp,2022,91341
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,161777
fra,2009,163929.5
fra,2010,166107.7
fra,2011,168787.4
fra,2012,171214.5
fra,2013,173781.3
fra,2014,176373.7
fra,2015,178418.9
fra,2016,180138.8
fra,2017,181821.6
fra,2018,183566.1
fra,2019,186311
fra,2020,188280.9
fra,2021,190456.5
fra,2022,193212.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3242.8
hrv,2009,3401.5
hrv,2010,3373.9
hrv,2011,3209.6
hrv,2012,3254.9
hrv,2013,3241.2
hrv,2014,3216.4
hrv,2015,3206.7
hrv,2016,3194.7
hrv,2017,3188.5
hrv,2018,3183.7
hrv,2019,3155
hrv,2020,3105
hrv,2021,3184
hrv,2022,3431.8
hrv,2023,
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,139770
ita,2009,140278.3
ita,2010,139703.6
ita,2011,142353.7
ita,2012,143451.6
ita,2013,145007.3
ita,2014,145833
ita,2015,146976.4
ita,2016,147251.8
ita,2017,148071.2
ita,2018,149833.4
ita,2019,150321.9
ita,2020,150515.3
ita,2021,149991.7
ita,2022,151256
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,789.7
cyp,2009,814.9
cyp,2010,881.8
cyp,2011,972.4
cyp,2012,1014.2
cyp,2013,953.4
cyp,2014,862.4
cyp,2015,951
cyp,2016,1023.5
cyp,2017,999
cyp,2018,1159.9
cyp,2019,1282.3
cyp,2020,1341.1
cyp,2021,1436.4
cyp,2022,1547.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,956.3
lva,2009,1024.8
lva,2010,1041.9
lva,2011,1012.6
lva,2012,1033.6
lva,2013,1052.4
lva,2014,1055.7
lva,2015,1088.2
lva,2016,1081.7
lva,2017,1094.3
lva,2018,1108.1
lva,2019,1126.2
lva,2020,1143
lva,2021,1191.5
lva,2022,1183.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1447.9
ltu,2009,1434.7
ltu,2010,1403.4
ltu,2011,1422.7
ltu,2012,1441.9
ltu,2013,1454.9
ltu,2014,1469
ltu,2015,1483.3
ltu,2016,1500.7
ltu,2017,1525.7
ltu,2018,1565.1
ltu,2019,1607.8
ltu,2020,1642.2
ltu,2021,1667.4
ltu,2022,1693.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1743.8
lux,2009,1714.7
lux,2010,1661.4
lux,2011,1721
lux,2012,1781.8
lux,2013,1784.8
lux,2014,1781.9
lux,2015,1764.4
lux,2016,1796.5
lux,2017,1893.3
lux,2018,1931
lux,2019,1915.4
lux,2020,1936.7
lux,2021,1985
lux,2022,2043.9
lux,2023,2149.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,6551.4
hun,2009,6594.6
hun,2010,7655.5
hun,2011,7807.2
hun,2012,7723.1
hun,2013,7610.3
hun,2014,7548.6
hun,2015,7575
hun,2016,7645.4
hun,2017,7729.3
hun,2018,8028.7
hun,2019,8301.1
hun,2020,8576.4
hun,2021,8417.6
hun,2022,9501
hun,2023,10176.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,322.5
mlt,2009,324.9
mlt,2010,333.2
mlt,2011,342
mlt,2012,339.1
mlt,2013,346.5
mlt,2014,352.1
mlt,2015,360.7
mlt,2016,372.8
mlt,2017,377.5
mlt,2018,380.6
mlt,2019,400.6
mlt,2020,389.4
mlt,2021,386.4
mlt,2022,321.6
mlt,2023,531.6
mlt,2024,575.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,12449.6
nld,2009,12690.3
nld,2010,13222.4
nld,2011,13552.6
nld,2012,14272.3
nld,2013,15790.8
nld,2014,16885.6
nld,2015,17714.6
nld,2016,18297.1
nld,2017,19017.2
nld,2018,19737.1
nld,2019,20224.8
nld,2020,20289
nld,2021,20951
nld,2022,21861.6
