country,year,foradl_fast_icke_met
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,83906.7
eu_three,2009,68222.5
eu_three,2010,70631.6
eu_three,2011,74389.4
eu_three,2012,70411
eu_three,2013,67711.7
eu_three,2014,69725.1
eu_three,2015,69899.2
eu_three,2016,71448.7
eu_three,2017,73984.7
eu_three,2018,76735.2
eu_three,2019,76709.4
eu_three,2020,70507.4
eu_three,2021,79827.3
eu_three,2022,78520.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3020.2
bel,2009,2779.2
bel,2010,2612
bel,2011,2908.7
bel,2012,2713.3
bel,2013,2620
bel,2014,2695.4
bel,2015,2728.4
bel,2016,2724
bel,2017,2797.7
bel,2018,2850.8
bel,2019,2804.4
bel,2020,2563.3
bel,2021,2867.6
bel,2022,2589.2
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,770.8
bgr,2009,559.2
bgr,2010,448.7
bgr,2011,527
bgr,2012,539.3
bgr,2013,527.5
bgr,2014,606
bgr,2015,648.9
bgr,2016,646.2
bgr,2017,662.8
bgr,2018,735
bgr,2019,771.2
bgr,2020,525.4
bgr,2021,546.3
bgr,2022,472.8
bgr,2023,593.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2286.9
cze,2009,1902.6
cze,2010,1849.4
cze,2011,2078.3
cze,2012,1940.2
cze,2013,1931.2
cze,2014,2024.4
cze,2015,2139.7
cze,2016,1988.4
cze,2017,2153.2
cze,2018,2357.1
cze,2019,2340
cze,2020,2131.7
cze,2021,2390.9
cze,2022,2322.3
cze,2023,2081
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1527.6
dnk,2009,1098.4
dnk,2010,1029.7
dnk,2011,1206.7
dnk,2012,1186.9
dnk,2013,1177.2
dnk,2014,1250.9
dnk,2015,1223.9
dnk,2016,1319.8
dnk,2017,1470.3
dnk,2018,1532.2
dnk,2019,1502.8
dnk,2020,1464.3
dnk,2021,1637.5
dnk,2022,1788.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,19929.6
deu,2009,16323.2
deu,2010,17808.6
deu,2011,19559.8
deu,2012,19293.9
deu,2013,19344
deu,2014,20469.1
deu,2015,19295.8
deu,2016,20201.3
deu,2017,20353.5
deu,2018,20998.9
deu,2019,20224.4
deu,2020,19265
deu,2021,20490.3
deu,2022,19817.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,184.1
est,2009,105.4
est,2010,119.6
est,2011,134.8
est,2012,138.2
est,2013,138.6
est,2014,146.8
est,2015,152.7
est,2016,173.6
est,2017,200.9
est,2018,194.6
est,2019,188.3
est,2020,161
est,2021,196.5
est,2022,166.2
est,2023,123.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1419.2
irl,2009,859.1
irl,2010,727.3
irl,2011,727
irl,2012,630.5
irl,2013,632.3
irl,2014,670.9
irl,2015,754
irl,2016,825
irl,2017,889.1
irl,2018,967.7
irl,2019,1025.1
irl,2020,1031.2
irl,2021,1011.2
irl,2022,999.7
irl,2023,1040.5
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1791.2
grc,2009,1390.3
grc,2010,1349.3
grc,2011,929.2
grc,2012,746.2
grc,2013,749.7
grc,2014,818
grc,2015,759.1
grc,2016,780.1
grc,2017,771.4
grc,2018,808.3
grc,2019,869.4
grc,2020,827.4
grc,2021,872.5
grc,2022,958.8
grc,2023,940.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,10652
esp,2009,7806
esp,2010,7096
esp,2011,6714
esp,2012,5981
esp,2013,5561
esp,2014,5776
esp,2015,5830
esp,2016,5605
esp,2017,6117
esp,2018,6483
esp,2019,7232
esp,2020,6278
esp,2021,7538
esp,2022,7459
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8283
fra,2009,7344.5
fra,2010,7826.9
fra,2011,8658.1
fra,2012,8273.5
fra,2013,7999.8
fra,2014,8199.7
fra,2015,8507.9
fra,2016,8539.9
fra,2017,8735
fra,2018,8700.7
fra,2019,8811.9
fra,2020,7675.2
fra,2021,8920.5
fra,2022,8564.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,511.9
hrv,2009,420.5
hrv,2010,338.7
hrv,2011,346.7
hrv,2012,334.3
hrv,2013,324.7
hrv,2014,326.5
hrv,2015,325.9
hrv,2016,340.4
hrv,2017,362.2
hrv,2018,384.2
hrv,2019,339.8
hrv,2020,429.6
hrv,2021,649.2
hrv,2022,520.4
hrv,2023,482
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,15247.9
ita,2009,12436.6
ita,2010,13135.5
ita,2011,13065.9
ita,2012,11974.3
ita,2013,10897.8
ita,2014,10176.5
ita,2015,10086.8
ita,2016,10181.3
ita,2017,10334.9
ita,2018,10789.1
ita,2019,10666.3
ita,2020,9260.7
ita,2021,12542.8
ita,2022,12540.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,201.4
cyp,2009,164.7
cyp,2010,149.9
cyp,2011,140.2
cyp,2012,110.2
cyp,2013,68.6
cyp,2014,72.7
cyp,2015,87.2
cyp,2016,105.6
cyp,2017,111.3
cyp,2018,126
cyp,2019,141.7
cyp,2020,151.3
cyp,2021,139.7
cyp,2022,119.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,155.3
lva,2009,122.6
lva,2010,149.5
lva,2011,180.8
lva,2012,182.2
lva,2013,204.7
lva,2014,199.7
lva,2015,182.8
lva,2016,203.9
lva,2017,220.8
lva,2018,232.5
lva,2019,238.1
lva,2020,222.4
lva,2021,261.2
lva,2022,214.5
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,282.8
ltu,2009,152.7
ltu,2010,174.1
ltu,2011,211.7
ltu,2012,214.8
ltu,2013,237.8
ltu,2014,254.5
ltu,2015,238.1
ltu,2016,260
ltu,2017,272.2
ltu,2018,275.3
ltu,2019,282.6
ltu,2020,277.2
ltu,2021,302.9
ltu,2022,265.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1063.8
hun,2009,687.5
hun,2010,724
hun,2011,757.1
hun,2012,697
hun,2013,716.7
hun,2014,720.4
hun,2015,776.7
hun,2016,800.4
hun,2017,909.9
hun,2018,977.7
hun,2019,1034.9
hun,2020,878.7
hun,2021,1005.7
hun,2022,916.2
hun,2023,718.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,75.5
mlt,2021,97.5
mlt,2022,70.4
mlt,2023,70.3
mlt,2024,60.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3011.4
nld,2009,2551.6
nld,2010,2338.2
nld,2011,2491
nld,2012,2116
nld,2013,2061.3
nld,2014,1932.7
nld,2015,1910
nld,2016,2096.3
nld,2017,2224.8
nld,2018,2378.2
nld,2019,2353.4
nld,2020,2316
nld,2021,2409
nld,2022,2577.5
nld,2023,2171.6
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2859.3
aut,2009,2318.5
aut,2010,2508
aut,2011,2522.9
aut,2012,2462
aut,2013,2522.4
aut,2014,2645.2
aut,2015,2633.5
aut,2016,2750.9
aut,2017,2890.4
aut,2018,2855.9
aut,2019,2937
aut,2020,2577.6
