country,year,foradl_fast_jur_konsult_arki
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,518719.8
eu_three,2009,488939.2
eu_three,2010,495986
eu_three,2011,507308.2
eu_three,2012,507794.9
eu_three,2013,514884.9
eu_three,2014,521775.4
eu_three,2015,542329.2
eu_three,2016,556420.2
eu_three,2017,591918.4
eu_three,2018,620013.8
eu_three,2019,630101.3
eu_three,2020,627414.2
eu_three,2021,674454.8
eu_three,2022,716527.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,28807.5
bel,2009,30233.1
bel,2010,30546.3
bel,2011,31842.4
bel,2012,31085.2
bel,2013,32281.6
bel,2014,32947.4
bel,2015,34003.6
bel,2016,34314.9
bel,2017,36655.8
bel,2018,38006.4
bel,2019,39263.1
bel,2020,39617.4
bel,2021,42847.9
bel,2022,45037.5
bel,2023,45524.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,720
bgr,2009,834.7
bgr,2010,867.6
bgr,2011,867.2
bgr,2012,858.8
bgr,2013,859.4
bgr,2014,867.9
bgr,2015,1053.3
bgr,2016,1074.9
bgr,2017,1110.9
bgr,2018,1138.6
bgr,2019,1419.6
bgr,2020,1326.9
bgr,2021,1492.1
bgr,2022,1626.9
bgr,2023,1619.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4816.8
cze,2009,4641.3
cze,2010,4678.5
cze,2011,4488.9
cze,2012,5003.2
cze,2013,5024
cze,2014,4997.4
cze,2015,5208.3
cze,2016,5426.4
cze,2017,5795.6
cze,2018,6065.5
cze,2019,6426.9
cze,2020,6265.7
cze,2021,6900
cze,2022,7201.2
cze,2023,7148.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,9702.2
dnk,2009,9231.6
dnk,2010,9419.5
dnk,2011,9679.1
dnk,2012,9657.5
dnk,2013,10302.7
dnk,2014,10059.1
dnk,2015,10584.8
dnk,2016,10864.1
dnk,2017,11342.1
dnk,2018,11751.5
dnk,2019,11787.2
dnk,2020,11864.5
dnk,2021,13199.9
dnk,2022,13757.5
dnk,2023,13541.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,152580.7
deu,2009,130471.8
deu,2010,133510.2
deu,2011,136694
deu,2012,137243.5
deu,2013,137162.7
deu,2014,134916.2
deu,2015,140071.7
deu,2016,145194.9
deu,2017,159950.4
deu,2018,168984.6
deu,2019,166576.6
deu,2020,161615
deu,2021,169485.7
deu,2022,174285.6
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,540.3
est,2009,521
est,2010,526.6
est,2011,534.3
est,2012,542
est,2013,588.3
est,2014,601.8
est,2015,591.3
est,2016,620.2
est,2017,674.6
est,2018,762.2
est,2019,848.7
est,2020,853.5
est,2021,1006
est,2022,1184.5
est,2023,1059.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5621.5
irl,2009,5062.3
irl,2010,5918.3
irl,2011,6897.7
irl,2012,6810.4
irl,2013,7267.7
irl,2014,7914
irl,2015,8724.6
irl,2016,8319.4
irl,2017,10526.1
irl,2018,12863.4
irl,2019,14706.9
irl,2020,18012.9
irl,2021,19896.5
irl,2022,22025.1
irl,2023,21988.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,7848
grc,2009,7025.3
grc,2010,5682.8
grc,2011,5070.3
grc,2012,4833.6
grc,2013,4751.6
grc,2014,4129.7
grc,2015,4317.4
grc,2016,4025.4
grc,2017,3959.3
grc,2018,3974.9
grc,2019,4363.6
grc,2020,4184
grc,2021,4948.3
grc,2022,5453.8
grc,2023,6053.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,29570
esp,2009,29853
esp,2010,28130
esp,2011,28958
esp,2012,28116
esp,2013,28394
esp,2014,30025
esp,2015,31577
esp,2016,31875
esp,2017,33406
esp,2018,35914
esp,2019,38633
esp,2020,37094
esp,2021,41330
esp,2022,46101
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,96159.4
fra,2009,91124.8
fra,2010,96523.5
fra,2011,100535.2
fra,2012,102798
fra,2013,104599.2
fra,2014,106620.6
fra,2015,108934.5
fra,2016,111490.3
fra,2017,116840
fra,2018,120760.8
fra,2019,125446.6
fra,2020,117741.2
fra,2021,129670.8
fra,2022,134928.4
fra,2023,138788.2
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1623.6
hrv,2009,1502
hrv,2010,1418.6
hrv,2011,1513.9
hrv,2012,1449.6
hrv,2013,1463.1
hrv,2014,1495.5
hrv,2015,1480
hrv,2016,1475.4
hrv,2017,1524.7
hrv,2018,1578.5
hrv,2019,1642.3
hrv,2020,1562.6
hrv,2021,1716.9
hrv,2022,1913.4
hrv,2023,2086
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,74789.4
ita,2009,72699.2
ita,2010,73159.6
ita,2011,70988.1
ita,2012,67243.7
ita,2013,66355.3
ita,2014,65585.9
ita,2015,66821.6
ita,2016,69246.2
ita,2017,70490.8
ita,2018,72084
ita,2019,68133.1
ita,2020,71658.9
ita,2021,77343.6
ita,2022,86121.1
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1109.3
cyp,2009,1093.1
cyp,2010,1170.7
cyp,2011,1193.1
cyp,2012,1173.4
cyp,2013,1093.7
cyp,2014,1109
cyp,2015,1190
cyp,2016,1287.7
cyp,2017,1446.3
cyp,2018,1528.5
cyp,2019,1557
cyp,2020,1545.8
cyp,2021,1545.4
cyp,2022,1509.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,898.8
lva,2009,666.7
lva,2010,597.7
lva,2011,606.5
lva,2012,691.3
lva,2013,704.9
lva,2014,725.8
lva,2015,736
lva,2016,738.2
lva,2017,780.3
lva,2018,809
lva,2019,794.5
lva,2020,791.8
lva,2021,847.8
lva,2022,882.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,801
ltu,2009,669.5
ltu,2010,614.7
ltu,2011,656
ltu,2012,689.6
ltu,2013,737.5
ltu,2014,796.9
ltu,2015,856.4
ltu,2016,952.1
ltu,2017,1012.9
ltu,2018,1142.9
ltu,2019,1256.6
ltu,2020,1235.2
ltu,2021,1441
ltu,2022,1713.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2483.4
lux,2009,2433.2
lux,2010,2452.4
lux,2011,2697.2
lux,2012,2774.7
lux,2013,2851.1
lux,2014,2598.6
lux,2015,3310.3
lux,2016,4361.8
lux,2017,4294.7
lux,2018,4588
lux,2019,5396.8
lux,2020,5429.5
lux,2021,5144.6
lux,2022,5591
lux,2023,5696.4
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2761.9
hun,2009,2670.4
hun,2010,2761.1
hun,2011,2804.5
hun,2012,2776.8
hun,2013,2954
hun,2014,2950.7
hun,2015,3161.3
hun,2016,3369.1
hun,2017,3806.3
hun,2018,4184.7
hun,2019,4584.6
hun,2020,4847.1
hun,2021,5409.7
hun,2022,6199.7
hun,2023,6254.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,340.1
mlt,2009,335.9
mlt,2010,389
mlt,2011,423.4
mlt,2012,458.9
mlt,2013,453.6
mlt,2014,522.2
mlt,2015,617.6
mlt,2016,672.3
mlt,2017,755
mlt,2018,706.5
mlt,2019,741.5
mlt,2020,796.2
mlt,2021,934.3
mlt,2022,995
mlt,2023,1013.6
mlt,2024,1020.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,44226.1
nld,2009,43322.4
nld,2010,42711.1
nld,2011,44089.1
nld,2012,44334.7
nld,2013,43876
nld,2014,46559.6
nld,2015,49202.5
nld,2016,49755.4
nld,2017,51579.6
nld,2018,53138.6
nld,2019,54075.2
nld,2020,56603
nld,2021,61085
nld,2022,64656.9
nld,2023,68255.7
nld,2024,
