country,year,foradl_fast_jur_veten
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,715641.9
eu_three,2009,674681.7
eu_three,2010,685390.7
eu_three,2011,700677.3
eu_three,2012,704297
eu_three,2013,715782.9
eu_three,2014,726486.8
eu_three,2015,754093.2
eu_three,2016,778817.1
eu_three,2017,818370.8
eu_three,2018,852662.7
eu_three,2019,867554.7
eu_three,2020,861913
eu_three,2021,942222.1
eu_three,2022,998219.3
eu_three,2023,1010394.8
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,32617.8
bel,2009,33419.6
bel,2010,33763.7
bel,2011,35152.4
bel,2012,34412.6
bel,2013,35699.5
bel,2014,36426
bel,2015,37636
bel,2016,38299.7
bel,2017,40833.3
bel,2018,42421.3
bel,2019,43062.3
bel,2020,43544.7
bel,2021,47763.5
bel,2022,50161.5
bel,2023,50714
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1504.7
bgr,2009,1731.5
bgr,2010,1756.9
bgr,2011,1752.7
bgr,2012,1724.6
bgr,2013,1783.7
bgr,2014,1759.8
bgr,2015,2050.8
bgr,2016,2026.7
bgr,2017,2005
bgr,2018,2072.6
bgr,2019,2385.4
bgr,2020,2356.8
bgr,2021,2717.5
bgr,2022,2829.9
bgr,2023,2839.1
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,7663.5
cze,2009,7158
cze,2010,7442.8
cze,2011,7228
cze,2012,7991
cze,2013,8077.6
cze,2014,8219.3
cze,2015,8592.4
cze,2016,9076.8
cze,2017,9597
cze,2018,10027.4
cze,2019,10624.6
cze,2020,10356.3
cze,2021,11324.9
cze,2022,11908
cze,2023,11775.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,14069.2
dnk,2009,13496.1
dnk,2010,13448.5
dnk,2011,13184.2
dnk,2012,12803
dnk,2013,13676.7
dnk,2014,13736
dnk,2015,14474.9
dnk,2016,16586
dnk,2017,17028
dnk,2018,17603.8
dnk,2019,17882.9
dnk,2020,17902.5
dnk,2021,20037.7
dnk,2022,20720.1
dnk,2023,20800.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,197651.1
deu,2009,170489.9
deu,2010,175148.5
deu,2011,180020.9
deu,2012,181751.9
deu,2013,184209.4
deu,2014,182841.7
deu,2015,191453.8
deu,2016,201006.2
deu,2017,211904.9
deu,2018,222269.4
deu,2019,217610.7
deu,2020,213700
deu,2021,238361
deu,2022,241908.4
deu,2023,240006.5
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,956.8
est,2009,878.5
est,2010,904.8
est,2011,945.5
est,2012,971.6
est,2013,1030.2
est,2014,1062.8
est,2015,1064.1
est,2016,1099.8
est,2017,1198.2
est,2018,1315.3
est,2019,1397.4
est,2020,1417.8
est,2021,1707.3
est,2022,1872.9
est,2023,1798.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,8656.6
irl,2009,7877.3
irl,2010,8848.8
irl,2011,8776.6
irl,2012,8536.3
irl,2013,9287.2
irl,2014,10440.1
irl,2015,11475.9
irl,2016,10863.1
irl,2017,13765.7
irl,2018,16317.9
irl,2019,18466.3
irl,2020,21641.5
irl,2021,23924.6
irl,2022,26564.8
irl,2023,26390.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,10594.6
grc,2009,9630.4
grc,2010,7844.6
grc,2011,6735
grc,2012,6293.8
grc,2013,6079.3
grc,2014,5214.6
grc,2015,5415.2
grc,2016,5092.2
grc,2017,5119.5
grc,2018,5179
grc,2019,5622.5
grc,2020,5648.2
grc,2021,6586.6
grc,2022,7204.3
grc,2023,7951.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,41769
esp,2009,41813
esp,2010,40447
esp,2011,41753
esp,2012,41257
esp,2013,41216
esp,2014,43538
esp,2015,45720
esp,2016,47584
esp,2017,50388
esp,2018,52959
esp,2019,56689
esp,2020,53359
esp,2021,60470
esp,2022,68137
esp,2023,67459
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,145679.7
fra,2009,140643.6
fra,2010,147333.7
fra,2011,154014.6
fra,2012,156854.2
fra,2013,159895.7
fra,2014,162835.4
fra,2015,165679.3
fra,2016,168463.6
fra,2017,175023.8
fra,2018,180123.2
fra,2019,186306.9
fra,2020,177320
fra,2021,191224.8
fra,2022,197489.8
fra,2023,201305.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2287.2
hrv,2009,2100.8
hrv,2010,2017.4
hrv,2011,2126.5
hrv,2012,2084.8
hrv,2013,2107.5
hrv,2014,2121.6
hrv,2015,2100.9
hrv,2016,2133.6
hrv,2017,2187.6
hrv,2018,2287.9
hrv,2019,2433.6
hrv,2020,2332.6
hrv,2021,2503.5
hrv,2022,2769.9
hrv,2023,2977.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,109318.7
ita,2009,103783
ita,2010,104676.3
ita,2011,101542.9
ita,2012,98410.8
ita,2013,96651.4
ita,2014,96264.7
ita,2015,96741.4
ita,2016,99576.7
ita,2017,102220.1
ita,2018,105021
ita,2019,102634.6
ita,2020,105368
ita,2021,113185.9
ita,2022,127150.1
ita,2023,128714.2
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1246.9
cyp,2009,1226.3
cyp,2010,1312.6
cyp,2011,1325
cyp,2012,1297.3
cyp,2013,1204.2
cyp,2014,1225.3
cyp,2015,1311.7
cyp,2016,1422.8
cyp,2017,1587.4
cyp,2018,1692.9
cyp,2019,1795.2
cyp,2020,1801.2
cyp,2021,1862.9
cyp,2022,1866.3
cyp,2023,1807.7
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1447.1
lva,2009,1173.1
lva,2010,1047.1
lva,2011,1034.7
lva,2012,1167.2
lva,2013,1163.1
lva,2014,1172.1
lva,2015,1193.4
lva,2016,1219.9
lva,2017,1275.2
lva,2018,1288.9
lva,2019,1289.6
lva,2020,1308.7
lva,2021,1419.3
lva,2022,1503.3
lva,2023,1508.1
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1222.6
ltu,2009,1016.8
ltu,2010,958.4
ltu,2011,1015
ltu,2012,1058.6
ltu,2013,1139.5
ltu,2014,1217.2
ltu,2015,1308
ltu,2016,1434.5
ltu,2017,1533.7
ltu,2018,1686.2
ltu,2019,1810.9
ltu,2020,1805.6
ltu,2021,2110.3
ltu,2022,2423.4
ltu,2023,2429.7
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3182.1
lux,2009,3048.4
lux,2010,3073.5
lux,2011,3382.6
lux,2012,3487.8
lux,2013,3543.6
lux,2014,3227.6
lux,2015,3914.4
lux,2016,4973.1
lux,2017,4945
lux,2018,5243.3
lux,2019,6080.5
lux,2020,6049
lux,2021,5822.9
lux,2022,6265.9
lux,2023,6417.1
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4315
hun,2009,4183.9
hun,2010,4330.6
hun,2011,4385.5
hun,2012,4350.6
hun,2013,4604.6
hun,2014,4805.6
hun,2015,5140.1
hun,2016,5511.9
hun,2017,6092.4
hun,2018,6791.1
hun,2019,7397
hun,2020,7569
hun,2021,8490.2
hun,2022,9165
hun,2023,9086.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,355.5
mlt,2009,362.6
mlt,2010,419.8
mlt,2011,449.7
mlt,2012,503.8
mlt,2013,521.7
mlt,2014,615
mlt,2015,754.7
mlt,2016,913.2
mlt,2017,1077
mlt,2018,1098
mlt,2019,1172.6
mlt,2020,1299.7
mlt,2021,1462.8
mlt,2022,1591.7
mlt,2023,1696.5
mlt,2024,1780.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,52953.1
nld,2009,51602.8
nld,2010,51279
nld,2011,52812.6
nld,2012,53155.4
nld,2013,52921.9
nld,2014,55352.4
nld,2015,57918.8
nld,2016,59330.2
nld,2017,61382.9
