country,year,foradl_fast_konst
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,156924.5
eu_three,2009,157075.3
eu_three,2010,156285.7
eu_three,2011,159367.3
eu_three,2012,156216.1
eu_three,2013,155198.5
eu_three,2014,156759.1
eu_three,2015,162949
eu_three,2016,165980.2
eu_three,2017,172198.9
eu_three,2018,177087.5
eu_three,2019,183074.5
eu_three,2020,131462.4
eu_three,2021,138113.7
eu_three,2022,177842.9
eu_three,2023,189215.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3009.6
bel,2009,2405.4
bel,2010,2252.7
bel,2011,2367.1
bel,2012,2541.4
bel,2013,2571.6
bel,2014,2628.8
bel,2015,2739.5
bel,2016,2710.2
bel,2017,2722.3
bel,2018,2884.1
bel,2019,3052.2
bel,2020,1953.6
bel,2021,2397.9
bel,2022,3040.9
bel,2023,3115.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,712.6
bgr,2009,669.9
bgr,2010,585.4
bgr,2011,666.2
bgr,2012,635
bgr,2013,618.3
bgr,2014,596
bgr,2015,664.3
bgr,2016,673
bgr,2017,711.5
bgr,2018,712.5
bgr,2019,766
bgr,2020,536.5
bgr,2021,476.1
bgr,2022,560.5
bgr,2023,603.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1343.2
cze,2009,1248.9
cze,2010,1190.6
cze,2011,1265.6
cze,2012,1242
cze,2013,1262.9
cze,2014,1283.4
cze,2015,1445
cze,2016,1584.2
cze,2017,1661
cze,2018,1781.7
cze,2019,2100.3
cze,2020,1850.8
cze,2021,2032.6
cze,2022,2437.6
cze,2023,2514.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4696.3
dnk,2009,4468.2
dnk,2010,4350.6
dnk,2011,4265.1
dnk,2012,4432.4
dnk,2013,4654.4
dnk,2014,4510.4
dnk,2015,4499.1
dnk,2016,4553.2
dnk,2017,4695.9
dnk,2018,4599.1
dnk,2019,4611.6
dnk,2020,3806.1
dnk,2021,4032.5
dnk,2022,5060.7
dnk,2023,5366.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,34952.8
deu,2009,34625.8
deu,2010,34117.9
deu,2011,34903.2
deu,2012,35081.2
deu,2013,33837.6
deu,2014,33773.4
deu,2015,34856.4
deu,2016,34792.2
deu,2017,35755.6
deu,2018,36354
deu,2019,37428.4
deu,2020,29193
deu,2021,28355.2
deu,2022,36278.1
deu,2023,37174.4
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,365
est,2009,306.1
est,2010,298.2
est,2011,308.7
est,2012,335.3
est,2013,349.5
est,2014,364.6
est,2015,370.9
est,2016,381.9
est,2017,414.9
est,2018,435.7
est,2019,439.5
est,2020,407.7
est,2021,460
est,2022,521
est,2023,538.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1830.2
irl,2009,1807.7
irl,2010,1809.3
irl,2011,1719.7
irl,2012,1797.3
irl,2013,1828.3
irl,2014,1952
irl,2015,2164
irl,2016,2625.2
irl,2017,2655.8
irl,2018,2724.9
irl,2019,2721.7
irl,2020,2143.7
irl,2021,2327.6
irl,2022,3031.4
irl,2023,3061.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2919.3
grc,2009,3259.9
grc,2010,2175.3
grc,2011,2146.8
grc,2012,2060
grc,2013,2169.3
grc,2014,2187.2
grc,2015,2268.9
grc,2016,2164.2
grc,2017,2401.4
grc,2018,2638.9
grc,2019,2648.2
grc,2020,1780.3
grc,2021,2042.1
grc,2022,2425.3
grc,2023,2641.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,18256
esp,2009,18577
esp,2010,18940
esp,2011,19194
esp,2012,18492
esp,2013,19417
esp,2014,19517
esp,2015,21775
esp,2016,21963
esp,2017,23550
esp,2018,24293
esp,2019,23653
esp,2020,16070
esp,2021,16711
esp,2022,20275
esp,2023,21749
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,38695.8
fra,2009,39169
fra,2010,40268.8
fra,2011,40340.8
fra,2012,40092.2
fra,2013,40757.5
fra,2014,41284.7
fra,2015,41805.2
fra,2016,41927.2
fra,2017,43004.8
fra,2018,44801.4
fra,2019,46510.1
fra,2020,26576.2
fra,2021,30863.5
fra,2022,44183
fra,2023,46714.6
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,663.8
hrv,2009,651.5
hrv,2010,729.2
hrv,2011,744.6
hrv,2012,734.4
hrv,2013,742.1
hrv,2014,737.5
hrv,2015,725.1
hrv,2016,785.5
hrv,2017,828.9
hrv,2018,855.3
hrv,2019,928.8
hrv,2020,775.9
hrv,2021,763.7
hrv,2022,873
hrv,2023,931.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18350.6
ita,2009,17900.6
ita,2010,18690.3
ita,2011,19146.1
ita,2012,17594.9
ita,2013,16405.2
ita,2014,17012.4
ita,2015,17162.8
ita,2016,18801.2
ita,2017,19035.7
ita,2018,19035.6
ita,2019,20123.4
ita,2020,14440.6
ita,2021,13876.1
ita,2022,18906.2
ita,2023,21379.3
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,245.2
cyp,2009,250.4
cyp,2010,284.9
cyp,2011,329.6
cyp,2012,330.8
cyp,2013,263.1
cyp,2014,262.2
cyp,2015,267.3
cyp,2016,279.9
cyp,2017,295.6
cyp,2018,316.4
cyp,2019,348.8
cyp,2020,248.9
cyp,2021,307.3
cyp,2022,364.1
cyp,2023,372.8
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,604.9
lva,2009,374.6
lva,2010,402.8
lva,2011,404.4
lva,2012,470
lva,2013,506.3
lva,2014,468.3
lva,2015,507
lva,2016,533.1
lva,2017,561.2
lva,2018,595.2
lva,2019,606.7
lva,2020,401.9
lva,2021,413.3
lva,2022,560.4
lva,2023,636.4
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,460.5
ltu,2009,427.3
ltu,2010,380.8
ltu,2011,380.2
ltu,2012,398.7
ltu,2013,441.5
ltu,2014,492.6
ltu,2015,517.7
ltu,2016,533.8
ltu,2017,546.6
ltu,2018,547.8
ltu,2019,555.3
ltu,2020,470.3
ltu,2021,491.6
ltu,2022,585.8
ltu,2023,611.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,306.7
lux,2009,327.7
lux,2010,338.4
lux,2011,341.4
lux,2012,349.9
lux,2013,366
lux,2014,361.1
lux,2015,372.3
lux,2016,362.7
lux,2017,374.8
lux,2018,368.8
lux,2019,399.2
lux,2020,381.5
lux,2021,408.7
lux,2022,443.6
lux,2023,447.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,973.1
hun,2009,882.2
hun,2010,964.2
hun,2011,969
hun,2012,979.8
hun,2013,1073.6
hun,2014,1142.8
hun,2015,1242.4
hun,2016,1291.2
hun,2017,1445.6
hun,2018,1541.2
hun,2019,1738.3
hun,2020,1559.2
hun,2021,1712
hun,2022,1951.4
hun,2023,1978.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,752.4
mlt,2009,730.9
mlt,2010,673
mlt,2011,649
mlt,2012,665
mlt,2013,749.6
mlt,2014,1031.8
mlt,2015,1052.4
mlt,2016,938.2
mlt,2017,1255.9
mlt,2018,1402.1
mlt,2019,1137.3
mlt,2020,1777.9
mlt,2021,1715.7
mlt,2022,1379.5
mlt,2023,1433.3
mlt,2024,1397
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9655.6
nld,2009,9344.8
nld,2010,9259.6
nld,2011,9409.9
nld,2012,9228.2
nld,2013,8905.6
nld,2014,8916.7
nld,2015,9086.7
nld,2016,9283.9
nld,2017,9495.7
nld,2018,9728.3
nld,2019,10100.6
nld,2020,6504
nld,2021,6442
nld,2022,9892.5
nld,2023,11105.4
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
