country,year,foradl_fast_kreativ
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,94601.6
eu_three,2009,95328.7
eu_three,2010,94847.5
eu_three,2011,96184.5
eu_three,2012,93098.1
eu_three,2013,90968.1
eu_three,2014,90829.1
eu_three,2015,94396.3
eu_three,2016,95550.3
eu_three,2017,99139.9
eu_three,2018,101664.6
eu_three,2019,105084.7
eu_three,2020,78006.5
eu_three,2021,81725.9
eu_three,2022,102919.6
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1767.1
bel,2009,1288.7
bel,2010,1175
bel,2011,1276.6
bel,2012,1445.8
bel,2013,1493.8
bel,2014,1517.9
bel,2015,1674.7
bel,2016,1658.9
bel,2017,1730.7
bel,2018,1768.5
bel,2019,1940.8
bel,2020,1407.1
bel,2021,1743.9
bel,2022,1948.9
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,567.6
bgr,2009,559.7
bgr,2010,454
bgr,2011,508.6
bgr,2012,486.9
bgr,2013,487.1
bgr,2014,455.3
bgr,2015,496.9
bgr,2016,488.6
bgr,2017,516.2
bgr,2018,506.8
bgr,2019,587.4
bgr,2020,427.5
bgr,2021,342.1
bgr,2022,416.4
bgr,2023,474
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,775.8
cze,2009,726.6
cze,2010,714.8
cze,2011,744.9
cze,2012,727.2
cze,2013,747.4
cze,2014,780
cze,2015,884.6
cze,2016,974.3
cze,2017,1019.3
cze,2018,1128.6
cze,2019,1379.4
cze,2020,1310.2
cze,2021,1550.6
cze,2022,1798.9
cze,2023,1930
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3650.9
dnk,2009,3429.9
dnk,2010,3380.6
dnk,2011,3157
dnk,2012,3266.3
dnk,2013,3372.6
dnk,2014,3277.3
dnk,2015,3267.7
dnk,2016,3242.8
dnk,2017,3382.1
dnk,2018,3271.6
dnk,2019,3227.4
dnk,2020,2699
dnk,2021,2720.3
dnk,2022,3394.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,20693
deu,2009,20529.9
deu,2010,20083.8
deu,2011,20027.8
deu,2012,20488.3
deu,2013,19186.8
deu,2014,18892.6
deu,2015,19728.8
deu,2016,19938.3
deu,2017,20421.2
deu,2018,20563.5
deu,2019,21035.1
deu,2020,15989
deu,2021,15136.8
deu,2022,19632.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,256
est,2009,202.1
est,2010,202.5
est,2011,209.6
est,2012,224.2
est,2013,234.7
est,2014,234.5
est,2015,233.3
est,2016,235.1
est,2017,252
est,2018,263.1
est,2019,257
est,2020,240.7
est,2021,295.3
est,2022,334.8
est,2023,357.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1508.3
irl,2009,1425.1
irl,2010,1354.6
irl,2011,1249.9
irl,2012,1199.6
irl,2013,1120.6
irl,2014,1111.2
irl,2015,1179.4
irl,2016,1587.7
irl,2017,1611.7
irl,2018,1661.1
irl,2019,1644.2
irl,2020,1466.4
irl,2021,1545.4
irl,2022,1918
irl,2023,1905.1
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2685.9
grc,2009,2978
grc,2010,1894.9
grc,2011,1841.9
grc,2012,1686.3
grc,2013,1722.9
grc,2014,1809
grc,2015,1898.3
grc,2016,1802.9
grc,2017,2019.7
grc,2018,2226.4
grc,2019,2199.9
grc,2020,1504.4
grc,2021,1740.3
grc,2022,1996.5
grc,2023,2205.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,10766
esp,2009,11035
esp,2010,11152
esp,2011,11179
esp,2012,10428
esp,2013,11038
esp,2014,10449
esp,2015,11578
esp,2016,11120
esp,2017,11718
esp,2018,11966
esp,2019,10936
esp,2020,7758
esp,2021,7527
esp,2022,8989
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,19619.5
fra,2009,20081.4
fra,2010,20604.1
fra,2011,20452.3
fra,2012,20177.1
fra,2013,19911
fra,2014,20081.2
fra,2015,20431.6
fra,2016,20283.1
fra,2017,20897.1
fra,2018,22302.3
fra,2019,23158.3
fra,2020,14136.4
fra,2021,17299
fra,2022,23842.2
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,424.6
hrv,2009,414.6
hrv,2010,459.7
hrv,2011,458.6
hrv,2012,447.6
hrv,2013,450.3
hrv,2014,443.5
hrv,2015,439.8
hrv,2016,464.6
hrv,2017,492.7
hrv,2018,514.1
hrv,2019,595.6
hrv,2020,505.8
hrv,2021,468.5
hrv,2022,510.5
hrv,2023,580.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,9993
ita,2009,10250.2
ita,2010,11170
ita,2011,11395.2
ita,2012,10280.3
ita,2013,9444.1
ita,2014,9723.2
ita,2015,9609
ita,2016,10560.5
ita,2017,10927
ita,2018,10675.3
ita,2019,11398
ita,2020,8769.9
ita,2021,8320.7
ita,2022,11207
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,125
cyp,2009,109.7
cyp,2010,165.9
cyp,2011,230.8
cyp,2012,221.2
cyp,2013,170.5
cyp,2014,160.3
cyp,2015,171.1
cyp,2016,179.5
cyp,2017,177.5
cyp,2018,206
cyp,2019,235.2
cyp,2020,178.4
cyp,2021,210.9
cyp,2022,219.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,481.9
lva,2009,280.5
lva,2010,281.5
lva,2011,296.7
lva,2012,335.1
lva,2013,356.6
lva,2014,353.6
lva,2015,387.7
lva,2016,402.7
lva,2017,425.1
lva,2018,455.8
lva,2019,468.2
lva,2020,298.8
lva,2021,308.7
lva,2022,438.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,404.9
ltu,2009,378
ltu,2010,338.1
ltu,2011,334.8
ltu,2012,350.5
ltu,2013,389.4
ltu,2014,433.5
ltu,2015,445.3
ltu,2016,451.5
ltu,2017,453.9
ltu,2018,438.5
ltu,2019,439.4
ltu,2020,384.1
ltu,2021,395.3
ltu,2022,459.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,182.4
lux,2009,195.9
lux,2010,196.8
lux,2011,200.2
lux,2012,193.5
lux,2013,207.5
lux,2014,207.4
lux,2015,209.2
lux,2016,210.2
lux,2017,211.4
lux,2018,216.1
lux,2019,226.2
lux,2020,220.8
lux,2021,232
lux,2022,249.7
lux,2023,255.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,736.8
hun,2009,678.8
hun,2010,738.5
hun,2011,737.1
hun,2012,738.5
hun,2013,820.5
hun,2014,848.9
hun,2015,942.8
hun,2016,965.7
hun,2017,1001.3
hun,2018,1012.4
hun,2019,1141.7
hun,2020,976.5
hun,2021,1096.2
hun,2022,1198
hun,2023,1210.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,724.8
mlt,2009,706.6
mlt,2010,645.1
mlt,2011,619.6
mlt,2012,632.3
mlt,2013,716.7
mlt,2014,998.1
mlt,2015,1018.9
mlt,2016,903.3
mlt,2017,1217.6
mlt,2018,1359.6
mlt,2019,1098.4
mlt,2020,1744.1
mlt,2021,1673.4
mlt,2022,1327.2
mlt,2023,1373.9
mlt,2024,1332.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,6841.6
nld,2009,6535.6
nld,2010,6463.8
nld,2011,6556.3
nld,2012,6309.6
nld,2013,6017.8
nld,2014,6037.9
nld,2015,6214.2
nld,2016,6441
nld,2017,6607.7
nld,2018,6806
nld,2019,7184.6
nld,2020,4803
nld,2021,4743
nld,2022,6578
nld,2023,7581.9
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2598.5
aut,2009,2608.6
aut,2010,2663.6
