country,year,foradl_fast_livs
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,229224.1
eu_three,2009,223253.5
eu_three,2010,237936.9
eu_three,2011,239053.2
eu_three,2012,234673.2
eu_three,2013,230675.9
eu_three,2014,234388.6
eu_three,2015,247382.7
eu_three,2016,248202.3
eu_three,2017,253515.8
eu_three,2018,254957.8
eu_three,2019,259347
eu_three,2020,246153.7
eu_three,2021,263672.1
eu_three,2022,265578
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,10275.5
bel,2009,10309.7
bel,2010,10199.8
bel,2011,10112
bel,2012,10100.3
bel,2013,10130.7
bel,2014,9906.3
bel,2015,9851.1
bel,2016,9445.1
bel,2017,9388.9
bel,2018,9443.3
bel,2019,9387.4
bel,2020,8523
bel,2021,9274.3
bel,2022,9502.1
bel,2023,9533.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1233.3
bgr,2009,1356.3
bgr,2010,1296.7
bgr,2011,1217
bgr,2012,1583
bgr,2013,1473.7
bgr,2014,1347.6
bgr,2015,1324.3
bgr,2016,1270.7
bgr,2017,965.5
bgr,2018,1230.3
bgr,2019,1422.6
bgr,2020,1514.8
bgr,2021,1154.5
bgr,2022,1840.3
bgr,2023,1721.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3441.5
cze,2009,3260.3
cze,2010,3353
cze,2011,3551
cze,2012,3439.2
cze,2013,3258.9
cze,2014,3236.6
cze,2015,3501.3
cze,2016,3707.4
cze,2017,3902.3
cze,2018,4062.9
cze,2019,4251.4
cze,2020,4093.9
cze,2021,4053.7
cze,2022,3899.4
cze,2023,3417.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,4090.9
dnk,2009,4017.9
dnk,2010,4000.4
dnk,2011,3967.8
dnk,2012,3868.6
dnk,2013,3904.7
dnk,2014,3931.8
dnk,2015,3592.4
dnk,2016,3724.2
dnk,2017,4029.1
dnk,2018,3809.3
dnk,2019,4126.3
dnk,2020,4182.6
dnk,2021,4519.3
dnk,2022,4222.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,42357.6
deu,2009,40510.2
deu,2010,48923.6
deu,2011,47530.2
deu,2012,45123.3
deu,2013,44680
deu,2014,45545.6
deu,2015,49736.5
deu,2016,51684.1
deu,2017,51541.6
deu,2018,51520.5
deu,2019,51963.9
deu,2020,52782
deu,2021,52697.6
deu,2022,48939.5
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,458.5
est,2009,445.6
est,2010,448.2
est,2011,449.2
est,2012,439.8
est,2013,461.1
est,2014,496.2
est,2015,485.5
est,2016,490.2
est,2017,512.2
est,2018,523.9
est,2019,519.5
est,2020,459.6
est,2021,498.9
est,2022,566.2
est,2023,501.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,6106.6
irl,2009,5791.4
irl,2010,5995.2
irl,2011,7144
irl,2012,7077.8
irl,2013,7612.5
irl,2014,8207.5
irl,2015,8561.1
irl,2016,8304.6
irl,2017,7977.9
irl,2018,8037.5
irl,2019,8594.6
irl,2020,7762.7
irl,2021,9235.6
irl,2022,10142.6
irl,2023,11864
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6721.1
grc,2009,6435.5
grc,2010,6514.2
grc,2011,6004.6
grc,2012,5987.4
grc,2013,5264.8
grc,2014,5278.6
grc,2015,5024.9
grc,2016,4826.6
grc,2017,4668.1
grc,2018,4874.1
grc,2019,4981
grc,2020,4890.8
grc,2021,5665.3
grc,2022,5763.6
grc,2023,5752.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,33839
esp,2009,33405
esp,2010,34454
esp,2011,32151
esp,2012,30629
esp,2013,28368
esp,2014,27596
esp,2015,28781
esp,2016,28328
esp,2017,31021
esp,2018,27669
esp,2019,28485
esp,2020,23924
esp,2021,26724
esp,2022,30477
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,34429.3
fra,2009,34726.8
fra,2010,36220.6
fra,2011,37788.1
fra,2012,37341.4
fra,2013,37242
fra,2014,38260.4
fra,2015,38946.7
fra,2016,39815.7
fra,2017,40863
fra,2018,40631.5
fra,2019,40865.6
fra,2020,39686.4
fra,2021,44048.7
fra,2022,41885.3
fra,2023,39785.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1442
hrv,2009,1404.8
hrv,2010,1437.2
hrv,2011,1481.2
hrv,2012,1397.4
hrv,2013,1359.5
hrv,2014,1410.9
hrv,2015,1391.6
hrv,2016,1430.7
hrv,2017,1467.7
hrv,2018,1549.4
hrv,2019,1563.3
hrv,2020,1368.1
hrv,2021,1603.5
hrv,2022,1292.3
hrv,2023,1251.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,26420.5
ita,2009,25401.6
ita,2010,27728.7
ita,2011,29170
ita,2012,28710
ita,2013,28073.8
ita,2014,27522
ita,2015,29258
ita,2016,29118.9
ita,2017,30568.9
ita,2018,30918.5
ita,2019,31511.6
ita,2020,28398.8
ita,2021,33715.3
ita,2022,33566.1
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,393.8
cyp,2009,423.7
cyp,2010,389
cyp,2011,332.6
cyp,2012,307.8
cyp,2013,260.4
cyp,2014,254.4
cyp,2015,259.2
cyp,2016,311.2
cyp,2017,329.4
cyp,2018,373.6
cyp,2019,391
cyp,2020,369.9
cyp,2021,365.6
cyp,2022,311
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,889.8
lva,2009,621.9
lva,2010,622.8
lva,2011,535.4
lva,2012,584
lva,2013,600.6
lva,2014,586
lva,2015,600.6
lva,2016,594.1
lva,2017,582.7
lva,2018,641.6
lva,2019,591.5
lva,2020,631.9
lva,2021,677.1
lva,2022,617.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1404.1
ltu,2009,1298.3
ltu,2010,1295.2
ltu,2011,1358.3
ltu,2012,1408.5
ltu,2013,1462.6
ltu,2014,1502.4
ltu,2015,1540.7
ltu,2016,1526.9
ltu,2017,1505.4
ltu,2018,1561.8
ltu,2019,1609.2
ltu,2020,1630.8
ltu,2021,1657.5
ltu,2022,1593.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2100.5
hun,2009,2386.3
hun,2010,2485.4
hun,2011,2138.9
hun,2012,2216
hun,2013,2078.8
hun,2014,2119
hun,2015,2271
hun,2016,2341.5
hun,2017,2357.1
hun,2018,2622.4
hun,2019,2557.3
hun,2020,2456.8
hun,2021,2672.7
hun,2022,2694.7
hun,2023,2305.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,143.6
mlt,2009,132.8
mlt,2010,124
mlt,2011,123.9
mlt,2012,121.1
mlt,2013,133.5
mlt,2014,152.4
mlt,2015,162.3
mlt,2016,149.7
mlt,2017,157.6
mlt,2018,156.8
mlt,2019,150.2
mlt,2020,131
mlt,2021,126.8
mlt,2022,131.3
mlt,2023,134
mlt,2024,145
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,14379.7
nld,2009,14220.9
nld,2010,13979.5
nld,2011,14041.1
nld,2012,14686.5
nld,2013,14991.6
nld,2014,15447.9
nld,2015,15879.5
nld,2016,15601.1
nld,2017,15536.3
nld,2018,15862.9
nld,2019,16022.1
nld,2020,15523
nld,2021,16972
nld,2022,17017
nld,2023,16681
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5786
aut,2009,5597.4
