country,year,foradl_fast_maskin_rep
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,83659.9
eu_three,2009,78980
eu_three,2010,79852.4
eu_three,2011,82243.8
eu_three,2012,84181.2
eu_three,2013,81709.6
eu_three,2014,81320.1
eu_three,2015,84409.6
eu_three,2016,83243.8
eu_three,2017,82647.7
eu_three,2018,83964
eu_three,2019,88308.7
eu_three,2020,81629.7
eu_three,2021,85021.7
eu_three,2022,93351.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,615.5
bel,2009,1422
bel,2010,1423.3
bel,2011,1550.6
bel,2012,1503.5
bel,2013,1611.1
bel,2014,1630.5
bel,2015,1722.8
bel,2016,1786.8
bel,2017,1969
bel,2018,1953.3
bel,2019,2121.7
bel,2020,1640.3
bel,2021,1695
bel,2022,2094.9
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,273.1
bgr,2009,221.2
bgr,2010,218.1
bgr,2011,234.2
bgr,2012,241.2
bgr,2013,221.1
bgr,2014,244
bgr,2015,242.1
bgr,2016,264.5
bgr,2017,281
bgr,2018,327.7
bgr,2019,337.9
bgr,2020,321.4
bgr,2021,397.6
bgr,2022,494.4
bgr,2023,409.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2130.9
cze,2009,1889.7
cze,2010,1828.1
cze,2011,1963.2
cze,2012,1913.1
cze,2013,1943.8
cze,2014,2014.4
cze,2015,1909.8
cze,2016,1997.7
cze,2017,1919.4
cze,2018,1979.5
cze,2019,2121.7
cze,2020,1906.1
cze,2021,1957.1
cze,2022,2036.8
cze,2023,1793.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,849.3
dnk,2009,687.4
dnk,2010,641.5
dnk,2011,764.4
dnk,2012,974.8
dnk,2013,901.9
dnk,2014,662.5
dnk,2015,918.5
dnk,2016,913.7
dnk,2017,910.6
dnk,2018,909.6
dnk,2019,880.9
dnk,2020,841.4
dnk,2021,1020.4
dnk,2022,1129.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,18393.9
deu,2009,16512.6
deu,2010,16762.1
deu,2011,17776.8
deu,2012,17989.7
deu,2013,17755.1
deu,2014,18161
deu,2015,19202.3
deu,2016,18472.1
deu,2017,16672.3
deu,2018,15970.3
deu,2019,17953.1
deu,2020,16634
deu,2021,17289.4
deu,2022,21053.7
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,113.4
est,2009,99.2
est,2010,104.4
est,2011,121.5
est,2012,133.7
est,2013,143.8
est,2014,150.4
est,2015,158.2
est,2016,159
est,2017,176.9
est,2018,229.2
est,2019,258
est,2020,186.7
est,2021,191.3
est,2022,214.8
est,2023,323.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,343.3
irl,2009,322.8
irl,2010,298.1
irl,2011,382
irl,2012,402.7
irl,2013,489.9
irl,2014,484.1
irl,2015,586.6
irl,2016,639.1
irl,2017,621.4
irl,2018,578.2
irl,2019,738.7
irl,2020,471.9
irl,2021,595.2
irl,2022,584.6
irl,2023,850.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,391.5
grc,2009,390.1
grc,2010,515.9
grc,2011,462.5
grc,2012,537.9
grc,2013,642.4
grc,2014,604.2
grc,2015,725.9
grc,2016,639
grc,2017,514.9
grc,2018,448.3
grc,2019,494.9
grc,2020,291
grc,2021,337
grc,2022,247.7
grc,2023,429.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5614
esp,2009,5740
esp,2010,5814
esp,2011,5415
esp,2012,5047
esp,2013,4903
esp,2014,5045
esp,2015,5744
esp,2016,5662
esp,2017,5780
esp,2018,5990
esp,2019,6244
esp,2020,5561
esp,2021,5743
esp,2022,6303
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,27673.8
fra,2009,27102.9
fra,2010,26690.4
fra,2011,27622.2
fra,2012,28441.9
fra,2013,27002.4
fra,2014,26494.1
fra,2015,26548.9
fra,2016,25830.7
fra,2017,25996.5
fra,2018,26688.2
fra,2019,27794.6
fra,2020,26686.7
fra,2021,29604.7
fra,2022,30276.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,144.3
hrv,2009,161.2
hrv,2010,168.9
hrv,2011,172.2
hrv,2012,177
hrv,2013,178.4
hrv,2014,183
hrv,2015,208.6
hrv,2016,226.4
hrv,2017,251.6
hrv,2018,262.9
hrv,2019,174.8
hrv,2020,289.6
hrv,2021,308.9
hrv,2022,482.3
hrv,2023,607
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,10108.2
ita,2009,9404.5
ita,2010,9362.7
ita,2011,9231.2
ita,2012,9142
ita,2013,9096.9
ita,2014,8915.3
ita,2015,8882.3
ita,2016,9227.5
ita,2017,9051.8
ita,2018,8960.2
ita,2019,9518.7
ita,2020,8320.8
ita,2021,8780.5
ita,2022,9301.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,11.4
cyp,2009,14
cyp,2010,15.9
cyp,2011,17.4
cyp,2012,25.8
cyp,2013,28.6
cyp,2014,36.8
cyp,2015,50.2
cyp,2016,63.2
cyp,2017,91.8
cyp,2018,109.6
cyp,2019,124.8
cyp,2020,97.4
cyp,2021,106.5
cyp,2022,117.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,209.4
lva,2009,178.8
lva,2010,188.1
lva,2011,189.4
lva,2012,259.4
lva,2013,209.7
lva,2014,183.5
lva,2015,184.6
lva,2016,182.7
lva,2017,193.4
lva,2018,162.3
lva,2019,135.2
lva,2020,128.7
lva,2021,129.3
lva,2022,177.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,171.4
ltu,2009,156.6
ltu,2010,160.2
ltu,2011,160.8
ltu,2012,209.2
ltu,2013,238.6
ltu,2014,254.7
ltu,2015,236.1
ltu,2016,246.4
ltu,2017,275.2
ltu,2018,346.9
ltu,2019,403.2
ltu,2020,346.4
ltu,2021,364.9
ltu,2022,416.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,453.1
hun,2009,538.9
hun,2010,536.7
hun,2011,514.1
hun,2012,599.8
hun,2013,611
hun,2014,627
hun,2015,577.5
hun,2016,564.7
hun,2017,568.9
hun,2018,737.4
hun,2019,822.5
hun,2020,799.8
hun,2021,881.1
hun,2022,963.8
hun,2023,1013.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,161.3
mlt,2009,90
mlt,2010,50
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,91.5
mlt,2016,86.7
mlt,2017,89.7
mlt,2018,
mlt,2019,79.8
mlt,2020,80
mlt,2021,79.2
mlt,2022,89.6
mlt,2023,81.8
mlt,2024,120.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4113.5
nld,2009,3877.3
nld,2010,3930.2
nld,2011,4148.6
nld,2012,4276.9
nld,2013,3984.3
nld,2014,3870.7
nld,2015,3638.4
nld,2016,3554.6
nld,2017,3806.3
nld,2018,4281
nld,2019,3926.7
nld,2020,3578
nld,2021,3547
nld,2022,3897.9
nld,2023,4234.6
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1761.8
aut,2009,1551.6
aut,2010,2046.8
aut,2011,2069.8
aut,2012,2264.6
aut,2013,2164
aut,2014,2105.9
aut,2015,2065.2
aut,2016,2225
aut,2017,2233
aut,2018,2257
aut,2019,2329.8
aut,2020,2231.1
