country,year,foradl_fast_mobel_smyck
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,185072.3
eu_three,2009,166919.1
eu_three,2010,168837
eu_three,2011,174684.5
eu_three,2012,172669.8
eu_three,2013,166935.1
eu_three,2014,171301.8
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2181
bel,2009,2909.2
bel,2010,2888.9
bel,2011,3085.6
bel,2012,2967.5
bel,2013,3024.8
bel,2014,3105.1
bel,2015,3236.6
bel,2016,3238
bel,2017,3379.9
bel,2018,3354.5
bel,2019,3699.1
bel,2020,3065.6
bel,2021,3069.5
bel,2022,3554.8
bel,2023,3657.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,576.8
bgr,2009,496.1
bgr,2010,557.2
bgr,2011,619.4
bgr,2012,746.2
bgr,2013,764.4
bgr,2014,829
bgr,2015,793
bgr,2016,846.6
bgr,2017,893.5
bgr,2018,884.6
bgr,2019,888.9
bgr,2020,724.6
bgr,2021,925
bgr,2022,1129.4
bgr,2023,1024.3
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3515.2
cze,2009,3025.6
cze,2010,2989.5
cze,2011,3273
cze,2012,3226.2
cze,2013,3321.7
cze,2014,3415.7
cze,2015,3370
cze,2016,3629.2
cze,2017,3719.6
cze,2018,3880.7
cze,2019,4083
cze,2020,3659.4
cze,2021,3910
cze,2022,4256.4
cze,2023,3882.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3175.9
dnk,2009,2916
dnk,2010,3011.7
dnk,2011,3276
dnk,2012,3495.9
dnk,2013,3523.9
dnk,2014,3349.7
dnk,2015,3490.8
dnk,2016,3716.4
dnk,2017,3553.2
dnk,2018,3596.1
dnk,2019,3549.9
dnk,2020,3571.8
dnk,2021,4386
dnk,2022,4875.9
dnk,2023,5324.2
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,43329.5
deu,2009,37960.7
deu,2010,41356.4
deu,2011,44734.5
deu,2012,43950.5
deu,2013,42334.1
deu,2014,43536.5
deu,2015,44875.4
deu,2016,43884.5
deu,2017,44747.7
deu,2018,42783.4
deu,2019,45588.9
deu,2020,44043
deu,2021,46416.9
deu,2022,51244
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,328.4
est,2009,259.2
est,2010,289.4
est,2011,327.6
est,2012,350.5
est,2013,365.4
est,2014,372.3
est,2015,384.6
est,2016,404.1
est,2017,421.4
est,2018,474.7
est,2019,523.4
est,2020,443.1
est,2021,504.2
est,2022,508
est,2023,567.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,22371.8
irl,2009,14298
irl,2010,6966
irl,2011,7513
irl,2012,7661.7
irl,2013,7646.2
irl,2014,10932.5
irl,2015,12896.8
irl,2016,16464.6
irl,2017,12654.3
irl,2018,11515.4
irl,2019,12238.9
irl,2020,9170.4
irl,2021,12594.1
irl,2022,14280.4
irl,2023,13046.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1280.1
grc,2009,1218.7
grc,2010,1181.8
grc,2011,1008.2
grc,2012,973.8
grc,2013,944
grc,2014,889.5
grc,2015,1021.4
grc,2016,919.9
grc,2017,802.5
grc,2018,772.2
grc,2019,834
grc,2020,642.9
grc,2021,742.7
grc,2022,696.7
grc,2023,908.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,13454
esp,2009,12314
esp,2010,11733
esp,2011,11036
esp,2012,10523
esp,2013,9793
esp,2014,9909
esp,2015,10509
esp,2016,10371
esp,2017,10851
esp,2018,11215
esp,2019,11767
esp,2020,10069
esp,2021,11364
esp,2022,12479
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,37804.1
fra,2009,36746.6
fra,2010,36159.1
fra,2011,37005.9
fra,2012,37450.1
fra,2013,35631.4
fra,2014,35176.4
fra,2015,34905
fra,2016,33813.6
fra,2017,33829.2
fra,2018,34632.1
fra,2019,36001.7
fra,2020,33882.9
fra,2021,38143.8
fra,2022,39198.5
fra,2023,39177.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,373.6
hrv,2009,366.2
hrv,2010,357.4
hrv,2011,363.6
hrv,2012,352.9
hrv,2013,356.6
hrv,2014,373.2
hrv,2015,413.9
hrv,2016,452.2
hrv,2017,516.2
hrv,2018,539.4
hrv,2019,478.6
hrv,2020,558.2
hrv,2021,596.3
hrv,2022,762.5
hrv,2023,869.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,27619.3
ita,2009,24122.8
ita,2010,24571.7
ita,2011,24702.4
ita,2012,22686.3
ita,2013,22700.7
ita,2014,22996.6
ita,2015,23400.3
ita,2016,23899.6
ita,2017,24158.1
ita,2018,24552.6
ita,2019,24857.8
ita,2020,21282.9
ita,2021,24477.8
ita,2022,26173.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,60.6
cyp,2009,58.6
cyp,2010,62.1
cyp,2011,56.5
cyp,2012,58.1
cyp,2013,59.9
cyp,2014,67.6
cyp,2015,79.7
cyp,2016,96.8
cyp,2017,128.8
cyp,2018,149.8
cyp,2019,165.2
cyp,2020,131.2
cyp,2021,147.5
cyp,2022,154.6
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,342.7
lva,2009,313.1
lva,2010,304.5
lva,2011,296.7
lva,2012,371.6
lva,2013,338.8
lva,2014,315.8
lva,2015,323
lva,2016,326
lva,2017,343.6
lva,2018,330
lva,2019,309.4
lva,2020,302.7
lva,2021,368.4
lva,2022,408.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,747
ltu,2009,628.5
ltu,2010,665.4
ltu,2011,802.7
ltu,2012,957.3
ltu,2013,1043.4
ltu,2014,1149.2
ltu,2015,1165
ltu,2016,1195.7
ltu,2017,1299.4
ltu,2018,1430.8
ltu,2019,1502.2
ltu,2020,1482.8
ltu,2021,1664.4
ltu,2022,1751.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1044.4
hun,2009,1090.5
hun,2010,1158.3
hun,2011,1140.3
hun,2012,1238.2
hun,2013,1278.5
hun,2014,1291.5
hun,2015,1328.2
hun,2016,1394.7
hun,2017,1409.8
hun,2018,1558
hun,2019,1755.6
hun,2020,1703
hun,2021,1886.6
hun,2022,2053
hun,2023,2074.9
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,285.2
mlt,2009,205
mlt,2010,168
mlt,2011,187.7
mlt,2012,193.3
mlt,2013,201.4
mlt,2014,212.6
mlt,2015,213.5
mlt,2016,215.7
mlt,2017,228.9
mlt,2018,235.7
mlt,2019,230.5
mlt,2020,222.8
mlt,2021,213.9
mlt,2022,222.3
mlt,2023,204.1
mlt,2024,257
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,8338.8
nld,2009,7297
nld,2010,7127.4
nld,2011,7269.4
nld,2012,7343.7
nld,2013,6795.6
nld,2014,6713.7
nld,2015,6559.7
nld,2016,6413.7
nld,2017,7077.2
nld,2018,7706.2
nld,2019,7206.5
nld,2020,6531
nld,2021,6905
nld,2022,7387.8
nld,2023,7552.1
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5236.3
aut,2009,4429.8
aut,2010,5220.4
aut,2011,5172
aut,2012,5215.1
aut,2013,5243.2
aut,2014,5259.2
aut,2015,4989.6
