country,year,foradl_fast_motor_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,225410.3
eu_three,2009,174967.6
eu_three,2010,216112.1
eu_three,2011,238140.2
eu_three,2012,229551.1
eu_three,2013,235729
eu_three,2014,255757.6
eu_three,2015,261082.3
eu_three,2016,280563.7
eu_three,2017,299740.9
eu_three,2018,310414
eu_three,2019,304409.9
eu_three,2020,249701.1
eu_three,2021,293549
eu_three,2022,329723.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3917.3
bel,2009,2957.8
bel,2010,3215.1
bel,2011,3386.5
bel,2012,3237.9
bel,2013,3500.2
bel,2014,3525.5
bel,2015,3122.1
bel,2016,3018.5
bel,2017,3276.9
bel,2018,3266.7
bel,2019,3292.8
bel,2020,2663.5
bel,2021,2692.9
bel,2022,3207.7
bel,2023,3501
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,429.1
bgr,2009,323.9
bgr,2010,385.4
bgr,2011,318.8
bgr,2012,306.5
bgr,2013,297.3
bgr,2014,367
bgr,2015,388.2
bgr,2016,397.8
bgr,2017,419.1
bgr,2018,457.1
bgr,2019,450.2
bgr,2020,455.7
bgr,2021,603.7
bgr,2022,702.7
bgr,2023,956.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,7294.3
cze,2009,5716.7
cze,2010,7140.8
cze,2011,8755.9
cze,2012,7630.2
cze,2013,7391.3
cze,2014,7606.1
cze,2015,8263.9
cze,2016,9179.9
cze,2017,10546.5
cze,2018,11177.6
cze,2019,11972.1
cze,2020,9237.5
cze,2021,10053
cze,2022,12510.3
cze,2023,13625
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,579.6
dnk,2009,511.9
dnk,2010,603.9
dnk,2011,714.4
dnk,2012,553.9
dnk,2013,475.7
dnk,2014,507.2
dnk,2015,545.8
dnk,2016,600.3
dnk,2017,635.2
dnk,2018,597.6
dnk,2019,594.7
dnk,2020,525.4
dnk,2021,636.7
dnk,2022,582.1
dnk,2023,726.1
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,99969.8
deu,2009,73541.3
deu,2010,103685.9
deu,2011,118588.2
deu,2012,118399.2
deu,2013,120099.8
deu,2014,134573.8
deu,2015,134536
deu,2016,146339.4
deu,2017,155006.1
deu,2018,156013.9
deu,2019,150672.7
deu,2020,125970
deu,2021,151730.9
deu,2022,174695.2
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,71.7
est,2009,49.3
est,2010,91.5
est,2011,105.3
est,2012,111.9
est,2013,115.6
est,2014,113.7
est,2015,126
est,2016,128.6
est,2017,128
est,2018,141.8
est,2019,136.2
est,2020,132.7
est,2021,133.3
est,2022,186.8
est,2023,190.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,555.1
irl,2009,362.1
irl,2010,400.6
irl,2011,420.2
irl,2012,393.6
irl,2013,372.4
irl,2014,325.5
irl,2015,313.8
irl,2016,368.3
irl,2017,370.8
irl,2018,355.7
irl,2019,375.3
irl,2020,328.5
irl,2021,335
irl,2022,342
irl,2023,420.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,520.6
grc,2009,547.2
grc,2010,289.1
grc,2011,365
grc,2012,147
grc,2013,291.4
grc,2014,231.6
grc,2015,389.7
grc,2016,333.8
grc,2017,416.2
grc,2018,488.8
grc,2019,496.8
grc,2020,392.8
grc,2021,413.9
grc,2022,469.2
grc,2023,446.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,16221
esp,2009,14296
esp,2010,14065
esp,2011,15866
esp,2012,14556
esp,2013,16112
esp,2014,17200
esp,2015,16656
esp,2016,15843
esp,2017,17604
esp,2018,19083
esp,2019,18472
esp,2020,15316
esp,2021,17453
esp,2022,22589
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,35744
fra,2009,30216.2
fra,2010,33194
fra,2011,32584.9
fra,2012,31488.7
fra,2013,30783.2
fra,2014,30954
fra,2015,30521.2
fra,2016,31127
fra,2017,32397.5
fra,2018,35875.2
fra,2019,34810.2
fra,2020,26700.8
fra,2021,31356
fra,2022,31335.3
fra,2023,35562.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,318.4
hrv,2009,234.6
hrv,2010,218.2
hrv,2011,217.3
hrv,2012,192.3
hrv,2013,92.3
hrv,2014,119.7
hrv,2015,128.5
hrv,2016,139
hrv,2017,133.9
hrv,2018,128.4
hrv,2019,252.8
hrv,2020,149.2
hrv,2021,168.3
hrv,2022,241.8
hrv,2023,267.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,23230.9
ita,2009,16742.6
ita,2010,17365.5
ita,2011,17954.7
ita,2012,15879.8
ita,2013,16175.5
ita,2014,17750.4
ita,2015,18898.9
ita,2016,22551.9
ita,2017,24200
ita,2018,25068
ita,2019,24050.6
ita,2020,19205.3
ita,2021,22066.8
ita,2022,24306.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,5.8
cyp,2009,5.9
cyp,2010,5
cyp,2011,4.6
cyp,2012,2.9
cyp,2013,2.8
cyp,2014,3.1
cyp,2015,4.5
cyp,2016,5.5
cyp,2017,5.8
cyp,2018,6.6
cyp,2019,6.7
cyp,2020,6.6
cyp,2021,7.7
cyp,2022,9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,108.7
lva,2009,60.5
lva,2010,80.2
lva,2011,106.6
lva,2012,120.2
lva,2013,124
lva,2014,145
lva,2015,134.3
lva,2016,150.4
lva,2017,160.6
lva,2018,168.2
lva,2019,126.7
lva,2020,96.5
lva,2021,132.2
lva,2022,180.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,251.8
ltu,2009,148.3
ltu,2010,169.1
ltu,2011,144.1
ltu,2012,178.5
ltu,2013,203.5
ltu,2014,190.3
ltu,2015,199.6
ltu,2016,218.8
ltu,2017,258.3
ltu,2018,280.8
ltu,2019,307
ltu,2020,311.6
ltu,2021,371.9
ltu,2022,444.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3180.5
hun,2009,2300.9
hun,2010,2856.8
hun,2011,2853.6
hun,2012,2962.4
hun,2013,3501.6
hun,2014,4066.5
hun,2015,4848.5
hun,2016,5248.6
hun,2017,5215.3
hun,2018,5148
hun,2019,5300.7
hun,2020,4540.2
hun,2021,4467.9
hun,2022,5048
hun,2023,5552.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,29.5
mlt,2009,30.4
mlt,2010,30
mlt,2011,33
mlt,2012,41.4
mlt,2013,48.8
mlt,2014,54.9
mlt,2015,59.2
mlt,2016,63
mlt,2017,68.8
mlt,2018,62.4
mlt,2019,63.9
mlt,2020,60.1
mlt,2021,70.2
mlt,2022,68.2
mlt,2023,64.9
mlt,2024,75.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4870
nld,2009,3489.8
nld,2010,4156.3
nld,2011,4252.5
nld,2012,3792.9
nld,2013,3765.7
nld,2014,3645.3
nld,2015,3874.1
nld,2016,4092
nld,2017,4891.5
nld,2018,4885.5
nld,2019,4729.6
nld,2020,4235
nld,2021,4467
nld,2022,5171.1
nld,2023,5286.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5167.4
aut,2009,3921.1
aut,2010,3932.4
aut,2011,4423
aut,2012,4498.5
aut,2013,4576
aut,2014,4639.3
aut,2015,4646.3
aut,2016,5129.1
aut,2017,5175.1
aut,2018,6219.9
