country,year,foradl_fast_papper
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,42069.5
eu_three,2009,39426.4
eu_three,2010,42357
eu_three,2011,41835.5
eu_three,2012,43754.2
eu_three,2013,43504.8
eu_three,2014,44354.6
eu_three,2015,44542.3
eu_three,2016,44663.9
eu_three,2017,46636.4
eu_three,2018,46335.8
eu_three,2019,47248.5
eu_three,2020,45676.5
eu_three,2021,47130.1
eu_three,2022,43053.3
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1219.4
bel,2009,1146.3
bel,2010,1014.5
bel,2011,1068.3
bel,2012,1087.7
bel,2013,1055.8
bel,2014,1122
bel,2015,1152.2
bel,2016,1102.1
bel,2017,1081.4
bel,2018,1038.4
bel,2019,1018.9
bel,2020,1014.5
bel,2021,970.7
bel,2022,976.8
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,136.4
bgr,2009,135.6
bgr,2010,146.1
bgr,2011,158.1
bgr,2012,161.9
bgr,2013,159.2
bgr,2014,140.7
bgr,2015,161.7
bgr,2016,169.6
bgr,2017,173.8
bgr,2018,175
bgr,2019,180.8
bgr,2020,162
bgr,2021,181.3
bgr,2022,138.8
bgr,2023,121.2
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,582
cze,2009,623.4
cze,2010,645.4
cze,2011,619.7
cze,2012,605.5
cze,2013,589.9
cze,2014,648.2
cze,2015,717.9
cze,2016,790.8
cze,2017,851.2
cze,2018,826.8
cze,2019,872.2
cze,2020,960
cze,2021,1021.1
cze,2022,935.3
cze,2023,1020.1
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,489
dnk,2009,396.9
dnk,2010,416.7
dnk,2011,418.3
dnk,2012,343.9
dnk,2013,340
dnk,2014,378.2
dnk,2015,405.6
dnk,2016,346.3
dnk,2017,407.9
dnk,2018,406.8
dnk,2019,442.6
dnk,2020,490.6
dnk,2021,479.6
dnk,2022,464.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,10013.2
deu,2009,9252.4
deu,2010,10003
deu,2011,9861.7
deu,2012,10827.5
deu,2013,10911.8
deu,2014,11251.2
deu,2015,11603.1
deu,2016,11285.4
deu,2017,11943.6
deu,2018,12278.5
deu,2019,12059.8
deu,2020,11389
deu,2021,11392.4
deu,2022,9819.6
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,55.9
est,2009,43.7
est,2010,70.1
est,2011,63.7
est,2012,65.1
est,2013,67.7
est,2014,69.9
est,2015,65.8
est,2016,67.7
est,2017,70.6
est,2018,64.6
est,2019,57.7
est,2020,44.8
est,2021,61.3
est,2022,41
est,2023,38.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,160.1
irl,2009,123.5
irl,2010,116.5
irl,2011,102.4
irl,2012,102.7
irl,2013,104.1
irl,2014,135.7
irl,2015,161.4
irl,2016,160.5
irl,2017,173.1
irl,2018,196.2
irl,2019,224.9
irl,2020,245.5
irl,2021,249.5
irl,2022,242.8
irl,2023,254.8
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,462.9
grc,2009,360.5
grc,2010,318.6
grc,2011,278.1
grc,2012,264.9
grc,2013,264.4
grc,2014,335.8
grc,2015,344.6
grc,2016,344.4
grc,2017,351.7
grc,2018,386.6
grc,2019,382.2
grc,2020,402.6
grc,2021,489.7
grc,2022,465.4
grc,2023,440.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3851
esp,2009,3562
esp,2010,3904
esp,2011,3691
esp,2012,3791
esp,2013,3935
esp,2014,3556
esp,2015,3724
esp,2016,3625
esp,2017,3851
esp,2018,3848
esp,2019,3980
esp,2020,3697
esp,2021,3612
esp,2022,3261
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,4461.4
fra,2009,4839.2
fra,2010,4612.6
fra,2011,4796.8
fra,2012,4994.2
fra,2013,4899.2
fra,2014,4995.9
fra,2015,5082
fra,2016,5030.8
fra,2017,5015.1
fra,2018,4686.2
fra,2019,4835.1
fra,2020,4719.8
fra,2021,4553
fra,2022,4318.8
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,113.9
hrv,2009,97.4
hrv,2010,85.7
hrv,2011,88.9
hrv,2012,86.7
hrv,2013,83.6
hrv,2014,90.2
hrv,2015,96.7
hrv,2016,103.8
hrv,2017,96.4
hrv,2018,106.8
hrv,2019,135.5
hrv,2020,158
hrv,2021,231.6
hrv,2022,82.5
hrv,2023,74.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,5871.6
ita,2009,5968.1
ita,2010,6222.6
ita,2011,6162.5
ita,2012,6573.4
ita,2013,6274.6
ita,2014,6231.9
ita,2015,5854.3
ita,2016,5988
ita,2017,6241.9
ita,2018,6074.7
ita,2019,6524.4
ita,2020,5820.4
ita,2021,6288.4
ita,2022,5671.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,20.8
cyp,2009,17.1
cyp,2010,17.6
cyp,2011,17.4
cyp,2012,17.4
cyp,2013,15.9
cyp,2014,15.3
cyp,2015,15
cyp,2016,17.8
cyp,2017,17
cyp,2018,16.5
cyp,2019,18
cyp,2020,18.3
cyp,2021,17
cyp,2022,13.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,35.4
lva,2009,30.3
lva,2010,35.6
lva,2011,33.2
lva,2012,38.6
lva,2013,38.7
lva,2014,38.5
lva,2015,34.2
lva,2016,34.8
lva,2017,34.2
lva,2018,33.9
lva,2019,36.6
lva,2020,41.8
lva,2021,33.5
lva,2022,25.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,82.3
ltu,2009,81
ltu,2010,115.3
ltu,2011,125.8
ltu,2012,129.9
ltu,2013,161.3
ltu,2014,174.4
ltu,2015,182.9
ltu,2016,188.5
ltu,2017,208.6
ltu,2018,218.1
ltu,2019,226.5
ltu,2020,233.1
ltu,2021,234.3
ltu,2022,250.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,420
hun,2009,430
hun,2010,480.4
hun,2011,404
hun,2012,406.2
hun,2013,403.5
hun,2014,414.2
hun,2015,410.8
hun,2016,447.3
hun,2017,443.9
hun,2018,463.6
hun,2019,519.6
hun,2020,508.5
hun,2021,466.5
hun,2022,514.2
hun,2023,545.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,5.8
mlt,2010,6
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,7.1
mlt,2019,7.6
mlt,2020,
mlt,2021,6.6
mlt,2022,7
mlt,2023,6.6
mlt,2024,7.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1716.1
nld,2009,1595.2
nld,2010,1700.9
nld,2011,1645.1
nld,2012,1573.7
nld,2013,1693.3
nld,2014,1850.8
nld,2015,1918.5
nld,2016,2051
nld,2017,2162.9
nld,2018,2167.6
nld,2019,2375.9
nld,2020,2345
nld,2021,1856
nld,2022,1809.1
nld,2023,1601.2
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1680.7
aut,2009,1517.7
aut,2010,1738.5
aut,2011,1865
aut,2012,1903.4
aut,2013,1967.8
aut,2014,2109.9
aut,2015,2017.1
aut,2016,2091
aut,2017,2169.8
aut,2018,2340.6
aut,2019,2285.9
aut,2020,2077.7
aut,2021,2116.9
aut,2022,1912.9
aut,2023,1587.4
