country,year,foradl_fast_parti_repara
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,178464.8
eu_three,2009,169273.7
eu_three,2010,169006.6
eu_three,2011,177820.7
eu_three,2012,172601.7
eu_three,2013,166928
eu_three,2014,170991.9
eu_three,2015,173536.1
eu_three,2016,185927.9
eu_three,2017,186710.9
eu_three,2018,187454.7
eu_three,2019,195529
eu_three,2020,173077.3
eu_three,2021,186622.7
eu_three,2022,188521
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,6682.5
bel,2009,6298
bel,2010,6852.2
bel,2011,7263.1
bel,2012,6732.1
bel,2013,6440.9
bel,2014,6592.6
bel,2015,6870.9
bel,2016,7089
bel,2017,7034.4
bel,2018,7293
bel,2019,7577.9
bel,2020,6875.7
bel,2021,7173.5
bel,2022,7366.4
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,192.8
bgr,2009,182.3
bgr,2010,240.4
bgr,2011,221.7
bgr,2012,236.9
bgr,2013,277.6
bgr,2014,379.5
bgr,2015,504.9
bgr,2016,528.9
bgr,2017,547.4
bgr,2018,617.8
bgr,2019,589.5
bgr,2020,478.6
bgr,2021,524.7
bgr,2022,762.3
bgr,2023,1058.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1840.1
cze,2009,2026.3
cze,2010,2043.1
cze,2011,2014.8
cze,2012,2115.7
cze,2013,2030.5
cze,2014,2374.3
cze,2015,2714.6
cze,2016,2860.1
cze,2017,2831.6
cze,2018,2667.4
cze,2019,2735.4
cze,2020,2395.9
cze,2021,2635.1
cze,2022,2443.2
cze,2023,2464
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2648.7
dnk,2009,2144
dnk,2010,2363.6
dnk,2011,2609.3
dnk,2012,2638.1
dnk,2013,2790.5
dnk,2014,2853.4
dnk,2015,2910
dnk,2016,3269
dnk,2017,3259.8
dnk,2018,3567.2
dnk,2019,3680.5
dnk,2020,3470.6
dnk,2021,4062.9
dnk,2022,3928.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,49596.4
deu,2009,49326.9
deu,2010,44772.5
deu,2011,49668.9
deu,2012,48663.7
deu,2013,47829.5
deu,2014,50218.1
deu,2015,51181.9
deu,2016,54938.4
deu,2017,54482.4
deu,2018,53441
deu,2019,57010.9
deu,2020,51814
deu,2021,52358.1
deu,2022,48435.7
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,408.1
est,2009,240.3
est,2010,259.8
est,2011,337.8
est,2012,362.1
est,2013,351.7
est,2014,347.3
est,2015,351.1
est,2016,367.6
est,2017,405.3
est,2018,385.1
est,2019,410.7
est,2020,400.6
est,2021,433.6
est,2022,451.2
est,2023,501.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1987
irl,2009,1141.5
irl,2010,1335.4
irl,2011,1415.4
irl,2012,1329.4
irl,2013,1347.3
irl,2014,1585.8
irl,2015,1834.8
irl,2016,2078.9
irl,2017,2083.4
irl,2018,2158.4
irl,2019,2110
irl,2020,1756.8
irl,2021,2155.3
irl,2022,2120.7
irl,2023,2379.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,3408.7
grc,2009,2931.5
grc,2010,2262.7
grc,2011,1869.7
grc,2012,1628.2
grc,2013,1696.2
grc,2014,1663.9
grc,2015,1637.1
grc,2016,1822.5
grc,2017,1933.6
grc,2018,2081.2
grc,2019,1965
grc,2020,1378.3
grc,2021,1436.9
grc,2022,1686.5
grc,2023,1949.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,15460
esp,2009,15214
esp,2010,17501
esp,2011,17884
esp,2012,17083
esp,2013,15921
esp,2014,15106
esp,2015,16049
esp,2016,17684
esp,2017,17951
esp,2018,19011
esp,2019,18506
esp,2020,14640
esp,2021,16751
esp,2022,20134
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,35719.8
fra,2009,34111.3
fra,2010,34415.1
fra,2011,36139.5
fra,2012,35261.8
fra,2013,35933.8
fra,2014,35377
fra,2015,31547
fra,2016,34740.4
fra,2017,30554.3
fra,2018,30772.5
fra,2019,31689.8
fra,2020,27896.6
fra,2021,30309.7
fra,2022,29972.2
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,523.8
hrv,2009,420.5
hrv,2010,336.2
hrv,2011,344.6
hrv,2012,321.3
hrv,2013,352.9
hrv,2014,372
hrv,2015,401.5
hrv,2016,440.5
hrv,2017,480.7
hrv,2018,561.3
hrv,2019,574.1
hrv,2020,378.1
hrv,2021,391.7
hrv,2022,494.8
hrv,2023,621.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,17403.5
ita,2009,14915.4
ita,2010,15891.5
ita,2011,16201.3
ita,2012,14981.7
ita,2013,14514.4
ita,2014,15432.9
ita,2015,16311.7
ita,2016,16791.2
ita,2017,19023.9
ita,2018,18265.1
ita,2019,19341.3
ita,2020,16245.2
ita,2021,19145.3
ita,2022,20881.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,196.4
cyp,2009,167.1
cyp,2010,188.8
cyp,2011,182.9
cyp,2012,169.1
cyp,2013,129.9
cyp,2014,128.8
cyp,2015,139.2
cyp,2016,147.8
cyp,2017,170.3
cyp,2018,180.2
cyp,2019,190.7
cyp,2020,180.4
cyp,2021,211.4
cyp,2022,200.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,285.7
lva,2009,264
lva,2010,248.6
lva,2011,308.2
lva,2012,327.5
lva,2013,365.6
lva,2014,382.3
lva,2015,382.3
lva,2016,413.9
lva,2017,432.8
lva,2018,473.5
lva,2019,457.4
lva,2020,420.6
lva,2021,558.9
lva,2022,656.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,728.1
ltu,2009,593.4
ltu,2010,635.4
ltu,2011,735.4
ltu,2012,755.2
ltu,2013,772.6
ltu,2014,727.5
ltu,2015,769.1
ltu,2016,878.9
ltu,2017,969.9
ltu,2018,1054.2
ltu,2019,1120.4
ltu,2020,1033.5
ltu,2021,1207.4
ltu,2022,1239.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1203.8
lux,2009,1142
lux,2010,1160.8
lux,2011,980.8
lux,2012,935.8
lux,2013,818.2
lux,2014,738.1
lux,2015,591.7
lux,2016,583
lux,2017,555.8
lux,2018,547.4
lux,2019,559.6
lux,2020,486.2
lux,2021,461.7
lux,2022,413.8
lux,2023,250.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,766.6
hun,2009,624.3
hun,2010,551.6
hun,2011,675.1
hun,2012,742.1
hun,2013,825.4
hun,2014,913.3
hun,2015,923.1
hun,2016,972.2
hun,2017,1088
hun,2018,1344.5
hun,2019,1449.6
hun,2020,1355.6
hun,2021,1546
hun,2022,1693.4
hun,2023,1849.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,73.9
mlt,2009,67.8
mlt,2010,59.6
mlt,2011,69.7
mlt,2012,66.5
mlt,2013,67.2
mlt,2014,66.7
mlt,2015,81.8
mlt,2016,90.6
mlt,2017,101.5
mlt,2018,104.6
mlt,2019,108.1
mlt,2020,90
mlt,2021,100.1
mlt,2022,116.8
mlt,2023,124.4
mlt,2024,130.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10598.5
nld,2009,8859.1
nld,2010,9606.4
nld,2011,9939.5
nld,2012,9180
nld,2013,8518.1
nld,2014,8440.5
nld,2015,9219
nld,2016,9337.5
nld,2017,9848
nld,2018,10359.8
nld,2019,10725.2
nld,2020,9915
nld,2021,9965
nld,2022,9932.7
nld,2023,10939.4
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5015.2
