country,year,foradl_fast_plast
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,84370.2
eu_three,2009,72724.9
eu_three,2010,78950.4
eu_three,2011,83777
eu_three,2012,81984.1
eu_three,2013,82232.4
eu_three,2014,85037
eu_three,2015,87829.6
eu_three,2016,90256.4
eu_three,2017,94573.7
eu_three,2018,98471.8
eu_three,2019,99452.8
eu_three,2020,91771.3
eu_three,2021,103130.8
eu_three,2022,104324.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2479.4
bel,2009,2324.5
bel,2010,2265
bel,2011,2290.2
bel,2012,2212.2
bel,2013,2182.1
bel,2014,2147.6
bel,2015,2187.2
bel,2016,2486
bel,2017,2469
bel,2018,2324.1
bel,2019,2401.1
bel,2020,2461.9
bel,2021,2113.1
bel,2022,2089
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,343.3
bgr,2009,353.5
bgr,2010,361.8
bgr,2011,377.8
bgr,2012,377.8
bgr,2013,361.9
bgr,2014,453.9
bgr,2015,477.6
bgr,2016,517.2
bgr,2017,496.1
bgr,2018,551.7
bgr,2019,485.3
bgr,2020,544.2
bgr,2021,497.4
bgr,2022,588.7
bgr,2023,773.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2821
cze,2009,2762.8
cze,2010,3065.6
cze,2011,3158.8
cze,2012,2919.8
cze,2013,2962.6
cze,2014,3033.6
cze,2015,3295.7
cze,2016,3428.5
cze,2017,3559.5
cze,2018,3653.9
cze,2019,3863.8
cze,2020,3329.5
cze,2021,3739.7
cze,2022,3861.2
cze,2023,3779.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1673.2
dnk,2009,1318.8
dnk,2010,1323.8
dnk,2011,1048
dnk,2012,1121.8
dnk,2013,1060.6
dnk,2014,1379.9
dnk,2015,1341.3
dnk,2016,1210.8
dnk,2017,1285.6
dnk,2018,1192.2
dnk,2019,1196.2
dnk,2020,1207.6
dnk,2021,1200
dnk,2022,1082.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,26868.5
deu,2009,21730.4
deu,2010,25179.1
deu,2011,28244.4
deu,2012,27510.8
deu,2013,27873
deu,2014,28573.1
deu,2015,29805.9
deu,2016,30862.1
deu,2017,32344.5
deu,2018,33568.1
deu,2019,32953.3
deu,2020,30439
deu,2021,34271.3
deu,2022,33470.7
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,127.2
est,2009,102.4
est,2010,111
est,2011,129.2
est,2012,130.3
est,2013,124.7
est,2014,133.1
est,2015,115.8
est,2016,122.5
est,2017,132.8
est,2018,150.1
est,2019,150.6
est,2020,139
est,2021,160.8
est,2022,136.1
est,2023,144.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,690.1
irl,2009,549.2
irl,2010,573.3
irl,2011,564.6
irl,2012,539.2
irl,2013,555.2
irl,2014,518
irl,2015,558
irl,2016,564.2
irl,2017,606.7
irl,2018,651.9
irl,2019,655.9
irl,2020,729.9
irl,2021,816.3
irl,2022,805.8
irl,2023,823.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,730.8
grc,2009,730.9
grc,2010,685.5
grc,2011,633.6
grc,2012,590
grc,2013,564.3
grc,2014,568.5
grc,2015,632.4
grc,2016,611.2
grc,2017,603.3
grc,2018,609.6
grc,2019,613.3
grc,2020,660.4
grc,2021,718.2
grc,2022,728.7
grc,2023,740.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,6401
esp,2009,5790
esp,2010,6107
esp,2011,5914
esp,2012,5570
esp,2013,5784
esp,2014,5858
esp,2015,6047
esp,2016,5925
esp,2017,6420
esp,2018,6698
esp,2019,6815
esp,2020,6379
esp,2021,7245
esp,2022,7957
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12971.6
fra,2009,11408.2
fra,2010,10414.6
fra,2011,11716.8
fra,2012,11340.9
fra,2013,10712.4
fra,2014,10434.3
fra,2015,10487.5
fra,2016,10266.7
fra,2017,10257.6
fra,2018,11063.4
fra,2019,11068.8
fra,2020,8792.1
fra,2021,10156.5
fra,2022,10128.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,219.1
hrv,2009,229.1
hrv,2010,181.7
hrv,2011,184
hrv,2012,191.9
hrv,2013,180.2
hrv,2014,203.9
hrv,2015,237.5
hrv,2016,246
hrv,2017,254.8
hrv,2018,254.9
hrv,2019,253
hrv,2020,292.2
hrv,2021,338.1
hrv,2022,303.3
hrv,2023,281.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,11975.6
ita,2009,10337.4
ita,2010,11858.8
ita,2011,11732
ita,2012,11457.2
ita,2013,11558.2
ita,2014,12169.6
ita,2015,12104.4
ita,2016,12405.3
ita,2017,13323.6
ita,2018,13811
ita,2019,14001.5
ita,2020,12893.7
ita,2021,15304.3
ita,2022,15180
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,35.8
cyp,2009,34.6
cyp,2010,35.2
cyp,2011,28
cyp,2012,24.3
cyp,2013,22.4
cyp,2014,21.8
cyp,2015,21.9
cyp,2016,26.8
cyp,2017,27.4
cyp,2018,30.3
cyp,2019,32.5
cyp,2020,36.6
cyp,2021,36.3
cyp,2022,29.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,78.5
lva,2009,53.3
lva,2010,61.6
lva,2011,60.8
lva,2012,69.8
lva,2013,73.1
lva,2014,69.2
lva,2015,74
lva,2016,76.8
lva,2017,83.8
lva,2018,85
lva,2019,81.4
lva,2020,90
lva,2021,92.3
lva,2022,68
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,282.7
ltu,2009,227.7
ltu,2010,272.3
ltu,2011,293.5
ltu,2012,319.1
ltu,2013,339.1
ltu,2014,353.3
ltu,2015,353.8
ltu,2016,375.5
ltu,2017,394.6
ltu,2018,429.5
ltu,2019,440.9
ltu,2020,441.4
ltu,2021,490.9
ltu,2022,499.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1276.1
hun,2009,1069.8
hun,2010,1239.6
hun,2011,1254.6
hun,2012,1321.1
hun,2013,1237.7
hun,2014,1301.1
hun,2015,1396.3
hun,2016,1494.6
hun,2017,1563.2
hun,2018,1806.2
hun,2019,1881.2
hun,2020,1788.3
hun,2021,1922.4
hun,2022,1838.6
hun,2023,1651.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,65.2
mlt,2021,64
mlt,2022,66.3
mlt,2023,66.7
mlt,2024,66.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3095.4
nld,2009,2724.2
nld,2010,2742.5
nld,2011,2868.3
nld,2012,2849.1
nld,2013,2894.7
nld,2014,3170.3
nld,2015,3068.6
nld,2016,3289.7
nld,2017,3416.1
nld,2018,3396.7
nld,2019,3323.2
nld,2020,3137
nld,2021,3846
nld,2022,3674.9
nld,2023,3281.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2642.8
aut,2009,2025.7
aut,2010,2298.6
aut,2011,2511.6
aut,2012,2410.1
aut,2013,2533.3
aut,2014,2698.4
aut,2015,2546.7
aut,2016,2695.4
aut,2017,2767.3
aut,2018,2761.7
aut,2019,2773
