country,year,foradl_fast_post
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,63795.5
eu_three,2009,62573.9
eu_three,2010,59092.5
eu_three,2011,57568.8
eu_three,2012,55289
eu_three,2013,54749.4
eu_three,2014,53830.7
eu_three,2015,52235.3
eu_three,2016,50952.7
eu_three,2017,50858.2
eu_three,2018,48321.6
eu_three,2019,48524
eu_three,2020,47450.8
eu_three,2021,49398.6
eu_three,2022,52834.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3026.8
bel,2009,2777.3
bel,2010,2721.6
bel,2011,2716.8
bel,2012,2592.3
bel,2013,2592.3
bel,2014,2525
bel,2015,2422.3
bel,2016,2327.9
bel,2017,2285
bel,2018,2231.4
bel,2019,2251.9
bel,2020,2090.8
bel,2021,2136.3
bel,2022,1921.2
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,235.5
bgr,2009,154.1
bgr,2010,124.5
bgr,2011,129.9
bgr,2012,141.4
bgr,2013,146.6
bgr,2014,157.5
bgr,2015,179.3
bgr,2016,181.7
bgr,2017,195.5
bgr,2018,191.2
bgr,2019,202.5
bgr,2020,174.8
bgr,2021,215.8
bgr,2022,287.7
bgr,2023,290.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,994
cze,2009,984.6
cze,2010,1030.2
cze,2011,981.5
cze,2012,943
cze,2013,882.6
cze,2014,829.9
cze,2015,806.2
cze,2016,774.4
cze,2017,763.7
cze,2018,703
cze,2019,682.4
cze,2020,698.7
cze,2021,725.1
cze,2022,690.3
cze,2023,681.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2386.8
dnk,2009,2123
dnk,2010,2025.5
dnk,2011,1756.3
dnk,2012,1573.8
dnk,2013,1527.9
dnk,2014,1491.4
dnk,2015,1301.9
dnk,2016,1017.6
dnk,2017,783.2
dnk,2018,877.2
dnk,2019,913
dnk,2020,903.4
dnk,2021,893
dnk,2022,874.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,16605.6
deu,2009,17683.4
deu,2010,15563.8
deu,2011,15858.9
deu,2012,16015.5
deu,2013,16948.8
deu,2014,17611.2
deu,2015,18046.7
deu,2016,18498.4
deu,2017,18851.6
deu,2018,18650.9
deu,2019,18819.5
deu,2020,20072
deu,2021,20860.8
deu,2022,26270.2
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,131.9
est,2009,99.2
est,2010,92.8
est,2011,81.3
est,2012,73.1
est,2013,82.5
est,2014,80.3
est,2015,75.5
est,2016,79.1
est,2017,83.7
est,2018,84.4
est,2019,91.7
est,2020,84.9
est,2021,127.7
est,2022,98.7
est,2023,108.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1037.9
irl,2009,1040.1
irl,2010,1102.8
irl,2011,1070.6
irl,2012,1035.7
irl,2013,1015.1
irl,2014,997.8
irl,2015,976.1
irl,2016,960.7
irl,2017,956.2
irl,2018,997.9
irl,2019,992.8
irl,2020,982.9
irl,2021,1025.8
irl,2022,959.2
irl,2023,1000.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1573.3
grc,2009,1368.3
grc,2010,1105.8
grc,2011,953.9
grc,2012,841
grc,2013,675.1
grc,2014,629.9
grc,2015,646
grc,2016,619.2
grc,2017,678
grc,2018,756
grc,2019,713.6
grc,2020,572.2
grc,2021,498.9
grc,2022,509
grc,2023,467.4
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3001
esp,2009,2756
esp,2010,2931
esp,2011,2861
esp,2012,2591
esp,2013,2611
esp,2014,2807
esp,2015,2762
esp,2016,2539
esp,2017,2583
esp,2018,2588
esp,2019,2742
esp,2020,2331
esp,2021,2702
esp,2022,2662
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,16918.4
fra,2009,16260.5
fra,2010,15088.7
fra,2011,14379.5
fra,2012,13913.3
fra,2013,12780.5
fra,2014,12350.1
fra,2015,11043.3
fra,2016,10156.5
fra,2017,9773.6
fra,2018,8283.1
fra,2019,7986.8
fra,2020,6388.1
fra,2021,6076
fra,2022,5621
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,215
hrv,2009,226.8
hrv,2010,242.5
hrv,2011,233.9
hrv,2012,221.9
hrv,2013,214.8
hrv,2014,213.7
hrv,2015,218.4
hrv,2016,221.5
hrv,2017,233.8
hrv,2018,232.4
hrv,2019,218
hrv,2020,260.2
hrv,2021,238.2
hrv,2022,201.5
hrv,2023,195.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4390.9
ita,2009,4253.6
ita,2010,4329.4
ita,2011,4171.7
ita,2012,3701.6
ita,2013,3713.4
ita,2014,3189.5
ita,2015,3288.4
ita,2016,3159.7
ita,2017,3414
ita,2018,2805.1
ita,2019,2869.4
ita,2020,2850.9
ita,2021,3320.8
ita,2022,3122.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,21.2
cyp,2009,15.3
cyp,2010,37.8
cyp,2011,37.2
cyp,2012,36
cyp,2013,32.3
cyp,2014,32.9
cyp,2015,31.8
cyp,2016,35.3
cyp,2017,38
cyp,2018,45.4
cyp,2019,43.6
cyp,2020,48.3
cyp,2021,58.3
cyp,2022,54.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,108.4
lva,2009,88.9
lva,2010,86.7
lva,2011,87.1
lva,2012,91.8
lva,2013,93.8
lva,2014,95.3
lva,2015,94.7
lva,2016,90.2
lva,2017,93.8
lva,2018,102.8
lva,2019,100.7
lva,2020,83.1
lva,2021,91.2
lva,2022,82.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,93.2
ltu,2009,87.1
ltu,2010,86.8
ltu,2011,94
ltu,2012,90.9
ltu,2013,93.1
ltu,2014,96.4
ltu,2015,99
ltu,2016,107.1
ltu,2017,114.8
ltu,2018,114.4
ltu,2019,108.1
ltu,2020,116.7
ltu,2021,118.2
ltu,2022,125.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,650.9
hun,2009,603
hun,2010,597.4
hun,2011,579.8
hun,2012,561.2
hun,2013,555.4
hun,2014,565.1
hun,2015,561.7
hun,2016,565.5
hun,2017,528.7
hun,2018,553.5
hun,2019,587.7
hun,2020,592.6
hun,2021,788
hun,2022,926.1
hun,2023,872.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,30.4
mlt,2021,36.3
mlt,2022,28.6
mlt,2023,25.1
mlt,2024,22.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5441.8
nld,2009,5151.8
nld,2010,4815.9
nld,2011,4369.6
nld,2012,3837.6
nld,2013,3384.2
nld,2014,3178.7
nld,2015,2704.9
nld,2016,2534.6
nld,2017,2376.5
nld,2018,2199.7
nld,2019,2259.9
nld,2020,2330
nld,2021,2359
nld,2022,2147.4
nld,2023,1847.5
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1819.5
aut,2009,1778.3
aut,2010,1745.9
aut,2011,1665.4
aut,2012,1664.8
aut,2013,1673
aut,2014,1671.7
aut,2015,1552.3
aut,2016,1558.1
aut,2017,1602.2
aut,2018,1532.6
aut,2019,1504.2
aut,2020,1478.4
aut,2021,1523.6
aut,2022,1443.5
