country,year,foradl_fast_prod_film
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,51368.4
eu_three,2009,51444.9
eu_three,2010,52114.6
eu_three,2011,52760.8
eu_three,2012,51661.8
eu_three,2013,51025.6
eu_three,2014,51673.7
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1759
bel,2009,1783.2
bel,2010,1922.7
bel,2011,2090.7
bel,2012,2057.2
bel,2013,2028
bel,2014,1976.4
bel,2015,1955.1
bel,2016,1934.7
bel,2017,1939.5
bel,2018,1852.1
bel,2019,1893.5
bel,2020,1496.4
bel,2021,1712.8
bel,2022,1876.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,148.7
bgr,2009,120
bgr,2010,133.6
bgr,2011,175.7
bgr,2012,178.7
bgr,2013,190.6
bgr,2014,207.8
bgr,2015,240.4
bgr,2016,323.4
bgr,2017,328.9
bgr,2018,348
bgr,2019,247
bgr,2020,217.4
bgr,2021,339
bgr,2022,435.3
bgr,2023,378.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,955.5
cze,2009,887.9
cze,2010,918
cze,2011,934.6
cze,2012,931.9
cze,2013,838.9
cze,2014,853.6
cze,2015,968.3
cze,2016,1025.5
cze,2017,1043
cze,2018,1052.9
cze,2019,1096.6
cze,2020,1036.5
cze,2021,1108.1
cze,2022,894.2
cze,2023,974.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,973.4
dnk,2009,979.8
dnk,2010,1067.4
dnk,2011,1097.9
dnk,2012,1297.5
dnk,2013,1417.6
dnk,2014,1509.9
dnk,2015,1573
dnk,2016,1622.9
dnk,2017,1577.1
dnk,2018,1605.6
dnk,2019,1529.6
dnk,2020,1488.7
dnk,2021,1854.2
dnk,2022,2061.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,13334.7
deu,2009,14026.4
deu,2010,13349.5
deu,2011,13319.9
deu,2012,13780.5
deu,2013,15158.1
deu,2014,15500.3
deu,2015,15107.8
deu,2016,15611.4
deu,2017,15975.8
deu,2018,15987.7
deu,2019,16590.6
deu,2020,14813
deu,2021,15921
deu,2022,15932.9
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,109.6
est,2009,98.8
est,2010,100.7
est,2011,103.2
est,2012,91
est,2013,93.7
est,2014,91.4
est,2015,95
est,2016,96.2
est,2017,95.9
est,2018,98.6
est,2019,101.9
est,2020,87.3
est,2021,164.1
est,2022,181.4
est,2023,158.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,954.4
irl,2009,593.3
irl,2010,929.1
irl,2011,682.2
irl,2012,592.4
irl,2013,594.2
irl,2014,636.4
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,789
grc,2009,810
grc,2010,639.7
grc,2011,642.1
grc,2012,505.2
grc,2013,439.2
grc,2014,441.4
grc,2015,415.7
grc,2016,486.5
grc,2017,503.2
grc,2018,573.3
grc,2019,637.4
grc,2020,578.1
grc,2021,669
grc,2022,738.7
grc,2023,688
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5644
esp,2009,5549
esp,2010,6005
esp,2011,5662
esp,2012,4956
esp,2013,4262
esp,2014,4360
esp,2015,4539
esp,2016,4852
esp,2017,5118
esp,2018,5180
esp,2019,5404
esp,2020,4549
esp,2021,5176
esp,2022,5754
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,9104.5
fra,2009,8932.9
fra,2010,9274.6
fra,2011,10203.3
fra,2012,9819.8
fra,2013,9575.7
fra,2014,9845.4
fra,2015,9861.6
fra,2016,10010.9
fra,2017,10144.9
fra,2018,10494.8
fra,2019,10820.4
fra,2020,10054.6
fra,2021,11853.6
fra,2022,12252.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,178.1
hrv,2009,165.2
hrv,2010,177.3
hrv,2011,181.3
hrv,2012,186
hrv,2013,175.1
hrv,2014,174.8
hrv,2015,197.8
hrv,2016,222.4
hrv,2017,232.1
hrv,2018,238.6
hrv,2019,283.5
hrv,2020,272.3
hrv,2021,284.7
hrv,2022,337.7
hrv,2023,346.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7943.2
ita,2009,8274.1
ita,2010,8804.1
ita,2011,8491.7
ita,2012,7511.3
ita,2013,6615.2
ita,2014,6060
ita,2015,6596.7
ita,2016,6615.7
ita,2017,6643
ita,2018,6293.5
ita,2019,5984.3
ita,2020,5679.6
ita,2021,6648.1
ita,2022,6593.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,83.8
cyp,2009,73.2
cyp,2010,55.6
cyp,2011,60.8
cyp,2012,49.3
cyp,2013,51.3
cyp,2014,49.4
cyp,2015,52.7
cyp,2016,61.4
cyp,2017,68.4
cyp,2018,71.6
cyp,2019,65.3
cyp,2020,60.3
cyp,2021,92.1
cyp,2022,106.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,85.4
lva,2009,93.4
lva,2010,92
lva,2011,63.1
lva,2012,70.9
lva,2013,78.2
lva,2014,90.6
lva,2015,83.1
lva,2016,82.2
lva,2017,82.4
lva,2018,89.6
lva,2019,86.8
lva,2020,77.5
lva,2021,89.6
lva,2022,103.9
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,152.8
ltu,2009,114.3
ltu,2010,98.6
ltu,2011,103.2
ltu,2012,101.7
ltu,2013,102.7
ltu,2014,105.6
ltu,2015,107.8
ltu,2016,111.8
ltu,2017,116.9
ltu,2018,120.5
ltu,2019,127.9
ltu,2020,112.2
ltu,2021,129.4
ltu,2022,132.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,666.1
hun,2009,758.8
hun,2010,902.2
hun,2011,832.7
hun,2012,797.5
hun,2013,771
hun,2014,739.2
hun,2015,563.9
hun,2016,460.2
hun,2017,571
hun,2018,568.2
hun,2019,581.3
hun,2020,523.6
hun,2021,629.4
hun,2022,594
hun,2023,618.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,14.4
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,18.4
mlt,2017,26.1
mlt,2018,27.2
mlt,2019,33.3
mlt,2020,26.6
mlt,2021,39.4
mlt,2022,34.7
mlt,2023,41.2
mlt,2024,34.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2134.1
nld,2009,2004.3
nld,2010,1941.8
nld,2011,1955.2
nld,2012,1979.9
nld,2013,1985.6
nld,2014,2142.8
nld,2015,2205.3
nld,2016,2313
nld,2017,2509.2
nld,2018,2540
nld,2019,2749.9
nld,2020,2446
nld,2021,2876
nld,2022,3728
nld,2023,3573.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1253.4
aut,2009,1254.6
aut,2010,1196.9
aut,2011,1230.4
aut,2012,1324.4
aut,2013,1323.7
aut,2014,1298.6
aut,2015,1297.3
aut,2016,1302.8
aut,2017,1249.2
aut,2018,1236.8
aut,2019,1273.1
aut,2020,1179.4
aut,2021,1136.4
aut,2022,1215.9
aut,2023,1219.3
aut,2024,
pol,2000,
pol,2001,
pol,2002,
