country,year,foradl_fast_sjo_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,43260.9
eu_three,2009,36796.3
eu_three,2010,36914.1
eu_three,2011,35995.2
eu_three,2012,37438.1
eu_three,2013,39003.4
eu_three,2014,36121.1
eu_three,2015,31981.3
eu_three,2016,32802.4
eu_three,2017,32422.6
eu_three,2018,33732.7
eu_three,2019,34507.9
eu_three,2020,24375.1
eu_three,2021,21714.9
eu_three,2022,23672.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1172.7
bel,2009,511.8
bel,2010,931.4
bel,2011,542.6
bel,2012,557.7
bel,2013,438.5
bel,2014,526.7
bel,2015,972.8
bel,2016,968.2
bel,2017,882.2
bel,2018,991.9
bel,2019,931
bel,2020,677.7
bel,2021,395.9
bel,2022,451.4
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,452.6
bgr,2009,364.3
bgr,2010,301.8
bgr,2011,261.5
bgr,2012,311.7
bgr,2013,246.5
bgr,2014,376.3
bgr,2015,303.4
bgr,2016,205.7
bgr,2017,140.2
bgr,2018,94.2
bgr,2019,83.6
bgr,2020,19.6
bgr,2021,27.5
bgr,2022,28.6
bgr,2023,34.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,115.7
cze,2009,74.5
cze,2010,65.7
cze,2011,16.3
cze,2012,19.5
cze,2013,20.6
cze,2014,18.2
cze,2015,16.2
cze,2016,15.9
cze,2017,17.8
cze,2018,21.6
cze,2019,22
cze,2020,6.1
cze,2021,6
cze,2022,15.9
cze,2023,14.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3015.8
dnk,2009,2169.5
dnk,2010,2673.7
dnk,2011,2947.5
dnk,2012,3005.1
dnk,2013,4248
dnk,2014,4001.6
dnk,2015,4255.5
dnk,2016,4986.9
dnk,2017,5124.8
dnk,2018,5502.4
dnk,2019,6063.8
dnk,2020,5758.2
dnk,2021,5037.3
dnk,2022,5371.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,23099.1
deu,2009,31632.3
deu,2010,19249
deu,2011,20514.8
deu,2012,18883.3
deu,2013,20837.7
deu,2014,11956.1
deu,2015,11007.7
deu,2016,11388.9
deu,2017,6120.5
deu,2018,6344.4
deu,2019,6000.8
deu,2020,4323
deu,2021,229.1
deu,2022,214
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,89.5
est,2009,72.7
est,2010,77.8
est,2011,83.5
est,2012,80.6
est,2013,76.2
est,2014,85.8
est,2015,88.6
est,2016,86.9
est,2017,100.2
est,2018,112
est,2019,127.4
est,2020,102.2
est,2021,122.5
est,2022,169.6
est,2023,168
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,114.8
irl,2009,108.2
irl,2010,118.8
irl,2011,105.1
irl,2012,98.6
irl,2013,100.1
irl,2014,94.6
irl,2015,96.8
irl,2016,93
irl,2017,92.6
irl,2018,82.9
irl,2019,89.6
irl,2020,57.6
irl,2021,77.4
irl,2022,127.8
irl,2023,122.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,18287.1
grc,2009,11887.4
grc,2010,12275.9
grc,2011,10788.6
grc,2012,10047.6
grc,2013,9353.2
grc,2014,10224.9
grc,2015,4516.2
grc,2016,3295.2
grc,2017,3933.5
grc,2018,5210.3
grc,2019,5506.9
grc,2020,3006.1
grc,2021,3381
grc,2022,2771.4
grc,2023,2379.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1740
esp,2009,1458
esp,2010,1680
esp,2011,1450
esp,2012,1169
esp,2013,1033
esp,2014,1037
esp,2015,1090
esp,2016,1191
esp,2017,1311
esp,2018,1373
esp,2019,1227
esp,2020,298
esp,2021,641
esp,2022,1037
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8528.8
fra,2009,3350
fra,2010,12532.3
fra,2011,9495.2
fra,2012,21928.6
fra,2013,22535.2
fra,2014,33181.4
fra,2015,30326.6
fra,2016,34356.2
fra,2017,36241.1
fra,2018,34558.8
fra,2019,40386.7
fra,2020,1800.4
fra,2021,2392.8
fra,2022,2966.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,182.8
hrv,2009,214.2
hrv,2010,198
hrv,2011,207.8
hrv,2012,165.3
hrv,2013,178.8
hrv,2014,164.1
hrv,2015,158.2
hrv,2016,183.4
hrv,2017,205.2
hrv,2018,196.4
hrv,2019,177
hrv,2020,89.8
hrv,2021,190.4
hrv,2022,193.6
hrv,2023,168.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,4134.1
ita,2009,2079.8
ita,2010,2470.6
ita,2011,2636.4
ita,2012,2855.6
ita,2013,2427.7
ita,2014,2200.4
ita,2015,2237.7
ita,2016,2542.8
ita,2017,2957.1
ita,2018,2752
ita,2019,2641
ita,2020,1614.2
ita,2021,2501.5
ita,2022,4192.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,569.9
cyp,2009,559.2
cyp,2010,607.6
cyp,2011,647.5
cyp,2012,501
cyp,2013,552.4
cyp,2014,530.4
cyp,2015,583.9
cyp,2016,513.8
cyp,2017,486.9
cyp,2018,561.2
cyp,2019,506.2
cyp,2020,445.4
cyp,2021,442.4
cyp,2022,468.3
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,237
lva,2009,153.4
lva,2010,98.5
lva,2011,65.2
lva,2012,85.4
lva,2013,80.9
lva,2014,71.4
lva,2015,86.4
lva,2016,82.1
lva,2017,79.9
lva,2018,73.6
lva,2019,37.3
lva,2020,27.9
lva,2021,23.3
lva,2022,26.6
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,93.3
ltu,2009,97.3
ltu,2010,102.9
ltu,2011,92.6
ltu,2012,97.2
ltu,2013,99.3
ltu,2014,99.6
ltu,2015,100.4
ltu,2016,92.1
ltu,2017,93.1
ltu,2018,91.7
ltu,2019,88.8
ltu,2020,95.2
ltu,2021,79.8
ltu,2022,74
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,31.8
hun,2009,21.2
hun,2010,24.6
hun,2011,16.8
hun,2012,31.6
hun,2013,25.9
hun,2014,17.3
hun,2015,18.8
hun,2016,20.9
hun,2017,24.2
hun,2018,20.5
hun,2019,11.5
hun,2020,14.4
hun,2021,13.8
hun,2022,25.5
hun,2023,28.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,23.7
mlt,2009,19.4
mlt,2010,
mlt,2011,19.2
mlt,2012,20.7
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,14.4
mlt,2021,37.6
mlt,2022,38.2
mlt,2023,45.3
mlt,2024,49
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2824.8
nld,2009,2671.6
nld,2010,2599.9
nld,2011,2597.5
nld,2012,2653.8
nld,2013,3000.7
nld,2014,3326.1
nld,2015,3374.5
nld,2016,3101.2
nld,2017,3165.7
nld,2018,2877.7
nld,2019,2926.5
nld,2020,2901
nld,2021,2818
nld,2022,2807.3
nld,2023,2742.3
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,127.1
aut,2009,125.8
aut,2010,173.9
aut,2011,167.4
aut,2012,137.6
aut,2013,119.1
aut,2014,165.9
aut,2015,113
aut,2016,73.4
aut,2017,65.3
aut,2018,47.4
aut,2019,44.9
aut,2020,11.1
aut,2021,7.1
