country,year,foradl_fast_sport
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,62234.7
eu_three,2009,61643.8
eu_three,2010,61336
eu_three,2011,63093.4
eu_three,2012,63047.5
eu_three,2013,64200.1
eu_three,2014,65952
eu_three,2015,68576.8
eu_three,2016,70491.9
eu_three,2017,73122.9
eu_three,2018,75500.2
eu_three,2019,78070.3
eu_three,2020,53455.9
eu_three,2021,56387.7
eu_three,2022,74940.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1258.6
bel,2009,1141
bel,2010,1103.1
bel,2011,1114.1
bel,2012,1114.9
bel,2013,1096.3
bel,2014,1130.3
bel,2015,1079
bel,2016,1065.2
bel,2017,1002.1
bel,2018,1130
bel,2019,1123.6
bel,2020,546.5
bel,2021,654
bel,2022,1096.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,131.9
bgr,2009,99
bgr,2010,124
bgr,2011,148.4
bgr,2012,139
bgr,2013,121.5
bgr,2014,134.3
bgr,2015,161.4
bgr,2016,182.9
bgr,2017,193.7
bgr,2018,205.7
bgr,2019,180.2
bgr,2020,108.9
bgr,2021,134
bgr,2022,144.8
bgr,2023,134.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,645.6
cze,2009,589
cze,2010,510.5
cze,2011,574.6
cze,2012,572
cze,2013,566.6
cze,2014,538.3
cze,2015,594.7
cze,2016,644.5
cze,2017,679.3
cze,2018,677.6
cze,2019,735.4
cze,2020,540.6
cze,2021,482.1
cze,2022,633.5
cze,2023,586.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1093.9
dnk,2009,1072.9
dnk,2010,1014.1
dnk,2011,1119.4
dnk,2012,1175.9
dnk,2013,1285.1
dnk,2014,1236.5
dnk,2015,1234.7
dnk,2016,1311.1
dnk,2017,1315.8
dnk,2018,1327.3
dnk,2019,1381.1
dnk,2020,1107.1
dnk,2021,1312.2
dnk,2022,1667.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,14265.6
deu,2009,14100.6
deu,2010,14043.8
deu,2011,14894.1
deu,2012,14612.9
deu,2013,14659.1
deu,2014,14895.4
deu,2015,15133.1
deu,2016,14854.5
deu,2017,15336.5
deu,2018,15792
deu,2019,16398.1
deu,2020,13204
deu,2021,13218.5
deu,2022,16635.7
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,112
est,2009,106
est,2010,97.8
est,2011,101.4
est,2012,113.5
est,2013,117.3
est,2014,131.8
est,2015,139
est,2016,147.8
est,2017,163.6
est,2018,173.3
est,2019,182.3
est,2020,167
est,2021,164.6
est,2022,186.3
est,2023,182.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,461.2
irl,2009,494.7
irl,2010,542.3
irl,2011,546
irl,2012,642.3
irl,2013,740.8
irl,2014,882.5
irl,2015,1045.3
irl,2016,1059.3
irl,2017,1066.8
irl,2018,1086.9
irl,2019,1101.6
irl,2020,677.3
irl,2021,782.2
irl,2022,1117.8
irl,2023,1165.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,280.8
grc,2009,332.8
grc,2010,300.1
grc,2011,320.4
grc,2012,377.2
grc,2013,445.2
grc,2014,378.4
grc,2015,370.6
grc,2016,360.7
grc,2017,382.5
grc,2018,413.5
grc,2019,450
grc,2020,275.9
grc,2021,301.8
grc,2022,437
grc,2023,432.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,7554
esp,2009,7607
esp,2010,7850
esp,2011,8074
esp,2012,8102
esp,2013,8419
esp,2014,9086
esp,2015,10214
esp,2016,10851
esp,2017,11838
esp,2018,12332
esp,2019,12716
esp,2020,8312
esp,2021,9184
esp,2022,11282
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,19161.2
fra,2009,19127.6
fra,2010,19713.7
fra,2011,19971.2
fra,2012,20020.9
fra,2013,21055.3
fra,2014,21431.1
fra,2015,21587.1
fra,2016,21887.3
fra,2017,22344.1
fra,2018,22669.2
fra,2019,23527.7
fra,2020,12439.8
fra,2021,13564.5
fra,2022,20296.5
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,237.3
hrv,2009,235.9
hrv,2010,269
hrv,2011,286.7
hrv,2012,289.1
hrv,2013,294.6
hrv,2014,298.2
hrv,2015,288.2
hrv,2016,326.4
hrv,2017,341.7
hrv,2018,346.1
hrv,2019,334.2
hrv,2020,270.2
hrv,2021,295.2
hrv,2022,360.2
hrv,2023,350.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8309.6
ita,2009,7596.6
ita,2010,7469.4
ita,2011,7701.3
ita,2012,7280.4
ita,2013,6943.2
ita,2014,7279.2
ita,2015,7571.5
ita,2016,8253.9
ita,2017,8103.2
ita,2018,8368.7
ita,2019,8728.8
ita,2020,5670.7
ita,2021,5555.3
ita,2022,7713.4
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,117.6
cyp,2009,136.4
cyp,2010,117.7
cyp,2011,100.6
cyp,2012,110.5
cyp,2013,93
cyp,2014,102
cyp,2015,96.3
cyp,2016,100.5
cyp,2017,118.4
cyp,2018,110.5
cyp,2019,113.6
cyp,2020,70.4
cyp,2021,96.4
cyp,2022,145.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,125.5
lva,2009,95.3
lva,2010,123.2
lva,2011,108.8
lva,2012,136.9
lva,2013,152.4
lva,2014,115
lva,2015,119.2
lva,2016,130.5
lva,2017,136.2
lva,2018,139.2
lva,2019,138.2
lva,2020,103.1
lva,2021,104.6
lva,2022,121.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,56.2
ltu,2009,49.8
ltu,2010,43.3
ltu,2011,46.1
ltu,2012,48.9
ltu,2013,52.9
ltu,2014,59.9
ltu,2015,72.6
ltu,2016,82
ltu,2017,92.3
ltu,2018,109
ltu,2019,115.6
ltu,2020,86.1
ltu,2021,96.2
ltu,2022,126.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,124
lux,2009,131.4
lux,2010,141.4
lux,2011,140.9
lux,2012,156.7
lux,2013,158.6
lux,2014,153.7
lux,2015,163.2
lux,2016,152.4
lux,2017,163.5
lux,2018,152.6
lux,2019,173
lux,2020,160.7
lux,2021,176.7
lux,2022,193.9
lux,2023,192.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,251.2
hun,2009,219.6
hun,2010,242.7
hun,2011,248.7
hun,2012,258.1
hun,2013,272.2
hun,2014,311.9
hun,2015,321.3
hun,2016,345.4
hun,2017,452.5
hun,2018,530.6
hun,2019,598.6
hun,2020,582.7
hun,2021,615.7
hun,2022,747
hun,2023,761.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,27.3
mlt,2009,23.7
mlt,2010,27.1
mlt,2011,29.2
mlt,2012,32.8
mlt,2013,32.5
mlt,2014,31.8
mlt,2015,31.5
mlt,2016,34.2
mlt,2017,36.6
mlt,2018,40.6
mlt,2019,37.8
mlt,2020,33.8
mlt,2021,42.4
mlt,2022,51.9
mlt,2023,58.5
mlt,2024,63.1
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2796
nld,2009,2783.5
nld,2010,2769
nld,2011,2825
nld,2012,2878.8
nld,2013,2843
nld,2014,2834.8
nld,2015,2832.6
nld,2016,2808.7
nld,2017,2854.6
nld,2018,2890.8
nld,2019,2892.9
nld,2020,1701
nld,2021,1699
nld,2022,3349.2
nld,2023,3524.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1649.4
aut,2009,1544.3
aut,2010,1551.3
aut,2011,1528.5
aut,2012,1514
aut,2013,1514.1
aut,2014,1484.7
aut,2015,1470.8
