country,year,foradl_fast_transp_lagr
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,610352
eu_three,2009,568837.7
eu_three,2010,586174.7
eu_three,2011,593653.2
eu_three,2012,593718.1
eu_three,2013,591869.6
eu_three,2014,592308.4
eu_three,2015,589392.4
eu_three,2016,593278.6
eu_three,2017,621328.5
eu_three,2018,638996.8
eu_three,2019,650319.2
eu_three,2020,543544.6
eu_three,2021,596605.6
eu_three,2022,655106.2
eu_three,2023,650519
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,23645.4
bel,2009,23042.1
bel,2010,23350.9
bel,2011,23384.1
bel,2012,23330.8
bel,2013,22612
bel,2014,23244.4
bel,2015,24268.9
bel,2016,23707.2
bel,2017,24056.9
bel,2018,24680.6
bel,2019,24624.2
bel,2020,22570.1
bel,2021,23501
bel,2022,24034.1
bel,2023,24034.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3287.7
bgr,2009,3081.5
bgr,2010,3191.5
bgr,2011,2956.6
bgr,2012,2786.7
bgr,2013,2899.8
bgr,2014,3106.5
bgr,2015,3337.8
bgr,2016,3358.8
bgr,2017,3169.8
bgr,2018,3151.6
bgr,2019,3297.9
bgr,2020,2724.9
bgr,2021,3071.3
bgr,2022,3523.1
bgr,2023,3393.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,12364.6
cze,2009,10397.6
cze,2010,10733.5
cze,2011,10246.6
cze,2012,10001.2
cze,2013,9663.8
cze,2014,9182
cze,2015,9447.9
cze,2016,9810.1
cze,2017,10946.1
cze,2018,11701
cze,2019,11890.2
cze,2020,10503.7
cze,2021,11255.4
cze,2022,12964.8
cze,2023,12290.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,15989.1
dnk,2009,13748.7
dnk,2010,14061.2
dnk,2011,15097.6
dnk,2012,15051.3
dnk,2013,16581.9
dnk,2014,15630.7
dnk,2015,15277
dnk,2016,15835.4
dnk,2017,16243.4
dnk,2018,16498.3
dnk,2019,17105.5
dnk,2020,14081.2
dnk,2021,14546.2
dnk,2022,16907.1
dnk,2023,18509
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,141548.9
deu,2009,134611.1
deu,2010,135503.8
deu,2011,138309.5
deu,2012,136868.4
deu,2013,142173.8
deu,2014,137110.7
deu,2015,138220.3
deu,2016,136957.7
deu,2017,140197
deu,2018,147976.5
deu,2019,145681
deu,2020,127533
deu,2021,140541.4
deu,2022,147989.3
deu,2023,148933
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1591.1
est,2009,1405.9
est,2010,1497.5
est,2011,1579
est,2012,1616.3
est,2013,1618.5
est,2014,1668.5
est,2015,1616.8
est,2016,1620.6
est,2017,1696.5
est,2018,1872.4
est,2019,1979
est,2020,1555.5
est,2021,1790.9
est,2022,1926.1
est,2023,1640.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5324.7
irl,2009,4734.8
irl,2010,4535.5
irl,2011,4805.2
irl,2012,4834.2
irl,2013,4814.4
irl,2014,5020.4
irl,2015,5297.5
irl,2016,5596.2
irl,2017,5736.1
irl,2018,6056.1
irl,2019,6333.9
irl,2020,3737.3
irl,2021,3833.3
irl,2022,3230.5
irl,2023,3517.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,22491.6
grc,2009,17814.8
grc,2010,18134.1
grc,2011,16053
grc,2012,15283.9
grc,2013,14192.9
grc,2014,14709.3
grc,2015,10915.7
grc,2016,9774.4
grc,2017,11297.2
grc,2018,12560.4
grc,2019,12364.9
grc,2020,8787.8
grc,2021,10253.1
grc,2022,10660.6
grc,2023,10198.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,49872
esp,2009,47432
esp,2010,49785
esp,2011,50803
esp,2012,49996
esp,2013,47287
esp,2014,49189
esp,2015,51438
esp,2016,49181
esp,2017,51727
esp,2018,54046
esp,2019,55433
esp,2020,40170
esp,2021,46403
esp,2022,58364
esp,2023,60151
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,98187.4
fra,2009,91872.8
fra,2010,99891.3
fra,2011,101599.8
fra,2012,103545.4
fra,2013,101571.3
fra,2014,102437.4
fra,2015,98905.7
fra,2016,100161
fra,2017,102936.5
fra,2018,99332.8
fra,2019,103493.7
fra,2020,84929.2
fra,2021,97103.5
fra,2022,107457
fra,2023,103112.8
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2323.6
hrv,2009,2183
hrv,2010,2097.4
hrv,2011,2041
hrv,2012,2021.2
hrv,2013,1924.6
hrv,2014,1788.4
hrv,2015,1896.1
hrv,2016,1992.3
hrv,2017,2180.6
hrv,2018,2303.4
hrv,2019,2295.9
hrv,2020,2252.4
hrv,2021,2470.7
hrv,2022,2914.9
hrv,2023,2969.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,89698.5
ita,2009,84510.9
ita,2010,86053.5
ita,2011,85066.8
ita,2012,81196.9
ita,2013,78115.1
ita,2014,76956.7
ita,2015,74639.4
ita,2016,77538.3
ita,2017,82930.3
ita,2018,82280
ita,2019,84876.1
ita,2020,69700.7
ita,2021,76243
ita,2022,82296.5
ita,2023,80483.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1180.7
cyp,2009,1180.5
cyp,2010,1332.8
cyp,2011,1422.7
cyp,2012,1183.5
cyp,2013,1182.2
cyp,2014,1167.3
cyp,2015,1226
cyp,2016,1213.2
cyp,2017,1240.5
cyp,2018,1390.1
cyp,2019,1403.7
cyp,2020,1112.1
cyp,2021,1188.1
cyp,2022,1314.4
cyp,2023,1372.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,2199.8
lva,2009,1704.4
lva,2010,1619.4
lva,2011,1760.2
lva,2012,1948.8
lva,2013,1929.2
lva,2014,1928.7
lva,2015,1953.4
lva,2016,1984.8
lva,2017,2119.5
lva,2018,2196.8
lva,2019,2148.8
lva,2020,1808.1
lva,2021,1897.6
lva,2022,1964.6
lva,2023,1822.5
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,3145.3
ltu,2009,2889.8
ltu,2010,2973.8
ltu,2011,3114.6
ltu,2012,3368.4
ltu,2013,3604.6
ltu,2014,3756.6
ltu,2015,3740.7
ltu,2016,4012.8
ltu,2017,4443.5
ltu,2018,4967.9
ltu,2019,5375.4
ltu,2020,5159.5
ltu,2021,5381.5
ltu,2022,4815.7
ltu,2023,4819.9
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2615.7
lux,2009,2541.1
lux,2010,2731.5
lux,2011,2614.1
lux,2012,2531.9
lux,2013,2567.1
lux,2014,2702.8
lux,2015,2919.6
lux,2016,3256
lux,2017,3593.5
lux,2018,3706.8
lux,2019,3632.7
lux,2020,3216.5
lux,2021,3900.9
lux,2022,3531.4
lux,2023,2967.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,5805.9
hun,2009,5398.1
hun,2010,5633.5
hun,2011,5691.9
hun,2012,5843.3
hun,2013,5827.9
hun,2014,6004.6
hun,2015,6080.1
hun,2016,6392.6
hun,2017,6523.6
hun,2018,6968.4
hun,2019,7457.2
hun,2020,6764.1
hun,2021,7089.2
hun,2022,8106.1
hun,2023,7811
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,497.6
mlt,2009,508.8
mlt,2010,488
mlt,2011,424.2
mlt,2012,462
mlt,2013,503.2
mlt,2014,546.8
mlt,2015,656.8
mlt,2016,657.5
mlt,2017,725.1
mlt,2018,804.5
mlt,2019,816
mlt,2020,197.1
mlt,2021,616.2
mlt,2022,723.5
mlt,2023,818.2
mlt,2024,948
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,33893
nld,2009,31241
nld,2010,32750.9
nld,2011,33944.3
nld,2012,34292.8
nld,2013,34077.3
nld,2014,34972.8
nld,2015,34849.7
nld,2016,34397.4
nld,2017,35765.1
