country,year,foradl_fast_tryck
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,116645.8
eu_three,2009,106205.6
eu_three,2010,111569.7
eu_three,2011,111766.3
eu_three,2012,109660.6
eu_three,2013,106126.5
eu_three,2014,106889.6
eu_three,2015,108474.2
eu_three,2016,109127
eu_three,2017,112303.2
eu_three,2018,111613.1
eu_three,2019,112983.6
eu_three,2020,108062.6
eu_three,2021,108817.3
eu_three,2022,104421.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3742.5
bel,2009,3515.6
bel,2010,3301.3
bel,2011,3380.3
bel,2012,3305.6
bel,2013,3079.6
bel,2014,3137.4
bel,2015,3190
bel,2016,3122.2
bel,2017,3043.1
bel,2018,2966.7
bel,2019,2993.6
bel,2020,2658.8
bel,2021,2651.6
bel,2022,2732.9
bel,2023,2587.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,439.7
bgr,2009,440
bgr,2010,436.8
bgr,2011,476.8
bgr,2012,472.2
bgr,2013,452
bgr,2014,452.1
bgr,2015,474.6
bgr,2016,472
bgr,2017,483.3
bgr,2018,464.7
bgr,2019,480.2
bgr,2020,430.4
bgr,2021,462.5
bgr,2022,433.9
bgr,2023,357.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2459.7
cze,2009,2208.2
cze,2010,2460.1
cze,2011,2345.3
cze,2012,2272.2
cze,2013,2133.6
cze,2014,2232.9
cze,2015,2431
cze,2016,2548.1
cze,2017,2695.6
cze,2018,2707.2
cze,2019,2702.4
cze,2020,2756.2
cze,2021,2486.8
cze,2022,2619
cze,2023,3045
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2440.8
dnk,2009,1910.8
dnk,2010,1816.4
dnk,2011,1855.4
dnk,2012,1677.8
dnk,2013,1629.9
dnk,2014,1738.9
dnk,2015,1641.5
dnk,2016,1504
dnk,2017,1639.7
dnk,2018,1535
dnk,2019,1526.4
dnk,2020,1455.8
dnk,2021,1439.6
dnk,2022,1060.6
dnk,2023,993
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,25824.9
deu,2009,23686.3
deu,2010,25778.4
deu,2011,25668.8
deu,2012,26274
deu,2013,25783.8
deu,2014,25871.5
deu,2015,26925.7
deu,2016,26849
deu,2017,27418.6
deu,2018,26709.4
deu,2019,26742.2
deu,2020,27383
deu,2021,24981.5
deu,2022,21525.8
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,432.3
est,2009,361.2
est,2010,491
est,2011,543.4
est,2012,562
est,2013,575.1
est,2014,638.6
est,2015,684.3
est,2016,709.8
est,2017,751.6
est,2018,772.5
est,2019,770.7
est,2020,732.5
est,2021,904.7
est,2022,773.3
est,2023,720.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1130.5
irl,2009,852.2
irl,2010,818.4
irl,2011,799.8
irl,2012,770.2
irl,2013,773.1
irl,2014,814.4
irl,2015,768.3
irl,2016,735.9
irl,2017,766
irl,2018,822.2
irl,2019,878.6
irl,2020,847.2
irl,2021,909.4
irl,2022,777.2
irl,2023,949.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1939.1
grc,2009,1716
grc,2010,1182.4
grc,2011,955
grc,2012,805.2
grc,2013,705.6
grc,2014,780.5
grc,2015,741.5
grc,2016,741.9
grc,2017,759.1
grc,2018,811.2
grc,2019,814.3
grc,2020,823.3
grc,2021,939.3
grc,2022,966.7
grc,2023,914.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11874
esp,2009,10128
esp,2010,10380
esp,2011,9578
esp,2012,8848
esp,2013,8483
esp,2014,8040
esp,2015,8008
esp,2016,7795
esp,2017,8356
esp,2018,8448
esp,2019,8544
esp,2020,7559
esp,2021,8366
esp,2022,7831
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,11281.6
fra,2009,11214.7
fra,2010,11021.1
fra,2011,11739.7
fra,2012,11793.7
fra,2013,11834.8
fra,2014,12061.2
fra,2015,11789.6
fra,2016,11845.9
fra,2017,11964.6
fra,2018,11346.8
fra,2019,11695.8
fra,2020,10544.1
fra,2021,10604
fra,2022,10416.2
fra,2023,10246.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,571.7
hrv,2009,523.8
hrv,2010,451.3
hrv,2011,458.1
hrv,2012,422.5
hrv,2013,417.3
hrv,2014,443.6
hrv,2015,494.2
hrv,2016,511.8
hrv,2017,545.6
hrv,2018,567.8
hrv,2019,650.7
hrv,2020,545.9
hrv,2021,659.8
hrv,2022,612.3
hrv,2023,524.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18678.8
ita,2009,16570.7
ita,2010,17356.9
ita,2011,17742.8
ita,2012,16917.5
ita,2013,15967.9
ita,2014,15763.4
ita,2015,15196
ita,2016,15907.7
ita,2017,15922.6
ita,2018,15827.2
ita,2019,15880.5
ita,2020,13441.4
ita,2021,15046.8
ita,2022,14868.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,150.8
cyp,2009,131.1
cyp,2010,126
cyp,2011,119.6
cyp,2012,102.8
cyp,2013,73.4
cyp,2014,67
cyp,2015,70.9
cyp,2016,80.1
cyp,2017,90.2
cyp,2018,100.1
cyp,2019,108.4
cyp,2020,94
cyp,2021,93.3
cyp,2022,88.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,527.3
lva,2009,486
lva,2010,651.8
lva,2011,666.4
lva,2012,697.5
lva,2013,677.5
lva,2014,705.7
lva,2015,718.1
lva,2016,724.8
lva,2017,785.4
lva,2018,888
lva,2019,937.1
lva,2020,932.4
lva,2021,900.6
lva,2022,808.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,533.4
ltu,2009,437.6
ltu,2010,516
ltu,2011,583.1
ltu,2012,593.3
ltu,2013,671.6
ltu,2014,707.3
ltu,2015,760.6
ltu,2016,789.7
ltu,2017,830.3
ltu,2018,858.9
ltu,2019,881.4
ltu,2020,901.3
ltu,2021,1019.8
ltu,2022,1108.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1055.2
hun,2009,921.4
hun,2010,1015.7
hun,2011,941.8
hun,2012,897.8
hun,2013,905.5
hun,2014,922.9
hun,2015,923.1
hun,2016,952.2
hun,2017,1008.9
hun,2018,1056.9
hun,2019,1131.7
hun,2020,1095.2
hun,2021,1164.6
hun,2022,1242.4
hun,2023,1207.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,64.2
mlt,2009,62.6
mlt,2010,59.1
mlt,2011,64.9
mlt,2012,64.3
mlt,2013,64.5
mlt,2014,66.2
mlt,2015,67.6
mlt,2016,63.4
mlt,2017,55.4
mlt,2018,76.6
mlt,2019,85.4
mlt,2020,101.1
mlt,2021,116.8
mlt,2022,124.4
mlt,2023,145.9
mlt,2024,148.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5132.6
nld,2009,4793.2
nld,2010,4649.5
nld,2011,4669.9
nld,2012,4386.8
nld,2013,4421
nld,2014,4472.5
nld,2015,4457.6
nld,2016,4564.5
nld,2017,4649.3
nld,2018,4679.8
nld,2019,4761.2
nld,2020,4685
nld,2021,4355
nld,2022,4511.4
nld,2023,4311.9
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5235.5
aut,2009,4666.4
aut,2010,5065
aut,2011,5498.9
aut,2012,5364
aut,2013,5367.8
aut,2014,5477.9
aut,2015,5540.2
