country,year,foradl_fast_uthyr
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,121602.5
eu_three,2009,119025.3
eu_three,2010,117283.1
eu_three,2011,111702.3
eu_three,2012,112405.1
eu_three,2013,117866.2
eu_three,2014,124383.2
eu_three,2015,130296.3
eu_three,2016,140030.2
eu_three,2017,142596.6
eu_three,2018,149955.9
eu_three,2019,155695.4
eu_three,2020,146227.5
eu_three,2021,154204
eu_three,2022,159873.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2988.6
bel,2009,2663.3
bel,2010,2692.7
bel,2011,2754.9
bel,2012,2821.8
bel,2013,3063.6
bel,2014,3880.6
bel,2015,4487.4
bel,2016,4967.7
bel,2017,5248.5
bel,2018,5631.1
bel,2019,6449.3
bel,2020,6692.5
bel,2021,6721.5
bel,2022,6057.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,342.9
bgr,2009,279.6
bgr,2010,227.2
bgr,2011,244
bgr,2012,235.5
bgr,2013,219
bgr,2014,212.2
bgr,2015,171.1
bgr,2016,181.3
bgr,2017,198.3
bgr,2018,231.6
bgr,2019,267.9
bgr,2020,256.2
bgr,2021,295.5
bgr,2022,296.7
bgr,2023,315.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,448.5
cze,2009,445.3
cze,2010,465.3
cze,2011,494.2
cze,2012,508.3
cze,2013,631.6
cze,2014,662.4
cze,2015,607.7
cze,2016,691
cze,2017,833
cze,2018,998.2
cze,2019,1015.8
cze,2020,941.1
cze,2021,1033.4
cze,2022,1107.8
cze,2023,1239.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1082.5
dnk,2009,993.1
dnk,2010,1005.8
dnk,2011,1240.2
dnk,2012,1507.7
dnk,2013,1531.8
dnk,2014,1702.6
dnk,2015,1731.4
dnk,2016,1689.5
dnk,2017,1565.7
dnk,2018,1767.6
dnk,2019,1440.8
dnk,2020,1361.3
dnk,2021,1776.1
dnk,2022,1486.5
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,43725.5
deu,2009,43688.2
deu,2010,42635.5
deu,2011,36045.6
deu,2012,36169.9
deu,2013,38362.4
deu,2014,40625.4
deu,2015,41441.9
deu,2016,44206.3
deu,2017,40633.7
deu,2018,41574.5
deu,2019,40310.4
deu,2020,41446
deu,2021,43920.3
deu,2022,47965.5
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,172.9
est,2009,160.3
est,2010,179.5
est,2011,201.3
est,2012,237.9
est,2013,236.2
est,2014,222.5
est,2015,211.6
est,2016,215.2
est,2017,251.7
est,2018,272.6
est,2019,284.1
est,2020,240.4
est,2021,227.5
est,2022,276.2
est,2023,280.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,5443.9
irl,2009,5861.5
irl,2010,5700
irl,2011,6677.9
irl,2012,6919.5
irl,2013,10402.2
irl,2014,13191.1
irl,2015,14514.8
irl,2016,16192.7
irl,2017,17221.4
irl,2018,17762.3
irl,2019,18111.5
irl,2020,15385.1
irl,2021,14017
irl,2022,12889.4
irl,2023,14003.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,774
grc,2009,653.4
grc,2010,758.3
grc,2011,744
grc,2012,651.6
grc,2013,456.4
grc,2014,565.1
grc,2015,521.9
grc,2016,553.2
grc,2017,578.4
grc,2018,552
grc,2019,649.9
grc,2020,516.6
grc,2021,663.4
grc,2022,688.6
grc,2023,590
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,8267
esp,2009,7779
esp,2010,8161
esp,2011,7931
esp,2012,7275
esp,2013,6690
esp,2014,6885
esp,2015,7591
esp,2016,8132
esp,2017,7588
esp,2018,8011
esp,2019,8649
esp,2020,6383
esp,2021,7271
esp,2022,7666
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,29488.9
fra,2009,27497.5
fra,2010,26778.3
fra,2011,27266
fra,2012,27628.7
fra,2013,27071.5
fra,2014,27532.3
fra,2015,28787.9
fra,2016,29791.3
fra,2017,32392.2
fra,2018,34385.6
fra,2019,35516.2
fra,2020,34203.7
fra,2021,37141.2
fra,2022,38284
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,230.2
hrv,2009,223.6
hrv,2010,198.7
hrv,2011,185.5
hrv,2012,195.5
hrv,2013,221.6
hrv,2014,240.8
hrv,2015,256.2
hrv,2016,262.1
hrv,2017,305.5
hrv,2018,335
hrv,2019,298.4
hrv,2020,234.3
hrv,2021,261.7
hrv,2022,343.8
hrv,2023,334.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7115.9
ita,2009,7242.6
ita,2010,7022.2
ita,2011,6861.3
ita,2012,6578.5
ita,2013,7183.2
ita,2014,7373.9
ita,2015,7108.7
ita,2016,7480.2
ita,2017,8153
ita,2018,9075.6
ita,2019,9572.6
ita,2020,8958.9
ita,2021,9578.1
ita,2022,10629.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,117.2
cyp,2009,113.5
cyp,2010,103.3
cyp,2011,92.5
cyp,2012,87.2
cyp,2013,81
cyp,2014,70.9
cyp,2015,74.7
cyp,2016,82.1
cyp,2017,104.8
cyp,2018,126.2
cyp,2019,141.1
cyp,2020,112.3
cyp,2021,132.4
cyp,2022,148.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,169.3
lva,2009,96.5
lva,2010,100.7
lva,2011,103.3
lva,2012,110.9
lva,2013,132.4
lva,2014,146.8
lva,2015,155.6
lva,2016,166.5
lva,2017,176.5
lva,2018,199.8
lva,2019,203.3
lva,2020,214.3
lva,2021,215.6
lva,2022,180.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,219.1
ltu,2009,165.7
ltu,2010,141.4
ltu,2011,155.5
ltu,2012,184.2
ltu,2013,198.8
ltu,2014,216.4
ltu,2015,258.8
ltu,2016,271.3
ltu,2017,350.1
ltu,2018,410.3
ltu,2019,437.2
ltu,2020,415.4
ltu,2021,463.9
ltu,2022,556.2
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,540.3
lux,2009,525.6
lux,2010,508.3
lux,2011,454.5
lux,2012,498.3
lux,2013,536.9
lux,2014,631.9
lux,2015,714.7
lux,2016,781.7
lux,2017,813.7
lux,2018,936.1
lux,2019,941.5
lux,2020,1161.6
lux,2021,1054.3
lux,2022,957.5
lux,2023,966.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,486
hun,2009,570.7
hun,2010,586.5
hun,2011,580.3
hun,2012,657.9
hun,2013,612.3
hun,2014,604.9
hun,2015,620.9
hun,2016,639.2
hun,2017,899.3
hun,2018,852
hun,2019,785.5
hun,2020,699.4
hun,2021,811.4
hun,2022,887.2
hun,2023,975.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,55.4
mlt,2009,50.6
mlt,2010,52
mlt,2011,62
mlt,2012,72.9
mlt,2013,101.8
mlt,2014,122.1
mlt,2015,149.5
mlt,2016,175.4
mlt,2017,281.4
mlt,2018,301.4
mlt,2019,363.9
mlt,2020,346.6
mlt,2021,439.5
mlt,2022,502
mlt,2023,617.6
mlt,2024,644
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9345.3
nld,2009,9302.2
nld,2010,8909.3
nld,2011,8699.1
nld,2012,9128.5
nld,2013,9361.9
nld,2014,9427.2
nld,2015,10269.9
nld,2016,12281.5
nld,2017,12479.5
nld,2018,12932.7
nld,2019,16008.7
nld,2020,13477
nld,2021,14419
nld,2022,13942.5
nld,2023,13971
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4376.5
aut,2009,4014.1
aut,2010,4048.5
aut,2011,4051.6
aut,2012,3890.3
