country,year,foradl_fast_vard
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,256663.6
eu_three,2009,264525.1
eu_three,2010,271049.4
eu_three,2011,275159.5
eu_three,2012,278706.1
eu_three,2013,281900.5
eu_three,2014,289049.2
eu_three,2015,293039
eu_three,2016,300380.1
eu_three,2017,308379.8
eu_three,2018,310020.7
eu_three,2019,316311
eu_three,2020,307609.5
eu_three,2021,314601.6
eu_three,2022,323901.5
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9663.7
bel,2009,8862.9
bel,2010,9181.6
bel,2011,9383.3
bel,2012,9605.5
bel,2013,9603.2
bel,2014,9878.5
bel,2015,9811
bel,2016,10024
bel,2017,10305.5
bel,2018,10528.5
bel,2019,10685.4
bel,2020,10600.3
bel,2021,10988.8
bel,2022,11400.4
bel,2023,11459.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,343
bgr,2009,359.1
bgr,2010,403.5
bgr,2011,478
bgr,2012,426.3
bgr,2013,631.3
bgr,2014,456.1
bgr,2015,432.1
bgr,2016,350.8
bgr,2017,336.1
bgr,2018,330.1
bgr,2019,346.2
bgr,2020,423.7
bgr,2021,488.6
bgr,2022,616.2
bgr,2023,726.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1860.1
cze,2009,1844.9
cze,2010,1959.1
cze,2011,1573.2
cze,2012,1619.7
cze,2013,1639.5
cze,2014,1670.4
cze,2015,1648.9
cze,2016,1694.2
cze,2017,1838.7
cze,2018,1944.2
cze,2019,2077
cze,2020,2159.9
cze,2021,2287.5
cze,2022,2416.6
cze,2023,2478.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,15118.4
dnk,2009,15263.1
dnk,2010,15649.9
dnk,2011,15799.5
dnk,2012,15653.9
dnk,2013,15739.3
dnk,2014,15133.9
dnk,2015,15024.3
dnk,2016,14628.1
dnk,2017,14746.4
dnk,2018,14636.9
dnk,2019,14818.6
dnk,2020,14189.1
dnk,2021,14468.7
dnk,2022,14435.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,70006.6
deu,2009,73026.5
deu,2010,75795.5
deu,2011,77339.2
deu,2012,80108.2
deu,2013,80793.2
deu,2014,84498.1
deu,2015,87421.4
deu,2016,90615
deu,2017,94744.3
deu,2018,94985.5
deu,2019,97368.6
deu,2020,96481
deu,2021,98179.1
deu,2022,99568.4
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,113.6
est,2009,117.9
est,2010,127.3
est,2011,132.9
est,2012,135.4
est,2013,139.4
est,2014,146.4
est,2015,147.5
est,2016,158.1
est,2017,164.2
est,2018,162.5
est,2019,159.6
est,2020,164.7
est,2021,170.6
est,2022,177.8
est,2023,181.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2969.3
irl,2009,3143.8
irl,2010,3007.5
irl,2011,3091.6
irl,2012,3195
irl,2013,3373.1
irl,2014,3397.2
irl,2015,3607.9
irl,2016,3570.6
irl,2017,4022
irl,2018,4298.1
irl,2019,4610.2
irl,2020,4464.4
irl,2021,4376.7
irl,2022,4684.3
irl,2023,5005.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,703.4
grc,2009,683.9
grc,2010,594.2
grc,2011,395.6
grc,2012,362.6
grc,2013,347.2
grc,2014,411.2
grc,2015,385.8
grc,2016,420.4
grc,2017,477.3
grc,2018,571.2
grc,2019,669.4
grc,2020,657.5
grc,2021,676.5
grc,2022,685.3
grc,2023,703.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,12787
esp,2009,13106
esp,2010,13611
esp,2011,13388
esp,2012,13335
esp,2013,14132
esp,2014,14022
esp,2015,14414
esp,2016,14735
esp,2017,14901
esp,2018,14890
esp,2019,15523
esp,2020,14740
esp,2021,15918
esp,2022,16157
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,58059.3
fra,2009,60111.1
fra,2010,61580.5
fra,2011,63427
fra,2012,64763.4
fra,2013,65391.2
fra,2014,66249
fra,2015,65708.1
fra,2016,65872.5
fra,2017,66978.2
fra,2018,66595
fra,2019,67353.3
fra,2020,64002.8
fra,2021,65704.9
fra,2022,67920.5
fra,2023,67861.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,227.7
hrv,2009,232.9
hrv,2010,248.1
hrv,2011,263.6
hrv,2012,271.2
hrv,2013,274.1
hrv,2014,272.2
hrv,2015,294.4
hrv,2016,314.5
hrv,2017,307.1
hrv,2018,329.6
hrv,2019,385.4
hrv,2020,368.1
hrv,2021,391.4
hrv,2022,406.4
hrv,2023,420.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,13774.8
ita,2009,14085.8
ita,2010,14181.4
ita,2011,13959.9
ita,2012,13010.6
ita,2013,12650.2
ita,2014,13069.3
ita,2015,13308.9
ita,2016,13877.3
ita,2017,14663.1
ita,2018,14904.6
ita,2019,15114.1
ita,2020,14625.4
ita,2021,15020.2
ita,2022,16173.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,204.1
cyp,2009,206.8
cyp,2010,75.4
cyp,2011,71.1
cyp,2012,75.6
cyp,2013,71.5
cyp,2014,70.6
cyp,2015,70
cyp,2016,73
cyp,2017,75.4
cyp,2018,79.5
cyp,2019,87
cyp,2020,88
cyp,2021,94.3
cyp,2022,101.8
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,118.7
lva,2009,123.3
lva,2010,116.7
lva,2011,125.8
lva,2012,142.1
lva,2013,148.8
lva,2014,161.3
lva,2015,167.7
lva,2016,167.4
lva,2017,164.5
lva,2018,178.2
lva,2019,177.9
lva,2020,170.6
lva,2021,189.8
lva,2022,204.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,300.3
ltu,2009,291.7
ltu,2010,269.4
ltu,2011,273
ltu,2012,284.7
ltu,2013,299.2
ltu,2014,318.2
ltu,2015,325.9
ltu,2016,338.3
ltu,2017,350.2
ltu,2018,358.2
ltu,2019,361.9
ltu,2020,356.5
ltu,2021,360.3
ltu,2022,373.3
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,974.5
lux,2009,1168.6
lux,2010,1247
lux,2011,1344.7
lux,2012,1427.9
lux,2013,1444.1
lux,2014,1536.9
lux,2015,1575.7
lux,2016,1595.2
lux,2017,1710.6
lux,2018,1865
lux,2019,1958.6
lux,2020,1712.5
lux,2021,2037.6
lux,2022,2264
lux,2023,2364.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1069.2
hun,2009,1121.3
hun,2010,1095.3
hun,2011,1116.6
hun,2012,1091.8
hun,2013,1143.6
hun,2014,1232.1
hun,2015,1232.8
hun,2016,1221.2
hun,2017,1279
hun,2018,1290.9
hun,2019,1303.9
hun,2020,1323.2
hun,2021,1349.8
hun,2022,1344.1
hun,2023,1364.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,121.8
mlt,2009,123.7
mlt,2010,131.9
mlt,2011,140.7
mlt,2012,142
mlt,2013,150.7
mlt,2014,157
mlt,2015,170.7
mlt,2016,170.5
mlt,2017,186.8
mlt,2018,193.2
mlt,2019,220.6
mlt,2020,228.2
mlt,2021,269.4
mlt,2022,256.8
mlt,2023,264.7
mlt,2024,295.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,26797.5
nld,2009,27896.1
nld,2010,28614.4
nld,2011,29391.7
nld,2012,29208.4
nld,2013,29536.8
nld,2014,30166.7
nld,2015,29914.4
nld,2016,30657
nld,2017,31173.4
nld,2018,31805.9
nld,2019,32886.4
nld,2020,31576
nld,2021,32690
nld,2022,35017.3
nld,2023,37153.6
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5104.6
