country,year,foradl_fast_vatten
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,102732.1
eu_three,2009,104357.3
eu_three,2010,105491.5
eu_three,2011,105371.7
eu_three,2012,105257.2
eu_three,2013,105207.7
eu_three,2014,104915.3
eu_three,2015,107005.6
eu_three,2016,109490.9
eu_three,2017,108775.7
eu_three,2018,112109.6
eu_three,2019,116361.3
eu_three,2020,115515.1
eu_three,2021,116684.6
eu_three,2022,123379.7
eu_three,2023,121256.5
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3297.9
bel,2009,3753
bel,2010,3999.2
bel,2011,4192.7
bel,2012,4522.7
bel,2013,4361.4
bel,2014,4056.8
bel,2015,3857
bel,2016,3799.9
bel,2017,3975.5
bel,2018,3981.8
bel,2019,4108
bel,2020,3997.7
bel,2021,4136.3
bel,2022,4269.3
bel,2023,4270.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,477.7
bgr,2009,442.9
bgr,2010,456.1
bgr,2011,477.9
bgr,2012,476.1
bgr,2013,486.5
bgr,2014,530.8
bgr,2015,555.8
bgr,2016,568.7
bgr,2017,563.8
bgr,2018,528.7
bgr,2019,620.9
bgr,2020,570.4
bgr,2021,451.7
bgr,2022,535.2
bgr,2023,623.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2505.5
cze,2009,2743
cze,2010,2205.6
cze,2011,2200.2
cze,2012,1980.9
cze,2013,1689.6
cze,2014,1753.7
cze,2015,1829.6
cze,2016,1924.5
cze,2017,1834
cze,2018,1924.8
cze,2019,2009.4
cze,2020,1985
cze,2021,1667
cze,2022,1698.7
cze,2023,1687.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2297
dnk,2009,2123.4
dnk,2010,2304.1
dnk,2011,2330.5
dnk,2012,2222.6
dnk,2013,2144.7
dnk,2014,2156.7
dnk,2015,2288.9
dnk,2016,2287.4
dnk,2017,2215.5
dnk,2018,2401.6
dnk,2019,2243.6
dnk,2020,2225.9
dnk,2021,2448.4
dnk,2022,2210.5
dnk,2023,2037.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21508.4
deu,2009,23296.4
deu,2010,22032.1
deu,2011,22183.6
deu,2012,23251.7
deu,2013,24164.6
deu,2014,26541.8
deu,2015,28581.4
deu,2016,29969.8
deu,2017,29077.5
deu,2018,30669.2
deu,2019,33335.8
deu,2020,34452
deu,2021,29587.4
deu,2022,32254
deu,2023,32088.6
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,215.2
est,2009,170
est,2010,174
est,2011,169.8
est,2012,173.8
est,2013,162.1
est,2014,167.1
est,2015,174.2
est,2016,184
est,2017,189.7
est,2018,188.1
est,2019,202.9
est,2020,178.6
est,2021,205.4
est,2022,160.3
est,2023,141.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1162.8
irl,2009,1042.2
irl,2010,1044.9
irl,2011,1036.7
irl,2012,1015.7
irl,2013,1010.1
irl,2014,1105.8
irl,2015,1124.3
irl,2016,1160.3
irl,2017,1184.8
irl,2018,1325.4
irl,2019,1561.9
irl,2020,1388.3
irl,2021,1400.3
irl,2022,1342.9
irl,2023,1553.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2630.8
grc,2009,2514.3
grc,2010,2378.4
grc,2011,2258.8
grc,2012,2394.7
grc,2013,2495.8
grc,2014,2418.1
grc,2015,2117.7
grc,2016,2104.3
grc,2017,2026.5
grc,2018,2015.5
grc,2019,2100.2
grc,2020,1859.5
grc,2021,1895.6
grc,2022,2090.3
grc,2023,2455.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11957
esp,2009,11634
esp,2010,13213
esp,2011,13812
esp,2012,13229
esp,2013,12799
esp,2014,11890
esp,2015,11845
esp,2016,12118
esp,2017,12448
esp,2018,12637
esp,2019,12899
esp,2020,12543
esp,2021,13906
esp,2022,15816
esp,2023,13429
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,14944.1
fra,2009,14902.4
fra,2010,15559.1
fra,2011,15395.7
fra,2012,14954.5
fra,2013,14915.6
fra,2014,14205.4
fra,2015,13622.3
fra,2016,13292.8
fra,2017,13731.2
fra,2018,13703.3
fra,2019,13909.8
fra,2020,12653.1
fra,2021,14002.3
fra,2022,14252.6
fra,2023,14216.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,518.2
hrv,2009,489.3
hrv,2010,553.2
hrv,2011,556.5
hrv,2012,557.6
hrv,2013,523.1
hrv,2014,537.4
hrv,2015,546.3
hrv,2016,532.1
hrv,2017,536.1
hrv,2018,544.8
hrv,2019,534
hrv,2020,689.1
hrv,2021,767.8
hrv,2022,830.2
hrv,2023,846.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,22240.6
ita,2009,20969.1
ita,2010,21445.6
ita,2011,20579.8
ita,2012,19667.3
ita,2013,18292.7
ita,2014,16591
ita,2015,16499.6
ita,2016,17178.8
ita,2017,17078.2
ita,2018,17313.6
ita,2019,17276.4
ita,2020,17059.9
ita,2021,19695
ita,2022,21277.4
ita,2023,20969.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,117.2
cyp,2009,136.5
cyp,2010,119.5
cyp,2011,126.5
cyp,2012,130.1
cyp,2013,137
cyp,2014,138.8
cyp,2015,142
cyp,2016,157.4
cyp,2017,150.2
cyp,2018,131.8
cyp,2019,139.9
cyp,2020,136.7
cyp,2021,152.6
cyp,2022,177.9
cyp,2023,184.1
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,218.1
lva,2009,310.1
lva,2010,204.5
lva,2011,201.2
lva,2012,203.3
lva,2013,209.2
lva,2014,210.4
lva,2015,228.5
lva,2016,223.8
lva,2017,214.8
lva,2018,225.4
lva,2019,223.7
lva,2020,238
lva,2021,206
lva,2022,184.1
lva,2023,197.5
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,262.4
ltu,2009,231.8
ltu,2010,241.4
ltu,2011,374.8
ltu,2012,372.2
ltu,2013,391.2
ltu,2014,416.8
ltu,2015,407.6
ltu,2016,424.2
ltu,2017,434
ltu,2018,434.1
ltu,2019,473.6
ltu,2020,480.6
ltu,2021,518.7
ltu,2022,476.1
ltu,2023,471.1
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,345.2
lux,2009,370.5
lux,2010,332.8
lux,2011,255.5
lux,2012,258.8
lux,2013,275.6
lux,2014,287.5
lux,2015,285.7
lux,2016,281.7
lux,2017,272.7
lux,2018,288.7
lux,2019,292.4
lux,2020,288.9
lux,2021,277.6
lux,2022,291
lux,2023,263.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,888.8
hun,2009,907.8
hun,2010,929.7
hun,2011,897.1
hun,2012,818.6
hun,2013,796
hun,2014,763.5
hun,2015,818.5
hun,2016,896.5
hun,2017,921.3
hun,2018,904.8
hun,2019,956.1
hun,2020,926.8
hun,2021,755.8
hun,2022,653.4
hun,2023,614.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,76.7
mlt,2009,69.7
mlt,2010,65.9
mlt,2011,65.7
mlt,2012,61.5
mlt,2013,62.5
mlt,2014,66.8
mlt,2015,70.4
mlt,2016,73.1
mlt,2017,77.1
mlt,2018,85.7
mlt,2019,87.2
mlt,2020,86.3
mlt,2021,92.4
mlt,2022,99.9
mlt,2023,116.3
mlt,2024,128.6
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,3534.3
nld,2009,3459.8
nld,2010,3412.4
nld,2011,3502.3
nld,2012,3567.8
nld,2013,3796.3
nld,2014,4052.4
nld,2015,4263.4
nld,2016,4272.5
nld,2017,4326.6
nld,2018,4460.7
nld,2019,4356
nld,2020,4290
nld,2021,4173
nld,2022,4333
nld,2023,4230.7
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
