country,year,foradl_lop_admin
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,398616
eu_three,2009,375936.9
eu_three,2010,394991.6
eu_three,2011,410140.1
eu_three,2012,414499.7
eu_three,2013,429703.8
eu_three,2014,455316.2
eu_three,2015,480927.7
eu_three,2016,506370.4
eu_three,2017,536549.1
eu_three,2018,569502.7
eu_three,2019,592906.4
eu_three,2020,536222.3
eu_three,2021,593074.1
eu_three,2022,666105.5
eu_three,2023,730354.9
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,13399.6
bel,2009,11760.6
bel,2010,12414.1
bel,2011,13599.6
bel,2012,14012.5
bel,2013,14635.7
bel,2014,16065
bel,2015,17530.2
bel,2016,18573.4
bel,2017,19614.3
bel,2018,20892.6
bel,2019,22456.1
bel,2020,21256.1
bel,2021,23681.3
bel,2022,25239.4
bel,2023,26297.7
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,643.4
bgr,2009,759.3
bgr,2010,635.9
bgr,2011,702.3
bgr,2012,736.2
bgr,2013,678
bgr,2014,800.3
bgr,2015,861.7
bgr,2016,980.4
bgr,2017,1049.1
bgr,2018,1267
bgr,2019,1445.5
bgr,2020,1384.5
bgr,2021,1566.3
bgr,2022,1830.8
bgr,2023,2268.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2996.7
cze,2009,2724.1
cze,2010,2785.5
cze,2011,2701.5
cze,2012,2589.5
cze,2013,2656.9
cze,2014,2586.3
cze,2015,2621.6
cze,2016,2838.1
cze,2017,3266.8
cze,2018,3656.4
cze,2019,4006.7
cze,2020,3430
cze,2021,4021.7
cze,2022,4969.5
cze,2023,5674
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,5657.1
dnk,2009,5293.8
dnk,2010,5336.4
dnk,2011,5769.8
dnk,2012,6112
dnk,2013,6512
dnk,2014,6767.1
dnk,2015,7568
dnk,2016,8013
dnk,2017,8258.7
dnk,2018,8568.2
dnk,2019,8329.9
dnk,2020,7814
dnk,2021,8922.1
dnk,2022,9184.5
dnk,2023,9371.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,103794
deu,2009,101540
deu,2010,108835
deu,2011,107613
deu,2012,111967
deu,2013,120778
deu,2014,131816
deu,2015,135546
deu,2016,139789
deu,2017,143193
deu,2018,152386
deu,2019,153920
deu,2020,142276
deu,2021,157158
deu,2022,181802
deu,2023,196206
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,468.8
est,2009,418.2
est,2010,428.5
est,2011,508.5
est,2012,588.9
est,2013,603.9
est,2014,612.1
est,2015,637.9
est,2016,685.5
est,2017,799.7
est,2018,896.6
est,2019,964.9
est,2020,848.5
est,2021,949.7
est,2022,1163
est,2023,1171.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,6922.2
irl,2009,6566.8
irl,2010,7526.2
irl,2011,8352.1
irl,2012,8698.4
irl,2013,11680.1
irl,2014,14689.1
irl,2015,18027.6
irl,2016,20017.7
irl,2017,21541
irl,2018,22168
irl,2019,24269.7
irl,2020,21241
irl,2021,20606.8
irl,2022,23890.8
irl,2023,26056.6
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,4526.3
grc,2009,4405.1
grc,2010,3257.1
grc,2011,2967.5
grc,2012,2696.2
grc,2013,2171.9
grc,2014,2441.7
grc,2015,2250.1
grc,2016,2301.7
grc,2017,2526
grc,2018,2712.8
grc,2019,2932.3
grc,2020,2314.5
grc,2021,2931.5
grc,2022,3499.9
grc,2023,3928.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,34759
esp,2009,32777
esp,2010,33284
esp,2011,34589
esp,2012,33055
esp,2013,33027
esp,2014,34946
esp,2015,38919
esp,2016,40990
esp,2017,42714
esp,2018,44439
esp,2019,47700
esp,2020,39154
esp,2021,42823
esp,2022,48840
esp,2023,53367
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,100405.6
fra,2009,90032.5
fra,2010,94359.1
fra,2011,99313
fra,2012,98562.6
fra,2013,99036.6
fra,2014,101228.4
fra,2015,104566.5
fra,2016,109700.2
fra,2017,115393.9
fra,2018,121447.9
fra,2019,125806.9
fra,2020,116013
fra,2021,127420.8
fra,2022,139500.1
fra,2023,156051.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,695.2
hrv,2009,680.8
hrv,2010,711
hrv,2011,680.8
hrv,2012,694.6
hrv,2013,713.5
hrv,2014,727.2
hrv,2015,765.2
hrv,2016,856
hrv,2017,966.4
hrv,2018,1088.7
hrv,2019,1095.1
hrv,2020,842.1
hrv,2021,1062.7
hrv,2022,1245.5
hrv,2023,1462.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,43624.6
ita,2009,42407.9
ita,2010,44153.9
ita,2011,47453.3
ita,2012,46582.2
ita,2013,46229.2
ita,2014,47621.1
ita,2015,48729.9
ita,2016,50475.5
ita,2017,53997.6
ita,2018,58317.7
ita,2019,59204.4
ita,2020,53789.5
ita,2021,60912.3
ita,2022,66071.4
ita,2023,71583.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,251
cyp,2009,250
cyp,2010,273.7
cyp,2011,271.6
cyp,2012,262.8
cyp,2013,244.1
cyp,2014,258.7
cyp,2015,270
cyp,2016,288.3
cyp,2017,329.2
cyp,2018,440.5
cyp,2019,495.1
cyp,2020,436.8
cyp,2021,534.3
cyp,2022,662.1
cyp,2023,719.1
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,548.7
lva,2009,411.7
lva,2010,451.4
lva,2011,483.8
lva,2012,539
lva,2013,593.2
lva,2014,589.6
lva,2015,609.8
lva,2016,643.7
lva,2017,706
lva,2018,801.6
lva,2019,823.5
lva,2020,779.8
lva,2021,810.1
lva,2022,957.3
lva,2023,992.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,617.7
ltu,2009,564.8
ltu,2010,523
ltu,2011,560.3
ltu,2012,641.8
ltu,2013,711
ltu,2014,766.3
ltu,2015,871.3
ltu,2016,967.1
ltu,2017,1153.1
ltu,2018,1306
ltu,2019,1438
ltu,2020,1341.3
ltu,2021,1778.9
ltu,2022,2082.2
ltu,2023,2547.2
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,1222.1
lux,2009,1176.3
lux,2010,1156
lux,2011,1140.3
lux,2012,1208
lux,2013,1290.2
lux,2014,1476.4
lux,2015,1725.5
lux,2016,1861.4
lux,2017,2046.4
lux,2018,2241
lux,2019,2311.9
lux,2020,2499.9
lux,2021,2589.9
lux,2022,2688.6
lux,2023,2912.9
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2990.9
hun,2009,2661.1
hun,2010,2717.6
hun,2011,2948.3
hun,2012,2832.9
hun,2013,2896.7
hun,2014,3002
hun,2015,3262.3
hun,2016,3489.6
hun,2017,4185.1
hun,2018,4448
hun,2019,4851.9
hun,2020,3989.3
hun,2021,4909.1
hun,2022,5573
hun,2023,7034.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,209.6
mlt,2009,212
mlt,2010,237
mlt,2011,252.6
mlt,2012,301.2
mlt,2013,365
mlt,2014,414.5
mlt,2015,506.6
mlt,2016,584.9
mlt,2017,755.4
mlt,2018,848.7
mlt,2019,969.6
mlt,2020,952.3
mlt,2021,1117.3
mlt,2022,1336.6
mlt,2023,1655.7
mlt,2024,1740.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,33355
nld,2009,32459
nld,2010,31591
nld,2011,33115
nld,2012,34014
nld,2013,34960
nld,2014,36930
nld,2015,40896
nld,2016,45813
nld,2017,49575
nld,2018,53597
nld,2019,58358
nld,2020,49586
nld,2021,56303
nld,2022,64054
nld,2023,70149
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,10808.3
aut,2009,10177.1
