country,year,foradl_lop_an_transp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,43811.2
eu_three,2009,40554.7
eu_three,2010,41177.6
eu_three,2011,41609.3
eu_three,2012,44012.8
eu_three,2013,46720.5
eu_three,2014,49995.6
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,554.8
bel,2009,534.6
bel,2010,549.2
bel,2011,711.5
bel,2012,763.3
bel,2013,812.3
bel,2014,832.3
bel,2015,870.5
bel,2016,841.8
bel,2017,921.3
bel,2018,864
bel,2019,958.8
bel,2020,522.4
bel,2021,527.2
bel,2022,638.3
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,66.9
bgr,2009,53.6
bgr,2010,68.4
bgr,2011,48.1
bgr,2012,53.3
bgr,2013,53.1
bgr,2014,61.1
bgr,2015,71.8
bgr,2016,63.4
bgr,2017,69.9
bgr,2018,92.5
bgr,2019,99
bgr,2020,111.4
bgr,2021,110.6
bgr,2022,101.6
bgr,2023,230.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,585
cze,2009,586.1
cze,2010,633.5
cze,2011,797.2
cze,2012,774.9
cze,2013,760.8
cze,2014,810.2
cze,2015,898.8
cze,2016,938.8
cze,2017,861.5
cze,2018,913.8
cze,2019,1002.5
cze,2020,968.2
cze,2021,908.4
cze,2022,1137.5
cze,2023,1596.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,279
dnk,2009,194.8
dnk,2010,238.8
dnk,2011,260.6
dnk,2012,188.5
dnk,2013,166.4
dnk,2014,156.3
dnk,2015,198.3
dnk,2016,226.1
dnk,2017,227.5
dnk,2018,218.2
dnk,2019,238.5
dnk,2020,255.3
dnk,2021,281.3
dnk,2022,265.7
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9253
deu,2009,8437
deu,2010,10020
deu,2011,10409
deu,2012,11512
deu,2013,11460
deu,2014,12778
deu,2015,13003
deu,2016,13833
deu,2017,16263
deu,2018,15568
deu,2019,16071
deu,2020,12585
deu,2021,12905
deu,2022,17142
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,15
est,2009,13.5
est,2010,18.8
est,2011,20.1
est,2012,18.5
est,2013,20.9
est,2014,21.5
est,2015,23.5
est,2016,23.8
est,2017,20.3
est,2018,26.6
est,2019,32
est,2020,35.3
est,2021,31
est,2022,44
est,2023,46.5
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,238.7
irl,2009,100.9
irl,2010,61.4
irl,2011,35
irl,2012,41.6
irl,2013,54.2
irl,2014,72.5
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,404.7
grc,2009,493.3
grc,2010,214
grc,2011,333.7
grc,2012,101.1
grc,2013,247.4
grc,2014,183.1
grc,2015,355.5
grc,2016,309.9
grc,2017,357.7
grc,2018,419.2
grc,2019,425.1
grc,2020,337.7
grc,2021,357.6
grc,2022,416
grc,2023,417.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4297
esp,2009,4102
esp,2010,3579
esp,2011,4588
esp,2012,4433
esp,2013,4925
esp,2014,4709
esp,2015,3983
esp,2016,3712
esp,2017,4120
esp,2018,4778
esp,2019,4924
esp,2020,4377
esp,2021,4272
esp,2022,4862
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12531.7
fra,2009,12171.5
fra,2010,12523.5
fra,2011,11108.6
fra,2012,13192.3
fra,2013,14489.1
fra,2014,15207.1
fra,2015,17500.2
fra,2016,17839.5
fra,2017,17405.9
fra,2018,21220.7
fra,2019,22548.1
fra,2020,16194.9
fra,2021,17203.2
fra,2022,18721.2
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,228.2
hrv,2009,222.5
hrv,2010,216.9
hrv,2011,205.5
hrv,2012,182.2
hrv,2013,63
hrv,2014,87.9
hrv,2015,77.6
hrv,2016,94.6
hrv,2017,91.1
hrv,2018,42.4
hrv,2019,70.9
hrv,2020,17.6
hrv,2021,41.9
hrv,2022,158.9
hrv,2023,241.1
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8279.5
ita,2009,6765.9
ita,2010,6301.7
ita,2011,6122.2
ita,2012,6051.9
ita,2013,5406.2
ita,2014,6571.1
ita,2015,6305.4
ita,2016,7443.8
ita,2017,7672.2
ita,2018,7984.2
ita,2019,8254.9
ita,2020,7982.4
ita,2021,8614
ita,2022,9993.3
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,0.8
cyp,2009,0.5
cyp,2010,1
cyp,2011,0.7
cyp,2012,0.8
cyp,2013,0.6
cyp,2014,0.8
cyp,2015,0.8
cyp,2016,1
cyp,2017,1.5
cyp,2018,1.6
cyp,2019,1.8
cyp,2020,2
cyp,2021,2.8
cyp,2022,4.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,44.2
lva,2009,24
lva,2010,23.3
lva,2011,31.4
lva,2012,32.1
lva,2013,27.5
lva,2014,39.6
lva,2015,32.1
lva,2016,32.2
lva,2017,31.1
lva,2018,23.4
lva,2019,35
lva,2020,35.9
lva,2021,39.2
lva,2022,52.8
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,125.2
ltu,2009,100.7
ltu,2010,100.6
ltu,2011,62.4
ltu,2012,92.3
ltu,2013,101.1
ltu,2014,78.4
ltu,2015,87.2
ltu,2016,86
ltu,2017,95.2
ltu,2018,116.7
ltu,2019,158.1
ltu,2020,160
ltu,2021,193.2
ltu,2022,235.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,194.1
hun,2009,110.2
hun,2010,127.5
hun,2011,138.3
hun,2012,126.2
hun,2013,131.1
hun,2014,177
hun,2015,162.7
hun,2016,160.1
hun,2017,170.7
hun,2018,199.1
hun,2019,257.7
hun,2020,247
hun,2021,247.3
hun,2022,258.8
hun,2023,392.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,-0.4
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2066
nld,2009,1940
nld,2010,1871
nld,2011,1516
nld,2012,1437
nld,2013,1566
nld,2014,1510
nld,2015,1423
nld,2016,1329
nld,2017,1546
nld,2018,1391
nld,2019,1531
nld,2020,1622
nld,2021,1546
nld,2022,1797
nld,2023,1845
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1070.7
aut,2009,822.5
aut,2010,785.8
aut,2011,873.2
aut,2012,650
aut,2013,884
aut,2014,875.6
aut,2015,888
aut,2016,969.1
aut,2017,1041.4
aut,2018,1383.3
aut,2019,1452.9
aut,2020,1509.6
aut,2021,1507.7
aut,2022,1461.9
aut,2023,1540.6
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,984
pol,2009,1009.8
pol,2010,945.3
pol,2011,1266.3
pol,2012,1392.5
pol,2013,1494.7
pol,2014,1806
pol,2015,1584.6
