country,year,foradl_lop_annan_jur
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,48812.8
eu_three,2009,42250.3
eu_three,2010,43699
eu_three,2011,45186.6
eu_three,2012,47084.7
eu_three,2013,48585.1
eu_three,2014,49814.6
eu_three,2015,53292.6
eu_three,2016,60031.5
eu_three,2017,59633.7
eu_three,2018,63402
eu_three,2019,63179
eu_three,2020,65184.4
eu_three,2021,72161.8
eu_three,2022,78388.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,537
bel,2009,726.7
bel,2010,750.2
bel,2011,797.3
bel,2012,826
bel,2013,849.2
bel,2014,910.9
bel,2015,984.8
bel,2016,1025.8
bel,2017,1082.1
bel,2018,1146.9
bel,2019,1227.3
bel,2020,1271.3
bel,2021,1471.9
bel,2022,1670.8
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,133.6
bgr,2009,143.9
bgr,2010,174.8
bgr,2011,179.9
bgr,2012,193.6
bgr,2013,197.8
bgr,2014,190.3
bgr,2015,273.8
bgr,2016,325.5
bgr,2017,351.5
bgr,2018,399.6
bgr,2019,471.2
bgr,2020,528.5
bgr,2021,624.6
bgr,2022,613.7
bgr,2023,736.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,813.2
cze,2009,616.2
cze,2010,873.4
cze,2011,817.3
cze,2012,842.5
cze,2013,1009.2
cze,2014,954.4
cze,2015,970.9
cze,2016,1133
cze,2017,1314.2
cze,2018,1502
cze,2019,1737.4
cze,2020,1520.8
cze,2021,1667.9
cze,2022,1817.3
cze,2023,1861.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,939.9
dnk,2009,896.6
dnk,2010,894.4
dnk,2011,934.9
dnk,2012,915.9
dnk,2013,988.2
dnk,2014,1039
dnk,2015,1186
dnk,2016,1224.2
dnk,2017,1447.9
dnk,2018,1501
dnk,2019,1680.4
dnk,2020,1600.2
dnk,2021,2019.9
dnk,2022,1770.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9963
deu,2009,7436
deu,2010,8168
deu,2011,8711
deu,2012,9666
deu,2013,10506
deu,2014,11307
deu,2015,12520
deu,2016,17384
deu,2017,13230
deu,2018,15049
deu,2019,11242
deu,2020,16007
deu,2021,16675
deu,2022,17181
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,35.3
est,2009,27.8
est,2010,33.9
est,2011,40.5
est,2012,43.6
est,2013,52.3
est,2014,64.7
est,2015,76.7
est,2016,80.5
est,2017,93.9
est,2018,109.8
est,2019,99.9
est,2020,114.7
est,2021,214.3
est,2022,87
est,2023,105.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1535.2
irl,2009,1395.7
irl,2010,814.3
irl,2011,668.7
irl,2012,696.4
irl,2013,803.8
irl,2014,857.6
irl,2015,865.3
irl,2016,959
irl,2017,1056.4
irl,2018,1144.4
irl,2019,1131.5
irl,2020,1130
irl,2021,1461.1
irl,2022,1674.2
irl,2023,1763.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,904.4
grc,2009,836.3
grc,2010,669.9
grc,2011,437.9
grc,2012,273.7
grc,2013,181
grc,2014,155.9
grc,2015,168
grc,2016,150.8
grc,2017,193.1
grc,2018,158
grc,2019,165.8
grc,2020,181.9
grc,2021,215.1
grc,2022,241.4
grc,2023,284.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3456
esp,2009,3492
esp,2010,3546
esp,2011,3809
esp,2012,3557
esp,2013,3413
esp,2014,3502
esp,2015,4198
esp,2016,4562
esp,2017,5248
esp,2018,5332
esp,2019,5758
esp,2020,5235
esp,2021,5676
esp,2022,7010
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,5356.2
fra,2009,4910.4
fra,2010,5115.8
fra,2011,5537.4
fra,2012,6015.2
fra,2013,5697.9
fra,2014,5718.7
fra,2015,6207.7
fra,2016,6433.6
fra,2017,6842.2
fra,2018,7178
fra,2019,7753.5
fra,2020,7169.9
fra,2021,8119.9
fra,2022,8217.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,138.6
hrv,2009,117.6
hrv,2010,131.6
hrv,2011,130.1
hrv,2012,129.1
hrv,2013,130.9
hrv,2014,123.9
hrv,2015,137.8
hrv,2016,149.3
hrv,2017,163.3
hrv,2018,167.3
hrv,2019,224.5
hrv,2020,220
hrv,2021,212.7
hrv,2022,263.2
hrv,2023,277.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,14886.6
ita,2009,12901
ita,2010,13571.3
ita,2011,13244.6
ita,2012,13777
ita,2013,13343
ita,2014,13633.6
ita,2015,13451.9
ita,2016,13123.5
ita,2017,14000.1
ita,2018,14422.9
ita,2019,14848.9
ita,2020,13782.6
ita,2021,15309.7
ita,2022,17354.2
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,46.3
cyp,2009,46.7
cyp,2010,51.2
cyp,2011,54.7
cyp,2012,52.1
cyp,2013,42.7
cyp,2014,44.8
cyp,2015,46.7
cyp,2016,53.2
cyp,2017,58.8
cyp,2018,63.5
cyp,2019,73.5
cyp,2020,69.7
cyp,2021,78.5
cyp,2022,83.4
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,87.2
lva,2009,61.3
lva,2010,56.9
lva,2011,57.5
lva,2012,66.8
lva,2013,68.5
lva,2014,88.2
lva,2015,104.4
lva,2016,122.4
lva,2017,110.7
lva,2018,123.3
lva,2019,123.1
lva,2020,133.6
lva,2021,141.3
lva,2022,175.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,59.3
ltu,2009,65.1
ltu,2010,74.9
ltu,2011,84.1
ltu,2012,81.9
ltu,2013,84
ltu,2014,87.6
ltu,2015,97.9
ltu,2016,114.1
ltu,2017,126.5
ltu,2018,131.8
ltu,2019,137.3
ltu,2020,138.8
ltu,2021,152.4
ltu,2022,169
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,618.2
hun,2009,573.5
hun,2010,541.7
hun,2011,553.4
hun,2012,522.7
hun,2013,532.1
hun,2014,556.4
hun,2015,613.7
hun,2016,618
hun,2017,676.5
hun,2018,809.4
hun,2019,911.9
hun,2020,833
hun,2021,948.6
hun,2022,940.9
hun,2023,1052.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,9.7
mlt,2009,
mlt,2010,
mlt,2011,21.7
mlt,2012,
mlt,2013,
mlt,2014,21.7
mlt,2015,31.7
mlt,2016,55.7
mlt,2017,60.9
mlt,2018,73.6
mlt,2019,88.4
mlt,2020,89.2
mlt,2021,99.9
mlt,2022,110.2
mlt,2023,119.6
mlt,2024,125.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2614
nld,2009,2650
nld,2010,2814
nld,2011,2943
nld,2012,2995
nld,2013,3031
nld,2014,2905
nld,2015,2958
nld,2016,3356
nld,2017,3461
nld,2018,3668
nld,2019,3938
nld,2020,4158
nld,2021,4773
nld,2022,5308
nld,2023,5808
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,627.2
aut,2009,627.7
aut,2010,630
aut,2011,682.9
aut,2012,722.3
aut,2013,710.1
aut,2014,711.7
aut,2015,784.3
aut,2016,848.8
aut,2017,887.5
aut,2018,967.1
aut,2019,1099
aut,2020,1011.4
aut,2021,1108.8
aut,2022,1223.3
aut,2023,1347.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
