country,year,foradl_lop_annan_serv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,169398.6
eu_three,2009,168660.3
eu_three,2010,171358.3
eu_three,2011,176684.3
eu_three,2012,179212.7
eu_three,2013,179075.3
eu_three,2014,182683.5
eu_three,2015,186722.2
eu_three,2016,188678.8
eu_three,2017,194563.3
eu_three,2018,197313.5
eu_three,2019,203109.4
eu_three,2020,182516.9
eu_three,2021,192092.5
eu_three,2022,215133.3
eu_three,2023,231342.3
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4223.1
bel,2009,3990.8
bel,2010,4173.5
bel,2011,4336.1
bel,2012,4454.5
bel,2013,4578.7
bel,2014,4725.8
bel,2015,4696.4
bel,2016,4794.2
bel,2017,4863.9
bel,2018,5083.8
bel,2019,5229.7
bel,2020,4754
bel,2021,5318.7
bel,2022,5910.4
bel,2023,6267.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,358.1
bgr,2009,561.6
bgr,2010,385
bgr,2011,430.2
bgr,2012,375.3
bgr,2013,406.7
bgr,2014,445.3
bgr,2015,441.1
bgr,2016,418.2
bgr,2017,451.9
bgr,2018,505.8
bgr,2019,521.5
bgr,2020,528.1
bgr,2021,589.8
bgr,2022,590.2
bgr,2023,608.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1405
cze,2009,1364.3
cze,2010,1653.6
cze,2011,1895.9
cze,2012,1606.8
cze,2013,1537.7
cze,2014,1478.7
cze,2015,1588.5
cze,2016,1682.6
cze,2017,1797.8
cze,2018,1913.8
cze,2019,2070.7
cze,2020,1843.4
cze,2021,1959.7
cze,2022,2304.5
cze,2023,2476.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3228
dnk,2009,3410
dnk,2010,3489.7
dnk,2011,3558.1
dnk,2012,3573.3
dnk,2013,3510.5
dnk,2014,3493.9
dnk,2015,3500
dnk,2016,3640.1
dnk,2017,3760.9
dnk,2018,3784.5
dnk,2019,3953.9
dnk,2020,4070.4
dnk,2021,4131.3
dnk,2022,4478
dnk,2023,4762.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,62328
deu,2009,61258
deu,2010,61453
deu,2011,62269
deu,2012,62958
deu,2013,62367
deu,2014,64089
deu,2015,65614
deu,2016,65576
deu,2017,65873
deu,2018,66600
deu,2019,69165
deu,2020,61262
deu,2021,62970
deu,2022,72888
deu,2023,77665
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,121.8
est,2009,110.9
est,2010,109.2
est,2011,120.1
est,2012,127.9
est,2013,150.4
est,2014,158.4
est,2015,166.5
est,2016,169.8
est,2017,182.8
est,2018,203.4
est,2019,212.2
est,2020,213.2
est,2021,243.6
est,2022,296.8
est,2023,328.6
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1102.6
irl,2009,1059.8
irl,2010,1219.8
irl,2011,1274.9
irl,2012,1306.4
irl,2013,1393.9
irl,2014,1432.1
irl,2015,1473.5
irl,2016,1519.7
irl,2017,1718.1
irl,2018,1804.6
irl,2019,1860
irl,2020,1501.5
irl,2021,1640.4
irl,2022,2283.2
irl,2023,2295.5
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2733.3
grc,2009,2797.4
grc,2010,2436.5
grc,2011,2137.2
grc,2012,2219.8
grc,2013,2289.1
grc,2014,2304.6
grc,2015,2205.9
grc,2016,2198.8
grc,2017,2207.3
grc,2018,2353.1
grc,2019,2480.3
grc,2020,2249.7
grc,2021,2622.7
grc,2022,2779.8
grc,2023,2919.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,14190
esp,2009,14703
esp,2010,15197
esp,2011,15923
esp,2012,16381
esp,2013,16585
esp,2014,16941
esp,2015,18143
esp,2016,19032
esp,2017,19888
esp,2018,19989
esp,2019,21384
esp,2020,18212
esp,2021,17962
esp,2022,20918
esp,2023,22845
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,27093.1
fra,2009,26971.3
fra,2010,27299.8
fra,2011,27537.8
fra,2012,28256.9
fra,2013,28134.9
fra,2014,28680.8
fra,2015,28392
fra,2016,29175.7
fra,2017,30050.1
fra,2018,30052.5
fra,2019,30840.6
fra,2020,28118.2
fra,2021,31061.3
fra,2022,32952.2
fra,2023,33958
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,525.3
hrv,2009,541.6
hrv,2010,550.1
hrv,2011,558.5
hrv,2012,575.7
hrv,2013,589.8
hrv,2014,616.3
hrv,2015,618.6
hrv,2016,682.5
hrv,2017,734.7
hrv,2018,765.8
hrv,2019,859.2
hrv,2020,738.9
hrv,2021,860.5
hrv,2022,946.7
hrv,2023,994.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,23239.4
ita,2009,24271.7
ita,2010,24731.8
ita,2011,26524.9
ita,2012,25838.2
ita,2013,25895.2
ita,2014,25930.2
ita,2015,26042.4
ita,2016,25879.7
ita,2017,26963.3
ita,2018,27018.2
ita,2019,26273.1
ita,2020,22743.3
ita,2021,24449
ita,2022,27084.4
ita,2023,29643.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,347
cyp,2009,322.4
cyp,2010,328.3
cyp,2011,295
cyp,2012,282.6
cyp,2013,247.8
cyp,2014,248
cyp,2015,259.7
cyp,2016,274.8
cyp,2017,287.9
cyp,2018,294.7
cyp,2019,303.9
cyp,2020,245.7
cyp,2021,290.6
cyp,2022,348.9
cyp,2023,374.2
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,168.8
lva,2009,146.4
lva,2010,139.1
lva,2011,145.1
lva,2012,174.5
lva,2013,176.5
lva,2014,202
lva,2015,212.9
lva,2016,227.9
lva,2017,243.9
lva,2018,257.4
lva,2019,252.2
lva,2020,235.6
lva,2021,214.1
lva,2022,259
lva,2023,432
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,229.7
ltu,2009,235.1
ltu,2010,225.7
ltu,2011,236.1
ltu,2012,258.6
ltu,2013,300.8
ltu,2014,323.4
ltu,2015,340.4
ltu,2016,358.6
ltu,2017,387
ltu,2018,411.5
ltu,2019,430.8
ltu,2020,419.5
ltu,2021,454.5
ltu,2022,507.6
ltu,2023,550.4
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,283.4
lux,2009,314.5
lux,2010,328.6
lux,2011,342.9
lux,2012,356.4
lux,2013,367.8
lux,2014,375.3
lux,2015,389.8
lux,2016,409.4
lux,2017,423.5
lux,2018,427.3
lux,2019,447.3
lux,2020,433.8
lux,2021,552.9
lux,2022,588
lux,2023,641.8
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1625.1
hun,2009,1493.4
hun,2010,1444.9
hun,2011,1430.7
hun,2012,1380.4
hun,2013,1420.3
hun,2014,1404.9
hun,2015,1464.6
hun,2016,1500.6
hun,2017,1582.1
hun,2018,1632.3
hun,2019,1815.6
hun,2020,1443.4
hun,2021,1613.9
hun,2022,1772
hun,2023,2063
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,70.7
mlt,2009,68.9
mlt,2010,74.9
mlt,2011,74.7
mlt,2012,78.4
mlt,2013,83.6
mlt,2014,90
mlt,2015,94.9
mlt,2016,98.8
mlt,2017,106
mlt,2018,112.6
mlt,2019,136.6
mlt,2020,107.9
mlt,2021,132.6
mlt,2022,144.2
mlt,2023,160
mlt,2024,178
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,6634
nld,2009,6793
nld,2010,6961
nld,2011,7194
nld,2012,7107
nld,2013,7155
nld,2014,7283
nld,2015,7302
nld,2016,7570
nld,2017,7821
nld,2018,8230
nld,2019,8734
nld,2020,8245
nld,2021,8896
nld,2022,9612
nld,2023,10364
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3802.1
aut,2009,3870.1
aut,2010,3926.1
