country,year,foradl_lop_arb_form
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,91364.4
eu_three,2009,72601.7
eu_three,2010,85696.2
eu_three,2011,97348.2
eu_three,2012,95817.2
eu_three,2013,100482.4
eu_three,2014,108514
eu_three,2015,117426.8
eu_three,2016,122582.7
eu_three,2017,136149.9
eu_three,2018,142896
eu_three,2019,147252.7
eu_three,2020,127925.1
eu_three,2021,149438.6
eu_three,2022,166012.2
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4468.6
bel,2009,4056.4
bel,2010,4410.5
bel,2011,4888.7
bel,2012,4989.1
bel,2013,5061.6
bel,2014,5521.3
bel,2015,6118.5
bel,2016,6429
bel,2017,6902.4
bel,2018,7485.6
bel,2019,7611.9
bel,2020,6757
bel,2021,7919.3
bel,2022,8547.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,33.8
bgr,2009,48
bgr,2010,51.9
bgr,2011,58.3
bgr,2012,62.2
bgr,2013,74.1
bgr,2014,80.5
bgr,2015,86.5
bgr,2016,98
bgr,2017,106.9
bgr,2018,122.5
bgr,2019,131.6
bgr,2020,129.6
bgr,2021,155
bgr,2022,185.1
bgr,2023,217.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,227.3
cze,2009,204.1
cze,2010,194.3
cze,2011,198.9
cze,2012,147.6
cze,2013,144.3
cze,2014,135.2
cze,2015,138.2
cze,2016,150.5
cze,2017,188.5
cze,2018,199.5
cze,2019,222.1
cze,2020,159.3
cze,2021,198.3
cze,2022,254.5
cze,2023,252.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1744.5
dnk,2009,1333.3
dnk,2010,1342.1
dnk,2011,1565.4
dnk,2012,1654.8
dnk,2013,1847.9
dnk,2014,2063.5
dnk,2015,2229
dnk,2016,2417.7
dnk,2017,2482.3
dnk,2018,2671.8
dnk,2019,2791.3
dnk,2020,2636.9
dnk,2021,3019.5
dnk,2022,3078.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,18335
deu,2009,15198
deu,2010,20972
deu,2011,24810
deu,2012,25039
deu,2013,28030
deu,2014,30060
deu,2015,30881
deu,2016,28266
deu,2017,30114
deu,2018,29276
deu,2019,30515
deu,2020,25881
deu,2021,28968
deu,2022,32476
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,93.9
est,2009,65.3
est,2010,75.7
est,2011,116.9
est,2012,120.8
est,2013,124.3
est,2014,132.1
est,2015,131.1
est,2016,148.1
est,2017,177.2
est,2018,189.3
est,2019,211
est,2020,168.1
est,2021,220.8
est,2022,264.8
est,2023,210.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,268.1
irl,2009,216.4
irl,2010,549.7
irl,2011,885.6
irl,2012,962.7
irl,2013,1057.6
irl,2014,1246.6
irl,2015,1384.2
irl,2016,1572.3
irl,2017,1641.3
irl,2018,1871
irl,2019,2278
irl,2020,1980.6
irl,2021,2632.6
irl,2022,3565.3
irl,2023,3838
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,83.5
grc,2009,63.9
grc,2010,117
grc,2011,102.8
grc,2012,70.4
grc,2013,63.5
grc,2014,150.9
grc,2015,192.1
grc,2016,210.5
grc,2017,225.1
grc,2018,262.9
grc,2019,316.6
grc,2020,334.4
grc,2021,303.2
grc,2022,309.7
grc,2023,308
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4041
esp,2009,2800
esp,2010,2873
esp,2011,2996
esp,2012,2816
esp,2013,2878
esp,2014,3593
esp,2015,4253
esp,2016,4949
esp,2017,5765
esp,2018,6273
esp,2019,6487
esp,2020,5656
esp,2021,6937
esp,2022,7437
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,29498.9
fra,2009,22167.8
fra,2010,26286.2
fra,2011,28504.4
fra,2012,27153.9
fra,2013,27305.9
fra,2014,28547.2
fra,2015,30083
fra,2016,32393
fra,2017,36027.9
fra,2018,37824.8
fra,2019,38761.3
fra,2020,32094.8
fra,2021,37769.6
fra,2022,41667.6
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,56.4
hrv,2009,50.7
hrv,2010,58.4
hrv,2011,60.3
hrv,2012,67.1
hrv,2013,78.8
hrv,2014,84.2
hrv,2015,105.3
hrv,2016,135.7
hrv,2017,147.7
hrv,2018,161.8
hrv,2019,166.7
hrv,2020,151.3
hrv,2021,171.2
hrv,2022,198.2
hrv,2023,319.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6936.3
ita,2009,4108.4
ita,2010,5373.5
ita,2011,6541.7
ita,2012,6210.8
ita,2013,6529.4
ita,2014,7195.9
ita,2015,8347.9
ita,2016,8934.8
ita,2017,11046.8
ita,2018,12044
ita,2019,11973.9
ita,2020,11009.2
ita,2021,14003.7
ita,2022,15294.8
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,32.4
cyp,2009,45.2
cyp,2010,49
cyp,2011,50.3
cyp,2012,53.2
cyp,2013,54.7
cyp,2014,56.1
cyp,2015,51.5
cyp,2016,50.2
cyp,2017,50.6
cyp,2018,56.7
cyp,2019,60
cyp,2020,71.1
cyp,2021,77.5
cyp,2022,96.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,48.8
lva,2009,54.6
lva,2010,73.1
lva,2011,75.6
lva,2012,61.9
lva,2013,68
lva,2014,79.4
lva,2015,86.8
lva,2016,94.4
lva,2017,105.3
lva,2018,106.7
lva,2019,124.5
lva,2020,106.9
lva,2021,117.2
lva,2022,163.1
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,51.4
ltu,2009,55.2
ltu,2010,60.1
ltu,2011,74.4
ltu,2012,97.6
ltu,2013,114.9
ltu,2014,122.7
ltu,2015,152.8
ltu,2016,173.3
ltu,2017,208.6
ltu,2018,225.4
ltu,2019,295.3
ltu,2020,268.4
ltu,2021,322.8
ltu,2022,436.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,502.5
hun,2009,430.9
hun,2010,485
hun,2011,578.6
hun,2012,554.8
hun,2013,612.4
hun,2014,690.5
hun,2015,797.3
hun,2016,862.4
hun,2017,944.5
hun,2018,1074.6
hun,2019,1244.7
hun,2020,956.4
hun,2021,1148.2
hun,2022,1310.2
hun,2023,1719.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,37.6
mlt,2009,
mlt,2010,44.3
mlt,2011,48.5
mlt,2012,51.1
mlt,2013,57.2
mlt,2014,84.9
mlt,2015,124
mlt,2016,
mlt,2017,159.5
mlt,2018,
mlt,2019,
mlt,2020,227.8
mlt,2021,210.9
mlt,2022,262.2
mlt,2023,332.9
mlt,2024,351.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,15655
nld,2009,14037
nld,2010,13319
nld,2011,14499
nld,2012,14311
nld,2013,14367
nld,2014,15507
nld,2015,17764
nld,2016,19734
nld,2017,21934
nld,2018,24086
nld,2019,24686
nld,2020,22132
nld,2021,25031
nld,2022,28066
nld,2023,29209
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2712.9
aut,2009,2190.5
aut,2010,2519.9
aut,2011,3029.4
aut,2012,3107.5
aut,2013,3138.8
aut,2014,3268.2
aut,2015,3306.9
aut,2016,3569
aut,2017,4056.3
aut,2018,4401.6
aut,2019,4470.2
aut,2020,3876.1
aut,2021,4579.2
aut,2022,5127.6
aut,2023,5092.5
