country,year,foradl_lop_arki
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,148623.5
eu_three,2009,141489.7
eu_three,2010,143314.5
eu_three,2011,146738
eu_three,2012,145117.5
eu_three,2013,151895.8
eu_three,2014,151166.7
eu_three,2015,159373.5
eu_three,2016,162079.1
eu_three,2017,173097.9
eu_three,2018,180860.9
eu_three,2019,186506.7
eu_three,2020,182243.7
eu_three,2021,201340.6
eu_three,2022,211422.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3631.8
bel,2009,3291.3
bel,2010,3345.7
bel,2011,3551.8
bel,2012,3559.7
bel,2013,3704.8
bel,2014,3763.7
bel,2015,3931.8
bel,2016,4060.4
bel,2017,4384
bel,2018,4651.8
bel,2019,5012.1
bel,2020,5147.3
bel,2021,5771.7
bel,2022,6439
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,171.8
bgr,2009,234.6
bgr,2010,341.3
bgr,2011,293.1
bgr,2012,298.2
bgr,2013,272.5
bgr,2014,266.6
bgr,2015,308.7
bgr,2016,300.6
bgr,2017,286.9
bgr,2018,326.2
bgr,2019,397.6
bgr,2020,455.3
bgr,2021,527.1
bgr,2022,634.2
bgr,2023,685.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2255.4
cze,2009,2110.8
cze,2010,2183.2
cze,2011,2084.3
cze,2012,2099.4
cze,2013,1981.3
cze,2014,1864.6
cze,2015,1932.3
cze,2016,2125.1
cze,2017,2341.9
cze,2018,2686.6
cze,2019,2841.6
cze,2020,2758.3
cze,2021,3096.7
cze,2022,3662.2
cze,2023,3887.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3679.3
dnk,2009,3590
dnk,2010,3405.3
dnk,2011,3335
dnk,2012,3304.6
dnk,2013,3560.1
dnk,2014,3772.6
dnk,2015,4103.7
dnk,2016,4340.3
dnk,2017,4481.1
dnk,2018,4720.2
dnk,2019,4852.5
dnk,2020,4844.6
dnk,2021,5512.7
dnk,2022,5741.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,40361
deu,2009,39280
deu,2010,43066
deu,2011,44806
deu,2012,44816
deu,2013,48747
deu,2014,46836
deu,2015,51419
deu,2016,52396
deu,2017,56588
deu,2018,59742
deu,2019,60357
deu,2020,59043
deu,2021,65071
deu,2022,62482
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,174.8
est,2009,164.3
est,2010,134.9
est,2011,146.4
est,2012,136.3
est,2013,146.9
est,2014,163.2
est,2015,156.3
est,2016,174.1
est,2017,196.4
est,2018,219.2
est,2019,243.8
est,2020,248.1
est,2021,278.9
est,2022,325.2
est,2023,335.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,2067.7
irl,2009,1556.7
irl,2010,1557.6
irl,2011,1291.2
irl,2012,1069.6
irl,2013,1377.3
irl,2014,1626.8
irl,2015,1799.5
irl,2016,1886.7
irl,2017,2158.2
irl,2018,2638
irl,2019,2856
irl,2020,3190
irl,2021,3974.4
irl,2022,4459.3
irl,2023,4759
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,3638
grc,2009,3309.5
grc,2010,1752.6
grc,2011,1576.6
grc,2012,1421.8
grc,2013,1378.4
grc,2014,1275.4
grc,2015,1378
grc,2016,1287.2
grc,2017,1250
grc,2018,1270.6
grc,2019,1428
grc,2020,1395
grc,2021,1495.6
grc,2022,1656.2
grc,2023,1869.9
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,12769
esp,2009,12894
esp,2010,11095
esp,2011,10839
esp,2012,9641
esp,2013,10136
esp,2014,10734
esp,2015,10840
esp,2016,10648
esp,2017,11409
esp,2018,11943
esp,2019,11452
esp,2020,10376
esp,2021,13021
esp,2022,14567
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,29288.3
fra,2009,26792.3
fra,2010,27032.8
fra,2011,28715.8
fra,2012,29906.5
fra,2013,30496.4
fra,2014,30723.3
fra,2015,31064.9
fra,2016,32403.8
fra,2017,34543.8
fra,2018,34904
fra,2019,37297.7
fra,2020,34589
fra,2021,37565.8
fra,2022,39133.7
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,927.7
hrv,2009,826.9
hrv,2010,751
hrv,2011,709.6
hrv,2012,634.9
hrv,2013,622.9
hrv,2014,619.9
hrv,2015,594
hrv,2016,652.4
hrv,2017,649.4
hrv,2018,680.9
hrv,2019,689.5
hrv,2020,684.8
hrv,2021,698
hrv,2022,979.9
hrv,2023,984.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,18582.6
ita,2009,18313.6
ita,2010,18563
ita,2011,18757.4
ita,2012,17619.9
ita,2013,17587.9
ita,2014,17159.7
ita,2015,17772.5
ita,2016,17464.2
ita,2017,18017.1
ita,2018,17812.8
ita,2019,17533.8
ita,2020,17101.1
ita,2021,20087
ita,2022,23444.6
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,109.3
cyp,2009,104.5
cyp,2010,158.7
cyp,2011,135.9
cyp,2012,106.8
cyp,2013,68.6
cyp,2014,70.4
cyp,2015,80.7
cyp,2016,91.1
cyp,2017,105.2
cyp,2018,120.3
cyp,2019,122.3
cyp,2020,123
cyp,2021,135.6
cyp,2022,152.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,280
lva,2009,203.7
lva,2010,173.4
lva,2011,160.3
lva,2012,179.3
lva,2013,170.3
lva,2014,185.3
lva,2015,196.8
lva,2016,204.7
lva,2017,224.5
lva,2018,244.2
lva,2019,257.7
lva,2020,255.4
lva,2021,283.3
lva,2022,290.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,260.9
ltu,2009,235.9
ltu,2010,209.9
ltu,2011,221.6
ltu,2012,229
ltu,2013,241.8
ltu,2014,256.7
ltu,2015,278.3
ltu,2016,286.1
ltu,2017,300
ltu,2018,315.9
ltu,2019,335.9
ltu,2020,374.3
ltu,2021,382.3
ltu,2022,441.7
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,443.1
lux,2009,482.9
lux,2010,489.4
lux,2011,476.3
lux,2012,467.8
lux,2013,483.4
lux,2014,519.5
lux,2015,539.2
lux,2016,579.2
lux,2017,602.3
lux,2018,662.6
lux,2019,733.3
lux,2020,740.8
lux,2021,766.3
lux,2022,866.6
lux,2023,948
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1110.1
hun,2009,1015.2
hun,2010,1043.3
hun,2011,959.9
hun,2012,932.2
hun,2013,955.4
hun,2014,993.7
hun,2015,1081
hun,2016,1119.2
hun,2017,1278.9
hun,2018,1460.2
hun,2019,1625.6
hun,2020,1637.1
hun,2021,1806.7
hun,2022,1913.1
hun,2023,2261
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,54.3
mlt,2009,49.6
mlt,2010,
mlt,2011,50.4
mlt,2012,50.8
mlt,2013,53
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,108.6
mlt,2018,129.9
mlt,2019,162.7
mlt,2020,164.9
mlt,2021,188.3
mlt,2022,210.6
mlt,2023,250.3
mlt,2024,280.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9501
nld,2009,9312
nld,2010,8995
nld,2011,8857
nld,2012,8354
nld,2013,8286
nld,2014,8411
nld,2015,8683
nld,2016,8943
nld,2017,9525
nld,2018,10159
nld,2019,10564
nld,2020,11319
nld,2021,12105
nld,2022,12413
nld,2023,13418
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,3812.4
aut,2009,3520.9
aut,2010,3553.4
aut,2011,3553.3
aut,2012,3763.2
aut,2013,4079.2
aut,2014,4173.2
aut,2015,4332.6
