country,year,foradl_lop_basmet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,74104.4
eu_three,2009,49106.2
eu_three,2010,56989.3
eu_three,2011,63023.7
eu_three,2012,59635.8
eu_three,2013,57948.7
eu_three,2014,59848
eu_three,2015,62650.4
eu_three,2016,62685.2
eu_three,2017,66876.3
eu_three,2018,70925.6
eu_three,2019,63636.3
eu_three,2020,54959.2
eu_three,2021,68241.5
eu_three,2022,84153.7
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3540.8
bel,2009,2232.9
bel,2010,2694.5
bel,2011,2937.6
bel,2012,2403.3
bel,2013,2569
bel,2014,2529.7
bel,2015,2666.2
bel,2016,2649.8
bel,2017,3120.9
bel,2018,3305.7
bel,2019,3051.1
bel,2020,2210.2
bel,2021,2980.6
bel,2022,4143.8
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,346.9
bgr,2009,378.8
bgr,2010,358
bgr,2011,447.5
bgr,2012,458.4
bgr,2013,325.7
bgr,2014,275.3
bgr,2015,327.4
bgr,2016,434.8
bgr,2017,540.9
bgr,2018,503.5
bgr,2019,516.2
bgr,2020,454
bgr,2021,670
bgr,2022,1141.6
bgr,2023,540.9
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1799.3
cze,2009,1072.5
cze,2010,1019.6
cze,2011,1308.6
cze,2012,1148.1
cze,2013,1228.8
cze,2014,1433.7
cze,2015,1509.2
cze,2016,1454.8
cze,2017,1383.4
cze,2018,1508.9
cze,2019,1352.3
cze,2020,1092.8
cze,2021,1037.8
cze,2022,1066
cze,2023,1340
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,453
dnk,2009,250.8
dnk,2010,237.9
dnk,2011,294.4
dnk,2012,295
dnk,2013,303.4
dnk,2014,329
dnk,2015,403.4
dnk,2016,400.7
dnk,2017,409.3
dnk,2018,388.6
dnk,2019,455.9
dnk,2020,386.1
dnk,2021,469.6
dnk,2022,608.4
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,25258
deu,2009,17676
deu,2010,17534
deu,2011,20438
deu,2012,21121
deu,2013,20456
deu,2014,20797
deu,2015,21321
deu,2016,20915
deu,2017,21088
deu,2018,23210
deu,2019,21000
deu,2020,18128
deu,2021,17436
deu,2022,21592
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,13.8
est,2009,6.2
est,2010,9.2
est,2011,9.9
est,2012,7.8
est,2013,8.6
est,2014,10.8
est,2015,12
est,2016,16.4
est,2017,29.1
est,2018,31.8
est,2019,31.4
est,2020,22.6
est,2021,37.8
est,2022,35.1
est,2023,33.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,228.8
irl,2009,132.1
irl,2010,183.1
irl,2011,160
irl,2012,151.4
irl,2013,188
irl,2014,229.1
irl,2015,269.8
irl,2016,238
irl,2017,304.6
irl,2018,303.3
irl,2019,379.8
irl,2020,290.5
irl,2021,179.2
irl,2022,151.5
irl,2023,209.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1622.2
grc,2009,1126.4
grc,2010,1464.8
grc,2011,1593
grc,2012,1173.3
grc,2013,971.2
grc,2014,857.9
grc,2015,873
grc,2016,819.3
grc,2017,1000.3
grc,2018,1327.3
grc,2019,1212.5
grc,2020,1175.6
grc,2021,1193.7
grc,2022,1445.3
grc,2023,1392.5
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4698
esp,2009,3658
esp,2010,4362
esp,2011,3993
esp,2012,3812
esp,2013,3588
esp,2014,3986
esp,2015,4304
esp,2016,4447
esp,2017,5126
esp,2018,5123
esp,2019,4183
esp,2020,3796
esp,2021,6397
esp,2022,5891
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8759.5
fra,2009,6529.5
fra,2010,6829.8
fra,2011,7994.2
fra,2012,6446.3
fra,2013,6509.7
fra,2014,6248.7
fra,2015,6730.6
fra,2016,6159.9
fra,2017,6677.9
fra,2018,6402.6
fra,2019,5291.2
fra,2020,4155.3
fra,2021,5514.6
fra,2022,10385.9
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,70.6
hrv,2009,58.6
hrv,2010,78.8
hrv,2011,84.1
hrv,2012,70.1
hrv,2013,68.9
hrv,2014,69.9
hrv,2015,59.7
hrv,2016,61.4
hrv,2017,59.9
hrv,2018,69.8
hrv,2019,120
hrv,2020,43.9
hrv,2021,28.8
hrv,2022,53.7
hrv,2023,64.9
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,10031.7
ita,2009,5791.2
ita,2010,7733.6
ita,2011,8524.4
ita,2012,7456.6
ita,2013,6993.8
ita,2014,7592
ita,2015,7524.9
ita,2016,8286.7
ita,2017,9271.2
ita,2018,9386.4
ita,2019,8507.9
ita,2020,7474.9
ita,2021,11728.3
ita,2022,13883.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,23.9
cyp,2009,20.5
cyp,2010,25.9
cyp,2011,28.4
cyp,2012,28.4
cyp,2013,22
cyp,2014,16
cyp,2015,12.5
cyp,2016,15.9
cyp,2017,17.3
cyp,2018,22.8
cyp,2019,23.7
cyp,2020,26.5
cyp,2021,36.3
cyp,2022,27.7
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,83.2
lva,2009,47
lva,2010,86.7
lva,2011,96.7
lva,2012,57.2
lva,2013,-38.5
lva,2014,-1.1
lva,2015,22.5
lva,2016,16.4
lva,2017,2.6
lva,2018,15.6
lva,2019,35
lva,2020,32.8
lva,2021,23.4
lva,2022,35.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,27.5
ltu,2009,19.2
ltu,2010,25.3
ltu,2011,37.4
ltu,2012,40.7
ltu,2013,43.3
ltu,2014,23.6
ltu,2015,21.4
ltu,2016,18.6
ltu,2017,21.4
ltu,2018,19.8
ltu,2019,13.3
ltu,2020,12.6
ltu,2021,18.1
ltu,2022,17.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,717.2
hun,2009,278.3
hun,2010,417.3
hun,2011,455.8
hun,2012,393.8
hun,2013,423.5
hun,2014,476.9
hun,2015,572.6
hun,2016,616.6
hun,2017,721.3
hun,2018,788.4
hun,2019,680.4
hun,2020,580
hun,2021,671.9
hun,2022,449.1
hun,2023,567.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,2
mlt,2011,1.5
mlt,2012,0.7
mlt,2013,0.7
mlt,2014,0.7
mlt,2015,0.5
mlt,2016,1
mlt,2017,1.1
mlt,2018,2.4
mlt,2019,3.5
mlt,2020,6.1
mlt,2021,5.3
mlt,2022,6.5
mlt,2023,7.4
mlt,2024,8.5
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2682
nld,2009,1710
nld,2010,1749
nld,2011,1729
nld,2012,1843
nld,2013,1815
nld,2014,2104
nld,2015,1829
nld,2016,2067
nld,2017,2106
nld,2018,2353
nld,2019,1964
nld,2020,1666
nld,2021,2509
nld,2022,2674
nld,2023,2126
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4154.9
aut,2009,3172.4
aut,2010,3506
aut,2011,3770
aut,2012,3928.7
aut,2013,3618.3
aut,2014,3798.7
aut,2015,4375.5
aut,2016,4085.6
aut,2017,4396.8
aut,2018,4739.4
aut,2019,4448.7
aut,2020,3711.6
aut,2021,3810.3
aut,2022,5244.5
aut,2023,5479.3
