country,year,foradl_lop_bruk
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,182084.2
eu_three,2009,158700.3
eu_three,2010,177448.5
eu_three,2011,192262.2
eu_three,2012,191567.6
eu_three,2013,196510
eu_three,2014,198066.1
eu_three,2015,197471.1
eu_three,2016,197698.7
eu_three,2017,219043
eu_three,2018,215504.4
eu_three,2019,221260.2
eu_three,2020,215914.7
eu_three,2021,231498.5
eu_three,2022,270447.5
eu_three,2023,280132.4
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,2505.6
bel,2009,2499.1
bel,2010,3080
bel,2011,2750.6
bel,2012,3276.4
bel,2013,3017.1
bel,2014,2901.6
bel,2015,3119.1
bel,2016,2884.4
bel,2017,3234.8
bel,2018,3053.9
bel,2019,3446.2
bel,2020,3305.7
bel,2021,3314.1
bel,2022,3929.1
bel,2023,4586.1
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,2186.2
bgr,2009,1584.9
bgr,2010,1544
bgr,2011,1933.5
bgr,2012,1872
bgr,2013,1899
bgr,2014,1961.4
bgr,2015,1860.3
bgr,2016,1976.8
bgr,2017,2122.7
bgr,2018,1906.6
bgr,2019,1959.5
bgr,2020,2125.4
bgr,2021,3088.5
bgr,2022,3194.7
bgr,2023,2384.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3108.2
cze,2009,2625.2
cze,2010,2428.6
cze,2011,3270.8
cze,2012,3654.5
cze,2013,3767.2
cze,2014,3804.2
cze,2015,3852.1
cze,2016,3848.2
cze,2017,4142.3
cze,2018,4203
cze,2019,4339.3
cze,2020,4282.8
cze,2021,4327
cze,2022,5958.6
cze,2023,5492.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2042.9
dnk,2009,1874.3
dnk,2010,2893
dnk,2011,3146.8
dnk,2012,4113.5
dnk,2013,3261.4
dnk,2014,3595.2
dnk,2015,2472.4
dnk,2016,2621.7
dnk,2017,3708.5
dnk,2018,3001.3
dnk,2019,3829.8
dnk,2020,4174.6
dnk,2021,3416.1
dnk,2022,3018.7
dnk,2023,2848.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21673
deu,2009,16720
deu,2010,20294
deu,2011,25399
deu,2012,25513
deu,2013,26576
deu,2014,27326
deu,2015,21872
deu,2016,23342
deu,2017,28665
deu,2018,25496
deu,2019,29470
deu,2020,25144
deu,2021,27286
deu,2022,39695
deu,2023,35242
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,565.3
est,2009,349.2
est,2010,467.5
est,2011,613.7
est,2012,594
est,2013,584
est,2014,634.4
est,2015,589.7
est,2016,459.7
est,2017,568.7
est,2018,541.8
est,2019,645.1
est,2020,538.2
est,2021,604.6
est,2022,887.4
est,2023,735.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1592
irl,2009,945.8
irl,2010,1598
irl,2011,2085.8
irl,2012,1742
irl,2013,1957.1
irl,2014,2441.9
irl,2015,2365.3
irl,2016,2555
irl,2017,3453.1
irl,2018,2781.2
irl,2019,3212.5
irl,2020,3591.1
irl,2021,4345.3
irl,2022,5723.8
irl,2023,4465.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6911.5
grc,2009,6855.9
grc,2010,6515.9
grc,2011,6230.1
grc,2012,6356
grc,2013,5969.4
grc,2014,6221.4
grc,2015,6701.6
grc,2016,6032.6
grc,2017,6655.7
grc,2018,6368
grc,2019,6780.4
grc,2020,6574
grc,2021,6518.7
grc,2022,7801.4
grc,2023,7529.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,26183
esp,2009,24138
esp,2010,26039
esp,2011,25248
esp,2012,24840
esp,2013,26764
esp,2014,26254
esp,2015,29605
esp,2016,31614
esp,2017,32801
esp,2018,32747
esp,2019,31591
esp,2020,31445
esp,2021,34201
esp,2022,31725
esp,2023,37454
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,28264.1
fra,2009,23857.6
fra,2010,29958.7
fra,2011,31991.5
fra,2012,31866.1
fra,2013,28866.5
fra,2014,31477.8
fra,2015,33100.3
fra,2016,29861.4
fra,2017,32884.7
fra,2018,36063
fra,2019,34252.4
fra,2020,33856.9
fra,2021,36702.2
fra,2022,46817.9
fra,2023,49124.9
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1884.3
hrv,2009,1828
hrv,2010,1675.9
hrv,2011,1658.6
hrv,2012,1473.4
hrv,2013,1540.1
hrv,2014,1301.3
hrv,2015,1348.2
hrv,2016,1455.7
hrv,2017,1451
hrv,2018,1565
hrv,2019,1593.2
hrv,2020,1586.8
hrv,2021,1961.8
hrv,2022,2294.1
hrv,2023,2620.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,30787
ita,2009,28546.9
ita,2010,28626
ita,2011,30646.3
ita,2012,31169.9
ita,2013,33362.2
ita,2014,31220.3
ita,2015,33124.6
ita,2016,31525.4
ita,2017,33030.8
ita,2018,33022.6
ita,2019,32810
ita,2020,32198.1
ita,2021,33780.4
ita,2022,37771.1
ita,2023,39511.7
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,397.9
cyp,2009,371.4
cyp,2010,400.4
cyp,2011,426
cyp,2012,390.2
cyp,2013,367.4
cyp,2014,322.5
cyp,2015,335.2
cyp,2016,407.6
cyp,2017,376.3
cyp,2018,374.7
cyp,2019,409.1
cyp,2020,408.4
cyp,2021,385.8
cyp,2022,345.4
cyp,2023,369.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,722
lva,2009,605
lva,2010,723.3
lva,2011,718.6
lva,2012,751.5
lva,2013,706.6
lva,2014,824.2
lva,2015,844
lva,2016,814.6
lva,2017,943.1
lva,2018,1030.7
lva,2019,1139.3
lva,2020,1192.1
lva,2021,1358.1
lva,2022,1833.1
lva,2023,1502.6
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1072.5
ltu,2009,682.2
ltu,2010,848.9
ltu,2011,1093.2
ltu,2012,1329.6
ltu,2013,1232.6
ltu,2014,1252.6
ltu,2015,1286.7
ltu,2016,1211.4
ltu,2017,1500.5
ltu,2018,1326.4
ltu,2019,1538.3
ltu,2020,1775.6
ltu,2021,1924.7
ltu,2022,2649.6
ltu,2023,2003.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,123.1
lux,2009,91.1
lux,2010,113.8
lux,2011,111.3
lux,2012,134
lux,2013,128.6
lux,2014,150
lux,2015,121.1
lux,2016,120.4
lux,2017,136.4
lux,2018,140.7
lux,2019,134.1
lux,2020,129.3
lux,2021,142.3
lux,2022,185.8
lux,2023,172
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3766.1
hun,2009,2828
hun,2010,2994
hun,2011,4052
hun,2012,3887.7
hun,2013,4009.3
hun,2014,4195.2
hun,2015,4244.8
hun,2016,4509.5
hun,2017,4769.5
hun,2018,4741.5
hun,2019,4900.2
hun,2020,4672.4
hun,2021,5358.7
hun,2022,5297.6
hun,2023,5740.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,67
mlt,2009,83.6
mlt,2010,87.3
mlt,2011,76.5
mlt,2012,81.6
mlt,2013,82.9
mlt,2014,89.6
mlt,2015,96.2
mlt,2016,109.8
mlt,2017,84.7
mlt,2018,85.1
mlt,2019,68.9
mlt,2020,104.4
mlt,2021,138.4
mlt,2022,140.8
mlt,2023,0.8
mlt,2024,46.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,10762
nld,2009,9868
nld,2010,11496
nld,2011,10486
nld,2012,11170
nld,2013,12278
nld,2014,12222
nld,2015,12627
nld,2016,13424
nld,2017,14776
nld,2018,13855
nld,2019,14594
nld,2020,14185
nld,2021,14752
nld,2022,16318
nld,2023,18390
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4042.2
