country,year,foradl_lop_bygg_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,76746.068
aus,2009,76258.66
aus,2010,96710.62
aus,2011,120765.801
aus,2012,128067.786
aus,2013,125432.124
aus,2014,119592.023
aus,2015,98677.005
aus,2016,99079.405
aus,2017,108367.216
aus,2018,107354.824
aus,2019,98434.033
aus,2020,99760.157
aus,2021,115351.714
aus,2022,119475.79
aus,2023,124919.689
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,26327.996
aut,2009,24282.955
aut,2010,22269.159
aut,2011,23341.201
aut,2012,22447.423
aut,2013,24013.544
aut,2014,24578.469
aut,2015,20910.189
aut,2016,21754.418
aut,2017,23579.949
aut,2018,26080.156
aut,2019,25691.719
aut,2020,27160.109
aut,2021,29014.081
aut,2022,28581.448
aut,2023,30632.913
aut,2024,30561.057
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,26518.309
bel,2009,24390.421
bel,2010,23406.853
bel,2011,26288.467
bel,2012,24072.828
bel,2013,24704.456
bel,2014,25022.711
bel,2015,21100.605
bel,2016,21459.531
bel,2017,22247.715
bel,2018,24875.862
bel,2019,24905.621
bel,2020,24755.045
bel,2021,29016.878
bel,2022,28623.126
bel,2023,31416.909
bel,2024,31629.971
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,62604.452
bra,2009,77334.287
bra,2010,117623.839
bra,2011,139610.226
bra,2012,135805.265
bra,2013,134800.085
bra,2014,130451.452
bra,2015,88977.009
bra,2016,78820.48
bra,2017,76678.514
bra,2018,66582.274
bra,2019,63035.828
bra,2020,51971.233
bra,2021,50999.362
bra,2022,56940.49
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,104971.768
can,2009,92577.067
can,2010,112061.521
can,2011,123017.434
can,2012,135044.788
can,2013,138147.596
can,2014,135384.828
can,2015,116753.684
can,2016,108642.39
can,2017,116543.511
can,2018,121486.975
can,2019,121185.412
can,2020,117267.783
can,2021,146157.091
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,11133.741
chl,2009,10513.944
chl,2010,11226.713
chl,2011,13705.032
chl,2012,16212.344
chl,2013,17445.991
chl,2014,15879.109
chl,2015,15765.399
chl,2016,16280.316
chl,2017,16977.739
chl,2018,19106.276
chl,2019,18880.362
chl,2020,15165.509
chl,2021,18181.238
chl,2022,17666.109
chl,2023,19877.874
chl,2024,19057.351
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,270665.33
chn,2009,332017.547
chn,2010,402632.449
chn,2011,509582.869
chn,2012,584508.153
chn,2013,660077.39
chn,2014,739028.031
chn,2015,766943.185
chn,2016,775063.163
chn,2017,856755.412
chn,2018,989924.787
chn,2019,1024693.903
chn,2020,1054247.987
chn,2021,1229184.448
chn,2022,1208815.329
chn,2023,1223046.574
chn,2024,1249731.311
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,12868.311
col,2009,13449.677
col,2010,15679.852
col,2011,18648.1
col,2012,22460.922
col,2013,25854.85
col,2014,27768.658
col,2015,21169.446
col,2016,21053.889
col,2017,21844.583
col,2018,22028.593
col,2019,19891.687
col,2020,12829.803
col,2021,13416.593
col,2022,13573.629
col,2023,14842.503
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,1790.669
cri,2009,1822.906
cri,2010,2104.842
cri,2011,2301.668
cri,2012,2490.788
cri,2013,2604.556
cri,2014,2664.821
cri,2015,2979.578
cri,2016,2887.151
cri,2017,2814.672
cri,2018,2885.185
cri,2019,2656.893
cri,2020,2609.113
cri,2021,2590.392
cri,2022,2592.256
cri,2023,3467.359
cri,2024,3706.025
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,13590.53
cze,2009,13063.211
cze,2010,13332.845
cze,2011,13323.865
cze,2012,11076.9
cze,2013,10894.872
cze,2014,10666.747
cze,2015,9514.02
cze,2016,9578.224
cze,2017,10644.056
cze,2018,12395.354
cze,2019,12631.12
cze,2020,12594.048
cze,2021,14399.465
cze,2022,15026.159
cze,2023,16964.483
cze,2024,16771.71
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,18491.021
dnk,2009,14391.642
dnk,2010,12443.726
dnk,2011,13921.915
dnk,2012,13027.18
dnk,2013,13609.988
dnk,2014,14148.753
dnk,2015,13105.856
dnk,2016,14873.722
dnk,2017,16210.337
dnk,2018,17486.403
dnk,2019,16475.092
dnk,2020,16703.67
dnk,2021,19014.764
dnk,2022,17554.132
dnk,2023,18397.557
dnk,2024,20567.767
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,2076.087
est,2009,1207.802
est,2010,994.495
est,2011,1404.126
est,2012,1483.17
est,2013,1545.4
est,2014,1433.538
est,2015,1218.783
est,2016,1360.982
est,2017,1558.639
est,2018,1844.421
est,2019,1894.943
est,2020,1913.323
est,2021,2130.835
est,2022,2168.033
est,2023,2276.086
est,2024,2273.894
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,933147.112
eu,2009,831087.873
eu,2010,749450.412
eu,2011,786472.837
eu,2012,701612.289
eu,2013,709916.978
eu,2014,710511.066
eu,2015,607840.41
eu,2016,622961.149
eu,2017,667419.283
eu,2018,741510.003
eu,2019,746227.512
eu,2020,753103.919
eu,2021,843940.946
eu,2022,821150.064
eu,2023,941716.211
eu,2024,971794.891
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,17390.213
fin,2009,14970.2
fin,2010,14216.986
fin,2011,15406.161
fin,2012,14654.3
fin,2013,15043.593
fin,2014,14726.431
fin,2015,12728.332
fin,2016,13873.924
fin,2017,15405.462
fin,2018,17178.164
fin,2019,16754.056
fin,2020,17553.27
fin,2021,17651.216
fin,2022,16017.923
fin,2023,16139.016
fin,2024,14961.745
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,165076.858
fra,2009,150866.641
fra,2010,142751.845
fra,2011,155116.013
fra,2012,140370.357
fra,2013,148875.79
