country,year,foradl_lop_elek
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,88613.4
eu_three,2009,77606.9
eu_three,2010,86702.1
eu_three,2011,89735.8
eu_three,2012,88347.4
eu_three,2013,87019.1
eu_three,2014,89170.6
eu_three,2015,91125.9
eu_three,2016,93521.3
eu_three,2017,97379.8
eu_three,2018,98945.8
eu_three,2019,98664
eu_three,2020,95443
eu_three,2021,104020.4
eu_three,2022,108909.8
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1596.3
bel,2009,1703.1
bel,2010,1751.6
bel,2011,1718.3
bel,2012,1493
bel,2013,1455.5
bel,2014,1433.7
bel,2015,1428
bel,2016,1156.1
bel,2017,1181.3
bel,2018,1120.9
bel,2019,1220.5
bel,2020,1084.8
bel,2021,1103
bel,2022,1166.2
bel,2023,1196.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,180.6
bgr,2009,218.5
bgr,2010,230.7
bgr,2011,247.1
bgr,2012,272.3
bgr,2013,271.8
bgr,2014,266.8
bgr,2015,313.9
bgr,2016,348.3
bgr,2017,416.1
bgr,2018,451.2
bgr,2019,488.4
bgr,2020,390.1
bgr,2021,548.2
bgr,2022,501.9
bgr,2023,670.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2190.5
cze,2009,2020.5
cze,2010,2349.9
cze,2011,2890.4
cze,2012,2747.1
cze,2013,2719.9
cze,2014,2911.5
cze,2015,3145.9
cze,2016,3172
cze,2017,3430.5
cze,2018,3600.5
cze,2019,3988.7
cze,2020,3744.8
cze,2021,4328.8
cze,2022,4758.5
cze,2023,5589.5
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1092.1
dnk,2009,820
dnk,2010,900.9
dnk,2011,939
dnk,2012,899.8
dnk,2013,817.6
dnk,2014,884.2
dnk,2015,1018.2
dnk,2016,1036.7
dnk,2017,982.4
dnk,2018,1064.8
dnk,2019,1078.4
dnk,2020,965
dnk,2021,1093.2
dnk,2022,1205.6
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,36241
deu,2009,33157
deu,2010,38687
deu,2011,40683
deu,2012,40135
deu,2013,40607
deu,2014,42745
deu,2015,40804
deu,2016,42602
deu,2017,44969
deu,2018,45495
deu,2019,44398
deu,2020,43311
deu,2021,46257
deu,2022,46172
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,121.9
est,2009,96
est,2010,112.3
est,2011,140.4
est,2012,153.7
est,2013,162.2
est,2014,163.1
est,2015,163.2
est,2016,192.8
est,2017,200.8
est,2018,201.7
est,2019,206.6
est,2020,215.4
est,2021,216.2
est,2022,243.2
est,2023,267.3
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,361.8
irl,2009,304.7
irl,2010,125.8
irl,2011,238.8
irl,2012,268.2
irl,2013,298.7
irl,2014,345.4
irl,2015,365.7
irl,2016,369.5
irl,2017,400.5
irl,2018,445.2
irl,2019,428.4
irl,2020,466.8
irl,2021,461.1
irl,2022,426.8
irl,2023,447
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,569.4
grc,2009,398.4
grc,2010,491.5
grc,2011,480.6
grc,2012,457.4
grc,2013,361.7
grc,2014,323.6
grc,2015,347.9
grc,2016,322.2
grc,2017,392.5
grc,2018,426.2
grc,2019,520.3
grc,2020,557.4
grc,2021,812.7
grc,2022,939.7
grc,2023,792.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5819
esp,2009,4889
esp,2010,4729
esp,2011,3990
esp,2012,3698
esp,2013,3635
esp,2014,3718
esp,2015,3999
esp,2016,4163
esp,2017,4311
esp,2018,4695
esp,2019,4521
esp,2020,4195
esp,2021,4554
esp,2022,4721
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,8311.6
fra,2009,7706.4
fra,2010,7626.3
fra,2011,7506.7
fra,2012,7657.3
fra,2013,7686.5
fra,2014,7526.6
fra,2015,7352.8
fra,2016,7394.4
fra,2017,7464.2
fra,2018,7578.8
fra,2019,7617.3
fra,2020,6522.2
fra,2021,6898
fra,2022,7275.6
fra,2023,8600.6
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,326.2
hrv,2009,302.7
hrv,2010,262.5
hrv,2011,237.1
hrv,2012,196
hrv,2013,196.1
hrv,2014,229.1
hrv,2015,246.4
hrv,2016,281.8
hrv,2017,293.8
hrv,2018,293.6
hrv,2019,277.5
hrv,2020,295.8
hrv,2021,356.1
hrv,2022,440.7
hrv,2023,604.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,11996
ita,2009,10285.9
ita,2010,11224.7
ita,2011,11357.9
ita,2012,11078.6
ita,2013,10929.2
ita,2014,10291.5
ita,2015,10842.6
ita,2016,11207.3
ita,2017,11360.4
ita,2018,11370
ita,2019,11521.4
ita,2020,10891.9
ita,2021,12270.8
ita,2022,12869
ita,2023,14883.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,12.2
cyp,2009,15.1
cyp,2010,17.6
cyp,2011,15.9
cyp,2012,12.2
cyp,2013,9.6
cyp,2014,9.1
cyp,2015,8.8
cyp,2016,9.3
cyp,2017,10.3
cyp,2018,12.5
cyp,2019,13.5
cyp,2020,16.4
cyp,2021,16.3
cyp,2022,15.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,56.6
lva,2009,31
lva,2010,37
lva,2011,53.3
lva,2012,64.4
lva,2013,76.4
lva,2014,72.3
lva,2015,72.1
lva,2016,73.6
lva,2017,88.9
lva,2018,101.8
lva,2019,118.6
lva,2020,132.9
lva,2021,153.2
lva,2022,166.7
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,84.2
ltu,2009,51.3
ltu,2010,64.2
ltu,2011,80
ltu,2012,105.6
ltu,2013,115.5
ltu,2014,121.4
ltu,2015,123.3
ltu,2016,128.1
ltu,2017,141.1
ltu,2018,146.6
ltu,2019,149.4
ltu,2020,147.9
ltu,2021,167
ltu,2022,179.6
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1779.1
hun,2009,672.8
hun,2010,769.9
hun,2011,756.9
hun,2012,769.2
hun,2013,788.2
hun,2014,933.6
hun,2015,948.5
hun,2016,1020
hun,2017,1072.6
hun,2018,1213.1
hun,2019,1362.9
hun,2020,1484.5
hun,2021,1658.2
hun,2022,2086.4
hun,2023,2962.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,19.7
mlt,2015,19.1
mlt,2016,19.9
mlt,2017,18.8
mlt,2018,16.5
mlt,2019,6.7
mlt,2020,21.1
mlt,2021,23.4
mlt,2022,20.6
mlt,2023,18.3
mlt,2024,14.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2679
nld,2009,1954
nld,2010,1845
nld,2011,2221
nld,2012,2209
nld,2013,2241
nld,2014,2210
nld,2015,2483
nld,2016,2718
nld,2017,2796
nld,2018,2737
nld,2019,2947
nld,2020,3175
nld,2021,3245
nld,2022,3397
nld,2023,3821
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4933.7
aut,2009,4777.8
aut,2010,5024.1
aut,2011,4776.2
aut,2012,5408.5
aut,2013,5111
aut,2014,5188.2
aut,2015,5369.4
aut,2016,5625
aut,2017,5994.9
aut,2018,5918.8
aut,2019,5462
aut,2020,4657.4
aut,2021,5147.3
aut,2022,5442
