country,year,foradl_lop_farma
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,81787.5
eu_three,2009,83938.2
eu_three,2010,85271.6
eu_three,2011,87537.7
eu_three,2012,89685
eu_three,2013,89882.5
eu_three,2014,93315.3
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3901.6
bel,2009,4776.8
bel,2010,5843.4
bel,2011,5048.7
bel,2012,5494.4
bel,2013,6380.3
bel,2014,6151.4
bel,2015,5558.2
bel,2016,6490.7
bel,2017,6808.7
bel,2018,8474.5
bel,2019,10417
bel,2020,11789.1
bel,2021,9613.4
bel,2022,14080
bel,2023,15084.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,101.3
bgr,2009,104.5
bgr,2010,164.4
bgr,2011,181.9
bgr,2012,196.9
bgr,2013,198.2
bgr,2014,226
bgr,2015,218.5
bgr,2016,233.5
bgr,2017,240.8
bgr,2018,232
bgr,2019,192.7
bgr,2020,226.8
bgr,2021,113.5
bgr,2022,233.3
bgr,2023,290.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,557.8
cze,2009,573.9
cze,2010,667.9
cze,2011,637.7
cze,2012,648.3
cze,2013,635
cze,2014,670
cze,2015,658
cze,2016,659.2
cze,2017,713.8
cze,2018,684.1
cze,2019,808.3
cze,2020,883.7
cze,2021,867.6
cze,2022,990.1
cze,2023,1153.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3088.2
dnk,2009,3459.9
dnk,2010,4602.3
dnk,2011,4935.6
dnk,2012,6000.5
dnk,2013,6537.8
dnk,2014,6810.2
dnk,2015,8075.6
dnk,2016,8940.5
dnk,2017,9866.1
dnk,2018,11226.9
dnk,2019,11456.3
dnk,2020,12063.7
dnk,2021,12794.9
dnk,2022,16742.9
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,21471
deu,2009,20252
deu,2010,19813
deu,2011,21166
deu,2012,21642
deu,2013,21827
deu,2014,23088
deu,2015,21954
deu,2016,24569
deu,2017,22705
deu,2018,23601
deu,2019,25910
deu,2020,24786
deu,2021,28844
deu,2022,28081
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,9.6
est,2009,8.4
est,2010,10.3
est,2011,11.9
est,2012,11.1
est,2013,10.5
est,2014,10.4
est,2015,11
est,2016,14.8
est,2017,13.2
est,2018,12.5
est,2019,14.2
est,2020,21
est,2021,17.9
est,2022,19.4
est,2023,24.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,12138.7
irl,2009,15024.6
irl,2010,14789
irl,2011,15886.2
irl,2012,14405.5
irl,2013,12472.7
irl,2014,14337.4
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,1013.8
grc,2009,1087.8
grc,2010,1019.3
grc,2011,813
grc,2012,779.1
grc,2013,951.9
grc,2014,768.5
grc,2015,761.4
grc,2016,732.7
grc,2017,727.5
grc,2018,785.2
grc,2019,841.7
grc,2020,962.8
grc,2021,1019.7
grc,2022,1124.1
grc,2023,1152.7
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,6966
esp,2009,6647
esp,2010,5455
esp,2011,5021
esp,2012,5266
esp,2013,6221
esp,2014,7035
esp,2015,7036
esp,2016,7229
esp,2017,7360
esp,2018,6701
esp,2019,7164
esp,2020,7886
esp,2021,9004
esp,2022,7520
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,12233.2
fra,2009,11723.1
fra,2010,11675.7
fra,2011,11690.8
fra,2012,11520.2
fra,2013,11903
fra,2014,11348.7
fra,2015,12075.9
fra,2016,12063.8
fra,2017,12062.4
fra,2018,12071.8
fra,2019,12412.9
fra,2020,11962.6
fra,2021,13068
fra,2022,13404.9
fra,2023,14019.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,346.7
hrv,2009,279.8
hrv,2010,343.8
hrv,2011,327.5
hrv,2012,365.3
hrv,2013,363
hrv,2014,386.7
hrv,2015,375.7
hrv,2016,377.3
hrv,2017,364
hrv,2018,372.1
hrv,2019,376
hrv,2020,433.9
hrv,2021,374
hrv,2022,411.7
hrv,2023,449.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8315.6
ita,2009,8034.1
ita,2010,8323.8
ita,2011,8547.3
ita,2012,8467.9
ita,2013,8604.9
ita,2014,8170.7
ita,2015,8873.8
ita,2016,9265.3
ita,2017,9146.2
ita,2018,9162.2
ita,2019,10065.2
ita,2020,10500.7
ita,2021,10205.6
ita,2022,10289.6
ita,2023,12034.7
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,44.8
cyp,2009,45.7
cyp,2010,55.3
cyp,2011,57.1
cyp,2012,61.2
cyp,2013,68
cyp,2014,74
cyp,2015,88.5
cyp,2016,99.5
cyp,2017,125.3
cyp,2018,138.3
cyp,2019,155.6
cyp,2020,200.3
cyp,2021,160
cyp,2022,168.2
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,64.2
lva,2009,53.7
lva,2010,68
lva,2011,79.8
lva,2012,86.5
lva,2013,106
lva,2014,72.4
lva,2015,79.1
lva,2016,83.6
lva,2017,93.6
lva,2018,87.5
lva,2019,144
lva,2020,133.8
lva,2021,161.1
lva,2022,192.5
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,
ltu,2009,
ltu,2010,
ltu,2011,
ltu,2012,
ltu,2013,
ltu,2014,
ltu,2015,
ltu,2016,
ltu,2017,
ltu,2018,
ltu,2019,
ltu,2020,
ltu,2021,
ltu,2022,
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1170.7
hun,2009,1131.4
hun,2010,1386
hun,2011,1427.4
hun,2012,1463.6
hun,2013,1264.4
hun,2014,1376.2
hun,2015,1455.9
hun,2016,1404.7
hun,2017,1651.7
hun,2018,1523.5
hun,2019,1630.9
hun,2020,1627.9
hun,2021,1580.1
hun,2022,1968.3
hun,2023,2318.8
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,65.8
mlt,2018,61.1
mlt,2019,55
mlt,2020,75.4
mlt,2021,79.7
mlt,2022,83.5
mlt,2023,103.4
mlt,2024,122.4
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2732
nld,2009,2860
nld,2010,2826
nld,2011,2978
nld,2012,3664
nld,2013,2558
nld,2014,2753
nld,2015,3572
nld,2016,4290
nld,2017,4668
nld,2018,4974
nld,2019,5799
nld,2020,6515
nld,2021,7562
nld,2022,8547
nld,2023,8747
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1390.5
aut,2009,1730.6
aut,2010,1793.8
aut,2011,1826.1
aut,2012,1912.4
aut,2013,1982.1
aut,2014,2146.8
aut,2015,2215.2
aut,2016,2372.8
aut,2017,2490.5
aut,2018,2379.6
aut,2019,2684.9
aut,2020,2703.5
aut,2021,2624.9
aut,2022,2641.1
aut,2023,3031.1
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1298.9
pol,2009,1180.6
pol,2010,1249.9
