country,year,foradl_lop_fastighet
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1095427.2
eu_three,2009,1067233.5
eu_three,2010,1100950.9
eu_three,2011,1148111.7
eu_three,2012,1156542.2
eu_three,2013,1185480.1
eu_three,2014,1204044.1
eu_three,2015,1233912.8
eu_three,2016,1264687
eu_three,2017,1304752.1
eu_three,2018,1340681.3
eu_three,2019,1389378.8
eu_three,2020,1399142.1
eu_three,2021,1444586.2
eu_three,2022,1523474.8
eu_three,2023,1674468.5
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,26997.7
bel,2009,26909.5
bel,2010,28796.4
bel,2011,30901.1
bel,2012,31701
bel,2013,33008.6
bel,2014,33746.5
bel,2015,34645.4
bel,2016,35844.2
bel,2017,37363.8
bel,2018,38814.4
bel,2019,40432
bel,2020,41434.3
bel,2021,43691.5
bel,2022,48669.4
bel,2023,53502.4
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,3389.4
bgr,2009,3729.9
bgr,2010,4013.2
bgr,2011,4155.3
bgr,2012,4190.7
bgr,2013,4124.6
bgr,2014,3894.7
bgr,2015,3857.5
bgr,2016,3986.8
bgr,2017,4515.4
bgr,2018,5116.6
bgr,2019,5494.4
bgr,2020,5217.1
bgr,2021,5620
bgr,2022,6231.4
bgr,2023,7177.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,12251.8
cze,2009,12300.8
cze,2010,14701.2
cze,2011,15011.3
cze,2012,14735
cze,2013,14406.2
cze,2014,14358.1
cze,2015,15161.2
cze,2016,16335.5
cze,2017,18166.4
cze,2018,21279.1
cze,2019,23485.4
cze,2020,24752.3
cze,2021,28395.4
cze,2022,32989.7
cze,2023,35951.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,19069.6
dnk,2009,20170.7
dnk,2010,21544
dnk,2011,22861.6
dnk,2012,23090.8
dnk,2013,23579.4
dnk,2014,24615
dnk,2015,25287.1
dnk,2016,26326.1
dnk,2017,27631.5
dnk,2018,28565.2
dnk,2019,29827.9
dnk,2020,31010.1
dnk,2021,31423.1
dnk,2022,32525.8
dnk,2023,33308.7
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,267602
deu,2009,263367
deu,2010,264671
deu,2011,280946
deu,2012,276530
deu,2013,287522
deu,2014,293820
deu,2015,304654
deu,2016,311391
deu,2017,318365
deu,2018,322322
deu,2019,329128
deu,2020,333248
deu,2021,342520
deu,2022,346846
deu,2023,370728
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1364.4
est,2009,1287.5
est,2010,1221.1
est,2011,1375.9
est,2012,1632.7
est,2013,1844.7
est,2014,1975
est,2015,2202.9
est,2016,2374.1
est,2017,2637
est,2018,2757.2
est,2019,2972.7
est,2020,2892.2
est,2021,3178.3
est,2022,3765.7
est,2023,3739.4
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,12789.5
irl,2009,8275.9
irl,2010,9854.4
irl,2011,10280.5
irl,2012,11321.9
irl,2013,12066.3
irl,2014,13258.6
irl,2015,14617.5
irl,2016,15582
irl,2017,16705.1
irl,2018,18868.8
irl,2019,20316.8
irl,2020,20371.4
irl,2021,22257.9
irl,2022,25573.4
irl,2023,30465.7
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,31416.6
grc,2009,32493.1
grc,2010,33015.4
grc,2011,32326.9
grc,2012,29834.1
grc,2013,28428.4
grc,2014,27662
grc,2015,28353.1
grc,2016,27466.3
grc,2017,27439.4
grc,2018,26825.8
grc,2019,29184
grc,2020,27003.8
grc,2021,28546
grc,2022,29475.4
grc,2023,32385.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,98859
esp,2009,97197
esp,2010,109377
esp,2011,115567
esp,2012,118011
esp,2013,122453
esp,2014,121851
esp,2015,119749
esp,2016,121874
esp,2017,124735
esp,2018,129739
esp,2019,133936
esp,2020,134806
esp,2021,138045
esp,2022,145610
esp,2023,156731
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,254335.9
fra,2009,243415.3
fra,2010,245910.2
fra,2011,252469.5
fra,2012,258494.2
fra,2013,262301.8
fra,2014,266766
fra,2015,272056.9
fra,2016,278972.7
fra,2017,286281.3
fra,2018,292014.8
fra,2019,300545.4
fra,2020,303856.6
fra,2021,310139.4
fra,2022,324640.2
fra,2023,369295.3
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3636.1
hrv,2009,3594.4
hrv,2010,3576
hrv,2011,3666.8
hrv,2012,3643.1
hrv,2013,3600.6
hrv,2014,3609.1
hrv,2015,3668.2
hrv,2016,3743.2
hrv,2017,3840.4
hrv,2018,3901.3
hrv,2019,4159.2
hrv,2020,4146.8
hrv,2021,4432.3
hrv,2022,5062.9
hrv,2023,5858.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,181269.1
ita,2009,185705.8
ita,2010,187002.6
ita,2011,193636.8
ita,2012,197811.6
ita,2013,198264.7
ita,2014,200289.3
ita,2015,206460.2
ita,2016,208539.9
ita,2017,210847
ita,2018,213400.2
ita,2019,217796.8
ita,2020,213196.5
ita,2021,216931.9
ita,2022,226846.8
ita,2023,244756.4
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1366.5
cyp,2009,1521
cyp,2010,1612.1
cyp,2011,1751.6
cyp,2012,1815.3
cyp,2013,1663.9
cyp,2014,1463.9
cyp,2015,1483.9
cyp,2016,1573.1
cyp,2017,1599.5
cyp,2018,1829.5
cyp,2019,2083.4
cyp,2020,2147.8
cyp,2021,2339.6
cyp,2022,2662
cyp,2023,2833.2
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1483.4
lva,2009,1363.7
lva,2010,1246
lva,2011,1482.2
lva,2012,1714.4
lva,2013,1861.6
lva,2014,2082.2
lva,2015,1926.1
lva,2016,2012.6
lva,2017,1992.6
lva,2018,2161.5
lva,2019,2193.1
lva,2020,2224
lva,2021,2379.3
lva,2022,2556.4
lva,2023,2699
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,2031.3
ltu,2009,1785.1
ltu,2010,1642.8
ltu,2011,1694.7
ltu,2012,1827.6
ltu,2013,1945.4
ltu,2014,2086.5
ltu,2015,2222.6
ltu,2016,2403.9
ltu,2017,2555.2
ltu,2018,2835
ltu,2019,2888.6
ltu,2020,3023.5
ltu,2021,3223.4
ltu,2022,3829.6
ltu,2023,4362
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3031.8
lux,2009,3058.4
lux,2010,3229.5
lux,2011,3352.4
lux,2012,3431
lux,2013,3856.1
lux,2014,4024.4
lux,2015,4189.5
lux,2016,4391.1
lux,2017,4613.1
lux,2018,4763.5
lux,2019,4844.7
lux,2020,4750.8
lux,2021,4960.4
lux,2022,4940.1
lux,2023,5421
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,7652.6
hun,2009,7170.9
hun,2010,8180.9
hun,2011,8145.1
hun,2012,7678.1
hun,2013,7663.4
hun,2014,7610.5
hun,2015,7992.9
hun,2016,8783.5
hun,2017,9782
hun,2018,10902.6
hun,2019,12521.6
hun,2020,12241.5
hun,2021,13811.7
hun,2022,16612.8
hun,2023,19545.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,335.3
mlt,2009,368.6
mlt,2010,401.7
mlt,2011,425.2
mlt,2012,457.4
mlt,2013,498.8
mlt,2014,510
mlt,2015,603.6
mlt,2016,701.7
mlt,2017,805.8
mlt,2018,876.8
mlt,2019,1014
mlt,2020,919.8
mlt,2021,1056.1
mlt,2022,1095.7
mlt,2023,1548.8
mlt,2024,1806
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,46840
nld,2009,37445
nld,2010,35788
nld,2011,36613
nld,2012,31700
nld,2013,33630
nld,2014,35816
nld,2015,36277
nld,2016,37535
nld,2017,41501
nld,2018,45337
nld,2019,46104
nld,2020,47533
