country,year,foradl_lop_fastighet_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,109260.499
aus,2009,108281.244
aus,2010,134377.586
aus,2011,165451.355
aus,2012,177559.347
aus,2013,175087.328
aus,2014,171458.711
aus,2015,150215.208
aus,2016,156500.753
aus,2017,168334.654
aus,2018,171074.359
aus,2019,163315.211
aus,2020,167432.036
aus,2021,192728.609
aus,2022,188872.659
aus,2023,200029.091
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,31820.528
aut,2009,30888.103
aut,2010,30635.474
aut,2011,33882.825
aut,2012,32680.784
aut,2013,35429.477
aut,2014,36820.41
aut,2015,32103.677
aut,2016,33314.698
aut,2017,35867.147
aut,2018,39184.267
aut,2019,38359.205
aut,2020,40380.66
aut,2021,41922.069
aut,2022,40509.6
aut,2023,44824.799
aut,2024,48170.647
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,39707.015
bel,2009,37532.898
bel,2010,38175.867
bel,2011,43012.948
bel,2012,40729.086
bel,2013,43839.317
bel,2014,44832.252
bel,2015,38439.518
bel,2016,39676.057
bel,2017,42209.182
bel,2018,45838.041
bel,2019,45262.593
bel,2020,47326.096
bel,2021,51675.698
bel,2022,51251.245
bel,2023,57850.467
bel,2024,61040.197
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,120680.257
bra,2009,123643.843
bra,2010,155988.991
bra,2011,186139.794
bra,2012,183786.17
bra,2013,194427.025
bra,2014,197106.021
bra,2015,149954.415
bra,2016,150947.777
bra,2017,174858.634
bra,2018,160937.084
bra,2019,157076.572
bra,2020,127253.201
bra,2021,129665.004
bra,2022,149143.771
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,154398.857
can,2009,151227.898
can,2010,175053.656
can,2011,190083.851
can,2012,197186.264
can,2013,199879.169
can,2014,194778.51
can,2015,176081.036
can,2016,178198.776
can,2017,188487.744
can,2018,195192.546
can,2019,201978.701
can,2020,209533.937
can,2021,233293.236
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,10921.584
chl,2009,9974.791
chl,2010,12655.253
chl,2011,15284.888
chl,2012,17253.184
chl,2013,19210.112
chl,2014,18264.085
chl,2015,17836.11
chl,2016,18781.685
chl,2017,21575.041
chl,2018,22814.369
chl,2019,22099.373
chl,2020,20430.669
chl,2021,24113.203
chl,2022,23760.404
chl,2023,26546.036
chl,2024,25087.499
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,265511.815
chn,2009,340004.178
chn,2010,423449.938
chn,2011,521750.395
chn,2012,598216.239
chn,2013,709558.016
chn,2014,780859.683
chn,2015,862824.532
chn,2016,934105.006
chn,2017,1024702.022
chn,2018,1173419.022
chn,2019,1206080.725
chn,2020,1239483.91
chn,2021,1401734.345
chn,2022,1306414.345
chn,2023,1241975.149
chn,2024,1174926.078
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,21492.644
col,2009,21254.188
col,2010,25990.029
col,2011,28660.997
col,2012,31661.641
col,2013,32597.872
col,2014,32579
col,2015,25467.017
col,2016,24758.981
col,2017,27435.663
col,2018,29375.405
col,2019,28153.149
col,2020,25733.794
col,2021,26413.876
col,2022,24643.143
col,2023,26414.977
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,2521.731
cri,2009,2559.553
cri,2010,3138.413
cri,2011,3642.161
cri,2012,4295.632
cri,2013,4584.47
cri,2014,4465.521
cri,2015,4728.708
cri,2016,4876.245
cri,2017,4966.372
cri,2018,5081.211
cri,2019,5096.882
cri,2020,5050.2
cri,2021,4953.472
cri,2022,5021.946
cri,2023,6495.41
cri,2024,7505.704
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,17902.939
cze,2009,17057.703
cze,2010,19462.726
cze,2011,20859.558
cze,2012,18928.413
cze,2013,19124.315
cze,2014,19046.802
cze,2015,16813.131
cze,2016,18069.415
cze,2017,20458.641
cze,2018,25114.869
cze,2019,26289.222
cze,2020,28212.665
cze,2021,33584.851
cze,2022,34697.35
cze,2023,38876.78
cze,2024,38605.093
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,27889.195
dnk,2009,28016.954
dnk,2010,28528.165
dnk,2011,31726.925
dnk,2012,29673.175
dnk,2013,31311.03
dnk,2014,32695.043
dnk,2015,28033.797
dnk,2016,29116.385
dnk,2017,31128.765
dnk,2018,33715.768
dnk,2019,33390.741
dnk,2020,35333.257
dnk,2021,37170.291
dnk,2022,34196.383
dnk,2023,36021.854
dnk,2024,36791.764
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1996.247
est,2009,1789.442
est,2010,1618.155
est,2011,1915.246
est,2012,2097.727
est,2013,2450.004
est,2014,2623.76
est,2015,2444.114
est,2016,2627.856
est,2017,2978.926
est,2018,3256.104
est,2019,3327.908
est,2020,3303.425
est,2021,3759.147
est,2022,3965.451
est,2023,4043.297
est,2024,4084.354
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,1611105.535
eu,2009,1488558.515
eu,2010,1459548.967
eu,2011,1598120.121
eu,2012,1485912.358
eu,2013,1574457.458
eu,2014,1599573.479
eu,2015,1369042.19
eu,2016,1399885.962
eu,2017,1473953.898
eu,2018,1583344.366
eu,2019,1555374.094
eu,2020,1598134.533
eu,2021,1708517.436
eu,2022,1603851.575
eu,2023,1800470.303
eu,2024,1895245.803
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,25682.332
fin,2009,24972.184
fin,2010,24361.369
fin,2011,27251.7
fin,2012,25840.955
fin,2013,27752.355
fin,2014,28847.066
fin,2015,25475.525
fin,2016,26331.011
fin,2017,27782.249
fin,2018,30308.017
fin,2019,29667.194
fin,2020,31167.105
fin,2021,33378.114
fin,2022,30424.681
fin,2023,32376.427
fin,2024,33713.987
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,374065.916
fra,2009,339511.382
fra,2010,326007.251
fra,2011,351426.247
