country,year,foradl_lop_finans_ej_forsakring
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,312117.4
eu_three,2009,345337.1
eu_three,2010,359364
eu_three,2011,355417.5
eu_three,2012,356572
eu_three,2013,354417.1
eu_three,2014,374855.9
eu_three,2015,377372.5
eu_three,2016,366917.8
eu_three,2017,357189
eu_three,2018,352847.5
eu_three,2019,358056
eu_three,2020,360271.1
eu_three,2021,375368.9
eu_three,2022,399943.1
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,9243.5
bel,2009,11565.3
bel,2010,12110.7
bel,2011,11774.5
bel,2012,13265.5
bel,2013,12643.5
bel,2014,14217
bel,2015,15265
bel,2016,16492.4
bel,2017,16774.9
bel,2018,17199.3
bel,2019,17982.3
bel,2020,17163.7
bel,2021,18474.1
bel,2022,18579.5
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1513.5
bgr,2009,1555.3
bgr,2010,2292.1
bgr,2011,2285.4
bgr,2012,2103
bgr,2013,1799.8
bgr,2014,1980.9
bgr,2015,2230.6
bgr,2016,2303.3
bgr,2017,2282.6
bgr,2018,2591.4
bgr,2019,2166.3
bgr,2020,2021.7
bgr,2021,3265
bgr,2022,3509.3
bgr,2023,3615.8
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4086.9
cze,2009,4391
cze,2010,5007.8
cze,2011,5199
cze,2012,5120.5
cze,2013,4879
cze,2014,4456.1
cze,2015,4820.6
cze,2016,4816.6
cze,2017,5300.1
cze,2018,5689.1
cze,2019,5915.3
cze,2020,5889.4
cze,2021,6317.3
cze,2022,6835
cze,2023,6286.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,9303.3
dnk,2009,9496.2
dnk,2010,9647.6
dnk,2011,9130.7
dnk,2012,10201
dnk,2013,9836.8
dnk,2014,10078.2
dnk,2015,10249.8
dnk,2016,10360.2
dnk,2017,10605.3
dnk,2018,10599.7
dnk,2019,10289.1
dnk,2020,10201.1
dnk,2021,11054.1
dnk,2022,11139.3
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,62599
deu,2009,74219
deu,2010,81268
deu,2011,83413
deu,2012,83392
deu,2013,80865
deu,2014,81250
deu,2015,81953
deu,2016,78094
deu,2017,75005
deu,2018,71330
deu,2019,74488
deu,2020,76478
deu,2021,77175
deu,2022,75236
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,620.3
est,2009,424.1
est,2010,527.3
est,2011,574.8
est,2012,569.2
est,2013,539.8
est,2014,587.9
est,2015,610.4
est,2016,623.6
est,2017,681.6
est,2018,738.2
est,2019,857.2
est,2020,903.3
est,2021,1016
est,2022,1157
est,2023,1677
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,10748.1
irl,2009,10963.6
irl,2010,10848.4
irl,2011,10303.2
irl,2012,8713.9
irl,2013,7983.9
irl,2014,9334.2
irl,2015,9722.5
irl,2016,8379
irl,2017,8898.8
irl,2018,9589.4
irl,2019,8788.9
irl,2020,8934.8
irl,2021,11719.1
irl,2022,10477.1
irl,2023,11079.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,7586.1
grc,2009,8419
grc,2010,8016.3
grc,2011,7334.8
grc,2012,4776.7
grc,2013,5586
grc,2014,6689.5
grc,2015,6692.6
grc,2016,7616.6
grc,2017,7631.4
grc,2018,7092.3
grc,2019,6760.5
grc,2020,6523.1
grc,2021,6676.8
grc,2022,7449.1
grc,2023,11232.2
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,40914
esp,2009,44950
esp,2010,30889
esp,2011,28001
esp,2012,28663
esp,2013,23410
esp,2014,26367
esp,2015,27677
esp,2016,27048
esp,2017,28745
esp,2018,30708
esp,2019,32024
esp,2020,32772
esp,2021,33840
esp,2022,36886
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,30737
fra,2009,42415.9
fra,2010,50717.6
fra,2011,46962
fra,2012,48661.1
fra,2013,52480.8
fra,2014,56045.5
fra,2015,54175.5
fra,2016,53023
fra,2017,46543
fra,2018,47431.1
fra,2019,46314.6
fra,2020,48194.1
fra,2021,49841.8
fra,2022,49979.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2008.2
hrv,2009,1980.7
hrv,2010,2141.1
hrv,2011,2201.5
hrv,2012,1939.6
hrv,2013,1805.5
hrv,2014,1833.1
hrv,2015,1835.5
hrv,2016,1903.1
hrv,2017,1977.6
hrv,2018,1859.7
hrv,2019,1855.4
hrv,2020,1703.9
hrv,2021,1947.5
hrv,2022,2059.5
hrv,2023,2420.2
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,57859.9
ita,2009,55416.3
ita,2010,55997.3
ita,2011,56455.9
ita,2012,54598.9
ita,2013,56116.5
ita,2014,59688.6
ita,2015,57597.9
ita,2016,54098.1
ita,2017,51380.9
ita,2018,48882
ita,2019,49544.1
ita,2020,47142.2
ita,2021,48443.3
ita,2022,53437.5
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1140.5
cyp,2009,1230.7
cyp,2010,1282.2
cyp,2011,1482
cyp,2012,1585.4
cyp,2013,1582.6
cyp,2014,1539.5
cyp,2015,1627.9
cyp,2016,1434.3
cyp,2017,1324.4
cyp,2018,1092.3
cyp,2019,1118.4
cyp,2020,1302.5
cyp,2021,1340.3
cyp,2022,1484.5
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,990.7
lva,2009,409.6
lva,2010,393.9
lva,2011,618.7
lva,2012,683.3
lva,2013,721.8
lva,2014,735.8
lva,2015,837.1
lva,2016,841.7
lva,2017,702.1
lva,2018,676.4
lva,2019,626.3
lva,2020,526.6
lva,2021,645.1
lva,2022,772
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,711.4
ltu,2009,432.2
ltu,2010,536.5
ltu,2011,608.4
ltu,2012,517
ltu,2013,545.7
ltu,2014,494.8
ltu,2015,494.5
ltu,2016,535.6
ltu,2017,569.8
ltu,2018,611.9
ltu,2019,699.7
ltu,2020,737
ltu,2021,949.7
ltu,2022,1556.4
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,7742.7
lux,2009,7153.7
lux,2010,7478.5
lux,2011,6980.9
lux,2012,7750.4
lux,2013,8059.7
lux,2014,8567.3
lux,2015,8680.8
lux,2016,8580
lux,2017,8481.7
lux,2018,8402.7
lux,2019,7910.4
lux,2020,8075.9
lux,2021,9060.8
lux,2022,10463.7
lux,2023,11044.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,2967.9
hun,2009,2902.1
hun,2010,3059
hun,2011,3060.1
hun,2012,2928.4
hun,2013,2537
hun,2014,2724.2
hun,2015,2657.8
hun,2016,2568.7
hun,2017,2797
hun,2018,3025.3
hun,2019,3522.5
hun,2020,3460.7
hun,2021,3853.5
hun,2022,4491.2
hun,2023,5443.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,266.3
mlt,2009,296.9
mlt,2010,391.6
mlt,2011,349.4
mlt,2012,400.8
mlt,2013,442.8
mlt,2014,476.8
mlt,2015,558.4
mlt,2016,617.2
mlt,2017,619.7
mlt,2018,727.7
mlt,2019,780.9
mlt,2020,775.9
mlt,2021,790.9
mlt,2022,810.2
mlt,2023,1174.6
mlt,2024,1248.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,20182
nld,2009,28402
nld,2010,34399
nld,2011,33306
nld,2012,36116
nld,2013,37020
nld,2014,39430
nld,2015,40352
nld,2016,39556
nld,2017,37314
nld,2018,34942
nld,2019,34870
nld,2020,33658
nld,2021,32008
nld,2022,30738
nld,2023,28419
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,9613
