country,year,foradl_lop_fisk
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,5555.3
eu_three,2009,5682.7
eu_three,2010,6055.5
eu_three,2011,6261.7
eu_three,2012,5902.4
eu_three,2013,5698.5
eu_three,2014,6068.1
eu_three,2015,6393.1
eu_three,2016,6833.3
eu_three,2017,7060.8
eu_three,2018,6849.4
eu_three,2019,6570.1
eu_three,2020,6178.4
eu_three,2021,6726.2
eu_three,2022,6369.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,41.5
bel,2009,38
bel,2010,42.8
bel,2011,45.8
bel,2012,39.4
bel,2013,41.8
bel,2014,47.7
bel,2015,49.3
bel,2016,64.7
bel,2017,50.7
bel,2018,44.7
bel,2019,45.3
bel,2020,41
bel,2021,35.4
bel,2022,48.6
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,10
bgr,2009,9.3
bgr,2010,11.3
bgr,2011,14.1
bgr,2012,15.3
bgr,2013,18
bgr,2014,25.6
bgr,2015,23.7
bgr,2016,20.2
bgr,2017,23.2
bgr,2018,11.9
bgr,2019,22.8
bgr,2020,20.9
bgr,2021,21.5
bgr,2022,8.5
bgr,2023,13.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,18.5
cze,2009,19.1
cze,2010,23.7
cze,2011,28.3
cze,2012,26
cze,2013,25.3
cze,2014,21.4
cze,2015,23.4
cze,2016,25.1
cze,2017,27.3
cze,2018,25.1
cze,2019,26.1
cze,2020,22.7
cze,2021,10.3
cze,2022,20.2
cze,2023,28.3
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,253.4
dnk,2009,188.5
dnk,2010,261.9
dnk,2011,262.2
dnk,2012,265.6
dnk,2013,272.5
dnk,2014,262.3
dnk,2015,335.9
dnk,2016,363
dnk,2017,338.9
dnk,2018,322.9
dnk,2019,255.9
dnk,2020,320.8
dnk,2021,246.6
dnk,2022,201.8
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,238
deu,2009,177
deu,2010,236
deu,2011,205
deu,2012,258
deu,2013,229
deu,2014,218
deu,2015,319
deu,2016,233
deu,2017,344
deu,2018,472
deu,2019,386
deu,2020,312
deu,2021,276
deu,2022,356
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,28.1
est,2009,20.9
est,2010,24.1
est,2011,33.6
est,2012,33.3
est,2013,31.6
est,2014,29.9
est,2015,39.4
est,2016,39.9
est,2017,39.5
est,2018,38.5
est,2019,39.8
est,2020,31.9
est,2021,30.4
est,2022,37.6
est,2023,37.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,66.9
irl,2009,88.8
irl,2010,137.2
irl,2011,160.6
irl,2012,157.6
irl,2013,150.2
irl,2014,154.5
irl,2015,161.3
irl,2016,147.2
irl,2017,180.4
irl,2018,186.6
irl,2019,194.5
irl,2020,143.4
irl,2021,187.9
irl,2022,220.3
irl,2023,212.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,672
grc,2009,671.7
grc,2010,728.5
grc,2011,705.4
grc,2012,638
grc,2013,621.9
grc,2014,632.2
grc,2015,564
grc,2016,570.2
grc,2017,584.6
grc,2018,583.5
grc,2019,587.4
grc,2020,600
grc,2021,666.3
grc,2022,834.5
grc,2023,901.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,1055
esp,2009,1235
esp,2010,1239
esp,2011,1369
esp,2012,1406
esp,2013,1391
esp,2014,1622
esp,2015,1571
esp,2016,1815
esp,2017,1849
esp,2018,1609
esp,2019,1475
esp,2020,1401
esp,2021,1757
esp,2022,1330
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,897
fra,2009,870.8
fra,2010,902.7
fra,2011,980.5
fra,2012,836.8
fra,2013,859.2
fra,2014,940.6
fra,2015,937
fra,2016,1017.9
fra,2017,1124
fra,2018,1043.6
fra,2019,1150.4
fra,2020,948.7
fra,2021,1055.9
fra,2022,971.4
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,90.8
hrv,2009,93.7
hrv,2010,81.3
hrv,2011,93.2
hrv,2012,101
hrv,2013,105.9
hrv,2014,108.3
hrv,2015,110
hrv,2016,114.8
hrv,2017,130.9
hrv,2018,139.4
hrv,2019,114.5
hrv,2020,128.7
hrv,2021,129.1
hrv,2022,64.7
hrv,2023,128.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,1188
ita,2009,1353
ita,2010,1367.6
ita,2011,1306.7
ita,2012,1092.6
ita,2013,923.9
ita,2014,901.1
ita,2015,1018.2
ita,2016,1004.4
ita,2017,918.9
ita,2018,929.9
ita,2019,810.8
ita,2020,660.6
ita,2021,749.2
ita,2022,621
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,28.1
cyp,2009,27.6
cyp,2010,15
cyp,2011,28.7
cyp,2012,23.4
cyp,2013,28.3
cyp,2014,27.3
cyp,2015,27.3
cyp,2016,28.2
cyp,2017,33.7
cyp,2018,32.7
cyp,2019,40.6
cyp,2020,29
cyp,2021,29.7
cyp,2022,39.1
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,33.8
lva,2009,40.7
lva,2010,26.8
lva,2011,36.7
lva,2012,35.1
lva,2013,32.4
lva,2014,32.1
lva,2015,31
lva,2016,33.5
lva,2017,34
lva,2018,32.5
lva,2019,45.9
lva,2020,59.3
lva,2021,62.5
lva,2022,68.6
lva,2023,77.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,20.1
ltu,2009,18.6
ltu,2010,16.6
ltu,2011,18.7
ltu,2012,18.1
ltu,2013,19.5
ltu,2014,32
ltu,2015,21.7
ltu,2016,30.2
ltu,2017,33.4
ltu,2018,28.9
ltu,2019,42.4
ltu,2020,51.6
ltu,2021,50
ltu,2022,43.8
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,0
lux,2009,0
lux,2010,0
lux,2011,0
lux,2012,0
lux,2013,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lux,2020,0
lux,2021,0
lux,2022,0
lux,2023,0
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,15.1
hun,2009,13.5
hun,2010,15
hun,2011,13.4
hun,2012,12.3
hun,2013,15.2
hun,2014,15.1
hun,2015,15.3
hun,2016,14.8
hun,2017,15.1
hun,2018,17
hun,2019,18
hun,2020,17.1
hun,2021,19.1
hun,2022,19.5
hun,2023,24.4
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,7.9
mlt,2009,19.7
mlt,2010,24.3
mlt,2011,14.8
mlt,2012,23.3
mlt,2013,24.2
mlt,2014,29.2
mlt,2015,31.8
mlt,2016,42.1
mlt,2017,18.7
mlt,2018,26.2
mlt,2019,4.4
mlt,2020,49.6
mlt,2021,87.4
mlt,2022,87.7
mlt,2023,-55.2
mlt,2024,-10.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,343
nld,2009,265
nld,2010,294
nld,2011,278
nld,2012,283
nld,2013,231
nld,2014,247
nld,2015,309
nld,2016,379
nld,2017,391
nld,2018,381
nld,2019,342
nld,2020,326
nld,2021,343
nld,2022,332
nld,2023,220
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,11.2
aut,2009,12.6
aut,2010,13.8
aut,2011,16.6
aut,2012,20.5
aut,2013,22.6
aut,2014,22.2
aut,2015,23.1
aut,2016,27.4
aut,2017,27.9
aut,2018,29.1
aut,2019,32.1
aut,2020,35.7
aut,2021,33.9
aut,2022,37.5
aut,2023,37.5
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,47.3
pol,2009,47.4
