country,year,foradl_lop_gruv
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,69050.3
eu_three,2009,52684.1
eu_three,2010,59463.8
eu_three,2011,64212.7
eu_three,2012,68372.6
eu_three,2013,63568.2
eu_three,2014,54178.3
eu_three,2015,44898.7
eu_three,2016,37680.3
eu_three,2017,42243.9
eu_three,2018,44137.3
eu_three,2019,42201.4
eu_three,2020,34057.8
eu_three,2021,47110
eu_three,2022,67602.6
eu_three,2023,58978.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,341.3
bel,2009,304.3
bel,2010,307.9
bel,2011,324.1
bel,2012,296.4
bel,2013,275.4
bel,2014,281.2
bel,2015,219.3
bel,2016,238.1
bel,2017,248.6
bel,2018,246.6
bel,2019,284.7
bel,2020,265.1
bel,2021,297.2
bel,2022,283.2
bel,2023,289.7
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,640.3
bgr,2009,627.2
bgr,2010,739.8
bgr,2011,845
bgr,2012,886.5
bgr,2013,901.5
bgr,2014,973.4
bgr,2015,983.4
bgr,2016,951.5
bgr,2017,1013.8
bgr,2018,892.6
bgr,2019,710.9
bgr,2020,922
bgr,2021,876
bgr,2022,698.5
bgr,2023,1248.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,2038.6
cze,2009,1657.4
cze,2010,1779
cze,2011,1892.6
cze,2012,1706.4
cze,2013,1296.2
cze,2014,1423.2
cze,2015,1376.4
cze,2016,1167.1
cze,2017,1245.9
cze,2018,1292.2
cze,2019,1172.5
cze,2020,1005.9
cze,2021,1148.4
cze,2022,1461.4
cze,2023,1510.4
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,8899.8
dnk,2009,5521.1
dnk,2010,6167.1
dnk,2011,7048.3
dnk,2012,7086.5
dnk,2013,5845.1
dnk,2014,4700.8
dnk,2015,2494.2
dnk,2016,2239.5
dnk,2017,2471
dnk,2018,2938.7
dnk,2019,2242.7
dnk,2020,948.4
dnk,2021,1398.3
dnk,2022,3505.8
dnk,2023,3733.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,6320
deu,2009,5103
deu,2010,5227
deu,2011,5430
deu,2012,5815
deu,2013,5159
deu,2014,4947
deu,2015,4655
deu,2016,4101
deu,2017,4337
deu,2018,4388
deu,2019,4617
deu,2020,4412
deu,2021,4734
deu,2022,6142
deu,2023,5588
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,145.4
est,2009,151.8
est,2010,179.4
est,2011,204
est,2012,203.5
est,2013,255.2
est,2014,270.6
est,2015,247.9
est,2016,204.2
est,2017,255.7
est,2018,244.6
est,2019,220.5
est,2020,166.7
est,2021,151.7
est,2022,169.3
est,2023,199.1
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,913.4
irl,2009,916.5
irl,2010,687
irl,2011,726.2
irl,2012,886.8
irl,2013,751.7
irl,2014,908.8
irl,2015,407
irl,2016,549.5
irl,2017,609.1
irl,2018,615.6
irl,2019,504.3
irl,2020,320.9
irl,2021,452.5
irl,2022,578.6
irl,2023,578.3
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,891.9
grc,2009,855.6
grc,2010,909.2
grc,2011,921.9
grc,2012,820.2
grc,2013,850.4
grc,2014,856.9
grc,2015,899.4
grc,2016,818.2
grc,2017,821.8
grc,2018,876.2
grc,2019,768
grc,2020,621.1
grc,2021,662.4
grc,2022,530.9
grc,2023,533.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3274
esp,2009,2598
esp,2010,2653
esp,2011,2602
esp,2012,2306
esp,2013,1845
esp,2014,1636
esp,2015,1496
esp,2016,1486
esp,2017,2214
esp,2018,2768
esp,2019,3160
esp,2020,2492
esp,2021,4421
esp,2022,6589
esp,2023,5215
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,2485.3
fra,2009,2327.5
fra,2010,2374.2
fra,2011,2327.4
fra,2012,2285.7
fra,2013,2226.2
fra,2014,2443.2
fra,2015,2123.3
fra,2016,2042.6
fra,2017,2079.7
fra,2018,2144
fra,2019,2120.9
fra,2020,2003.5
fra,2021,2244.2
fra,2022,2274.6
fra,2023,2581.1
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,354
hrv,2009,391.1
hrv,2010,403.6
hrv,2011,346
hrv,2012,377.3
hrv,2013,406.9
hrv,2014,316.2
hrv,2015,217.7
hrv,2016,162.9
hrv,2017,169.5
hrv,2018,166.5
hrv,2019,167.6
hrv,2020,94.1
hrv,2021,110.4
hrv,2022,126
hrv,2023,147.5
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,5856.1
ita,2009,4216.9
ita,2010,4441.9
ita,2011,5242.6
ita,2012,6592.7
ita,2013,6383.1
ita,2014,5456
ita,2015,4218.6
ita,2016,3541.2
ita,2017,4041.8
ita,2018,4533.7
ita,2019,3765.8
ita,2020,2778.3
ita,2021,5481.8
ita,2022,3051.8
ita,2023,3116.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,63.5
cyp,2009,47.8
cyp,2010,48
cyp,2011,36.5
cyp,2012,18.3
cyp,2013,19.2
cyp,2014,20.8
cyp,2015,25.7
cyp,2016,18.5
cyp,2017,17.8
cyp,2018,24.3
cyp,2019,27
cyp,2020,25.4
cyp,2021,30.3
cyp,2022,42.9
cyp,2023,52.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,72
lva,2009,78.5
lva,2010,80
lva,2011,83
lva,2012,95.6
lva,2013,105.4
lva,2014,91.4
lva,2015,108.5
lva,2016,107.8
lva,2017,118.5
lva,2018,131.1
lva,2019,127.3
lva,2020,138.3
lva,2021,137.2
lva,2022,167.2
lva,2023,174.3
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,127.9
ltu,2009,76.8
ltu,2010,92.8
ltu,2011,119.9
ltu,2012,119.1
ltu,2013,127.5
ltu,2014,128.7
ltu,2015,99.3
ltu,2016,97.3
ltu,2017,113
ltu,2018,125.7
ltu,2019,124
ltu,2020,134.3
ltu,2021,138.6
ltu,2022,149.4
ltu,2023,163.3
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,31.2
lux,2009,30.9
lux,2010,31.8
lux,2011,34.9
lux,2012,31.3
lux,2013,30.9
lux,2014,31.9
lux,2015,29.5
lux,2016,29.5
lux,2017,34.8
lux,2018,34.7
lux,2019,38.1
lux,2020,39.5
lux,2021,37.7
lux,2022,35
lux,2023,37.7
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,224.6
hun,2009,204.6
hun,2010,181.1
hun,2011,208.3
hun,2012,212.8
hun,2013,193.2
hun,2014,180.1
hun,2015,152.7
hun,2016,143
hun,2017,210.3
hun,2018,323.7
hun,2019,452
hun,2020,299
hun,2021,443.3
hun,2022,735.8
hun,2023,626.1
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,22151
nld,2009,16152
nld,2010,17652
nld,2011,19097
nld,2012,21691
nld,2013,22612
nld,2014,17022
nld,2015,12746
nld,2016,8128
nld,2017,7710
nld,2018,7519
nld,2019,5927
nld,2020,3165
nld,2021,6438
nld,2022,16954
nld,2023,11078
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1343.6
aut,2009,1073.6
aut,2010,1184.9
aut,2011,1519.5
aut,2012,1519.4
aut,2013,1487.4
aut,2014,1398.3
aut,2015,1186.8
aut,2016,1068.2
aut,2017,1199.7
aut,2018,1169.9
aut,2019,1059.3
aut,2020,758.7
aut,2021,997.4
