country,year,foradl_lop_gummi
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,150138.4
eu_three,2009,130351.5
eu_three,2010,131874.3
eu_three,2011,136830.7
eu_three,2012,134979.5
eu_three,2013,135847.7
eu_three,2014,141320.1
eu_three,2015,147466.5
eu_three,2016,154875.5
eu_three,2017,157109.3
eu_three,2018,162011.1
eu_three,2019,168140.3
eu_three,2020,162278.7
eu_three,2021,173204.8
eu_three,2022,180624.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,4572.3
bel,2009,4311.4
bel,2010,4170
bel,2011,4502.2
bel,2012,4267.6
bel,2013,4171.4
bel,2014,4263.1
bel,2015,4447.1
bel,2016,4841.5
bel,2017,4852.8
bel,2018,4920
bel,2019,5104.1
bel,2020,5025.2
bel,2021,5008.3
bel,2022,5646.6
bel,2023,5462.2
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,562.7
bgr,2009,528.8
bgr,2010,439.4
bgr,2011,523.6
bgr,2012,495.8
bgr,2013,445.5
bgr,2014,565.1
bgr,2015,671.5
bgr,2016,737.2
bgr,2017,728
bgr,2018,859.2
bgr,2019,953.1
bgr,2020,1069.6
bgr,2021,958.2
bgr,2022,1059.8
bgr,2023,1532.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4610.4
cze,2009,4011.6
cze,2010,4106.7
cze,2011,4426.2
cze,2012,4238.6
cze,2013,4188.5
cze,2014,4501.5
cze,2015,5075.6
cze,2016,5158.6
cze,2017,5347.5
cze,2018,5576.8
cze,2019,5940.5
cze,2020,5461.2
cze,2021,5905.2
cze,2022,6260.8
cze,2023,7251.2
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2606.1
dnk,2009,2056
dnk,2010,1885.2
dnk,2011,1846.4
dnk,2012,1956.8
dnk,2013,1927.9
dnk,2014,2316.5
dnk,2015,2341.8
dnk,2016,2442.7
dnk,2017,2579.9
dnk,2018,2535.8
dnk,2019,2638.9
dnk,2020,2671.9
dnk,2021,2701.4
dnk,2022,2719.7
dnk,2023,2969.9
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,38806
deu,2009,34388
deu,2010,37427
deu,2011,40277
deu,2012,40678
deu,2013,42106
deu,2014,44161
deu,2015,45478
deu,2016,48478
deu,2017,47969
deu,2018,49208
deu,2019,50614
deu,2020,49704
deu,2021,50384
deu,2022,50854
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,235.5
est,2009,139.8
est,2010,166.9
est,2011,207.9
est,2012,214.3
est,2013,220.4
est,2014,234.4
est,2015,239.9
est,2016,271.2
est,2017,309.1
est,2018,316.3
est,2019,325.9
est,2020,300
est,2021,358.5
est,2022,381.1
est,2023,402
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,1419.5
irl,2009,959.9
irl,2010,741.9
irl,2011,815.5
irl,2012,780.2
irl,2013,921.1
irl,2014,1150.8
irl,2015,1170.2
irl,2016,1393.5
irl,2017,1493.9
irl,2018,1526.1
irl,2019,1671
irl,2020,1761
irl,2021,1931.9
irl,2022,2237.5
irl,2023,2490
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,2174.7
grc,2009,1990.8
grc,2010,1980.5
grc,2011,1523.7
grc,2012,1283.4
grc,2013,1242.6
grc,2014,1325.6
grc,2015,1373.5
grc,2016,1388.8
grc,2017,1382.2
grc,2018,1409.7
grc,2019,1476.4
grc,2020,1487.8
grc,2021,1544
grc,2022,1651.1
grc,2023,1834.1
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,15736
esp,2009,12495
esp,2010,11798
esp,2011,11176
esp,2012,9979
esp,2013,9965
esp,2014,10249
esp,2015,10775
esp,2016,11132
esp,2017,11793
esp,2018,12153
esp,2019,13159
esp,2020,12657
esp,2021,13620
esp,2022,13989
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,20356.6
fra,2009,18250.5
fra,2010,17348.6
fra,2011,18249.7
fra,2012,17914.7
fra,2013,17819.7
fra,2014,17827.9
fra,2015,18248.2
fra,2016,18311.9
fra,2017,18070.1
fra,2018,18604.6
fra,2019,19257
fra,2020,16467.3
fra,2021,17389.8
fra,2022,18392.5
fra,2023,22421.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,704
hrv,2009,616.5
hrv,2010,458
hrv,2011,486.1
hrv,2012,482.6
hrv,2013,477.7
hrv,2014,508.7
hrv,2015,550.6
hrv,2016,593.8
hrv,2017,616
hrv,2018,636.5
hrv,2019,604.6
hrv,2020,721.8
hrv,2021,785
hrv,2022,880.6
hrv,2023,1030.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,23901.5
ita,2009,21253.5
ita,2010,21662.4
ita,2011,21266
ita,2012,20394.1
ita,2013,20136.5
ita,2014,20286.1
ita,2015,21103.4
ita,2016,22113.1
ita,2017,22766
ita,2018,23562.7
ita,2019,23360.9
ita,2020,22154.5
ita,2021,25787.5
ita,2022,27248.8
ita,2023,32030.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,218.5
cyp,2009,190.3
cyp,2010,177.7
cyp,2011,159.3
cyp,2012,115.5
cyp,2013,84.1
cyp,2014,93.8
cyp,2015,107.4
cyp,2016,129.7
cyp,2017,136
cyp,2018,152.8
cyp,2019,172.7
cyp,2020,187.8
cyp,2021,180.8
cyp,2022,170.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,214.4
lva,2009,152.4
lva,2010,177
lva,2011,217.8
lva,2012,237.8
lva,2013,265.2
lva,2014,256.1
lva,2015,239.7
lva,2016,254.6
lva,2017,279.6
lva,2018,298.8
lva,2019,324.8
lva,2020,312.4
lva,2021,351.1
lva,2022,354.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,531.8
ltu,2009,331.5
ltu,2010,393.2
ltu,2011,485.7
ltu,2012,540.8
ltu,2013,624.5
ltu,2014,661.1
ltu,2015,619.5
ltu,2016,668.8
ltu,2017,707
ltu,2018,760.3
ltu,2019,764.6
ltu,2020,718.5
ltu,2021,833.7
ltu,2022,915.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1855.5
hun,2009,1462.1
hun,2010,1588.8
hun,2011,1662.3
hun,2012,1728.7
hun,2013,1792
hun,2014,1929.1
hun,2015,2144.7
hun,2016,2281.4
hun,2017,2352.9
hun,2018,2620.7
hun,2019,2801.9
hun,2020,2667
hun,2021,2878.2
hun,2022,2747.9
hun,2023,3139.5
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,73.7
mlt,2009,58.2
mlt,2010,63.7
mlt,2011,66.5
mlt,2012,70
mlt,2013,76.5
mlt,2014,68.7
mlt,2015,75.1
mlt,2016,93.2
mlt,2017,104.6
mlt,2018,119.1
mlt,2019,131.6
mlt,2020,140.6
mlt,2021,161.8
mlt,2022,150.7
mlt,2023,155.4
mlt,2024,144.7
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,4717
nld,2009,4671
nld,2010,4171
nld,2011,4370
nld,2012,4179
nld,2013,4173
nld,2014,4358
nld,2015,4354
nld,2016,4810
nld,2017,4936
nld,2018,5110
nld,2019,5254
nld,2020,5453
nld,2021,5612
nld,2022,5921
nld,2023,6357
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,4765.1
aut,2009,4317.3
aut,2010,4510.4
aut,2011,4752.1
aut,2012,4665.4
aut,2013,4798.3
aut,2014,5090.8
aut,2015,4998.8
aut,2016,5249.4
