country,year,foradl_lop_hotell
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,261867.5
eu_three,2009,255861.4
eu_three,2010,259384.5
eu_three,2011,267168.8
eu_three,2012,270570.6
eu_three,2013,269902.7
eu_three,2014,277459
eu_three,2015,290998.8
eu_three,2016,306992.2
eu_three,2017,326891.9
eu_three,2018,342830.4
eu_three,2019,360472.7
eu_three,2020,200670.1
eu_three,2021,245228.9
eu_three,2022,355017.2
eu_three,2023,419942.7
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,5701.2
bel,2009,5329.3
bel,2010,5774.1
bel,2011,6068.8
bel,2012,6101.5
bel,2013,6336.5
bel,2014,6679.6
bel,2015,6877.2
bel,2016,7040.7
bel,2017,7438.2
bel,2018,7770.1
bel,2019,8233.8
bel,2020,4900.8
bel,2021,6483.5
bel,2022,8840.7
bel,2023,9951.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,721.8
bgr,2009,725.3
bgr,2010,787
bgr,2011,838
bgr,2012,847.2
bgr,2013,877
bgr,2014,873.2
bgr,2015,946.1
bgr,2016,983.7
bgr,2017,1116.4
bgr,2018,1295.2
bgr,2019,1382
bgr,2020,903.6
bgr,2021,1420.5
bgr,2022,1954.5
bgr,2023,2361.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,3927.8
cze,2009,3002.7
cze,2010,3007.1
cze,2011,3246
cze,2012,2871
cze,2013,2793.4
cze,2014,2674.2
cze,2015,2812.5
cze,2016,3094.2
cze,2017,3588.5
cze,2018,3839.4
cze,2019,4138.2
cze,2020,2427.3
cze,2021,2836
cze,2022,4148.5
cze,2023,4752.8
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,3114.7
dnk,2009,2930.1
dnk,2010,2830.8
dnk,2011,3085.9
dnk,2012,3201
dnk,2013,3439.2
dnk,2014,3574.6
dnk,2015,3572.3
dnk,2016,4023
dnk,2017,4161.6
dnk,2018,4364.9
dnk,2019,4479.1
dnk,2020,2907.4
dnk,2021,3499.7
dnk,2022,5063.8
dnk,2023,5764.6
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,34338
deu,2009,33061
deu,2010,34824
deu,2011,37221
deu,2012,39456
deu,2013,38940
deu,2014,41793
deu,2015,44929
deu,2016,47717
deu,2017,50691
deu,2018,53715
deu,2019,57462
deu,2020,31025
deu,2021,31562
deu,2022,51473
deu,2023,57480
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,255.3
est,2009,180.9
est,2010,186.4
est,2011,234.3
est,2012,269
est,2013,306.5
est,2014,329.7
est,2015,338.6
est,2016,371.4
est,2017,414.4
est,2018,445.1
est,2019,489.1
est,2020,298.8
est,2021,348
est,2022,533.4
est,2023,627.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3933.8
irl,2009,3685.6
irl,2010,3335.7
irl,2011,3376.3
irl,2012,3548
irl,2013,3809.1
irl,2014,4040
irl,2015,4474.1
irl,2016,4768.7
irl,2017,5257.9
irl,2018,5587.3
irl,2019,5710
irl,2020,2841.2
irl,2021,3861.3
irl,2022,7015.6
irl,2023,8413.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,11348.1
grc,2009,10407.9
grc,2010,10145.3
grc,2011,8815.9
grc,2012,8445.8
grc,2013,10387.8
grc,2014,10122
grc,2015,10117.5
grc,2016,9459.2
grc,2017,10348
grc,2018,10905.9
grc,2019,11629.1
grc,2020,6370.2
grc,2021,8449.1
grc,2022,11705
grc,2023,14041
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,62033
esp,2009,61248
esp,2010,60270
esp,2011,60522
esp,2012,59425
esp,2013,56585
esp,2014,57793
esp,2015,61440
esp,2016,65186
esp,2017,69747
esp,2018,71915
esp,2019,74970
esp,2020,34574
esp,2021,50201
esp,2022,74207
esp,2023,91053
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,36743.6
fra,2009,36173.2
fra,2010,38453.6
fra,2011,40336.7
fra,2012,40924.5
fra,2013,41568.7
fra,2014,41287.3
fra,2015,42281.2
fra,2016,44139.6
fra,2017,44754.3
fra,2018,46991.7
fra,2019,51037.4
fra,2020,28812.9
fra,2021,32353.9
fra,2022,41936.5
fra,2023,49260.4
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1627.8
hrv,2009,1651.7
hrv,2010,1708.2
hrv,2011,1778.1
hrv,2012,1808.1
hrv,2013,2083.7
hrv,2014,2109.5
hrv,2015,2224
hrv,2016,2440.9
hrv,2017,2673.4
hrv,2018,2824.3
hrv,2019,2828.5
hrv,2020,1278.9
hrv,2021,2435.2
hrv,2022,3859.6
hrv,2023,4187.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,53290.7
ita,2009,54126.2
ita,2010,53392.2
ita,2011,55034.2
ita,2012,54511.7
ita,2013,52858.4
ita,2014,54209.6
ita,2015,54909
ita,2016,57686.6
ita,2017,61029.6
ita,2018,63597.4
ita,2019,64202.7
ita,2020,38700.9
ita,2021,49920.3
ita,2022,65839.3
ita,2023,79908.1
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,942.2
cyp,2009,872.3
cyp,2010,890.3
cyp,2011,1004
cyp,2012,1042.1
cyp,2013,986.9
cyp,2014,1011.5
cyp,2015,1020.2
cyp,2016,1174.5
cyp,2017,1271
cyp,2018,1393
cyp,2019,1438.8
cyp,2020,444.2
cyp,2021,979.5
cyp,2022,1465.4
cyp,2023,1742
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,358.2
lva,2009,264.3
lva,2010,275.4
lva,2011,299.4
lva,2012,311.4
lva,2013,343
lva,2014,349.2
lva,2015,387.9
lva,2016,408.6
lva,2017,458.4
lva,2018,508.4
lva,2019,505.1
lva,2020,350.4
lva,2021,337.3
lva,2022,521
lva,2023,700.1
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,389.7
ltu,2009,341
ltu,2010,332.6
ltu,2011,371.9
ltu,2012,413
ltu,2013,447
ltu,2014,468.4
ltu,2015,538.2
ltu,2016,589.1
ltu,2017,660.2
ltu,2018,739.5
ltu,2019,813.7
ltu,2020,576.9
ltu,2021,710.4
ltu,2022,1046.4
ltu,2023,1230.5
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,612.4
lux,2009,632.7
lux,2010,664.2
lux,2011,708
lux,2012,745.1
lux,2013,771.3
lux,2014,838.3
lux,2015,885.1
lux,2016,920.3
lux,2017,958.6
lux,2018,970
lux,2019,1036.8
lux,2020,634.5
lux,2021,684.6
lux,2022,1061.7
lux,2023,1263.5
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1790
hun,2009,1558.9
hun,2010,1503.7
hun,2011,1435.5
hun,2012,1306.8
hun,2013,1281.4
hun,2014,1484.6
hun,2015,1563.1
hun,2016,1617.6
hun,2017,1949.7
hun,2018,2197.6
hun,2019,2463.3
hun,2020,1482.2
hun,2021,2131.8
hun,2022,2891.6
hun,2023,3808.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,277.5
mlt,2009,257.7
mlt,2010,291.5
mlt,2011,309.2
mlt,2012,321.8
mlt,2013,378.8
mlt,2014,399.4
mlt,2015,453.9
mlt,2016,460.5
mlt,2017,558.9
mlt,2018,631.1
mlt,2019,637.3
mlt,2020,246
mlt,2021,360.5
mlt,2022,636.9
mlt,2023,809.3
mlt,2024,984.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,9551
nld,2009,9367
nld,2010,9208
nld,2011,9730
nld,2012,9884
nld,2013,10143
nld,2014,10897
nld,2015,11885
nld,2016,12918
nld,2017,13761
nld,2018,14864
nld,2019,15456
nld,2020,8766
nld,2021,10087
nld,2022,15941
nld,2023,18871
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,9654.1
