country,year,foradl_lop_industri
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,2022298.7
eu_three,2009,1787344.2
eu_three,2010,1934259.7
eu_three,2011,2024309
eu_three,2012,2025771
eu_three,2013,2016387.1
eu_three,2014,2068169.3
eu_three,2015,2197554.6
eu_three,2016,2252167.7
eu_three,2017,2335973.5
eu_three,2018,2400892.5
eu_three,2019,2464426.2
eu_three,2020,2337963.5
eu_three,2021,2580965.1
eu_three,2022,2916862.6
eu_three,2023,3127184.5
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,57930.1
bel,2009,53760.7
bel,2010,57388.4
bel,2011,59709.2
bel,2012,58833.3
bel,2013,59987.5
bel,2014,60613.7
bel,2015,61915.5
bel,2016,62442.1
bel,2017,65238.9
bel,2018,66074.4
bel,2019,70005.8
bel,2020,66815.9
bel,2021,66537.9
bel,2022,82814.4
bel,2023,81454.9
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,6498.5
bgr,2009,6833.3
bgr,2010,6710.9
bgr,2011,8091.8
bgr,2012,8583.5
bgr,2013,8160.8
bgr,2014,8435.5
bgr,2015,9278.7
bgr,2016,10278
bgr,2017,10728.7
bgr,2018,10423.7
bgr,2019,10900.5
bgr,2020,10940.4
bgr,2021,12327
bgr,2022,18877.6
bgr,2023,17793.5
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,45116.7
cze,2009,39821.1
cze,2010,42219.2
cze,2011,45896.8
cze,2012,44782.1
cze,2013,43745.2
cze,2014,45261.9
cze,2015,48573.1
cze,2016,50505.8
cze,2017,53966.3
cze,2018,56207.4
cze,2019,59412.9
cze,2020,54323.1
cze,2021,57979.4
cze,2022,69563.9
cze,2023,80863.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,42233.1
dnk,2009,35735
dnk,2010,37750.1
dnk,2011,39207
dnk,2012,40342.9
dnk,2013,40967.5
dnk,2014,40893
dnk,2015,41431.3
dnk,2016,43659.4
dnk,2017,45728.8
dnk,2018,47120.9
dnk,2019,48967.5
dnk,2020,46375
dnk,2021,52270.8
dnk,2022,62959.6
dnk,2023,71406.1
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,586020
deu,2009,505591
deu,2010,586796
deu,2011,622337
deu,2012,639051
deu,2013,634329
deu,2014,664040
deu,2015,684875
deu,2016,716387
deu,2017,741712
deu,2018,752128
deu,2019,761681
deu,2020,719682
deu,2021,767350
deu,2022,841702
deu,2023,939442
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,2923.8
est,2009,2420.5
est,2010,2792.7
est,2011,3234.8
est,2012,3300.6
est,2013,3565.5
est,2014,3830.3
est,2015,3758.3
est,2016,3925.9
est,2017,4257
est,2018,4595.4
est,2019,4660.4
est,2020,4390.3
est,2021,5323.7
est,2022,6446.6
est,2023,6197.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,37504.9
irl,2009,39246.5
irl,2010,36726
irl,2011,40001.7
irl,2012,39464.8
irl,2013,39791.2
irl,2014,44210.2
irl,2015,99355.2
irl,2016,94580.2
irl,2017,103795.7
irl,2018,114847.3
irl,2019,121152.9
irl,2020,134115.8
irl,2021,161320.5
irl,2022,199668
irl,2023,156589.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,27579.7
grc,2009,26431
grc,2010,24937.4
grc,2011,23423.2
grc,2012,23273.8
grc,2013,22378.4
grc,2014,21902.8
grc,2015,22121.8
grc,2016,22074.4
grc,2017,22093.6
grc,2018,22378.7
grc,2019,22382.2
grc,2020,21576.3
grc,2021,24238.1
grc,2022,31180.5
grc,2023,30241.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,172743
esp,2009,155881
esp,2010,157907
esp,2011,158350
esp,2012,151066
esp,2013,149884
esp,2014,151045
esp,2015,157662
esp,2016,160533
esp,2017,168657
esp,2018,172142
esp,2019,176691
esp,2020,163491
esp,2021,185462
esp,2022,214377
esp,2023,220604
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,258567.5
fra,2009,240670
fra,2010,243522.2
fra,2011,253149.2
fra,2012,255535.4
fra,2013,260450.4
fra,2014,262884
fra,2015,271001.1
fra,2016,269947.6
fra,2017,270903.6
fra,2018,277731.2
fra,2019,288093.1
fra,2020,261238
fra,2021,277505.6
fra,2022,300682.6
fra,2023,378175.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,7873.1
hrv,2009,7585.9
hrv,2010,7703.6
hrv,2011,7897.5
hrv,2012,7812.8
hrv,2013,7563.3
hrv,2014,7553.2
hrv,2015,7602.8
hrv,2016,7858.8
hrv,2017,8027.7
hrv,2018,8060.6
hrv,2019,8413.1
hrv,2020,7631.8
hrv,2021,8534.3
hrv,2022,10218.9
hrv,2023,11901.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,292730
ita,2009,254476.5
ita,2010,265448.2
ita,2011,270502.4
ita,2012,264048.9
ita,2013,263541.9
ita,2014,265877.4
ita,2015,274001.5
ita,2016,287784.7
ita,2017,297225.4
ita,2018,306498.3
ita,2019,309885.1
ita,2020,284141.8
ita,2021,330290.1
ita,2022,361844.4
ita,2023,377869.8
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1387.4
cyp,2009,1395.4
cyp,2010,1395.2
cyp,2011,1298
cyp,2012,1262.2
cyp,2013,1157.3
cyp,2014,1090.1
cyp,2015,1193.9
cyp,2016,1301.2
cyp,2017,1382.4
cyp,2018,1527.5
cyp,2019,1688
cyp,2020,1640
cyp,2021,1687.2
cyp,2022,1747.4
cyp,2023,1895.6
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,3096.8
lva,2009,2633.5
lva,2010,2894.5
lva,2011,3094.5
lva,2012,3377.8
lva,2013,3334.6
lva,2014,3175.7
lva,2015,3388.3
lva,2016,3517.7
lva,2017,3765.7
lva,2018,3836.6
lva,2019,4061.4
lva,2020,4261.6
lva,2021,5256.9
lva,2022,5666.6
lva,2023,6283.9
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,6258.1
ltu,2009,5148
ltu,2010,5784.7
ltu,2011,6923.7
ltu,2012,7512.4
ltu,2013,7514.6
ltu,2014,7630.5
ltu,2015,7580.5
ltu,2016,7724.7
ltu,2017,8341.9
ltu,2018,8870.6
ltu,2019,9198.9
ltu,2020,9182.5
ltu,2021,10507.6
ltu,2022,13090.2
ltu,2023,13007.8
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3169
lux,2009,2381.1
lux,2010,2656.6
lux,2011,2700.7
lux,2012,2652.4
lux,2013,2837.1
lux,2014,3121.6
lux,2015,3663.3
lux,2016,4001.3
lux,2017,3486.6
lux,2018,3705.6
lux,2019,3912.3
lux,2020,3988.9
lux,2021,4233.4
lux,2022,3830
lux,2023,4515.6
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,23372.9
hun,2009,19843.8
hun,2010,21610.6
hun,2011,22132.6
hun,2012,21804.3
hun,2013,22117.9
hun,2014,23553.7
hun,2015,25777.9
hun,2016,26141.2
hun,2017,27416.1
hun,2018,28267.5
hun,2019,29110.8
hun,2020,27150.9
hun,2021,28981.6
hun,2022,31867
hun,2023,40018.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,945.8
mlt,2009,859.7
mlt,2010,905.8
mlt,2011,863.9
mlt,2012,840
mlt,2013,877.6
mlt,2014,865.8
mlt,2015,889.7
mlt,2016,967.9
mlt,2017,1007.1
mlt,2018,1093.4
mlt,2019,1141.8
mlt,2020,1160.1
mlt,2021,1297.1
mlt,2022,1403.8
mlt,2023,1600
mlt,2024,1683.8
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,102260
nld,2009,90014
nld,2010,91890
nld,2011,97062
nld,2012,100005
nld,2013,98777
nld,2014,94166
nld,2015,95632
nld,2016,93991
nld,2017,98589
nld,2018,103759
nld,2019,105749
