country,year,foradl_lop_info_komm
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,465114.7
eu_three,2009,452387.1
eu_three,2010,454255.8
eu_three,2011,467605.9
eu_three,2012,471715.6
eu_three,2013,477083.3
eu_three,2014,484632.8
eu_three,2015,504505.9
eu_three,2016,524074.9
eu_three,2017,552602.9
eu_three,2018,589485.6
eu_three,2019,632375.7
eu_three,2020,649224.8
eu_three,2021,724204.3
eu_three,2022,765641.2
eu_three,2023,822210.2
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,12949.7
bel,2009,13464.1
bel,2010,13936.9
bel,2011,14457.3
bel,2012,14901.5
bel,2013,14504.8
bel,2014,14555.4
bel,2015,15198.5
bel,2016,15764.1
bel,2017,16676.5
bel,2018,17259.1
bel,2019,18636.8
bel,2020,18779.8
bel,2021,20397.8
bel,2022,21990.4
bel,2023,23351.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1818.8
bgr,2009,1741.6
bgr,2010,1654.4
bgr,2011,1934.3
bgr,2012,1857.3
bgr,2013,2035.6
bgr,2014,2064.8
bgr,2015,2092
bgr,2016,2597
bgr,2017,2760
bgr,2018,3296.9
bgr,2019,4034
bgr,2020,4508.7
bgr,2021,4867.5
bgr,2022,5733.9
bgr,2023,6846.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,7364.1
cze,2009,6980.5
cze,2010,7164.3
cze,2011,7446.7
cze,2012,7220.5
cze,2013,6972.8
cze,2014,6943.7
cze,2015,7550.5
cze,2016,8111.4
cze,2017,9216.1
cze,2018,10599.4
cze,2019,12571.8
cze,2020,13030.2
cze,2021,15299.5
cze,2022,17551.9
cze,2023,19692
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,9421.3
dnk,2009,9782.7
dnk,2010,9991.7
dnk,2011,9906.3
dnk,2012,9871.5
dnk,2013,10523.1
dnk,2014,10418.6
dnk,2015,10963.5
dnk,2016,11604.7
dnk,2017,11801.4
dnk,2018,11938
dnk,2019,12909.7
dnk,2020,13336
dnk,2021,14656.6
dnk,2022,15170.7
dnk,2023,16371.3
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,108563
deu,2009,103893
deu,2010,101805
deu,2011,110994
deu,2012,115321
deu,2013,120783
deu,2014,125404
deu,2015,126519
deu,2016,130835
deu,2017,136233
deu,2018,147063
deu,2019,153952
deu,2020,154278
deu,2021,168127
deu,2022,167115
deu,2023,180106
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,733.3
est,2009,680.3
est,2010,681.1
est,2011,739.5
est,2012,804.6
est,2013,849
est,2014,906
est,2015,978.2
est,2016,1056.3
est,2017,1189.1
est,2018,1402.4
est,2019,1624.6
est,2020,1818.3
est,2021,1929.4
est,2022,2365.6
est,2023,2567.7
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,12751.8
irl,2009,12752.4
irl,2010,14008.3
irl,2011,14313.3
irl,2012,15763.2
irl,2013,17199.4
irl,2014,19476.2
irl,2015,23441
irl,2016,25384.7
irl,2017,32074.8
irl,2018,40088.6
irl,2019,51171.4
irl,2020,60896.2
irl,2021,78877.8
irl,2022,86808.9
irl,2023,95097.9
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,6093.8
grc,2009,6322.9
grc,2010,6270
grc,2011,5668.3
grc,2012,5183.5
grc,2013,4802.7
grc,2014,4341.8
grc,2015,4498.6
grc,2016,4627
grc,2017,4794
grc,2018,4862.2
grc,2019,5165.3
grc,2020,5671.5
grc,2021,6142.1
grc,2022,6468.1
grc,2023,6778.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,41022
esp,2009,41188
esp,2010,39693
esp,2011,38594
esp,2012,37527
esp,2013,36647
esp,2014,35981
esp,2015,36794
esp,2016,37624
esp,2017,39885
esp,2018,40648
esp,2019,42675
esp,2020,40487
esp,2021,43558
esp,2022,49327
esp,2023,53125
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,95323.9
fra,2009,93289.6
fra,2010,93632.8
fra,2011,94848.1
fra,2012,94718.8
fra,2013,94506.3
fra,2014,94762
fra,2015,97967.4
fra,2016,101623.7
fra,2017,106844.2
fra,2018,112243.7
fra,2019,117186.4
fra,2020,115434.5
fra,2021,124843.4
fra,2022,128804.5
fra,2023,135357.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,1996.7
hrv,2009,1915.5
hrv,2010,1961.2
hrv,2011,1865.1
hrv,2012,1801.9
hrv,2013,1744
hrv,2014,1667.3
hrv,2015,1663.6
hrv,2016,1739
hrv,2017,1882.7
hrv,2018,2040.4
hrv,2019,2183.2
hrv,2020,2493.4
hrv,2021,2829.4
hrv,2022,3484.4
hrv,2023,3755.7
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,61041.6
ita,2009,61252.3
ita,2010,60865.1
ita,2011,60155.9
ita,2012,56877.2
ita,2013,53245.6
ita,2014,52022.4
ita,2015,52958.7
ita,2016,56314.3
ita,2017,57863.4
ita,2018,57941.3
ita,2019,58041.7
ita,2020,56724.9
ita,2021,61689.1
ita,2022,62110.5
ita,2023,65045.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,556.8
cyp,2009,556.9
cyp,2010,622.6
cyp,2011,642.6
cyp,2012,619.4
cyp,2013,688.9
cyp,2014,737.6
cyp,2015,756.3
cyp,2016,969.2
cyp,2017,1154.6
cyp,2018,1237.9
cyp,2019,1436.1
cyp,2020,1730.9
cyp,2021,2026.9
cyp,2022,2788.3
cyp,2023,3089.9
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,854.3
lva,2009,719.7
lva,2010,750.1
lva,2011,761.2
lva,2012,849.9
lva,2013,915.7
lva,2014,951
lva,2015,1016.4
lva,2016,1116.7
lva,2017,1266.2
lva,2018,1452.1
lva,2019,1594.6
lva,2020,1666.4
lva,2021,1881.4
lva,2022,2156
lva,2023,2442.2
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,984.9
ltu,2009,951.5
ltu,2010,915.6
ltu,2011,876.6
ltu,2012,902.7
ltu,2013,1013.1
ltu,2014,1026.4
ltu,2015,1159.8
ltu,2016,1263.1
ltu,2017,1397.2
ltu,2018,1522.1
ltu,2019,1717.7
ltu,2020,1872.5
ltu,2021,2174
ltu,2022,2832.5
ltu,2023,3481.6
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2134.6
lux,2009,2399.6
lux,2010,2504.5
lux,2011,2632.9
lux,2012,2825.2
lux,2013,2650.6
lux,2014,2795.4
lux,2015,3049.6
lux,2016,2885.2
lux,2017,2988.1
lux,2018,3134.6
lux,2019,3271.6
lux,2020,3347.1
lux,2021,3563.3
lux,2022,3751.4
lux,2023,4064.1
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,4960.2
hun,2009,4504.5
hun,2010,4505.8
hun,2011,4581.1
hun,2012,4468.3
hun,2013,4533.3
hun,2014,4626.5
hun,2015,4614.1
hun,2016,4810.7
hun,2017,5253
hun,2018,5647.1
hun,2019,6133.8
hun,2020,6079.5
hun,2021,7002.3
hun,2022,7153.4
hun,2023,8839.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,286.2
mlt,2009,291.6
mlt,2010,323.3
mlt,2011,373
mlt,2012,381.8
mlt,2013,402.6
mlt,2014,501.6
mlt,2015,606.3
mlt,2016,665.6
mlt,2017,788.4
mlt,2018,841.3
mlt,2019,1002.9
mlt,2020,1281.5
mlt,2021,1631.9
mlt,2022,1925.1
mlt,2023,1996
mlt,2024,2053.9
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,28914
nld,2009,27626
nld,2010,27843
nld,2011,27886
nld,2012,27633
nld,2013,27602
nld,2014,27924
nld,2015,28817
nld,2016,30005
nld,2017,31006
nld,2018,32358
nld,2019,34452
nld,2020,36960
nld,2021,39019
nld,2022,44323
nld,2023,46705
nld,2024,
