country,year,foradl_lop_insp
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,36672.6
eu_three,2009,32377.7
eu_three,2010,32245.1
eu_three,2011,31596.8
eu_three,2012,30130.2
eu_three,2013,28406
eu_three,2014,27897.3
eu_three,2015,27539.3
eu_three,2016,27853.4
eu_three,2017,27204.3
eu_three,2018,26478
eu_three,2019,26313.7
eu_three,2020,23644.6
eu_three,2021,24588.2
eu_three,2022,25079.9
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1281.9
bel,2009,1158.5
bel,2010,1150.5
bel,2011,1172.8
bel,2012,1130.9
bel,2013,1051.2
bel,2014,1046.9
bel,2015,987.3
bel,2016,979.3
bel,2017,929.9
bel,2018,901.4
bel,2019,881.1
bel,2020,671.3
bel,2021,724.9
bel,2022,805.1
bel,2023,
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,98
bgr,2009,88.5
bgr,2010,89
bgr,2011,109.7
bgr,2012,105.6
bgr,2013,105.7
bgr,2014,107.6
bgr,2015,109.6
bgr,2016,121.5
bgr,2017,122.3
bgr,2018,139.4
bgr,2019,161.8
bgr,2020,141.8
bgr,2021,166
bgr,2022,179.2
bgr,2023,212.4
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,658
cze,2009,547.3
cze,2010,617.9
cze,2011,578.8
cze,2012,491.1
cze,2013,465.7
cze,2014,474.9
cze,2015,511.4
cze,2016,534.5
cze,2017,546.9
cze,2018,595
cze,2019,599.6
cze,2020,545.3
cze,2021,632.2
cze,2022,724.8
cze,2023,739.9
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,759.2
dnk,2009,616.6
dnk,2010,528.6
dnk,2011,521.8
dnk,2012,451.3
dnk,2013,440
dnk,2014,474.7
dnk,2015,400.7
dnk,2016,392.8
dnk,2017,430.1
dnk,2018,395.6
dnk,2019,380.7
dnk,2020,344.2
dnk,2021,320.4
dnk,2022,342.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,9052
deu,2009,8039
deu,2010,8426
deu,2011,8270
deu,2012,8316
deu,2013,7936
deu,2014,7593
deu,2015,7497
deu,2016,7652
deu,2017,7364
deu,2018,6593
deu,2019,6608
deu,2020,6866
deu,2021,6698
deu,2022,6351
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,69
est,2009,56
est,2010,65.1
est,2011,68.1
est,2012,76.2
est,2013,76.6
est,2014,77.5
est,2015,77.2
est,2016,82.5
est,2017,87.3
est,2018,83.1
est,2019,81.7
est,2020,75
est,2021,79.2
est,2022,83.8
est,2023,83.9
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,443.3
irl,2009,457.7
irl,2010,386.7
irl,2011,359.4
irl,2012,306
irl,2013,336.5
irl,2014,389.9
irl,2015,395.7
irl,2016,336.8
irl,2017,300.5
irl,2018,302.8
irl,2019,307.8
irl,2020,268.1
irl,2021,230.2
irl,2022,170.7
irl,2023,288.2
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,786.8
grc,2009,764.2
grc,2010,536.2
grc,2011,433.1
grc,2012,382
grc,2013,324.2
grc,2014,334.6
grc,2015,301.3
grc,2016,299.8
grc,2017,300.6
grc,2018,306.5
grc,2019,309.3
grc,2020,287.8
grc,2021,322.8
grc,2022,345.7
grc,2023,330.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,4005
esp,2009,3494
esp,2010,3487
esp,2011,3152
esp,2012,2635
esp,2013,2402
esp,2014,2368
esp,2015,2209
esp,2016,2212
esp,2017,2211
esp,2018,2229
esp,2019,2273
esp,2020,1907
esp,2021,2116
esp,2022,2309
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,4360.6
fra,2009,3933.7
fra,2010,3822.4
fra,2011,3808.3
fra,2012,3671.5
fra,2013,3624.7
fra,2014,3687.3
fra,2015,3457.3
fra,2016,3455.7
fra,2017,3467.3
fra,2018,3375.8
fra,2019,3367.2
fra,2020,2524.7
fra,2021,2667.8
fra,2022,2759.3
fra,2023,
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,185.3
hrv,2009,167.5
hrv,2010,165.1
hrv,2011,172.5
hrv,2012,158.1
hrv,2013,157.6
hrv,2014,166.9
hrv,2015,182.6
hrv,2016,175.8
hrv,2017,191.9
hrv,2018,197.1
hrv,2019,223.1
hrv,2020,215.8
hrv,2021,231.9
hrv,2022,200.9
hrv,2023,232.6
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,6008.2
ita,2009,5036.1
ita,2010,5059.7
ita,2011,4901.6
ita,2012,4610.8
ita,2013,4303.5
ita,2014,4192.7
ita,2015,4085.2
ita,2016,4598.9
ita,2017,4463.5
ita,2018,4472
ita,2019,4330.3
ita,2020,3633.1
ita,2021,3944.6
ita,2022,4003.9
ita,2023,
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,45.8
cyp,2009,40.6
cyp,2010,40.4
cyp,2011,39
cyp,2012,31.2
cyp,2013,24.6
cyp,2014,23.8
cyp,2015,22
cyp,2016,24.4
cyp,2017,26.6
cyp,2018,27.1
cyp,2019,27.9
cyp,2020,19.5
cyp,2021,20.3
cyp,2022,24
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,79.8
lva,2009,51.2
lva,2010,49.4
lva,2011,50.1
lva,2012,56.3
lva,2013,69.9
lva,2014,69.3
lva,2015,72.9
lva,2016,69.8
lva,2017,81.2
lva,2018,85
lva,2019,102.3
lva,2020,112.5
lva,2021,120.2
lva,2022,127.2
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,110.9
ltu,2009,81.1
ltu,2010,88.2
ltu,2011,112.9
ltu,2012,128.7
ltu,2013,137.6
ltu,2014,133.2
ltu,2015,132.1
ltu,2016,130.5
ltu,2017,128.4
ltu,2018,131.8
ltu,2019,142.5
ltu,2020,131.9
ltu,2021,136.9
ltu,2022,141.9
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,324.4
hun,2009,254
hun,2010,256.5
hun,2011,269.4
hun,2012,255.5
hun,2013,266.1
hun,2014,256.7
hun,2015,265
hun,2016,253.9
hun,2017,284
hun,2018,283.3
hun,2019,289.7
hun,2020,259.5
hun,2021,315.3
hun,2022,343
hun,2023,432.7
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,58.8
mlt,2013,58
mlt,2014,58.3
mlt,2015,60.7
mlt,2016,55.4
mlt,2017,50.6
mlt,2018,70.3
mlt,2019,75.6
mlt,2020,
mlt,2021,109.6
mlt,2022,116.2
mlt,2023,138.6
mlt,2024,140.3
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2358
nld,2009,2251
nld,2010,1974
nld,2011,1918
nld,2012,1818
nld,2013,1719
nld,2014,1580
nld,2015,1468
nld,2016,1401
nld,2017,1348
nld,2018,1319
nld,2019,1199
nld,2020,1112
nld,2021,1117
nld,2022,1189
nld,2023,1320
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,1283.4
aut,2009,1183.4
aut,2010,1155.1
aut,2011,1148
aut,2012,1113.6
aut,2013,1024.4
aut,2014,976.3
aut,2015,967.1
aut,2016,935
aut,2017,909.3
aut,2018,851.6
aut,2019,818.1
aut,2020,717.1
aut,2021,675
aut,2022,702.5
aut,2023,673.2
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
