country,year,foradl_lop_jord_dollar
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,24347.867
aus,2009,22424.934
aus,2010,29829.58
aus,2011,35106.026
aus,2012,36378.093
aus,2013,34288.011
aus,2014,34785.719
aus,2015,29961.905
aus,2016,35362.404
aus,2017,34730.576
aus,2018,30783.492
aus,2019,27720.416
aus,2020,33070.327
aus,2021,46795.271
aus,2022,45832.44
aus,2023,39386.362
aus,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,5945.072
aut,2009,4697.86
aut,2010,5040.028
aut,2011,6268.343
aut,2012,5766.426
aut,2013,5451.058
aut,2014,5594.037
aut,2015,4340.598
aut,2016,4524.58
aut,2017,4978.707
aut,2018,5019.654
aut,2019,4627.558
aut,2020,4654.054
aut,2021,5842.183
aut,2022,6485.713
aut,2023,6636.405
aut,2024,6410.637
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,3685.125
bel,2009,3485.701
bel,2010,4083.207
bel,2011,3828.712
bel,2012,4209.482
bel,2013,4007.065
bel,2014,3854.778
bel,2015,3460.682
bel,2016,3192.751
bel,2017,3654.293
bel,2018,3606.517
bel,2019,3857.933
bel,2020,3775.758
bel,2021,3919.72
bel,2022,4137.533
bel,2023,4958.806
bel,2024,5321.957
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,77464.151
bra,2009,74627.657
bra,2010,90910.398
bra,2011,113594.413
bra,2012,102758.807
bra,2013,111447.154
bra,2014,106238.888
bra,2015,77840.229
bra,2016,87833.707
bra,2017,94933.885
bra,2018,84736.124
bra,2019,78772.031
bra,2020,84307.648
bra,2021,109573.801
bra,2022,112576.751
bra,2023,
bra,2024,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,27458.869
can,2009,21334.424
can,2010,24150.755
can,2011,31664.131
can,2012,33118.038
can,2013,34978.83
can,2014,28649.09
can,2015,29104.161
can,2016,28454.714
can,2017,31171.032
can,2018,29328.194
can,2019,29592.4
can,2020,30461.111
can,2021,32317.367
can,2022,
can,2023,
can,2024,
chl,2000,
chl,2001,
chl,2002,
chl,2003,
chl,2004,
chl,2005,
chl,2006,
chl,2007,
chl,2008,6152.451
chl,2009,6337.343
chl,2010,7551.545
chl,2011,9109.874
chl,2012,8749.832
chl,2013,9629.567
chl,2014,10237.739
chl,2015,8995.181
chl,2016,10468.275
chl,2017,11831.104
chl,2018,11601.75
chl,2019,11093.28
chl,2020,10270.538
chl,2021,11059.51
chl,2022,9743.714
chl,2023,11710.343
chl,2024,12921.251
chn,2000,
chn,2001,
chn,2002,
chn,2003,
chn,2004,
chn,2005,
chn,2006,
chn,2007,
chn,2008,481072.956
chn,2009,507357.475
chn,2010,585190.926
chn,2011,713810.664
chn,2012,801307.558
chn,2013,882739.399
chn,2014,935506.089
chn,2015,961103.314
chn,2016,939893.271
chn,2017,956685.058
chn,2018,1021147.782
chn,2019,1065037.63
chn,2020,1179528.259
chn,2021,1348970.923
chn,2022,1374122.419
chn,2023,1326468.392
chn,2024,1342313.572
col,2000,
col,2001,
col,2002,
col,2003,
col,2004,
col,2005,
col,2006,
col,2007,
col,2008,16217.186
col,2009,15551.551
col,2010,18120.614
col,2011,20405.119
col,2012,20694.526
col,2013,20605.224
col,2014,20766.027
col,2015,17552.091
col,2016,18677.655
col,2017,19927.244
col,2018,20806.211
col,2019,20708.661
col,2020,20299.052
col,2021,24755.33
col,2022,30524.688
col,2023,32262.703
col,2024,
cri,2000,
cri,2001,
cri,2002,
cri,2003,
cri,2004,
cri,2005,
cri,2006,
cri,2007,
cri,2008,2149.026
cri,2009,2167.459
cri,2010,2442.234
cri,2011,2394.652
cri,2012,2423.382
cri,2013,2437.101
cri,2014,2542.502
cri,2015,2680.489
cri,2016,2891.952
cri,2017,2844.119
cri,2018,2798.813
cri,2019,2706.863
cri,2020,2710.606
cri,2021,2836.649
cri,2022,2866.737
cri,2023,3287.334
cri,2024,3396.788
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4541.794
cze,2009,3640.35
cze,2010,3215.216
cze,2011,4545.116
cze,2012,4694.522
cze,2013,5000.924
cze,2014,5046.465
cze,2015,4271.802
cze,2016,4256.684
cze,2017,4664.932
cze,2018,4960.626
cze,2019,4857.308
cze,2020,4881.55
cze,2021,5117.822
cze,2022,6267.072
cze,2023,5939.252
cze,2024,5173.014
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,2987.783
dnk,2009,2603.378
dnk,2010,3830.882
dnk,2011,4367.051
dnk,2012,5286.139
dnk,2013,4330.773
dnk,2014,4775.332
dnk,2015,2740.931
dnk,2016,2899.538
dnk,2017,4177.823
dnk,2018,3542.434
dnk,2019,4287.218
dnk,2020,4756.636
dnk,2021,4040.902
dnk,2022,3173.704
dnk,2023,3080.517
dnk,2024,3188.438
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,826.999
est,2009,485.381
est,2010,619.472
est,2011,854.244
est,2012,763.192
est,2013,775.602
est,2014,842.775
est,2015,654.229
est,2016,508.806
est,2017,642.471
est,2018,639.872
est,2019,722.147
est,2020,614.719
est,2021,715.072
est,2022,934.516
est,2023,795.542
est,2024,818.115
eu,2000,
eu,2001,
eu,2002,
eu,2003,
eu,2004,
eu,2005,
eu,2006,
eu,2007,
eu,2008,267801.394
eu,2009,221352.444
eu,2010,235246.472
eu,2011,267620.409
eu,2012,246123.906
eu,2013,260988.524
eu,2014,263130.95
eu,2015,219096.73
eu,2016,218833.272
eu,2017,247448.711
eu,2018,254500.407
eu,2019,247694.694
eu,2020,246617.778
eu,2021,273808.177
eu,2022,284795.97
eu,2023,303591.259
eu,2024,307798.16
fin,2000,
fin,2001,
fin,2002,
fin,2003,
fin,2004,
fin,2005,
fin,2006,
fin,2007,
fin,2008,6300.716
fin,2009,5713.029
fin,2010,5903.416
fin,2011,6215.08
fin,2012,5633.798
fin,2013,5977.859
fin,2014,6064.606
fin,2015,4805.3
fin,2016,4989.919
fin,2017,5249.628
fin,2018,5790.22
fin,2019,5847.015
fin,2020,6049.071
fin,2021,6352.498
fin,2022,6281.435
fin,2023,6801.18
fin,2024,7387.247
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,41569.58
fra,2009,33276.161
fra,2010,39716.748
fra,2011,44530.736
fra,2012,40941.204
fra,2013,38338.119
fra,2014,41818.282
