country,year,foradl_lop_jur_konsult_arki
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,460303.3
eu_three,2009,436808.8
eu_three,2010,448346.1
eu_three,2011,465781.6
eu_three,2012,470600
eu_three,2013,484949.6
eu_three,2014,496353.8
eu_three,2015,520763.1
eu_three,2016,536589.2
eu_three,2017,573874.4
eu_three,2018,606471.7
eu_three,2019,626198.2
eu_three,2020,627414.2
eu_three,2021,680118.6
eu_three,2022,733597.4
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,24798.8
bel,2009,26138.3
bel,2010,26618.9
bel,2011,28196.2
bel,2012,29085.8
bel,2013,30941.3
bel,2014,32106.7
bel,2015,32927.1
bel,2016,33669.2
bel,2017,36031.7
bel,2018,37724
bel,2019,39662
bel,2020,39617.4
bel,2021,43075.8
bel,2022,47523.9
bel,2023,50963.3
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,442.5
bgr,2009,618.1
bgr,2010,760.2
bgr,2011,739.3
bgr,2012,804.2
bgr,2013,699.9
bgr,2014,647.7
bgr,2015,825.9
bgr,2016,864
bgr,2017,923.1
bgr,2018,1031.4
bgr,2019,1363.8
bgr,2020,1326.9
bgr,2021,1510
bgr,2022,1775.2
bgr,2023,1979
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,4682.2
cze,2009,4324.1
cze,2010,4459.5
cze,2011,4388.9
cze,2012,4707.9
cze,2013,4568.9
cze,2014,4409.3
cze,2015,4583
cze,2016,4952.1
cze,2017,5445.8
cze,2018,5964.3
cze,2019,6425.6
cze,2020,6265.7
cze,2021,7112.2
cze,2022,8011.8
cze,2023,8501.7
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,8016.2
dnk,2009,8069.5
dnk,2010,8324.9
dnk,2011,8557.8
dnk,2012,8727.9
dnk,2013,9213.1
dnk,2014,9084.2
dnk,2015,9623.9
dnk,2016,9997.8
dnk,2017,10513.7
dnk,2018,11237
dnk,2019,11419.3
dnk,2020,11864.5
dnk,2021,13556.7
dnk,2022,14275.9
dnk,2023,14871.5
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,122288
deu,2009,106334
deu,2010,111710
deu,2011,115920
deu,2012,118530
deu,2013,124537
deu,2014,125876
deu,2015,132030
deu,2016,137751
deu,2017,152808
deu,2018,162598
deu,2019,163028
deu,2020,161615
deu,2021,171270
deu,2022,178496
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,469.7
est,2009,450.3
est,2010,450
est,2011,461.4
est,2012,475.9
est,2013,520.2
est,2014,538.6
est,2015,533.8
est,2016,565.4
est,2017,619.6
est,2018,706.8
est,2019,802.8
est,2020,853.5
est,2021,1020.8
est,2022,1241
est,2023,1180.2
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,4907
irl,2009,4222.8
irl,2010,4437.5
irl,2011,5838.2
irl,2012,5909
irl,2013,6366.7
irl,2014,7040.1
irl,2015,8039.3
irl,2016,7720.7
irl,2017,9927.7
irl,2018,12301.2
irl,2019,14403.3
irl,2020,18012.9
irl,2021,20271.8
irl,2022,23713.4
irl,2023,25087
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,7549.5
grc,2009,7071.4
grc,2010,5784.8
grc,2011,5060
grc,2012,4756.1
grc,2013,4751.7
grc,2014,4364.6
grc,2015,4493.8
grc,2016,4196.7
grc,2017,4136.3
grc,2018,4193.6
grc,2019,4492.5
grc,2020,4184
grc,2021,4950.3
grc,2022,5400.5
grc,2023,6122.3
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,30182
esp,2009,30726
esp,2010,28240
esp,2011,28717
esp,2012,27537
esp,2013,27756
esp,2014,29234
esp,2015,30654
esp,2016,31259
esp,2017,32695
esp,2018,35286
esp,2019,38142
esp,2020,37094
esp,2021,40820
esp,2022,45306
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,91851.9
fra,2009,87118
fra,2010,91507.3
fra,2011,96964
fra,2012,98471.9
fra,2013,99816.9
fra,2014,101798.6
fra,2015,105407.3
fra,2016,108347.7
fra,2017,113134.2
fra,2018,117748.4
fra,2019,125328.8
fra,2020,117741.2
fra,2021,130446.8
fra,2022,137382.4
fra,2023,146953.7
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,2064.9
hrv,2009,1882.3
hrv,2010,1807.6
hrv,2011,1773.5
hrv,2012,1674
hrv,2013,1658.7
hrv,2014,1685.1
hrv,2015,1640
hrv,2016,1656.3
hrv,2017,1733.8
hrv,2018,1703.2
hrv,2019,1759.8
hrv,2020,1562.6
hrv,2021,1741.5
hrv,2022,2061.8
hrv,2023,2136.8
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,64656.7
ita,2009,65074.3
ita,2010,65962
ita,2011,65648
ita,2012,63910.6
ita,2013,63608
ita,2014,64042.2
ita,2015,65763.4
ita,2016,67725.6
ita,2017,69122.8
ita,2018,71589.9
ita,2019,68375.8
ita,2020,71658.9
ita,2021,76857.7
ita,2022,84398.7
ita,2023,76641.9
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1013.9
cyp,2009,1010.7
cyp,2010,1146.1
cyp,2011,1224.7
cyp,2012,1173.6
cyp,2013,1090
cyp,2014,1106.3
cyp,2015,1176.7
cyp,2016,1261.2
cyp,2017,1433.2
cyp,2018,1528.1
cyp,2019,1559.6
cyp,2020,1545.8
cyp,2021,1578.8
cyp,2022,1640.3
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,616.3
lva,2009,491.2
lva,2010,444.1
lva,2011,454.4
lva,2012,516.9
lva,2013,525.9
lva,2014,567
lva,2015,604.8
lva,2016,636
lva,2017,684.3
lva,2018,743.8
lva,2019,777.9
lva,2020,791.8
lva,2021,897.6
lva,2022,979.4
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,721
ltu,2009,697.1
ltu,2010,606.4
ltu,2011,667.5
ltu,2012,714.7
ltu,2013,764.6
ltu,2014,826.8
ltu,2015,863.5
ltu,2016,933.7
ltu,2017,1003.1
ltu,2018,1105.6
ltu,2019,1228.3
ltu,2020,1235.2
ltu,2021,1425.5
ltu,2022,1754.1
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,2038
lux,2009,2207.2
lux,2010,2298.8
lux,2011,2564.1
lux,2012,2579.9
lux,2013,2873.5
lux,2014,2665.5
lux,2015,3316.9
lux,2016,4395.1
lux,2017,4430.3
lux,2018,4599.7
lux,2019,4733
lux,2020,5429.5
lux,2021,6622.2
lux,2022,7762.6
lux,2023,8857.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,3217.2
hun,2009,2896.4
hun,2010,3135.2
hun,2011,3130.2
hun,2012,3023.8
hun,2013,3164.7
hun,2014,3105.9
hun,2015,3355.6
hun,2016,3605.6
hun,2017,4117.7
hun,2018,4412.8
hun,2019,4842.7
hun,2020,4847.1
hun,2021,5376.6
hun,2022,5880.1
hun,2023,7141.3
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,221.9
mlt,2009,223.1
mlt,2010,263.4
mlt,2011,292.2
mlt,2012,324.3
mlt,2013,331.8
mlt,2014,389.1
mlt,2015,477.9
mlt,2016,538.5
mlt,2017,634.5
mlt,2018,618.4
mlt,2019,725.5
mlt,2020,796.2
mlt,2021,957.2
mlt,2022,1088.5
mlt,2023,1170.6
mlt,2024,1233.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,41500
nld,2009,40821
nld,2010,39984
nld,2011,41468
nld,2012,41267
nld,2013,40955
nld,2014,43339
nld,2015,46631
nld,2016,47620
nld,2017,49760
nld,2018,52258
nld,2019,54421
nld,2020,56603
nld,2021,61857
nld,2022,66816
nld,2023,74453
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
