country,year,foradl_lop_jur_veten_admin
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,1040762.6
eu_three,2009,983759
eu_three,2010,1019168.7
eu_three,2011,1057540.5
eu_three,2012,1070052.6
eu_three,2013,1105049.4
eu_three,2014,1146007.5
eu_three,2015,1206102.4
eu_three,2016,1258300.8
eu_three,2017,1331780.4
eu_three,2018,1405759.9
eu_three,2019,1455115.3
eu_three,2020,1398135.4
eu_three,2021,1541350.4
eu_three,2022,1685879.5
eu_three,2023,1817775.7
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,41583.9
bel,2009,40768.7
bel,2010,41955.9
bel,2011,44834.2
bel,2012,46194.1
bel,2013,48770
bel,2014,51451.6
bel,2015,53910.7
bel,2016,56051.6
bel,2017,59680.7
bel,2018,62913.7
bel,2019,65861.4
bel,2020,64800.8
bel,2021,71587.6
bel,2022,77824.4
bel,2023,82384.6
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,1504.4
bgr,2009,1847.6
bgr,2010,1892.2
bgr,2011,1965.8
bgr,2012,2155.8
bgr,2013,2026.4
bgr,2014,2094.4
bgr,2015,2485
bgr,2016,2626
bgr,2017,2742.8
bgr,2018,3149.8
bgr,2019,3747.2
bgr,2020,3741.2
bgr,2021,4319.1
bgr,2022,5055.9
bgr,2023,5845.7
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,10092.8
cze,2009,9213.5
cze,2010,9652
cze,2011,9633.8
cze,2012,9980.2
cze,2013,9977.2
cze,2014,9740.9
cze,2015,10165.1
cze,2016,11096.1
cze,2017,12341.8
cze,2018,13531.1
cze,2019,14714.6
cze,2020,13786.4
cze,2021,15710
cze,2022,18403.8
cze,2023,19902
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,17281
dnk,2009,16984.2
dnk,2010,17140.3
dnk,2011,17387.8
dnk,2012,17627.5
dnk,2013,18790.8
dnk,2014,19238.6
dnk,2015,20856.8
dnk,2016,23454
dnk,2017,24238.6
dnk,2018,25510.5
dnk,2019,25776.9
dnk,2020,25716.5
dnk,2021,29436
dnk,2022,30813.8
dnk,2023,32303.2
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,262546
deu,2009,240650
deu,2010,254971
deu,2011,259573
deu,2012,268309
deu,2013,286020
deu,2014,299803
deu,2015,313392
deu,2016,328475
deu,2017,344303
deu,2018,365849
deu,2019,366649
deu,2020,355976
deu,2021,398390
deu,2022,431219
deu,2023,457598
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,1189.8
est,2009,1075
est,2010,1109.5
est,2011,1239
est,2012,1354.4
est,2013,1435.4
est,2014,1498.3
est,2015,1539.6
est,2016,1635.5
est,2017,1860.9
est,2018,2098.9
est,2019,2275.3
est,2020,2266.3
est,2021,2700.2
est,2022,3107.1
est,2023,3135.8
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,14487.9
irl,2009,13161.2
irl,2010,13918.3
irl,2011,15743.9
irl,2012,16057.7
irl,2013,19777.5
irl,2014,23943.9
irl,2015,28537.1
irl,2016,30071.5
irl,2017,34505.9
irl,2018,37749.4
irl,2019,42329.9
irl,2020,42882.5
irl,2021,44996.7
irl,2022,52509.4
irl,2023,56308.4
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,14258
grc,2009,13530
grc,2010,10915.1
grc,2011,9489.6
grc,2012,8698.6
grc,2013,8111.9
grc,2014,7859.1
grc,2015,7828.5
grc,2016,7557.3
grc,2017,7824.9
grc,2018,8107.6
grc,2019,8685.8
grc,2020,7962.7
grc,2021,9502.3
grc,2022,10636.8
grc,2023,11985.8
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,77071
esp,2009,75831
esp,2010,74231
esp,2011,76553
esp,2012,73550
esp,2013,73483
esp,2014,77321
esp,2015,84287
esp,2016,87088
esp,2017,91586
esp,2018,96643
esp,2019,103662
esp,2020,92513
esp,2021,101823
esp,2022,114983
esp,2023,122363
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,240049.7
fra,2009,224902.6
fra,2010,234900.3
fra,2011,248172.5
fra,2012,249214.8
fra,2013,251853.2
fra,2014,256971.7
fra,2015,264597.1
fra,2016,273770.7
fra,2017,285631.4
fra,2018,297564.8
fra,2019,311391.2
fra,2020,293333
fra,2021,319626.3
fra,2022,341279.8
fra,2023,369428
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,3380.4
hrv,2009,3121.3
hrv,2010,3103.5
hrv,2011,3035.3
hrv,2012,2968.6
hrv,2013,2960.8
hrv,2014,2969.2
hrv,2015,2971.3
hrv,2016,3124.4
hrv,2017,3338.1
hrv,2018,3513.6
hrv,2019,3693.8
hrv,2020,3174.7
hrv,2021,3583.8
hrv,2022,4344.2
hrv,2023,4594.3
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,142582.1
ita,2009,139217.4
ita,2010,142334.6
ita,2011,144726.6
ita,2012,142543.9
ita,2013,141138.7
ita,2014,143282
ita,2015,146128.9
ita,2016,149804.5
ita,2017,155837.8
ita,2018,164006.6
ita,2019,162746.7
ita,2020,159157.5
ita,2021,173905.4
ita,2022,189934.2
ita,2023,202661.6
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,1388.6
cyp,2009,1381
cyp,2010,1555.4
cyp,2011,1633.7
cyp,2012,1560.5
cyp,2013,1443.6
cyp,2014,1480.7
cyp,2015,1567.4
cyp,2016,1682.1
cyp,2017,1902.3
cyp,2018,2133.7
cyp,2019,2294.8
cyp,2020,2238
cyp,2021,2439.5
cyp,2022,2691.9
cyp,2023,2744.5
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1525.7
lva,2009,1177.2
lva,2010,1167
lva,2011,1210
lva,2012,1378.5
lva,2013,1439.2
lva,2014,1487.8
lva,2015,1571.8
lva,2016,1675.1
lva,2017,1810.7
lva,2018,1971
lva,2019,2051.3
lva,2020,2088.5
lva,2021,2261
lva,2022,2566.5
lva,2023,2763.4
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1671.5
ltu,2009,1555.1
ltu,2010,1410.9
ltu,2011,1539.9
ltu,2012,1683
ltu,2013,1840.7
ltu,2014,1971.5
ltu,2015,2152.7
ltu,2016,2354.2
ltu,2017,2644.7
ltu,2018,2924.4
ltu,2019,3204.9
ltu,2020,3146.9
ltu,2021,3918.3
ltu,2022,4692.9
ltu,2023,5347.4
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3646
lux,2009,3764.5
lux,2010,3857.4
lux,2011,4180
lux,2012,4324
lux,2013,4705.6
lux,2014,4678.2
lux,2015,5576.4
lux,2016,6785.3
lux,2017,7054.5
lux,2018,7418.1
lux,2019,7671.9
lux,2020,8548.8
lux,2021,9891.7
lux,2022,11165.9
lux,2023,12542.2
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,7990.8
hun,2009,7110.4
hun,2010,7553
hun,2011,7816.5
hun,2012,7513.4
hun,2013,7770.3
hun,2014,7962.5
hun,2015,8657.3
hun,2016,9276.2
hun,2017,10689.3
hun,2018,11562.5
hun,2019,12662.7
hun,2020,11558.3
hun,2021,13416.9
hun,2022,14488.3
hun,2023,17631.6
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,471
mlt,2009,483.3
mlt,2010,557.3
mlt,2011,601.9
mlt,2012,700.8
mlt,2013,790
mlt,2014,922.8
mlt,2015,1148.5
mlt,2016,1376.9
mlt,2017,1723.3
mlt,2018,1864.2
mlt,2019,2126.3
mlt,2020,2252
mlt,2021,2656.8
mlt,2022,3096.2
mlt,2023,3638.9
mlt,2024,3905.2
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,82806
nld,2009,81068
nld,2010,79673
nld,2011,82734
nld,2012,83411
nld,2013,84211
nld,2014,88521
nld,2015,95888
nld,2016,102752
nld,2017,109098
nld,2018,116053
nld,2019,123794
nld,2020,117468
